diseaseid	disease_name	disease_class	disease_class_name	disease_semantic_type	hpo_name	do_name	source	num_genes	num_variants	num_diseases	type
C0001144	Acne Vulgaris	C17	   Skin and Connective Tissue Diseases	Disease or Syndrome		disease of anatomical entity	GWASCAT	11	30	55	disease
C0001175	Acquired Immunodeficiency Syndrome	C01;C20	   Infections;    Immune System Diseases	Disease or Syndrome		disease by infectious agent	GWASCAT	5	6	109	group
C0001807	Aggressive behavior	F01	   Behavior and Behavior Mechanisms	Individual Behavior	Abnormality of the nervous system		GWASCAT	4	4	14	phenotype
C0001849	AIDS Dementia Complex	C01;C20;C10;F03	   Infections;    Immune System Diseases;    Nervous System Diseases;    Mental Disorders	Disease or Syndrome			GWASCAT	3	4	26	disease
C0001925	Albuminuria	C23;C13;C12	   Pathological Conditions, Signs and Symptoms;    Female Urogenital Diseases and Pregnancy Complications;    Male Urogenital Diseases	Finding	Abnormality of metabolism/homeostasis; Abnormality of the genitourinary system	disease of anatomical entity	GWASCAT	29	59	143	phenotype
C0001948	Alcohol consumption	F01	   Behavior and Behavior Mechanisms	Individual Behavior			GWASCAT	202	423	371	phenotype
C0001973	Alcoholic Intoxication, Chronic	C25;F03	   Chemically-Induced Disorders;    Mental Disorders	Mental or Behavioral Dysfunction	Abnormality of the nervous system	disease of mental health	GWASCAT	45	85	203	disease
C0002170	Alopecia	C23;C17	   Pathological Conditions, Signs and Symptoms;    Skin and Connective Tissue Diseases	Disease or Syndrome	Abnormality of the integument; Abnormality of head or neck	disease of anatomical entity	GWASCAT	98	336	262	disease
C0002171	Alopecia Areata	C17	   Skin and Connective Tissue Diseases	Disease or Syndrome	Abnormality of the integument	disease of anatomical entity	GWASCAT	16	29	158	disease
C0002395	Alzheimer's Disease	C10;F03	   Nervous System Diseases;    Mental Disorders	Disease or Syndrome	Abnormality of the nervous system	genetic disease; disease of anatomical entity	GWASCAT	282	744	376	disease
C0002418	Amblyopia	C23;C11;C10	   Pathological Conditions, Signs and Symptoms;    Eye Diseases;    Nervous System Diseases	Disease or Syndrome	Abnormality of the eye	disease of anatomical entity	GWASCAT	1	5	6	phenotype
C0002438	Amebiasis	C01	   Infections	Disease or Syndrome		disease by infectious agent	GWASCAT	1	1	1	disease
C0002622	Amnesia	C23;C10;F03;F01	   Pathological Conditions, Signs and Symptoms;    Nervous System Diseases;    Mental Disorders;    Behavior and Behavior Mechanisms	Mental or Behavioral Dysfunction		disease of mental health	GWASCAT	1	2	6	disease
C0002736	Amyotrophic Lateral Sclerosis	C18;C10	   Nutritional and Metabolic Diseases;    Nervous System Diseases	Disease or Syndrome	Abnormality of the nervous system	genetic disease; disease of anatomical entity	GWASCAT	28	45	81	disease
C0002871	Anemia	C15	   Hemic and Lymphatic Diseases	Disease or Syndrome	Abnormality of blood and blood-forming tissues	disease of anatomical entity	GWASCAT	2	2	9	disease
C0002895	Anemia, Sickle Cell	C16;C15	   Congenital, Hereditary, and Neonatal Diseases and Abnormalities;    Hemic and Lymphatic Diseases	Disease or Syndrome		genetic disease; disease of anatomical entity	GWASCAT	20	38	57	disease
C0002994	Angioedema	C17;C20;C14	   Skin and Connective Tissue Diseases;    Immune System Diseases;    Cardiovascular Diseases	Pathologic Function	Abnormality of metabolism/homeostasis; Abnormality of the integument; Abnormality of the cardiovascular system	disease of anatomical entity	GWASCAT	2	2	6	phenotype
C0003125	Anorexia Nervosa	F03	   Mental Disorders	Mental or Behavioral Dysfunction		disease of mental health	GWASCAT	11	20	89	disease
C0003467	Anxiety	F01	   Behavior and Behavior Mechanisms	Mental or Behavioral Dysfunction	Abnormality of the nervous system	disease of mental health	GWASCAT	75	149	195	disease
C0003469	Anxiety Disorders	F03	   Mental Disorders	Mental or Behavioral Dysfunction		disease of mental health	GWASCAT	13	19	59	group
C0003868	Arthritis, Gouty	C16;C18;C05	   Congenital, Hereditary, and Neonatal Diseases and Abnormalities;    Nutritional and Metabolic Diseases;    Musculoskeletal Diseases	Disease or Syndrome	Abnormality of the skeletal system	disease of anatomical entity	GWASCAT	55	92	247	disease
C0003872	Arthritis, Psoriatic	C17;C05	   Skin and Connective Tissue Diseases;    Musculoskeletal Diseases	Disease or Syndrome		syndrome	GWASCAT	36	44	191	disease
C0003873	Rheumatoid Arthritis	C17;C05;C20	   Skin and Connective Tissue Diseases;    Musculoskeletal Diseases;    Immune System Diseases	Disease or Syndrome	Abnormality of the skeletal system	disease of anatomical entity	GWASCAT	179	399	357	disease
C0004096	Asthma	C08;C20	   Respiratory Tract Diseases;    Immune System Diseases	Disease or Syndrome	Abnormality of the immune system; Abnormality of the respiratory system	disease of anatomical entity	GWASCAT	253	667	437	disease
C0004106	Astigmatism	C11	   Eye Diseases	Disease or Syndrome	Abnormality of the eye	disease of anatomical entity	GWASCAT	15	29	81	disease
C0004153	Atherosclerosis	C14	   Cardiovascular Diseases	Disease or Syndrome	Abnormality of the cardiovascular system	disease of anatomical entity	GWASCAT	3	8	22	disease
C0004238	Atrial Fibrillation	C23;C14	   Pathological Conditions, Signs and Symptoms;    Cardiovascular Diseases	Disease or Syndrome	Abnormality of the cardiovascular system	disease of anatomical entity	GWASCAT	159	362	348	disease
C0004352	Autistic Disorder	F03	   Mental Disorders	Mental or Behavioral Dysfunction	Abnormality of the nervous system	disease of mental health	GWASCAT	6	23	29	disease
C0004364	Autoimmune Diseases	C20	   Immune System Diseases	Disease or Syndrome	Abnormality of the immune system	disease of anatomical entity	GWASCAT	88	145	244	group
C0004509	Azoospermia	C12	   Male Urogenital Diseases	Disease or Syndrome	Abnormality of the genitourinary system	disease of anatomical entity	GWASCAT	2	4	15	disease
