Entrez_A	Entrez_B	ID
2	309	0
2	4035	1
25983	26574	2
26574	79954	3
302	5243	4
5243	55012	5
10399	5243	6
5243	6714	7
5243	7980	8
10060	3767	9
10061	988	10
10061	1642	11
10061	9416	12
10061	1915	13
10061	1937	14
10061	9343	15
10061	3192	16
10061	3309	17
10061	9782	18
10061	4436	19
10061	5211	20
10061	10594	21
10061	6421	22
10061	23020	23
10061	22938	24
10061	203068	25
10061	51366	26
64240	64241	27
10006	25	28
10006	9564	29
10006	55845	30
10006	23191	31
10006	54869	32
10006	64787	33
10006	79574	34
10006	2059	35
10006	10787	36
10006	6654	37
10006	10163	38
10006	8976	39
23191	51225	40
10163	51225	41
25	9564	42
25	672	43
2017	25	44
25	4638	45
27	3265	46
27	9610	47
580	84142	48
672	84142	49
51720	84142	50
23172	6470	51
23172	6472	52
27034	9968	53
27034	9969	54
27034	9282	55
27034	51586	56
27034	9440	57
27034	5469	58
27034	9439	59
27034	9862	60
27034	81857	61
27034	9441	62
27034	29079	63
10001	27034	64
27034	9443	65
112950	27034	66
1213	9744	67
6517	9744	68
25913	65057	69
10111	65057	70
65057	7013	71
54386	65057	72
65057	7014	73
26277	65057	74
1636	3306	75
10130	1636	76
10189	22985	77
22985	9716	78
10286	22985	79
22985	84811	80
22985	8896	81
22985	58509	82
10421	22985	83
22985	51362	84
22985	988	85
22985	51755	86
22985	29105	87
1153	22985	88
11052	22985	89
22985	51340	90
22985	56259	91
22985	51503	92
22985	57703	93
10521	22985	94
22985	9416	95
22985	7919	96
1654	22985	97
22985	51428	98
22985	9879	99
1655	22985	100
1665	22985	101
22985	8449	102
22985	9785	103
1659	22985	104
1660	22985	105
22826	22985	106
22985	9343	107
22985	9775	108
22985	8220	109
22985	27336	110
10643	22985	111
22985	3550	112
22985	57461	113
22985	57819	114
22985	27258	115
22985	25804	116
11157	22985	117
22985	51690	118
22985	51747	119
22985	4116	120
22985	4236	121
22985	4343	122
22985	23517	123
22985	4686	124
22916	22985	125
11051	22985	126
22985	26986	127
22985	94104	128
22985	5356	129
10450	22985	130
10465	22985	131
22985	51645	132
22985	23759	133
22985	53938	134
22985	5496	135
22985	23398	136
22985	8559	137
22985	27339	138
22985	26121	139
22985	9129	140
22985	55660	141
22985	8899	142
22985	9128	143
22985	24148	144
10594	22985	145
22827	22985	146
22985	64783	147
22985	84991	148
22985	55696	149
22985	58517	150
22985	9584	151
22985	9939	152
10921	22985	153
10284	22985	154
22985	9092	155
22985	7536	156
10291	22985	157
22985	8175	158
10946	22985	159
22985	23451	160
10992	22985	161
22985	23450	162
10262	22985	163
22985	51639	164
10569	22985	165
10285	22985	166
22985	55234	167
22985	23020	168
11017	22985	169
22985	9410	170
22985	6625	171
22985	6627	172
22985	6626	173
22985	6629	174
22985	6628	175
22985	6631	176
22985	6632	177
22985	6633	178
22985	6634	179
22985	6635	180
22985	6636	181
22985	6637	182
22985	4809	183
22938	22985	184
22985	23013	185
10250	22985	186
22985	23524	187
22985	51593	188
22985	9295	189
22985	6426	190
22985	6427	191
22985	6428	192
22985	6429	193
22985	6430	194
22985	6431	195
22985	6432	196
22985	8683	197
22985	25949	198
10915	22985	199
22985	24144	200
22985	9984	201
22985	57187	202
22985	84321	203
22985	8563	204
22985	79228	205
22985	80145	206
22985	6434	207
22985	79002	208
10907	22985	209
22985	7307	210
11338	22985	211
22985	23350	212
10713	22985	213
22985	25962	214
22985	51729	215
22985	9589	216
22985	56949	217
22985	7756	218
59	72	219
55299	59	220
59	9188	221
1660	59	222
10969	59	223
1915	59	224
1938	59	225
2091	59	226
26354	59	227
339942	59	228
3007	59	229
59	8342	230
3178	59	231
4670	59	232
3192	59	233
10642	59	234
3608	59	235
3609	59	236
51631	59	237
55646	59	238
10514	59	239
4627	59	240
10627	59	241
4637	59	242
4673	59	243
4691	59	244
59	9221	245
10528	59	246
51602	59	247
4869	59	248
11137	59	249
55131	59	250
4736	59	251
59	6134	252
59	6135	253
59	6136	254
23521	59	255
59	6137	256
59	9045	257
59	6138	258
59	6139	259
59	6142	260
59	6141	261
59	6143	262
59	6144	263
59	6146	264
59	6147	265
59	9349	266
59	6152	267
59	6154	268
59	6157	269
59	6155	270
59	6158	271
59	6159	272
59	6156	273
59	6160	274
59	6161	275
59	6165	276
11224	59	277
59	6173	278
25873	59	279
59	6168	280
59	6170	281
59	6122	282
59	6124	283
59	6125	284
59	6128	285
59	6130	286
59	6129	287
59	6132	288
59	6126	289
254948	59	290
59	6133	292
59	6175	293
59	6176	294
59	6181	295
59	6205	296
59	6206	297
59	6207	298
59	6208	299
59	6210	300
59	6209	301
59	6217	302
59	6218	303
59	6222	304
59	6228	305
59	6229	306
59	6235	307
59	6187	308
59	6189	309
59	6194	310
59	6201	311
59	6202	312
59	6203	313
26156	59	314
55681	59	315
292	59	316
4809	59	317
59	6727	318
59	6732	319
59	6949	320
59	7150	321
59	7846	322
59	81027	323
59	7284	324
59	7307	325
11338	59	326
59	7454	327
59	7456	328
4904	59	329
60	71	330
60	86	331
51412	60	332
60	81	333
60	8125	334
60	8539	335
60	8289	336
57492	60	337
196528	60	338
60	8815	339
140836	60	340
56647	60	341
60	708	342
10487	60	343
10498	60	344
11140	60	345
1072	60	346
1108	60	347
1152	60	348
1266	60	349
23191	60	350
10212	60	351
1759	60	352
5977	60	353
60	84661	354
1837	60	355
2010	60	356
57634	60	357
10146	60	358
57459	60	359
3065	60	360
3066	60	361
60	8841	362
3068	60	363
3024	60	364
60	8350	365
60	8358	366
60	8352	367
60	8351	368
60	8353	369
60	8968	370
60	8355	371
60	8357	372
60	8354	373
60	8356	374
3183	60	375
3190	60	376
3191	60	377
3192	60	378
3326	60	379
3303	60	380
3308	60	381
3312	60	382
3609	60	383
60	8826	384
3689	60	385
3909	60	386
23592	60	387
4000	60	388
4001	60	389
4008	60	390
57819	60	391
51691	60	392
60	65108	393
60	8932	394
53615	60	395
29079	60	396
4356	60	397
60	9219	398
4628	60	399
4627	60	400
4643	60	401
10787	60	402
4691	60	403
60	9111	404
4841	60	405
4869	60	406
5027	60	407
142	60	408
55193	60	409
27250	60	410
5217	60	411
5297	60	412
5430	60	413
5682	60	414
5757	60	415
5787	60	416
10111	60	417
5928	60	418
5933	60	419
5934	60	420
23186	60	421
60	9475	422
60	8607	423
10856	60	424
60	79595	425
10284	60	426
57410	60	427
60	6418	428
