	ComplexID	ComplexName	GO ID	GO description	NumSubunits
0	1	BCL6-HDAC4 complex	GO:0006265;GO:0045892;GO:0051276;GO:0030183;GO:0005634;GO:0016575	DNA topological change;negative regulation of DNA-templated transcription;chromosome organization;B cell differentiation;nucleus;histone deacetylation	2
1	2	BCL6-HDAC5 complex	GO:0006265;GO:0045892;GO:0051276;GO:0030183;GO:0005634;GO:0016575	DNA topological change;negative regulation of DNA-templated transcription;chromosome organization;B cell differentiation;nucleus;histone deacetylation	2
2	3	BCL6-HDAC7 complex	GO:0006265;GO:0045892;GO:0051276;GO:0030183;GO:0005634;GO:0016575	DNA topological change;negative regulation of DNA-templated transcription;chromosome organization;B cell differentiation;nucleus;histone deacetylation	2
3	4	Multisubunit ACTR coactivator complex	GO:0030374;GO:0004402	nuclear receptor coactivator activity;histone acetyltransferase activity	4
4	10	Condensin I complex	GO:0000279;GO:0030261;GO:0007059;GO:0051276;GO:0005694;GO:0000278	M phase;chromosome condensation;chromosome segregation;chromosome organization;chromosome;mitotic cell cycle	5
5	11	BLOC-3 (biogenesis of lysosome-related organelles complex 3)	GO:0007032;GO:0007040;GO:0007033	endosome organization;lysosome organization;vacuole organization	2
6	12	BLOC-2 (biogenesis of lysosome-related organelles complex 2)	GO:0007032;GO:0007040;GO:0007033	endosome organization;lysosome organization;vacuole organization	3
7	13	CDS1 -MUS81 complex	GO:0006281;GO:0006310	DNA repair;DNA recombination	2
8	15	NCOR complex	GO:0006265;GO:0045892;GO:0006473;GO:0006476;GO:0051276;GO:0005634	DNA topological change;negative regulation of DNA-templated transcription;protein acetylation;protein deacetylation;chromosome organization;nucleus	6
9	23	BLOC-1 (biogenesis of lysosome-related organelles complex 1)	None	None	8
10	27	Arp2/3 protein complex	GO:0005885;GO:0030833	Arp2/3 protein complex;regulation of actin filament polymerization	7
11	29	PA28gamma complex	GO:0043161;GO:0005515;GO:0016504	proteasome-mediated ubiquitin-dependent protein catabolic process;protein binding;peptidase activator activity	1
12	30	PA28 complex	GO:0043161;GO:0006511;GO:0051098;GO:0005515;GO:0016504;GO:0005737	proteasome-mediated ubiquitin-dependent protein catabolic process;ubiquitin-dependent protein catabolic process;regulation of binding;protein binding;peptidase activator activity;cytoplasm	2
13	32	PA700 complex	GO:0043161;GO:0005515;GO:0016504	proteasome-mediated ubiquitin-dependent protein catabolic process;protein binding;peptidase activator activity	20
14	36	AP1 adaptor complex	GO:0006886;GO:0006605;GO:0015031;GO:0016192;GO:0006900;GO:0016050;GO:0006897;GO:0030133	intracellular protein transport;protein targeting;protein transport;vesicle-mediated transport;vesicle budding from membrane;vesicle organization;endocytosis;transport vesicle	8
15	45	Gamma-secretase complex (APH1A, PSEN1, PSENEN, NCSTN)	GO:0016485;GO:0051090;GO:0007219;GO:0005886;GO:0005794	protein processing;regulation of DNA-binding transcription factor activity;Notch signaling pathway;plasma membrane;Golgi apparatus	4
16	49	DNMT3B complex	GO:0006306;GO:0006265;GO:0000279;GO:0007059;GO:0051276;GO:0005694;GO:0000278	DNA methylation;DNA topological change;M phase;chromosome segregation;chromosome organization;chromosome;mitotic cell cycle	7
17	50	RAB5A-RABEP1-RABGEF complex	GO:0006897;GO:0061025;GO:0034058	endocytosis;membrane fusion;endosomal vesicle fusion	3
18	55	HDAC4-ERK1 complex	GO:0006265;GO:2001141;GO:0006355;GO:0000165;GO:0051276;GO:0005634	DNA topological change;regulation of RNA biosynthetic process;regulation of DNA-templated transcription;MAPK cascade;chromosome organization;nucleus	2
19	57	HDAC4-ERK2 complex	GO:0006265;GO:2001141;GO:0006355;GO:0000165;GO:0051276;GO:0005634	DNA topological change;regulation of RNA biosynthetic process;regulation of DNA-templated transcription;MAPK cascade;chromosome organization;nucleus	2
20	58	SMRT complex	GO:0006265;GO:0045892;GO:0006473;GO:0006476;GO:0051276;GO:0005634	DNA topological change;negative regulation of DNA-templated transcription;protein acetylation;protein deacetylation;chromosome organization;nucleus	5
21	59	AP3 adaptor complex	GO:0006886;GO:0006605;GO:0015031;GO:0006892;GO:0006897;GO:0005773;GO:0005764;GO:0016192	intracellular protein transport;protein targeting;protein transport;post-Golgi vesicle-mediated transport;endocytosis;vacuole;lysosome;vesicle-mediated transport	7
22	61	Mi2/NuRD complex	GO:0006265;GO:0051276;GO:0005634;GO:0006357	DNA topological change;chromosome organization;nucleus;regulation of transcription by RNA polymerase II	7
23	62	MeCP1 complex	GO:0006265;GO:0045892;GO:0003677;GO:0051276;GO:0005634;GO:0016575	DNA topological change;negative regulation of DNA-templated transcription;DNA binding;chromosome organization;nucleus;histone deacetylation	8
24	66	TRAP complex	GO:0045893;GO:0030545;GO:0009755;GO:0023052;GO:0005634	positive regulation of DNA-templated transcription;signaling receptor regulator activity;hormone-mediated signaling pathway;signaling;nucleus	8
25	67	AP4 adaptor complex	GO:0006886;GO:0006605;GO:0015031;GO:0005515;GO:0006892;GO:0006897;GO:0030133;GO:0005794;GO:0016192	intracellular protein transport;protein targeting;protein transport;protein binding;post-Golgi vesicle-mediated transport;endocytosis;transport vesicle;Golgi apparatus;vesicle-mediated transport	4
26	68	BCDX2 complex	GO:0006281;GO:0006310;GO:0003677;GO:0005524;GO:0006974;GO:0005634	DNA repair;DNA recombination;DNA binding;ATP binding;cellular response to DNA damage stimulus;nucleus	4
27	72	R/M complex (RAD50-MRE11 complex)	GO:0006281;GO:0003677;GO:0006974;GO:0051276;GO:0005634	DNA repair;DNA binding;cellular response to DNA damage stimulus;chromosome organization;nucleus	2
28	74	HOMER3-IP3R-TRPC1 complex	GO:0008324;GO:0006812;GO:0005216;GO:0023052;GO:0005886	cation transmembrane transporter activity;cation transport;ion channel activity;signaling;plasma membrane	3
29	81	Ubiquitin E3 ligase (SKP1A, FBXW8, CUL7, RBX1)	GO:0016567;GO:0006511	protein ubiquitination;ubiquitin-dependent protein catabolic process	4
30	86	NUMAC complex (nucleosomal methylation activator complex)	GO:0006265;GO:0045893;GO:0018126;GO:0006479;GO:0003677;GO:0009755;GO:0023052;GO:0051276;GO:0005634	DNA topological change;positive regulation of DNA-templated transcription;protein hydroxylation;protein methylation;DNA binding;hormone-mediated signaling pathway;signaling;chromosome organization;nucleus	10
31	87	Nup 107-160 subcomplex	GO:0015031;GO:0051169;GO:0000775	protein transport;nuclear transport;chromosome, centromeric region	9
32	91	FA complex (Fanconi anemia complex), cytoplasmic	GO:0016567;GO:0006974;GO:0005737	protein ubiquitination;cellular response to DNA damage stimulus;cytoplasm	4
33	92	CD28-transactivation complex	GO:0006352;GO:2001141;GO:0006355;GO:0005634	DNA-templated transcription initiation;regulation of RNA biosynthetic process;regulation of DNA-templated transcription;nucleus	2
34	93	Anaphase-promoting complex	GO:0000278;GO:0051726;GO:0016567;GO:0005515;GO:0005634	mitotic cell cycle;regulation of cell cycle;protein ubiquitination;protein binding;nucleus	8
35	95	Ku antigen-NARG1 complex	GO:2001141;GO:0006355;GO:0003677	regulation of RNA biosynthetic process;regulation of DNA-templated transcription;DNA binding	3
36	96	Anaphase-promoting complex	GO:0000278;GO:0051726;GO:0016567;GO:0005515;GO:0005634;GO:0006511	mitotic cell cycle;regulation of cell cycle;protein ubiquitination;protein binding;nucleus;ubiquitin-dependent protein catabolic process	9
37	98	p300-MDM2-p53 protein complex	GO:2001141;GO:0006355;GO:0030234;GO:0050790;GO:0005634	regulation of RNA biosynthetic process;regulation of DNA-templated transcription;enzyme regulator activity;regulation of catalytic activity;nucleus	3
38	100	hNURF complex	GO:0006265;GO:2001141;GO:0006355;GO:0022008;GO:0048699;GO:0051276;GO:0030182;GO:0005634	DNA topological change;regulation of RNA biosynthetic process;regulation of DNA-templated transcription;neurogenesis;generation of neurons;chromosome organization;neuron differentiation;nucleus	4
39	103	RNA polymerase II holoenzyme complex	GO:0006351;GO:0003677;GO:0005634	DNA-templated transcription;DNA binding;nucleus	24
40	104	RNA polymerase II core complex	GO:0006351;GO:0003677;GO:0005634	DNA-templated transcription;DNA binding;nucleus	12
41	107	TFIIH transcription factor complex	GO:0006281;GO:0007049;GO:0006355;GO:0005634	DNA repair;cell cycle;regulation of DNA-templated transcription;nucleus	9
42	112	Prefoldin complex	GO:0050821;GO:0006457;GO:0007010;GO:0030036;GO:0016272	protein stabilization;protein folding;cytoskeleton organization;actin cytoskeleton organization;prefoldin complex	6
43	114	SNAPc (small nuclear RNA-activating protein) complex	GO:2001141;GO:0006355;GO:0005515;GO:0003677;GO:0005634	regulation of RNA biosynthetic process;regulation of DNA-templated transcription;protein binding;DNA binding;nucleus	5
44	115	Polycomb repressive complex 1 (PRC1, hPRC-H)	GO:0006265;GO:0045892;GO:0032774;GO:0018126;GO:0006479;GO:0051276;GO:0005634	DNA topological change;negative regulation of DNA-templated transcription;RNA biosynthetic process;protein hydroxylation;protein methylation;chromosome organization;nucleus	12
45	116	Polycomb repressive complex 1 (PRC1, hPRC-H)	GO:0006265;GO:0045892;GO:0032774;GO:0018126;GO:0006479;GO:0051276;GO:0005634	DNA topological change;negative regulation of DNA-templated transcription;RNA biosynthetic process;protein hydroxylation;protein methylation;chromosome organization;nucleus	13
46	117	GPR56-CD81-Galpha(q/11)-Gbeta complex	GO:0007186	G protein-coupled receptor signaling pathway	5
47	118	GPI-GnT activity complex	GO:0006644;GO:0008654;GO:0009395;GO:0005783	phospholipid metabolic process;phospholipid biosynthetic process;phospholipid catabolic process;endoplasmic reticulum	4
48	120	Lymphotoxin beta receptor complex	GO:0007166;GO:0006915	cell surface receptor signaling pathway;apoptotic process	3
49	123	Rnase/Mrp complex	GO:0006401;GO:0006364;GO:0003723;GO:0005634	RNA catabolic process;rRNA processing;RNA binding;nucleus	10
