	Modularity	ClusteringCoeff	Homogeneity	Cluster_size
Cluster1-0	0.34796027001200414	0.29351374524141427	0.017409266942909868	1045
Cluster1-1	0.4422763387389665	0.5153174539306112	0.012841246535727666	697
Cluster2-0	0.37365909692495775	0.46723769697055195	0.012943025379624891	506
Cluster2-1	0.18163493223694413	0.28886494037279925	0.016869510819207706	375
Cluster3-0	0.29914742941742195	0.44497838639486986	0.010924545049777579	338
Cluster2-2	0.06483444637308816	0.23266411231923853	0.018760478125593855	208
Cluster1-2	0.08253780421027133	0.39157535302812774	0.018100955738533077	199
Cluster1-3	0.08709735708599392	0.598870164528969	0.017028880924107922	162
Cluster4-0	0.21899934077227878	0.3969039352206438	0.008828073209469102	159
Cluster3-1	0.051784498596623416	0.2570838991562052	0.016256056943242343	155
Cluster1-4	0.03603565642862659	0.16993136016101362	0.026857683147599815	146
Cluster3-2	0.07479053675349812	0.12602983845070434	0.014713811797137245	141
Cluster3-3	0.11956064013110265	0.613175555076844	0.014901991792847374	138
Cluster1-6	0.06697320901435408	0.46286049373424676	0.01833137093919072	135
Cluster2-5	0.06818622540902544	0.4486943880672731	0.013918203643785756	129
Cluster1-5	0.07627970877837498	0.615203592129058	0.013840463255041869	126
Cluster2-3	0.03841777010072426	0.24957515768510258	0.01657545937244866	123
Cluster1-7	0.04281569700683043	0.23033624988352913	0.02901524901787053	118
Cluster1-9	0.04069497614143795	0.2622669080220567	0.02776100512499984	115
Cluster5-0	0.18883010326122035	0.4275918176391118	0.006041629551945347	114
Cluster2-4	0.14809961644247316	0.6842746648225185	0.01116278016644654	111
Cluster2-6	0.06827505109813847	0.5322758274332264	0.01567003244442171	108
Cluster1-8	0.08418847783070899	0.672329709663228	0.011119581654050616	106
Cluster1-10	0.039520794603378026	0.2655651464482436	0.026693454397736127	104
Cluster2-8	0.04898603712027353	0.49218821080862546	0.015580866903719022	99
Cluster4-1	0.03584282010889381	0.30779406089161576	0.01670387556632896	98
Cluster4-2	0.05693667877130256	0.46686869084559784	0.011245118837390199	97
Cluster1-11	0.03315014818904888	0.287768138294454	0.02537171896933498	95
Cluster2-7	0.040070124655366995	0.5904906474162452	0.02061119345353487	94
Cluster4-3	0.05969728153893123	0.583803274474591	0.019810156944661806	86
Cluster1-12	0.025789254389145245	0.37341818234675367	0.03618639688264199	84
Cluster1-15	0.04288893824989439	0.5608843632940017	0.010236345449072572	83
Cluster1-14	0.028775057113320075	0.5416840361284804	0.020004445033355144	81
Cluster1-13	0.05126722313076425	0.6891110379558523	0.020024852113337804	80
Cluster4-4	0.06940509492212837	0.6810677048907221	0.014559242904526188	79
Cluster2-9	0.027193535467756887	0.3937984380292073	0.024476059164422317	78
Cluster2-10	0.03174456683622041	0.21589078496973235	0.027454305419100808	74
Cluster2-13	0.0551998553884012	0.5996556859229136	0.013847941493565108	74
Cluster2-12	0.01812508010819837	0.23376322751322753	0.030129353975825085	72
Cluster1-16	0.0272995624656406	0.490809349380778	0.0252837081882398	70
Cluster6-0	0.1417390820157498	0.3345017298058359	0.003132646570450778	69
Cluster2-11	0.03589064004878956	0.3901441559841076	0.014874651652629184	69
Cluster5-1	0.04353061415365893	0.4889710908286759	0.010149097925579423	67
Cluster3-4	0.04002197305132303	0.41378632937878645	0.015458304109682325	66
Cluster3-5	0.058262864249773644	0.5768464171993585	0.014801738594150205	65
Cluster3-8	0.026426362373052112	0.5505685064056104	0.021643417213911758	65
Cluster3-6	0.014374169652422785	0.13975642724396461	0.015902429736975778	59
Cluster3-7	0.04850075216906086	0.5771426610855692	0.01489976893791349	59
Cluster1-18	0.013071894143899625	0.2104262968669749	0.013633862248970082	59
Cluster2-17	0.02625272111588942	0.36859252985013635	0.010690295492915511	58
Cluster3-9	0.01240080189154694	0.11052631578947367	0.027737055401418128	57
Cluster4-5	0.014384752753875223	0.21370950478093337	0.016729849095268177	56
Cluster3-10	0.03592540448176548	0.5893267604272389	0.015846573979013085	55
Cluster2-16	0.012751759093876523	0.2289177489177489	0.047477484768083535	55
Cluster3-11	0.021340281355521018	0.38494534815289533	0.019660619452702404	53
Cluster1-17	0.01442123581016393	0.24301296188088642	0.022675702515645695	53
Cluster2-14	0.011653818851856484	0.20840964590964586	0.02894184667975272	52
Cluster3-12	0.1043135605922206	0.8241915170062555	0.015823764447295222	52
Cluster2-15	0.023445112493091814	0.5805019425019426	0.012795909350954556	50
Cluster2-26	0.013184158689113724	0.35059906080314246	0.016013570546077518	49
Cluster2-18	0.045241974775373645	0.713696315532438	0.010509336170256976	48
Cluster3-13	0.008977752752880156	0.16863425925925926	0.03170659998494153	48
Cluster4-6	0.049776049814266546	0.5726195563695564	0.01624619255474986	48
Cluster2-19	0.03576129479994933	0.6697150939509809	0.016334082584198186	47
Cluster2-20	0.013174453743871623	0.4090793957815234	0.021518186359021252	47
Cluster2-21	0.011018953369859964	0.224675915101447	0.027385745675618186	47
Cluster5-3	0.033306211246363265	0.5841185123935156	0.029222254530586092	46
Cluster2-22	0.009819399524471879	0.19589225589225595	0.011342444034489222	45
Cluster2-23	0.03627268699609087	0.6990207388453004	0.02249763466684035	45
Cluster2-28	0.012213106366109342	0.4031565656565657	0.016049649351549178	44
Cluster2-24	0.03033208837667608	0.6442147859377088	0.011492095569895259	43
Cluster1-23	0.01172726738501293	0.20653377630121814	0.025035888747977422	43
Cluster2-25	0.010835543095971978	0.28759448223733936	0.020701622591403162	42
Cluster4-7	0.01131107033719174	0.20025754668611806	0.015101192627904977	42
Cluster3-14	0.01149065139773374	0.2682793397079112	0.01615822781002408	42
Cluster2-27	0.02940018749878822	0.643086744778474	0.018844688984017113	42
Cluster2-32	0.013865566450253814	0.3273242630385487	0.01668272140288266	42
Cluster1-19	0.012081017350225952	0.0	0.02166066200061755	41
Cluster4-8	0.018759071202895418	0.5973717339571	0.025178554046929202	41
Cluster1-21	0.010865528550086996	0.45650406504065044	0.0219766198914559	41
Cluster3-15	0.03573338978458136	0.7718754286434011	0.018820501280475667	41
Cluster1-24	0.017442726350454105	0.534650309040553	0.014705518142109955	41
Cluster2-29	0.026558308170326207	0.5900745797030627	0.0145738559108409	40
Cluster5-2	0.043110455980614616	0.7931303310731802	0.016372327368253496	40
Cluster2-30	0.00898206815571604	0.3602146464646465	0.03245097097998166	40
Cluster2-31	0.010133334716272265	0.24083333333333332	0.028535996442671213	40
Cluster4-9	0.012655244826785454	0.4944806255835667	0.017776250481035944	40
Cluster1-20	0.007373674176336897	0.11823593073593075	0.012483238721561082	40
Cluster2-33	0.018870600810508703	0.5569305338536109	0.025461474902594098	39
Cluster4-10	0.01539587990513554	0.49215409633366286	0.010949987417953238	38
Cluster1-22	0.009821555341434387	0.2840016708437762	0.022275311651579716	38
Cluster3-16	0.008452325133017712	0.2241510741510741	0.013035816569941244	37
Cluster6-1	0.02891636488495578	0.6093242154454969	0.01161466070583611	37
Cluster3-17	0.016380375932869416	0.5029894578914188	0.026142869906640526	36
Cluster1-25	0.007779842152589606	0.2621768707482993	0.04515658638746491	35
Cluster3-19	0.015386468934933875	0.658426652712367	0.019133899582763837	35
Cluster3-18	0.007773092033393911	0.1303221288515406	0.029176264437137053	34
Cluster2-34	0.006052716177108725	0.0607843137254902	0.033276304274414824	34
Cluster1-27	0.008766320627390311	0.3588702147525677	0.02232359795927812	34
Cluster3-20	0.029893326860053082	0.6599694050932442	0.015145477651662858	33
Cluster2-35	0.01564604135773531	0.7348113166294984	0.0322767446486861	33
Cluster1-26	0.006398133080601171	0.17914862914862914	0.01881507367990756	33
Cluster3-21	0.008638102282871448	0.32193362193362185	0.05146156751473475	33
Cluster4-11	0.0307547001106341	0.7344105415594298	0.015196047267053545	33
Cluster3-22	0.010529398242740812	0.3130208333333333	0.02314686021897369	32
Cluster3-23	0.012061988119729803	0.11020658263305322	0.04314459890857022	32
Cluster5-4	0.024070811984086945	0.6211077248882009	0.024050630544287663	32
Cluster3-24	0.00843242528413285	0.33935335497835495	0.01913909715452641	32
Cluster1-28	0.008110424623276921	0.41284722222222214	0.012156499834901352	32
Cluster4-12	0.012139420391574025	0.7002604166666666	0.01648114845874564	32
Cluster3-25	0.029257225175322935	0.7212658309432504	0.030915862978153737	31
Cluster2-36	0.007249782541386078	0.21985111662531015	0.023128406917943833	31
Cluster1-30	0.013536898586239382	0.47949792143340525	0.024803940715329154	31
Cluster4-13	0.03255943549676541	0.640247980655451	0.022686434726446807	31
Cluster5-5	0.04497699019670123	0.8480667480667482	0.016553995965723833	30
Cluster2-37	0.007946733290556602	0.38999999999999996	0.02924488678444767	30
Cluster1-29	0.006912348190912204	0.33222222222222225	0.023879220982086013	30
Cluster3-26	0.007988538048857692	0.37777544351073755	0.012986258531948217	30
Cluster3-27	0.02133355761870073	0.6283101206785415	0.015185941838471698	30
Cluster3-28	0.021544808836473604	0.6561331533963113	0.010812911460634555	30
Cluster2-38	0.006222558372211593	0.19333333333333333	0.0289879203229479	30
Cluster2-39	0.013078659338738235	0.6551683948235673	0.029055928398246528	29
Cluster2-40	0.007257471119364322	0.35747126436781607	0.01988352957211602	29
Cluster3-29	0.009440062424016805	0.38596059113300485	0.02370490434239267	29
Cluster3-30	0.007595436886257284	0.38773946360153266	0.02744899060105242	29
Cluster2-41	0.0077540213448794425	0.34805692391899296	0.022125061768471465	29
Cluster5-6	0.021974645572384502	0.7005053754946997	0.009903386088750486	29
Cluster1-31	0.00758684376969341	0.26583072100313476	0.015581555701600991	29
