Entrez_A	Entrez_B	num_dbs	dbs
2	351	1	dip
2	3569	1	pid2
2	139716	1	pid2
2	6774	1	pid2
2	2885	1	pid2
2	2308	1	pid2
2	5781	1	pid2
2	6654	1	pid2
2	1401	1	pid2
351	43	1	dip
351	333	1	dip
351	334	1	dip
351	348	1	dip
351	54103	1	dip
351	4804	2	dip,pid2
351	5663	2	dip,pid2
351	27242	1	dip
351	7276	1	dip
351	5621	1	pid2
351	7124	1	pid2
351	836	1	pid2
351	4914	1	pid2
351	627	1	pid2
351	4803	1	pid2
351	2534	1	pid2
351	7040	1	pid2
351	596	1	pid2
351	6272	1	pid2
351	7157	1	pid2
351	54205	1	pid2
351	23385	1	pid2
351	65078	1	pid2
351	64781	1	pid2
351	581	1	pid2
351	2934	1	pid2
351	387	1	pid2
351	6868	1	pid2
351	5879	1	pid2
351	5602	1	pid2
351	6610	1	pid2
351	142	1	pid2
351	6997	1	pid2
351	6720	1	pid2
351	6714	1	pid2
351	6464	1	pid2
351	835	1	pid2
351	839	1	pid2
351	842	1	pid2
351	7132	1	pid2
351	207	1	pid2
351	2247	1	pid2
351	5599	1	pid2
351	2817	1	pid2
351	9353	1	pid2
351	10018	1	pid2
351	84894	1	pid2
351	841	1	pid2
351	355	1	pid2
351	4314	1	pid2
351	8878	1	pid2
351	55851	1	pid2
351	7431	1	pid2
351	5045	1	pid2
351	5601	1	pid2
351	5340	1	pid2
351	4615	1	pid2
351	11319	1	pid2
351	3084	1	pid2
351	51107	1	pid2
351	8797	1	pid2
351	3984	1	pid2
351	3551	1	pid2
351	56616	1	pid2
351	7048	1	pid2
351	356	1	pid2
351	4067	1	pid2
351	4908	1	pid2
351	840	1	pid2
351	79158	1	pid2
351	92170	1	pid2
351	8743	1	pid2
351	7020	1	pid2
351	7189	1	pid2
351	83464	1	pid2
351	598	1	pid2
351	284217	1	pid2
351	5584	1	pid2
351	2620	1	pid2
351	397	1	pid2
351	28986	1	pid2
351	7150	1	pid2
351	1677	1	pid2
351	8738	1	pid2
351	3055	1	pid2
19	821	1	dip
19	1756	1	dip
19	2316	1	dip
19	3832	1	dip
19	10558	1	dip
19	7402	1	dip
19	5468	1	pid2
19	7124	1	pid2
19	10062	1	pid2
19	5465	1	pid2
19	7376	1	pid2
19	5467	1	pid2
19	29982	1	pid2
19	7040	1	pid2
19	6256	1	pid2
19	9971	1	pid2
19	6720	1	pid2
19	6257	1	pid2
19	6258	1	pid2
821	1756	1	dip
821	2316	1	dip
821	3832	1	dip
821	6513	1	dip
821	10558	1	dip
821	7402	1	dip
821	7385	1	wan
821	8714	1	wan
821	4363	1	wan
821	6185	1	wan
821	7184	1	wan
821	3419	1	wan
821	5250	1	wan
821	6184	1	wan
821	10130	1	wan
821	2058	1	wan
821	7415	1	wan
821	9524	1	wan
821	5518	1	wan
821	34	1	wan
821	5861	1	wan
821	10575	1	wan
821	7203	1	wan
821	3838	1	wan
821	1213	1	wan
821	908	1	wan
821	5862	1	wan
821	4513	1	wan
821	81876	1	wan
821	493	1	wan
821	3840	1	wan
821	1537	1	wan
821	2531	1	wan
821	3301	1	wan
821	3839	1	wan
821	7841	1	wan
821	57136	1	wan
821	490	1	wan
821	1615	1	wan
821	5091	1	wan
821	3998	1	wan
821	492	1	wan
821	2108	1	wan
821	7284	1	wan
821	5954	1	wan
821	5725	1	wan
821	1315	1	wan
821	3320	1	wan
821	6193	1	wan
821	481	1	wan
821	1650	1	wan
821	10952	1	wan
821	57130	1	wan
821	5701	1	wan
821	25923	1	wan
821	56926	1	wan
821	55705	1	wan
821	6709	1	wan
1756	2316	1	dip
1756	3832	1	dip
1756	10558	1	dip
1756	7402	1	dip
1756	1495	1	wan
2316	367	2	dip,pid2
2316	83478	1	dip
2316	846	1	dip
2316	1058	1	dip
2316	10521	1	dip
2316	1654	1	dip
2316	1655	1	dip
2316	1813	1	dip
2316	1814	1	dip
2316	1832	1	dip
2316	1973	1	dip
2316	55355	1	dip
2316	3192	1	dip
2316	3674	1	dip
2316	3690	1	dip
2316	3695	1	dip
2316	3832	1	dip
2316	4008	1	dip
2316	4869	1	dip
2316	5058	1	dip
2316	9533	1	dip
2316	5591	1	dip
2316	5663	1	dip
2316	5928	1	dip
2316	5931	1	dip
2316	8607	1	dip
2316	10856	1	dip
2316	8805	1	dip
2316	7402	1	dip
2316	7520	1	dip
2316	2547	1	dip
2316	387	1	pid2
2316	4920	1	pid2
2316	940	1	pid2
2316	5879	1	pid2
2316	9020	1	pid2
2316	409	1	pid2
2316	6416	1	pid2
2316	920	1	pid2
2316	5578	1	pid2
2316	10399	1	pid2
2316	998	1	pid2
2316	5588	1	pid2
2316	3932	1	pid2
2316	7474	1	pid2
2316	6786	1	pid2
2316	5581	1	pid2
2316	3937	1	pid2
2316	51285	1	pid2
2316	11148	1	pid2
2316	1432	1	pid2
2316	1147	1	pid2
2316	207	1	pid2
2316	6714	1	pid2
2316	5966	1	pid2
2316	354	1	pid2
2316	2885	1	pid2
2316	3320	1	pid2
2316	815	1	pid2
2316	6885	1	pid2
2316	2317	1	wan
2316	7411	1	wan
2316	2923	1	wan
2316	51068	1	wan
2316	5203	1	wan
2316	5204	1	wan
2316	54919	1	wan
2316	100129278	1	wan
2316	5202	1	wan
2316	80724	1	wan
3832	1739	1	dip
3832	5728	1	dip
3832	7402	1	dip
3832	6625	1	wan
3832	55361	1	wan
10558	94103	1	dip
10558	9517	1	dip
10558	55304	1	dip
10558	171546	1	dip
10558	165679	1	dip
7402	5478	1	dip
7402	5530	1	dip
7402	6640	1	dip
7402	6641	1	dip
287	6833	1	dip
287	3767	1	dip
287	6546	1	dip
6833	3767	2	dip,pid2
6833	3630	1	pid2
6833	6667	1	pid2
6833	3172	1	pid2
6833	3170	1	pid2
3767	3630	1	pid2
3767	3172	1	pid2
3767	3170	1	pid2
23	160	1	dip
23	28974	1	dip
23	1105	1	dip
23	9276	1	dip
23	57062	1	dip
23	1660	1	dip
23	23028	1	dip
23	3796	1	dip
23	4522	1	dip
23	2631	1	dip
23	5332	1	dip
23	5052	1	dip
23	6421	1	dip
23	10592	1	dip
23	6428	1	dip
23	22803	1	dip
23	9576	1	wan
23	10923	1	wan
160	28974	1	dip
160	1105	1	dip
160	9276	1	dip
160	57062	1	dip
160	1660	1	dip
160	23028	1	dip
160	3796	1	dip
160	4522	1	dip
160	2631	1	dip
160	5332	1	dip
160	5052	1	dip
160	6421	1	dip
160	10592	1	dip
160	6428	1	dip
160	22803	1	dip
160	1173	2	pid2,wan
160	55738	1	pid2
160	1212	1	pid2
160	163	1	wan
160	1175	1	wan
160	162	1	wan
160	10204	1	wan
160	1967	1	wan
28974	1105	1	dip
28974	9276	1	dip
28974	57062	1	dip
28974	1660	1	dip
28974	23028	1	dip
28974	3796	1	dip
28974	4522	1	dip
28974	2631	1	dip
28974	5332	1	dip
28974	5052	1	dip
28974	6421	1	dip
28974	10592	1	dip
28974	6428	1	dip
28974	22803	1	dip
