EntrezA	EntrezB	num_dbs	dbs
3767.0	6833.0	2	dip,pid2
10152.0	55845.0	2	dip,pid2
10152.0	10787.0	2	dip,pid2
10152.0	8936.0	2	dip,pid2
10152.0	10163.0	2	dip,pid2
55845.0	10787.0	2	dip,pid2
55845.0	8936.0	2	dip,pid2
55845.0	10163.0	2	dip,pid2
10787.0	5879.0	2	dip,pid2
10787.0	8936.0	3	dip,pid2,wan
10787.0	10163.0	3	dip,pid2,wan
10787.0	10006.0	2	pid2,wan
10787.0	26999.0	2	pid2,wan
8936.0	5879.0	2	dip,pid2
8936.0	10163.0	2	dip,pid2
8936.0	10006.0	2	pid2,wan
8936.0	26999.0	2	pid2,wan
10163.0	5879.0	2	dip,pid2
10163.0	10006.0	2	pid2,wan
10163.0	8976.0	2	pid2,wan
10163.0	26999.0	2	pid2,wan
25.0	472.0	2	dip,pid2
25.0	857.0	2	dip,pid2
25.0	1398.0	2	dip,pid2
25.0	2889.0	2	dip,pid2
472.0	4683.0	2	dip,pid2
472.0	4851.0	2	dip,pid2
472.0	6118.0	2	dip,pid2
472.0	7013.0	2	dip,pid2
472.0	7014.0	2	dip,pid2
472.0	7157.0	2	dip,pid2
857.0	1956.0	2	dip,pid2
857.0	355.0	2	dip,pid2
857.0	4846.0	2	dip,pid2
857.0	5335.0	2	dip,pid2
1398.0	9564.0	2	dip,pid2
1398.0	867.0	2	dip,pid2
1398.0	1793.0	3	dip,pid2,wan
1398.0	5829.0	2	dip,pid2
1398.0	2889.0	2	dip,pid2
2889.0	5906.0	2	dip,pid2
25913.0	65057.0	2	dip,pid2
25913.0	7013.0	2	dip,pid2
25913.0	54386.0	2	dip,pid2
25913.0	7014.0	2	dip,pid2
25913.0	26277.0	2	dip,pid2
65057.0	7013.0	2	dip,pid2
65057.0	54386.0	2	dip,pid2
65057.0	7014.0	2	dip,pid2
65057.0	7015.0	2	dip,pid2
65057.0	26277.0	2	dip,pid2
7013.0	54386.0	2	dip,pid2
7013.0	7014.0	2	dip,pid2
7013.0	26277.0	2	dip,pid2
54386.0	4361.0	2	dip,pid2
54386.0	4683.0	2	dip,pid2
54386.0	10111.0	2	dip,pid2
54386.0	26277.0	2	dip,pid2
54386.0	7014.0	3	dip,pid2,wan
7014.0	64858.0	2	dip,pid2
7014.0	4361.0	2	dip,pid2
7014.0	4683.0	2	dip,pid2
7014.0	10111.0	2	dip,pid2
7014.0	26277.0	2	dip,pid2
7015.0	1499.0	2	dip,pid2
7015.0	1736.0	2	dip,pid2
7015.0	6597.0	2	dip,pid2
10921.0	22985.0	2	dip,wan
10921.0	5411.0	2	dip,wan
10921.0	10284.0	2	dip,wan
22985.0	10284.0	2	dip,wan
23410.0	84532.0	2	dip,pid2
58.0	2934.0	2	dip,pid2
2934.0	367.0	2	dip,pid2
2934.0	8976.0	2	dip,pid2
10096.0	10097.0	3	dip,pid2,wan
10096.0	10552.0	2	dip,wan
10096.0	10095.0	3	dip,pid2,wan
10096.0	10109.0	3	dip,pid2,wan
10096.0	10094.0	3	dip,pid2,wan
10096.0	10093.0	3	dip,pid2,wan
10096.0	81873.0	2	dip,wan
10096.0	10092.0	3	dip,pid2,wan
10096.0	8976.0	2	dip,pid2
10097.0	10552.0	2	dip,wan
10097.0	10095.0	3	dip,pid2,wan
10097.0	10109.0	3	dip,pid2,wan
10097.0	10094.0	3	dip,pid2,wan
10097.0	10093.0	3	dip,pid2,wan
10097.0	81873.0	2	dip,wan
10097.0	10092.0	3	dip,pid2,wan
10552.0	10109.0	2	dip,wan
10552.0	10094.0	2	dip,wan
10552.0	10093.0	2	dip,wan
10552.0	81873.0	2	dip,wan
10552.0	10092.0	2	dip,wan
10095.0	10109.0	3	dip,pid2,wan
10095.0	10094.0	3	dip,pid2,wan
10095.0	10093.0	3	dip,pid2,wan
10095.0	81873.0	2	dip,wan
10095.0	10092.0	3	dip,pid2,wan
10109.0	10094.0	3	dip,pid2,wan
10109.0	10093.0	3	dip,pid2,wan
10109.0	81873.0	2	dip,wan
10109.0	10092.0	3	dip,pid2,wan
10094.0	10093.0	3	dip,pid2,wan
10094.0	81873.0	2	dip,wan
10094.0	10092.0	3	dip,pid2,wan
10093.0	81873.0	2	dip,wan
10093.0	10092.0	3	dip,pid2,wan
8976.0	4690.0	2	dip,pid2
8976.0	10006.0	2	pid2,wan
54617.0	79913.0	2	dip,wan
90.0	92.0	2	dip,pid2
92.0	94.0	2	dip,pid2
92.0	3624.0	2	dip,pid2
94.0	2022.0	2	dip,pid2
94.0	7040.0	2	dip,pid2
94.0	7043.0	2	dip,pid2
94.0	7048.0	2	dip,pid2
2022.0	7046.0	2	dip,pid2
2022.0	7048.0	2	dip,pid2
7040.0	3685.0	2	dip,pid2
7040.0	7046.0	2	dip,pid2
7040.0	7048.0	2	dip,pid2
7040.0	7049.0	2	dip,pid2
7043.0	7046.0	2	dip,pid2
7043.0	7048.0	2	dip,pid2
7048.0	7046.0	2	dip,pid2
7048.0	7049.0	2	dip,pid2
11033.0	23303.0	2	dip,pid2
154.0	409.0	2	dip,pid2
409.0	207.0	2	dip,pid2
409.0	408.0	2	dip,pid2
409.0	4868.0	2	dip,pid2
409.0	6714.0	2	dip,pid2
2058.0	7965.0	2	dip,wan
2058.0	3735.0	2	dip,wan
7965.0	3735.0	2	dip,wan
5578.0	9495.0	2	dip,pid2
5578.0	5598.0	2	pid2,wan
207.0	890.0	2	dip,pid2
207.0	2308.0	2	dip,pid2
207.0	2932.0	2	dip,pid2
207.0	3320.0	2	dip,pid2
207.0	79109.0	2	dip,pid2
207.0	4137.0	2	dip,pid2
207.0	4193.0	2	dip,pid2
207.0	2475.0	2	dip,pid2
207.0	4084.0	2	dip,pid2
207.0	5170.0	2	dip,pid2
207.0	5515.0	2	dip,pid2
207.0	5291.0	2	pid2,wan
207.0	1445.0	2	pid2,wan
890.0	983.0	2	dip,pid2
890.0	1017.0	2	dip,pid2
