EntrezA	EntrezB	num_dbs	dbs
2.0	351.0	1	dip
2.0	3569.0	1	pid2
2.0	139716.0	1	pid2
2.0	6774.0	1	pid2
2.0	2885.0	1	pid2
2.0	2308.0	1	pid2
2.0	5781.0	1	pid2
2.0	6654.0	1	pid2
2.0	1401.0	1	pid2
351.0	43.0	1	dip
351.0	333.0	1	dip
351.0	334.0	1	dip
351.0	348.0	1	dip
351.0	54103.0	1	dip
351.0	4804.0	2	dip,pid2
351.0	5663.0	2	dip,pid2
351.0	27242.0	1	dip
351.0	7276.0	1	dip
351.0	5621.0	1	pid2
351.0	7124.0	1	pid2
351.0	836.0	1	pid2
351.0	4914.0	1	pid2
351.0	627.0	1	pid2
351.0	4803.0	1	pid2
351.0	2534.0	1	pid2
351.0	7040.0	1	pid2
351.0	596.0	1	pid2
351.0	6272.0	1	pid2
351.0	7157.0	1	pid2
351.0	54205.0	1	pid2
351.0	23385.0	1	pid2
351.0	65078.0	1	pid2
351.0	64781.0	1	pid2
351.0	581.0	1	pid2
351.0	2934.0	1	pid2
351.0	387.0	1	pid2
351.0	6868.0	1	pid2
351.0	5879.0	1	pid2
351.0	5602.0	1	pid2
351.0	6610.0	1	pid2
351.0	142.0	1	pid2
351.0	6997.0	1	pid2
351.0	6720.0	1	pid2
351.0	6714.0	1	pid2
351.0	6464.0	1	pid2
351.0	835.0	1	pid2
351.0	839.0	1	pid2
351.0	842.0	1	pid2
351.0	7132.0	1	pid2
351.0	207.0	1	pid2
351.0	2247.0	1	pid2
351.0	5599.0	1	pid2
351.0	2817.0	1	pid2
351.0	9353.0	1	pid2
351.0	10018.0	1	pid2
351.0	84894.0	1	pid2
351.0	841.0	1	pid2
351.0	355.0	1	pid2
351.0	4314.0	1	pid2
351.0	8878.0	1	pid2
351.0	55851.0	1	pid2
351.0	7431.0	1	pid2
351.0	5045.0	1	pid2
351.0	5601.0	1	pid2
351.0	5340.0	1	pid2
351.0	4615.0	1	pid2
351.0	11319.0	1	pid2
351.0	3084.0	1	pid2
351.0	51107.0	1	pid2
351.0	8797.0	1	pid2
351.0	3984.0	1	pid2
351.0	3551.0	1	pid2
351.0	56616.0	1	pid2
351.0	7048.0	1	pid2
351.0	356.0	1	pid2
351.0	4067.0	1	pid2
351.0	4908.0	1	pid2
351.0	840.0	1	pid2
351.0	79158.0	1	pid2
351.0	92170.0	1	pid2
351.0	8743.0	1	pid2
351.0	7020.0	1	pid2
351.0	7189.0	1	pid2
351.0	83464.0	1	pid2
351.0	598.0	1	pid2
351.0	284217.0	1	pid2
351.0	5584.0	1	pid2
351.0	2620.0	1	pid2
351.0	397.0	1	pid2
351.0	28986.0	1	pid2
351.0	7150.0	1	pid2
351.0	1677.0	1	pid2
351.0	8738.0	1	pid2
351.0	3055.0	1	pid2
19.0	821.0	1	dip
19.0	1756.0	1	dip
19.0	2316.0	1	dip
19.0	3832.0	1	dip
19.0	10558.0	1	dip
19.0	7402.0	1	dip
19.0	5468.0	1	pid2
19.0	7124.0	1	pid2
19.0	10062.0	1	pid2
19.0	5465.0	1	pid2
19.0	7376.0	1	pid2
19.0	5467.0	1	pid2
19.0	29982.0	1	pid2
19.0	7040.0	1	pid2
19.0	6256.0	1	pid2
19.0	9971.0	1	pid2
19.0	6720.0	1	pid2
19.0	6257.0	1	pid2
19.0	6258.0	1	pid2
821.0	1756.0	1	dip
821.0	2316.0	1	dip
821.0	3832.0	1	dip
821.0	6513.0	1	dip
821.0	10558.0	1	dip
821.0	7402.0	1	dip
821.0	7385.0	1	wan
821.0	8714.0	1	wan
821.0	4363.0	1	wan
821.0	6185.0	1	wan
821.0	7184.0	1	wan
821.0	3419.0	1	wan
821.0	5250.0	1	wan
821.0	6184.0	1	wan
821.0	10130.0	1	wan
821.0	2058.0	1	wan
821.0	7415.0	1	wan
821.0	9524.0	1	wan
821.0	5518.0	1	wan
821.0	34.0	1	wan
821.0	5861.0	1	wan
821.0	10575.0	1	wan
821.0	7203.0	1	wan
821.0	3838.0	1	wan
821.0	1213.0	1	wan
821.0	908.0	1	wan
821.0	5862.0	1	wan
821.0	4513.0	1	wan
821.0	81876.0	1	wan
821.0	493.0	1	wan
821.0	3840.0	1	wan
821.0	1537.0	1	wan
821.0	2531.0	1	wan
821.0	3301.0	1	wan
821.0	3839.0	1	wan
821.0	7841.0	1	wan
821.0	57136.0	1	wan
821.0	490.0	1	wan
821.0	1615.0	1	wan
821.0	5091.0	1	wan
821.0	3998.0	1	wan
821.0	492.0	1	wan
821.0	2108.0	1	wan
821.0	7284.0	1	wan
821.0	5954.0	1	wan
821.0	5725.0	1	wan
821.0	1315.0	1	wan
821.0	3320.0	1	wan
821.0	6193.0	1	wan
821.0	481.0	1	wan
821.0	1650.0	1	wan
821.0	10952.0	1	wan
821.0	57130.0	1	wan
821.0	5701.0	1	wan
821.0	25923.0	1	wan
821.0	56926.0	1	wan
821.0	55705.0	1	wan
821.0	6709.0	1	wan
1756.0	2316.0	1	dip
1756.0	3832.0	1	dip
1756.0	10558.0	1	dip
1756.0	7402.0	1	dip
1756.0	1495.0	1	wan
2316.0	367.0	2	dip,pid2
2316.0	83478.0	1	dip
2316.0	846.0	1	dip
2316.0	1058.0	1	dip
2316.0	10521.0	1	dip
2316.0	1654.0	1	dip
2316.0	1655.0	1	dip
2316.0	1813.0	1	dip
2316.0	1814.0	1	dip
2316.0	1832.0	1	dip
2316.0	1973.0	1	dip
2316.0	55355.0	1	dip
2316.0	3192.0	1	dip
2316.0	3674.0	1	dip
2316.0	3690.0	1	dip
2316.0	3695.0	1	dip
2316.0	3832.0	1	dip
2316.0	4008.0	1	dip
2316.0	4869.0	1	dip
2316.0	5058.0	1	dip
2316.0	9533.0	1	dip
2316.0	5591.0	1	dip
