,shuffNet1,shuffNet2,shuffNet3,shuffNet4,shuffNet5,shuffNet6,shuffNet7,shuffNet8,shuffNet9,shuffNet10,shuffNet11,shuffNet12,shuffNet13,shuffNet14,shuffNet15,shuffNet16,shuffNet17,shuffNet18,shuffNet19,shuffNet20,shuffNet21,shuffNet22,shuffNet23,shuffNet24,shuffNet25,shuffNet26,shuffNet27,shuffNet28,shuffNet29,shuffNet30,shuffNet31,shuffNet32,shuffNet33,shuffNet34,shuffNet35,shuffNet36,shuffNet37,shuffNet38,shuffNet39,shuffNet40,shuffNet41,shuffNet42,shuffNet43,shuffNet44,shuffNet45,shuffNet46,shuffNet47,shuffNet48,shuffNet49,shuffNet50
Laryngeal Squamous Cell Carcinoma,0.060334020782588545,0.06323255805244661,0.06120137250000347,0.06227582759521688,0.0617938200222883,0.0596414464446947,0.062353402492453004,0.063175167076644,0.06248694463398555,0.059724731608575284,0.06198077212344187,0.05914126021600431,0.05939183328321798,0.06248796030923004,0.059985598463396156,0.06224507305474398,0.06229406199441216,0.0630538941347471,0.06293321761283964,0.06025660279917107,0.06281097429656032,0.05972335125856709,0.06241101578192937,0.06342979077251182,0.06075697507403514,0.06063226627151794,0.06109534288190423,0.06174633731513085,0.05992909038050466,0.059236878429317075,0.062259645904877106,0.06191090915277457,0.06009505902402303,0.058371598458388296,0.06197527922337949,0.06394642190890738,0.060180751210215995,0.06095929569072621,0.0631638301273581,0.0616492695920767,0.061634275982317896,0.06112726207911119,0.05953467676303384,0.059830180904663806,0.06101020412386915,0.060027084348033756,0.06245002602570121,0.06344796835917223,0.06280213769172219,0.061569716736024356
Gallbladder Carcinoma,0.056000488261079485,0.05639227447157781,0.05947321879933437,0.05898078937218466,0.059009751919947305,0.05734158602327929,0.06004506130944153,0.05664632430123682,0.05868451051715517,0.05807618898528058,0.05854049659731801,0.05936389515784348,0.05625511959653468,0.058562197587565465,0.05848474036541802,0.05527394108112335,0.05769348483797395,0.057491506554767,0.058657682603455774,0.06028228321692862,0.058828690644469994,0.05782529118633916,0.0574375259794244,0.05735310142886552,0.05905900253995735,0.05907534539329517,0.05811113283162324,0.057350453584502456,0.05791540455894992,0.05697702042489441,0.05988552937091149,0.05767963877852623,0.058916103786852345,0.060431621194481915,0.05794510326642015,0.0580351009691649,0.059817549218804486,0.05859833410418581,0.05813134691264979,0.058317018672830574,0.057980391207288866,0.056559563707689824,0.05711920471985568,0.056821157730091824,0.05955612411568105,0.05991391401812681,0.05829821087693679,0.05712069206151031,0.05911493973088786,0.057544601025623025
Adenocarcinoma of pancreas,0.06536084217687887,0.06540639262903289,0.06691150988400421,0.06565277371722647,0.0642561566090034,0.06499119807044483,0.06460982713218004,0.06304663183976777,0.06565216697790796,0.06364502283226178,0.06544235397042086,0.06762082707501638,0.06680064341505197,0.06673211641598872,0.06413870869552976,0.06555985245098798,0.06296999647552223,0.06725354637751224,0.0656628232077884,0.061644561886142715,0.06582299515599703,0.06376774000692347,0.06528995874556323,0.06834045316749099,0.06379077801421361,0.06477474556755998,0.06712984198464214,0.0666173684784339,0.0661707697055805,0.06771109850307554,0.06295373699909809,0.06734106233690365,0.06858914024225923,0.06350922760156802,0.06487289351825712,0.06116956140753705,0.06629096751245908,0.06464633489748638,0.06623106017427048,0.06502145022088655,0.06740226419639085,0.06365962560750517,0.0653455716145032,0.06322301559654638,0.06529346600577304,0.06616687504763957,0.06548835010024918,0.06556675770876795,0.0661496767689733,0.06349860234560434
Mental Retardation,0.032167988096794456,0.0339610284104986,0.03304042140016801,0.03271248228618818,0.0330348166157974,0.03276516842614262,0.03201594256480064,0.03241261038181286,0.032630537065075634,0.03317909549542847,0.034932172655389594,0.033071644442036904,0.0332535933202649,0.033091723415129774,0.03120820369386035,0.0321269119931382,0.03178428078023323,0.032795039131660736,0.03395043760459973,0.032667310152362426,0.03360650061071358,0.03248912550773241,0.033130264624659594,0.03304750005841563,0.032477253837153344,0.03256462698164909,0.03137399237998039,0.03403569800091115,0.032057738727675006,0.03216162188066887,0.034101695641721774,0.033803379974241425,0.032218532342199485,0.03281121049869834,0.03240866206642678,0.031050252751920478,0.03218476771465089,0.03357822129145232,0.032537986401485156,0.033403003861681685,0.03407326115672236,0.03190616669270192,0.032538730016416724,0.03311428294518826,0.03213188242429006,0.03349079715377201,0.03281239681359282,0.03388624661163747,0.03271712697096687,0.03237225091912548
Hyperinsulinism,0.059085282691104156,0.05920997334502389,0.062137166870296495,0.06262457087784225,0.061106321607677504,0.06377457222160682,0.06236023179498985,0.0589553207564928,0.061308008343024925,0.060522209644154605,0.062152626368021206,0.06253472063585216,0.060496502193884305,0.06502948419427276,0.060502581523329935,0.0612571302740261,0.05950935260392739,0.06082793806040881,0.060827266312599354,0.0643022691636035,0.06305839068517992,0.06247795445106,0.06109099073012191,0.06200583009007594,0.060997928588996275,0.0601308785131336,0.0599830338347633,0.06108455981630406,0.05939622671235281,0.06214309048286964,0.06276581871486989,0.05875975022661776,0.06095900556446443,0.06250700738693814,0.061035568244106095,0.06030348369652975,0.0605795031474031,0.061888056562044956,0.06038183061890161,0.05923528965631509,0.06023036116763426,0.061062415815429524,0.06051146460510097,0.060639912889548786,0.0616950023875555,0.06193983343562879,0.062098304758702094,0.06078776264589906,0.06059905711932498,0.06394919840270724
Dermatitis,0.0637168483417301,0.0661520269116681,0.06433416491274385,0.0633695944978635,0.0639169677265412,0.06423448644484794,0.06519577701932987,0.06494521967530209,0.06324436443908373,0.06406489675485509,0.06311925961482209,0.06457136314568156,0.0643979125158103,0.06520389629720477,0.0658754641928507,0.06364544377871831,0.06216532867018177,0.06310762274313081,0.06145754409785674,0.06668199390121249,0.06351657340365356,0.0659026979038524,0.06355778267504772,0.0653089786589697,0.062481107553998425,0.06472151962234104,0.06425580358713819,0.06318267661078097,0.06280918248838173,0.06550634087929039,0.06422971475529432,0.06461333439686281,0.06275102788341899,0.06423766639203256,0.06552450211652912,0.06538424887505707,0.06301538791822034,0.06447435943689302,0.06571371025745991,0.06477999672856413,0.06368391672327432,0.0682688007766253,0.06353769797063089,0.06279284601127713,0.06478038019110627,0.0673573548508572,0.06496773776120245,0.06546713117112127,0.0641070355273462,0.06465598334654461
Lupus Nephritis,0.055895366340181836,0.06039719850016871,0.05841191776728953,0.055990371615185074,0.05818865709228855,0.05761891436243547,0.05780951440160541,0.05686880062345075,0.05652328697400995,0.05981042825669099,0.05677453877011758,0.05629475182227701,0.0566393074706564,0.05869329845486775,0.05697175824881651,0.0571726060863166,0.057587054421637515,0.05784291995257534,0.05644892513472961,0.05624911749135049,0.059259119779786165,0.059051076349165524,0.057996791702358726,0.05747761369431556,0.05784969449282896,0.05788766263707897,0.055786923929041526,0.05795931982741765,0.056936523476792636,0.058593836965841604,0.05724643520694648,0.05650946929024845,0.058097974100668234,0.05780713144410772,0.05936310474884577,0.056968388389421296,0.05581444931492086,0.05755495249723959,0.05622840189812156,0.05578934404858445,0.0571647138356653,0.05737725535424473,0.0563045894020059,0.058980053172540424,0.05895967337171257,0.05708978295178202,0.05569283496810835,0.0584362614512405,0.05615302207671828,0.05565720057138528
Behcet Syndrome,0.05250918015024106,0.051647321655185506,0.050768183069587254,0.05206166543138305,0.05373402720657709,0.053196504329653574,0.052036929014542016,0.052411252152641696,0.05203433273278545,0.05297335491500238,0.04997476586414602,0.04962134046509452,0.05230035252455855,0.05157024506414236,0.05031860035784828,0.05131255918347925,0.05246897423285511,0.052845349949947856,0.05098208585983346,0.05284782440695488,0.05263368546343819,0.052155214528742375,0.05241142642898585,0.052139573433108606,0.051516780376195864,0.05208788948513752,0.05307746831432429,0.052390697213519265,0.05054053851958159,0.05358622713544144,0.05491726964128436,0.051487519324484275,0.05132514184051146,0.05297927812184782,0.05204922840887912,0.05345321151591782,0.05154868835619274,0.053167773959815604,0.051321495307299486,0.0546186040136974,0.05375994773608779,0.052229634897417866,0.051929026814676794,0.05189257263739545,0.054484485725194036,0.054096033140037456,0.053874052400645,0.05117602422809706,0.04916667193018099,0.0548141047284564
Kaposi Sarcoma,0.08099786094381685,0.08328953373862412,0.0811305072267237,0.08226022028098769,0.08170700145763538,0.0831781322111058,0.08054395077371769,0.08320615598172074,0.08101908079160278,0.08297815695889244,0.08104948605520093,0.08111884302505168,0.08522622533124613,0.08179025456710981,0.08253275598828917,0.08131745180489715,0.08200283891513634,0.08391908208483002,0.08182989582554125,0.08145478307040943,0.08303141856117337,0.08120684253980606,0.08122489584053717,0.08287512413276892,0.08077439442878408,0.08581237548990808,0.08029840465649687,0.08315342424092034,0.08161261317938603,0.08219901230458286,0.08277671746755859,0.08441695359328753,0.08388641080277198,0.07922358507316801,0.0814616280118559,0.08236230208772202,0.08229589733641558,0.0855447262790975,0.08258804287012905,0.08364528996858374,0.08346064301410201,0.08183965195739247,0.08262950971662365,0.08157649244551474,0.08121123202927505,0.08049948947571625,0.07960765398447603,0.0804057707040875,0.07840518313598781,0.08232214653711828
Childhood Burkitt Lymphoma,0.08130995180189465,0.08074127275740953,0.08457716384396619,0.08091893136263628,0.08666003917980658,0.08123216107388419,0.08431516415148019,0.08140120841113088,0.08016826995264809,0.083390054694881,0.08245931561666511,0.08377585056938607,0.08535467757430268,0.08174163284555408,0.08118230488537498,0.08399173581616066,0.08023285504322202,0.08466063458425536,0.08244168122846542,0.08202687862619454,0.08133589704994681,0.08307280482907599,0.08136679933243986,0.07929136047196483,0.08037361469533633,0.08195785926827216,0.08583092135686345,0.08259068166650829,0.07936572411020631,0.08577119602777829,0.08055130662668727,0.07971470585865922,0.07959641362756727,0.08186879884422629,0.08019267781915577,0.08168231718899378,0.08389090030574778,0.08123727246655207,0.08437968191556132,0.08273774418100296,0.08167272485227511,0.08235607226056194,0.07862404724285832,0.0818082801716382,0.08055895825317029,0.08373000850127495,0.08077218361586504,0.08041269807711054,0.0823171998410378,0.08118443103107482
