,shuffNet1,shuffNet2,shuffNet3,shuffNet4,shuffNet5,shuffNet6,shuffNet7,shuffNet8,shuffNet9,shuffNet10,shuffNet11,shuffNet12,shuffNet13,shuffNet14,shuffNet15,shuffNet16,shuffNet17,shuffNet18,shuffNet19,shuffNet20,shuffNet21,shuffNet22,shuffNet23,shuffNet24,shuffNet25,shuffNet26,shuffNet27,shuffNet28,shuffNet29,shuffNet30,shuffNet31,shuffNet32,shuffNet33,shuffNet34,shuffNet35,shuffNet36,shuffNet37,shuffNet38,shuffNet39,shuffNet40,shuffNet41,shuffNet42,shuffNet43,shuffNet44,shuffNet45,shuffNet46,shuffNet47,shuffNet48,shuffNet49,shuffNet50
EFO_0008354,0.014605332002996789,0.014772633772505976,0.014718700912755161,0.015522974677845922,0.01455499391915301,0.014965888951734237,0.01460153046879979,0.01429938265584606,0.014589553729297641,0.015397202739267162,0.01416691465592217,0.014690610475582604,0.014163603819086506,0.014721250768054164,0.014728533455796184,0.014739284159222552,0.014840116949105064,0.014902389898051104,0.014441175663807284,0.015073421940750833,0.015002910986278895,0.014931556926941822,0.014959573971040576,0.014789587822041315,0.014256746223529298,0.01475052976977971,0.015021168077732376,0.014888599000976784,0.014617743493573185,0.014802804615573418,0.014399664667889382,0.01450196135297768,0.014338970560070724,0.015423506212966787,0.014310625147299876,0.014916080806186982,0.014663821565229013,0.013973726097331239,0.014295970611098642,0.015275960177310614,0.014317834686408945,0.015107046785549609,0.01571946218135794,0.014770167480474326,0.014707405040315528,0.014871930538912918,0.0150577334188704,0.015075922152838268,0.014524094456056623,0.014900891419708613
EFO_0004535,0.01926656093708899,0.0193183618013968,0.018796939885027404,0.01835548755938482,0.017386769638931505,0.019423562479445926,0.017199425967901725,0.01834844120759041,0.018473949117645827,0.01768494532948823,0.018655339004045347,0.018203223205884408,0.01838311382481887,0.017904721690546042,0.017899907726205273,0.01872937414288447,0.01869022392819242,0.018159569591834207,0.017354211720003575,0.01711995277065518,0.017690740885394032,0.017390551081133184,0.018635191185574572,0.01742863231459739,0.018733112306482128,0.01764188849835844,0.018022699216063438,0.017568066566013275,0.0182829315059507,0.0184100256406763,0.018219039717641838,0.01803558399967834,0.018746212597376927,0.019447460941078826,0.018342273882875383,0.019127400373986213,0.019069236835868635,0.01821674429854222,0.0180437434919553,0.01790534762701299,0.01790950044011601,0.018983859649949798,0.018256575574916584,0.01821729721382101,0.01771435386447222,0.01879816619931183,0.0183421625432121,0.018229866166700102,0.01790583963460173,0.0183584034935371
EFO_0010351,0.01562619236679424,0.015633566965262594,0.015718278038922166,0.016625497443870648,0.015961745598524396,0.016205043254127298,0.015952588636964398,0.015939122618066123,0.01629294167148996,0.016205720614888557,0.015801884454093383,0.0155231073654157,0.01600865981416345,0.016443239089736387,0.016176604969925693,0.01675540515318164,0.01575243626275143,0.01571779884544622,0.016061860994440767,0.016017582819862583,0.01561786512317439,0.015716517041967054,0.015908883942105868,0.015659441748033614,0.01590127055039453,0.01660870562538187,0.015416579198947088,0.015725939509690333,0.01702019460457812,0.01610164432792812,0.015808319100629988,0.016072980690051534,0.015523341215221385,0.01748349562894715,0.015584863448573951,0.016953952651731732,0.01630515042190721,0.015976643775558665,0.015854876718672535,0.015835909336341585,0.0168849382450266,0.016017613582918262,0.016622706215365886,0.015710197030007568,0.015333990381726543,0.015390116841316472,0.017097972078536815,0.015349721455947724,0.0157985139007074,0.01632248444125789
EFO_0004338,0.018609714984168014,0.01882785688697257,0.017819303750248795,0.018396173118127298,0.017794233534190195,0.01855388147838023,0.01805761372596226,0.01894189570400506,0.018369382409414423,0.01827085563394968,0.01828844737737753,0.018918274146040834,0.018163297764617992,0.018654045532094776,0.017974172432373144,0.018559556451992455,0.018567525734839708,0.01835757587786827,0.018818997367045443,0.018581197893471117,0.01918207450031319,0.018563720433863208,0.019351641086108994,0.019315450308518098,0.01817160323366697,0.01829775876135795,0.019201812871281844,0.01814580755319753,0.01879857145615645,0.018430389884457464,0.018713361927518032,0.018604102204330307,0.019180994414101572,0.01844292440024676,0.018810553317744352,0.018585141229950627,0.018029094648619674,0.018222256220967376,0.01822963552576082,0.01857895045533937,0.018829445028382172,0.01895452036806651,0.018190935302712926,0.01871606906769687,0.018851212255251503,0.019080818919258603,0.018380671917128524,0.018461328758819947,0.01897804905240851,0.018478513080677834
EFO_0005090,0.015440947535672416,0.01487147431864041,0.014926391431472117,0.015041214899467812,0.014588709582479258,0.015982269464607162,0.014552804953529811,0.014588692264274672,0.014634130971509427,0.01465206045086292,0.014841483274458339,0.014550206760768809,0.014310226094734478,0.014217538518263538,0.014272984670982859,0.015589834419074158,0.015368486941370203,0.014950857733249674,0.015563663432959033,0.014667685844182054,0.014723369920421286,0.015020321009790116,0.014459197788588283,0.014179412877331678,0.014908790108254006,0.014671258694240383,0.014483588239078587,0.015001419641800923,0.014415753931639949,0.014973584875154924,0.014362020999041493,0.014883969635549985,0.016263556390295798,0.014996924397682423,0.015532920043544866,0.014439858008387268,0.014360732602629933,0.014706017341279218,0.014402711835628199,0.014944906095171788,0.015535033592096587,0.015107773936518491,0.014702671347353542,0.015027313294743896,0.015019724551995432,0.015018811428623784,0.015123755240242988,0.015291045801065545,0.014609911493783627,0.014795171299922156
EFO_0007874,0.012428634377713297,0.012518377580966243,0.012662024609680949,0.012249820300650631,0.012380405044856744,0.012273338968216361,0.01272385993167363,0.012400075445218761,0.01262473804159394,0.01217827936046693,0.012419388801434186,0.012649968482443824,0.012642135541720232,0.012131478743842438,0.012379598577431077,0.012635033886902727,0.012249689467552671,0.012114114456153614,0.01253660217892956,0.012430617379295643,0.012334009043557867,0.012394343352401778,0.012861711324365728,0.01239808804690728,0.012281381225034764,0.012419465294374417,0.012370206849256504,0.012422981270106858,0.012513440474881558,0.01266262390676046,0.012646626046610371,0.012660193732294024,0.01300768174122382,0.012818920394128757,0.012351273924868034,0.012323583484804721,0.012289328847942182,0.012082277121905271,0.012610811748933567,0.01234644108270015,0.012477633053582434,0.012457218344728965,0.012318421032525983,0.012665950562489488,0.012376537490223917,0.012733737993367694,0.012520112504698084,0.012579559428580822,0.012109357560211085,0.012487103563817247
EFO_0010701,0.02380377562458277,0.022760360236354527,0.02437371461954985,0.023690641273124927,0.02297818025038342,0.022930870556189906,0.023566546448591134,0.022349722194677932,0.022633189587172368,0.02273772536682215,0.023017465328555378,0.021962508619858177,0.023912862544282442,0.022103116036117233,0.02292103150229581,0.02352758109954549,0.023131804486301036,0.022897254907914368,0.02234038103490277,0.022558476548692533,0.02318086638628539,0.023220307069328327,0.023268092032888085,0.024243709731264388,0.023791454779206207,0.023033505661354467,0.022000398956012187,0.022737071149861687,0.022439477660358996,0.02216443692159844,0.021935140364155333,0.022015189385195994,0.02250579737851699,0.02291831885566862,0.022904868613883113,0.022920103283290357,0.022992707863555055,0.022818011494285875,0.02430836688334118,0.02177441684753026,0.022297234001590293,0.0244101630081803,0.02363139891108195,0.02359938867296014,0.022877675135600132,0.023630249726513685,0.02382077056269445,0.022742280150930987,0.022241198453050788,0.022544258360489837
EFO_0004468,0.01286542015093405,0.014439641400296016,0.013242922911825182,0.01435765318529302,0.01309728652992087,0.014597784948896672,0.013385177559676099,0.01282987466871922,0.013217940429032429,0.013162781814229646,0.013049463791871559,0.014101503324315234,0.012961782608688662,0.01411396138395877,0.013223071032483538,0.013257200391149198,0.013353707770196446,0.013735413219355352,0.013513703325560997,0.013295135742735175,0.012755365943284974,0.013796862381291805,0.012920289882340516,0.013549311114280886,0.01318128842804673,0.013011343093898262,0.013024174978857606,0.013774461408782246,0.01330952834887491,0.01316748635776307,0.013273162447317846,0.013503640972910036,0.013236331993981672,0.013523084411067953,0.013957054246956495,0.013439456810958785,0.013380201560963256,0.01316553481285553,0.013144909977889765,0.01308405473217714,0.014015385134636252,0.013193978275382654,0.013267502682605865,0.013499524541778664,0.013314080608779623,0.014244709557490753,0.013569332407676691,0.01304051712875057,0.012903071258300819,0.013227968937789897
EFO_0007989,0.01964789761229329,0.020871372950728252,0.02121901958309095,0.02051513298265963,0.020253929925644412,0.019997553061068537,0.020067897418417368,0.019465213273717575,0.019727033082501913,0.019315422233898302,0.019987142774855825,0.019454532896143517,0.020384840325020585,0.020605811610707386,0.020609897376012362,0.020494993040524028,0.01929887125584361,0.021664416836128745,0.020332656229360715,0.020119044821972385,0.019896626459401927,0.02038369832077267,0.02041975085167012,0.019794148907021327,0.02039527615502645,0.02042579792926151,0.01967643854876387,0.01997358000026112,0.019431400526128562,0.02099671346070182,0.02081834730936476,0.019971795088579148,0.020886794725507737,0.021734869965413465,0.02024025212899887,0.02038338768729754,0.01927673613473454,0.0201610022942306,0.0204453010701469,0.01992501425131563,0.020006836457170083,0.01998269739203395,0.01981817291763079,0.019756334999921008,0.020117578024873465,0.02070554769103818,0.020792714359555396,0.020858541015392144,0.019719600504922063,0.020189742352115167
EFO_0007991,0.025778504290708076,0.02456234651124872,0.02429837044288008,0.024134665431064035,0.026941495202785052,0.024785113646672192,0.025685477892587016,0.025667944347187225,0.023681193203567777,0.0239549952957715,0.02466252344407975,0.025446202158167355,0.02453006349008281,0.02552214436794017,0.025705932816272523,0.027009918013509052,0.0248139285840373,0.024602357129734607,0.024708247789946344,0.024660183548413407,0.025090104096487917,0.026812324159200908,0.02520295188986089,0.024984757037826714,0.025627716993144346,0.025021791070196527,0.025465108479114002,0.024435896518494746,0.025504881806177333,0.025030836675370812,0.02403851901922056,0.024455183603622723,0.024212940974976033,0.025141451513431647,0.02398013171903237,0.02660397664376675,0.02639077045674482,0.02441054908817037,0.025733160388307447,0.02481140611471014,0.024630514752646028,0.025177763694309713,0.024182885658246476,0.02551744343303427,0.026632240043083545,0.026477814572349927,0.024149177391918887,0.024773916111466388,0.02697605343462449,0.02385622293679634
