,shuffNet1,shuffNet2,shuffNet3,shuffNet4,shuffNet5,shuffNet6,shuffNet7,shuffNet8,shuffNet9,shuffNet10,shuffNet11,shuffNet12,shuffNet13,shuffNet14,shuffNet15,shuffNet16,shuffNet17,shuffNet18,shuffNet19,shuffNet20,shuffNet21,shuffNet22,shuffNet23,shuffNet24,shuffNet25,shuffNet26,shuffNet27,shuffNet28,shuffNet29,shuffNet30,shuffNet31,shuffNet32,shuffNet33,shuffNet34,shuffNet35,shuffNet36,shuffNet37,shuffNet38,shuffNet39,shuffNet40,shuffNet41,shuffNet42,shuffNet43,shuffNet44,shuffNet45,shuffNet46,shuffNet47,shuffNet48,shuffNet49,shuffNet50
EFO_00043402023-07-27,0.057671676703548995,0.059732337465703236,0.05847527775334336,0.058905106215163476,0.0577918388783339,0.05809464728346068,0.05954294942989398,0.057530568315403485,0.058610443219708416,0.058270790972220966,0.058637166289887716,0.05763493112343836,0.05917280633219349,0.05861944476593546,0.05839702540991412,0.05792458500390732,0.059424229033589286,0.0582451927975053,0.058131866916108235,0.05817350397414449,0.05853422780150216,0.05921426870379548,0.05881295607732374,0.05840871492212641,0.058982316161369945,0.05902888676656372,0.05931725334208651,0.057301071321496276,0.058694000974186054,0.05827511815458623,0.05716225546673753,0.058146075208877324,0.057694025688497075,0.05894180082585704,0.058782796771519916,0.05846478969667898,0.05828221591092845,0.058487429709510395,0.059163419771912355,0.05793257817989755,0.05870880457913742,0.060064102903998516,0.05819297482101708,0.05832284272771113,0.05768009006815149,0.057873512784674244,0.05829704778615237,0.057989571334460505,0.05837103431221874,0.05828498405883693
EFO_00046122023-07-27,0.038578704895928004,0.03858906174422363,0.03837364859976774,0.03745148978333892,0.03811768162098204,0.03767586800601786,0.037888389231945575,0.037151113063036895,0.037301501045248674,0.038009530841851755,0.03863430319386649,0.037939017446143856,0.03818473047668957,0.038769127906480946,0.03783790490936983,0.03787692065915356,0.0373014205560204,0.03816811338346871,0.03774280500817315,0.036458530388337386,0.03736166232352956,0.038027744556208776,0.03788266272828764,0.037581113809433755,0.038133739953819835,0.038034108808470635,0.036345638732186165,0.038469078138780824,0.038164232598756016,0.0373424363644196,0.03778388963645014,0.03779248437188907,0.03859146391601857,0.03724105189324523,0.0375971092351072,0.03741619994184499,0.037081151552331736,0.037643485051206294,0.03816776617818697,0.037460175035217896,0.03885597889055623,0.037505382193315846,0.03750778666108638,0.038042209292375645,0.03775105437535522,0.037757334344211614,0.03809316399103096,0.03895352313539123,0.037767396260789746,0.03808752346606268
EFO_00045302023-07-27,0.030019128332970206,0.029737014567557177,0.030196456546603797,0.031072127905075218,0.030137127205716534,0.02988106745158332,0.029990111531188166,0.029785143120783012,0.029945140866214116,0.03023460453070565,0.029930580005100346,0.030928145091466967,0.029805639815717676,0.031357665053510286,0.03070016537445114,0.029544809852190202,0.03042165365898055,0.030444339012355104,0.029334357438413713,0.030264608938228257,0.03030963263635436,0.03033965277098785,0.029941942788871082,0.030549416513122738,0.029913838244676368,0.030380088952971156,0.029355138817248064,0.030341451937957575,0.030115215063099905,0.03038187642880216,0.029122386575424954,0.030254914142311656,0.030969326450243244,0.03120534126577383,0.030557633384924933,0.030228022941501825,0.030211523397360107,0.02983062949105143,0.031117398505172096,0.02993147903487944,0.02968461660529194,0.030180596945001678,0.03098534251258867,0.02961866254294426,0.029892118972078392,0.030297669484070044,0.02922731640795567,0.029065446224886715,0.02932974150267314,0.030296665775086152
EFO_00046112023-07-27,0.03307347252384597,0.03299092439844755,0.031681320132527,0.03312304812079537,0.03204346157428458,0.03235618780897673,0.03235176508811574,0.032914108463013445,0.03222203620077862,0.031509504146747615,0.033103147536224516,0.032926822760637256,0.031737204472919125,0.03283648561590284,0.03204695511960601,0.031906061952983816,0.03241433027583403,0.031952373563865995,0.03253488831267319,0.03201363433055919,0.03253435637857635,0.0328488987033049,0.03303622136728158,0.03245496423647896,0.0324110827982425,0.03304252670646859,0.031981020018189935,0.03204683634183015,0.033108725375323445,0.032277960397986735,0.032605156241177755,0.032370684887360696,0.03266712075197635,0.032528567567203924,0.03258720812885394,0.032767793313914245,0.03210823299994853,0.03224532727260206,0.03309903942750582,0.032793870564239824,0.032290632276216404,0.032562331838377714,0.03195707050229098,0.031846663403641035,0.032754130089830594,0.03314179387098345,0.03170137657333083,0.03222369166426982,0.032994652035711745,0.03177301372816063
EFO_00045742023-07-27,0.026953786830329226,0.026758025550168086,0.02703415169648895,0.02859471285770725,0.027447920386031596,0.027542297658607367,0.027830324739848845,0.027383138929440082,0.027225920905115254,0.02678575573731843,0.02696615708246519,0.027837811417979842,0.026440564709796985,0.027661245592409865,0.02740309645836527,0.02768988474713134,0.027656896687570046,0.026993659581010406,0.026852902218494335,0.02730094221426761,0.027132474857703853,0.027494916530859368,0.02745257591363637,0.026938794941040522,0.02761225125290836,0.026939422888087244,0.02677611726590772,0.02710266384355974,0.027059158991285682,0.02750047013448802,0.027041276753679754,0.02717173385626773,0.026506180695036477,0.02721848117856023,0.027666035722808614,0.027270856036303814,0.027606315895226916,0.026855236746367063,0.027077760875806777,0.02696985658122094,0.02717694598396803,0.027466967187572973,0.02776081191366521,0.027340019655049605,0.02698321065090704,0.027531844222338307,0.026970136218368423,0.0266617488664443,0.02704582775859077,0.026752903480289723
EFO_00043092023-07-27,0.03360273807525704,0.033529506593460906,0.03334490641033162,0.03349831976577004,0.03345127024762336,0.033667281081223806,0.03369054126710481,0.03400445323466786,0.03341304265374035,0.03453685836386508,0.03425937648709767,0.03465543639904496,0.03365425440779571,0.032668856071784526,0.03307693290316344,0.0329646286623291,0.03308498847916617,0.03411906447170262,0.03416825570344107,0.03311009958160451,0.03389967479355115,0.03379841741414433,0.03422528636794777,0.03396410791145301,0.0331274142952003,0.03310356098468135,0.03427637394910855,0.03386511052619774,0.03353597401068499,0.034408360517327465,0.032462594063560155,0.03389045357950575,0.0333457337695458,0.03340871493408026,0.03331437142597745,0.03376517671763109,0.033736511323346235,0.03384097530313336,0.03354621026194131,0.03349622185979522,0.03336930775834435,0.03325941095202122,0.03340852756032162,0.03331400356703607,0.03331474747059987,0.03435227751823864,0.03367983639275145,0.03373695652599914,0.03321320676649346,0.0328991184780664
EFO_00063352023-07-27,0.03349608718681571,0.03346844855716281,0.032385214822567406,0.033891514931861,0.03411447874404107,0.033494725800604176,0.034367887375582606,0.033520262390943384,0.03497162110065415,0.03315069054299482,0.03283732648596127,0.03395329997062455,0.03355153046242013,0.033255087903970505,0.03285223994851796,0.03380002079285334,0.033672709306454975,0.03306657071099005,0.033810390808592626,0.033085443930066634,0.03416849453457018,0.033551662261319275,0.03316037093287788,0.03430876625690362,0.033735617496429324,0.033537468359115453,0.033995557149275005,0.03389543787680775,0.03393616644675139,0.03364730884630852,0.03289738191259002,0.032589228506183406,0.03301825839001726,0.03470969313725194,0.033295278027906924,0.033513204731061556,0.033510218113467195,0.03404838240291656,0.03459935877659746,0.034200062014562965,0.034325048737487415,0.03430753774739915,0.03309446595801752,0.0337988057555657,0.03333960023712779,0.033564984030827597,0.03423472604330522,0.03373880086943097,0.033651454633079544,0.034055876764509295
EFO_00045092023-07-27,0.027032545478957493,0.026580361020196674,0.026824214826184398,0.02703349255764711,0.026864741075754574,0.02688507957099139,0.026814522466831452,0.02699037744107391,0.02622046132680346,0.026435921902260993,0.027071709738666253,0.026764294263303595,0.02799660670173926,0.027153264392626667,0.027303445544564858,0.02665447117877746,0.02658657392035856,0.02749589405001662,0.02790940499104401,0.026400123523020923,0.02741017807925763,0.026811040270396998,0.02739496590042699,0.027131352936148764,0.027318987951581927,0.02630678535875257,0.027188728693762935,0.026818903942512202,0.02762178251569488,0.026906320677552494,0.026411781990470513,0.02634733615754257,0.027488954055664393,0.026833531166844452,0.027239593465099875,0.027356469490619765,0.026633858690231414,0.027420282345028243,0.02734345328774341,0.027289329441406072,0.027480565923643605,0.02681010874111097,0.026582609562393323,0.027097676655520098,0.027093867836505248,0.02628791908037622,0.02723296401909341,0.026859083296567453,0.026561772374177495,0.026306283828065834
EFO_00045872023-07-27,0.03277875781397334,0.032491359332400147,0.0325164309877797,0.03244304402245441,0.03232991844247041,0.0321744187272052,0.03178606764215696,0.03409710381667187,0.03259477903122627,0.03146462581196207,0.032655622099466076,0.031961740840876954,0.03273114996687198,0.03207375621007869,0.03307839908888248,0.032825529520382826,0.03350654792432531,0.03151225693097247,0.031731337508409375,0.0327387578908728,0.03221864708950475,0.032498645260927425,0.03230251677984788,0.03270085914909963,0.03238135395397948,0.03264169609777559,0.032443548187971544,0.03373399171128692,0.03268441840100487,0.03224629451780855,0.03268461574782933,0.03360649155696625,0.03251768787156764,0.03273390473999334,0.03242196940564678,0.033183353312590785,0.03247944897805347,0.031810982406467306,0.03205610925637917,0.033294936128333,0.03437643446423916,0.03223690320906768,0.032865736469030245,0.031823226326102357,0.03209004241816418,0.03320096045941379,0.03214448284896599,0.031810826456088986,0.031672739366568246,0.03337463514093461
EFO_00043052023-07-27,0.03451278518866244,0.03384060242730931,0.03279565180631341,0.03247112788835097,0.03389719994347499,0.03384240438996616,0.03273514568227779,0.03397626690135021,0.034116797674894596,0.0335879849054271,0.03394149713259312,0.034107002702734965,0.033821153286811706,0.03276661251505152,0.03450202772945661,0.033869139240062685,0.033602097761554525,0.03376386794494002,0.035103265846333505,0.0335867904071486,0.03429836072958941,0.03362388359052914,0.03380088286761486,0.03359838185131339,0.03211176302891036,0.033425860287116034,0.033647967580557415,0.03420198527652184,0.03282014515176288,0.033785003492224346,0.035116643228771685,0.03322942065058032,0.03408890576243984,0.033916979126819354,0.03416966045391887,0.033246546787267024,0.03465274682268858,0.03383030790395391,0.0338280685990713,0.033618422943027575,0.03404797709190903,0.03299814659350985,0.03402295879493201,0.03346560961436774,0.03353368053185004,0.03402637312956945,0.03342356987336362,0.03365377494669287,0.03416859224668537,0.03369839646095394
EFO_00043082023-07-27,0.03626567050376695,0.03707275622920422,0.03753266759736858,0.03660237177753647,0.037467326285466396,0.03724768458861391,0.037133736541844625,0.03684695820767478,0.037902881659596564,0.03729574773204375,0.037192903691402816,0.03589869191044466,0.03723062714319259,0.038094704822062744,0.03584911651687287,0.037498800480446445,0.03760976371207914,0.03734322477585773,0.03656445269927624,0.03633696469974908,0.03723255228175073,0.03793833689018524,0.036693140578609486,0.037656632819523105,0.037429940665832204,0.03622387761619003,0.03725274517586536,0.037180786997373046,0.03791663581855607,0.03801507001169988,0.03746451736703884,0.038078538539151725,0.03754041612389575,0.03660617922920831,0.03768294451168111,0.037445916721868706,0.03697470301232124,0.03684219725669452,0.03766222412491156,0.03661825418034001,0.037105009544880496,0.03822374973569921,0.03724903944043084,0.037279031724697737,0.036688159911860876,0.03715822292533746,0.037717713757792405,0.03803402142699927,0.03672875476763277,0.03774293409825144
EFO_00063362023-07-27,0.025777333927770613,0.02597731836382125,0.025918452058250527,0.02529178519044845,0.024898614103107092,0.025387120185017268,0.025683542239326503,0.025301773695267676,0.02557740379481301,0.02577970605551026,0.02535951384544523,0.02653899817710522,0.02563813054256628,0.025906538934077687,0.025566514366042407,0.025180660026708136,0.02499789762611874,0.026938572376440147,0.026354343773007417,0.0249050111729169,0.02521002881965892,0.02549519521135761,0.025287690180302313,0.024914768898229876,0.025597844844144464,0.025474412959187925,0.024846930718502348,0.024896592136046905,0.025889502334169538,0.024646685674769225,0.025168750128061402,0.02533166003384195,0.025714316647829673,0.02575886692851072,0.025383158799522954,0.026604081172877964,0.026560632251695006,0.024949111082013635,0.025700505941073225,0.02676788941427804,0.026339328378967707,0.025048066069716848,0.025476840478534015,0.025624733993755276,0.025277097610354106,0.025469393248401848,0.025660278819274737,0.026024348573665358,0.025114110060434947,0.025533290478838164
