,AUPRC
Laryngeal Squamous Cell Carcinoma,0.09772725734586465
Gallbladder Carcinoma,0.09509470239302577
Adenocarcinoma of pancreas,0.10423320231925212
Mental Retardation,0.06603380080743687
Hyperinsulinism,0.09375947517586952
Dermatitis,0.13197067969041487
Lupus Nephritis,0.12524764854637876
Behcet Syndrome,0.14783883675215798
Kaposi Sarcoma,0.14467556404873835
Childhood Burkitt Lymphoma,0.1055712974379725
Malignant neoplasm of skin,0.11422903691692472
Adult Burkitt Lymphoma,0.1015902736434045
Invasive carcinoma of breast,0.1157975187536945
Precursor B-cell lymphoblastic leukemia,0.10162779936650412
"Alcoholic Intoxication, Chronic",0.0634425803866342
Noninfiltrating Intraductal Carcinoma,0.08919135261862085
Rectal Carcinoma,0.10189117167416674
Respiratory syncytial virus (RSV) infection in conditions classified elsewhere and of unspecified site,0.11336660378022426
Mantle cell lymphoma,0.1111097999373689
Intrahepatic Cholangiocarcinoma,0.09889885006013038
"Lymphoma, Follicular",0.09537470445051222
Squamous cell carcinoma of tongue,0.10638323435499963
Adenocarcinoma Of Esophagus,0.09275862708272432
Metastatic melanoma,0.08668497837677293
T-Cell Lymphoma,0.11408009738912205
Subarachnoid Hemorrhage,0.09484541423471417
Carcinoma of larynx,0.0927016624025657
Sjogren's Syndrome,0.11478877773759999
Cutaneous Melanoma,0.09126126875449354
Hepatitis A,0.08254925671091883
Barrett Esophagus,0.08637740926435702
Urothelial Carcinoma,0.1031879354639746
Pancreatic Neoplasm,0.10617136886992619
"Lymphoma, Non-Hodgkin, Familial",0.12321692542701797
"Leukemia, T-Cell",0.12761558330119194
Essential Hypertension,0.05583149345530236
Lymphatic Metastasis,0.08316240053799223
Graft-vs-Host Disease,0.09991247158185619
Hypercholesterolemia,0.07872425531857384
Human papilloma virus infection,0.10988582895891014
Mild cognitive disorder,0.07859533870043141
Agenesis of corpus callosum,0.09137368853943247
Squamous cell carcinoma of skin,0.09172731738709519
Acute pancreatitis,0.08089803687626551
Hyperlipidemia,0.0593846996311251
Trichohepatoenteric Syndrome,0.06628388644657743
Nasal Polyps,0.12208119773253825
Malignant neoplasm of gastrointestinal tract,0.10328973946932585
Celiac Disease,0.10014276378094421
Irritable Bowel Syndrome,0.05291093191854556
Malignant Pleural Mesothelioma,0.08297469367759504
Malignant neoplasm of gallbladder,0.07853354986765614
"Sleep Apnea, Obstructive",0.08039884004307417
IGA Glomerulonephritis,0.09993463979116736
Choriocarcinoma,0.10874017254996714
"Anemia, Sickle Cell",0.0845973759062223
"Arthritis, Psoriatic",0.09429602523573376
Adrenal Gland Pheochromocytoma,0.10788083989677703
Invasive Ductal Breast Carcinoma,0.0917656006671522
Post-Traumatic Stress Disorder,0.06420174628450784
Craniosynostosis,0.10182732090826647
Acute Chest Syndrome,0.08123791939616082
