,AUPRC
Hashimoto24,0.04523822444157097
Kumbrink24_2v3,0.10842721154579368
Qian24_DEG_PANoptosis,0.1556948837747996
Zhao24_CAFRGs,0.08546325634721554
Reed24_Leukocyte module,0.0587114910539145
Reed24_Cell cycle module,0.08420532436799143
Reed24_Cellular response to stimulus module,0.11745521710448031
Reed24_Catabolic process module,0.030959894649541318
Reed24_Organic acid metabolic process module,0.06507984444583283
Reed24_Endoplasmic reticulum module,0.10468217698760403
Reed24_Neutrophil activation module,0.09827288732472449
