,AUPRC
EFO_00043402023-07-27,0.11953398762778887
EFO_0004612,0.06861864272542256
EFO_00046122023-07-27,0.061091279946617956
EFO_0004530,0.08187092012982408
EFO_00045302023-07-27,0.04687184208583795
EFO_00046112023-07-27,0.0491504791208086
EFO_0004574,0.05942720552800867
EFO_00045742023-07-27,0.045073901854415795
EFO_0004309,0.047250646688273557
EFO_00043092023-07-27,0.06349689393371138
EFO_00063352023-07-27,0.055169892764635776
EFO_0004509,0.04646517352564494
EFO_00045092023-07-27,0.04692319883754526
EFO_00045872023-07-27,0.06340542781094828
EFO_0004305,0.059628443766248214
EFO_00043052023-07-27,0.06867840583232784
EFO_0004308,0.0858698123113757
EFO_00043082023-07-27,0.0700023973543581
EFO_00063362023-07-27,0.03877747427319165
EFO_00043482023-07-27,0.0358612788291994
EFO_0001663,0.03982392773721313
EFO_00016632023-07-27,0.035421498444045636
EFO_0004532,0.08594632271619032
EFO_00045322023-07-27,0.03517594766290776
EFO_0004518,0.08641347555227087
EFO_00045182023-07-27,0.027668742104889857
EFO_00047352023-07-27,0.030072543233103457
EFO_00043122023-07-27,0.03825260272572753
EFO_00043432023-07-27,0.03230850579165514
EFO_00047362023-07-27,0.03717665217594633
EFO_0004541,0.07656064595646261
EFO_00045412023-07-27,0.03146865708705148
EFO_0004535,0.08556388057905233
EFO_00045352023-07-27,0.03449659541103035
EFO_00043382023-07-27,0.03957323413550681
EFO_00047612023-07-27,0.04053697781178507
EFO_0004468,0.10187412400623966
EFO_00044682023-07-27,0.04589100997455349
EFO_0003923,0.05787649535501029
EFO_00039232023-07-27,0.042384353248865025
EFO_00045702023-07-27,0.03565244686514007
EFO_00079932023-07-27,0.04065394971864388
EFO_00078692023-07-27,0.03444177542591513
EFO_0005036,0.04851137923187924
EFO_00050362023-07-27,0.1497039062781769
EFO_00047412023-07-27,0.03220916904363551
EFO_0005047,0.03413496464144054
EFO_00044652023-07-27,0.05973232146312725
EFO_0004748,0.05491245208917262
EFO_0006312,0.04684206934150697
EFO_00063122023-07-27,0.06219992284476298
EFO_0000274,0.07582571209401315
EFO_00002742023-07-27,0.06528757842095763
EFO_0803548,0.07421380192530184
EFO_00050932023-07-27,0.07366159341561372
EFO_00030952023-07-27,0.046731291746345584
EFO_0010583,0.0955765538250108
EFO_00105832023-07-27,0.07954307308228792
EFO_00010712023-07-27,0.0783650589446266
EFO_0003843,0.06529753818896303
EFO_0803546,0.06641151296590347
EFO_0803544,0.07365963190695815
