,AUPRC
Laryngeal Squamous Cell Carcinoma,0.1957739789658583
Gallbladder Carcinoma,0.21334708477642653
Adenocarcinoma of pancreas,0.2520129661859848
Mental Retardation,0.0698032784877662
Hyperinsulinism,0.20472177629143476
Dermatitis,0.2789063065775899
Lupus Nephritis,0.2355996930917472
Behcet Syndrome,0.24104162873931784
Kaposi Sarcoma,0.2539485629886035
Childhood Burkitt Lymphoma,0.258765661177524
Malignant neoplasm of skin,0.24822823185025944
Adult Burkitt Lymphoma,0.2534355477838169
Invasive carcinoma of breast,0.21246384259641563
Precursor B-cell lymphoblastic leukemia,0.18301993066279046
"Alcoholic Intoxication, Chronic",0.11847649829373523
Noninfiltrating Intraductal Carcinoma,0.20955591270708981
Rectal Carcinoma,0.1976374473211437
Respiratory syncytial virus (RSV) infection in conditions classified elsewhere and of unspecified site,0.24808313602696783
Mantle cell lymphoma,0.26401281032753937
Intrahepatic Cholangiocarcinoma,0.19339761390882085
"Lymphoma, Follicular",0.2070838826846547
Squamous cell carcinoma of tongue,0.23609441057258176
Adenocarcinoma Of Esophagus,0.2277738710835603
Metastatic melanoma,0.23225058816350289
T-Cell Lymphoma,0.24046272857873166
Subarachnoid Hemorrhage,0.20433787915819185
Carcinoma of larynx,0.21078317079712033
Sjogren's Syndrome,0.20109736164329056
Cutaneous Melanoma,0.2095907523233319
Hepatitis A,0.17558166264018493
Barrett Esophagus,0.18788944703505828
Urothelial Carcinoma,0.21600952963961834
Pancreatic Neoplasm,0.22835574071728387
"Lymphoma, Non-Hodgkin, Familial",0.21912806482638167
"Leukemia, T-Cell",0.26676010544483975
Essential Hypertension,0.10429353631322763
Lymphatic Metastasis,0.201552782253352
Graft-vs-Host Disease,0.1946566771032977
Hypercholesterolemia,0.15383161341148635
Human papilloma virus infection,0.231361818077905
Mild cognitive disorder,0.10056112714697778
Agenesis of corpus callosum,0.2266402829855934
Squamous cell carcinoma of skin,0.1955614003341496
Acute pancreatitis,0.19553374458632686
Hyperlipidemia,0.14138054247920326
Trichohepatoenteric Syndrome,0.12611422357479132
Nasal Polyps,0.2556363924715514
Malignant neoplasm of gastrointestinal tract,0.20204163223791516
Celiac Disease,0.16701430793957237
Irritable Bowel Syndrome,0.12731003396876922
Malignant Pleural Mesothelioma,0.19035356784420934
Malignant neoplasm of gallbladder,0.18951093490637824
"Sleep Apnea, Obstructive",0.18060519779223783
IGA Glomerulonephritis,0.2082625494226586
Choriocarcinoma,0.201683219932478
"Anemia, Sickle Cell",0.15592884922366596
"Arthritis, Psoriatic",0.1624756850365247
Adrenal Gland Pheochromocytoma,0.21858668420362928
Invasive Ductal Breast Carcinoma,0.19636359790307373
Post-Traumatic Stress Disorder,0.13063564228137436
Craniosynostosis,0.14790168344325022
Acute Chest Syndrome,0.16894304258305565
Adult Meningioma,0.21016219608180653
"Meningioma, benign, no ICD-O subtype",0.2126596313749346
Fibrosarcoma,0.2917972684980075
"Hepatitis C, Chronic",0.2148659262524324
Bronchopulmonary Dysplasia,0.15836794165902518
Retinitis Pigmentosa,0.18440432945651028
Nonalcoholic Steatohepatitis,0.18731524358487445
Childhood Hodgkin Lymphoma,0.20594454460968092
Progression of prostate cancer,0.21910516186188225
Gastric Adenocarcinoma,0.1738505712376532
Complete atrioventricular block,0.13180371010266062
Adult Hodgkin Lymphoma,0.2096410898324956
Cervical Intraepithelial Neoplasia,0.18104941738188887
"Hepatitis B, Chronic",0.16050999102930724
Adenocarcinoma of colon,0.21579211040276333
Allergic rhinitis (disorder),0.17045963875306522
Malnutrition,0.093780832242609
Adenoma of large intestine,0.14860900590536386
Metastatic malignant neoplasm to brain,0.19790603907840798
Renal Insufficiency,0.14771288893133153
Anaplastic thyroid carcinoma,0.23529222623002963
Adult Fibrosarcoma,0.29174183443956575
Fanconi Anemia,0.28600092774710983
Cataract,0.14988678382532153
Acute Coronary Syndrome,0.14468423779268308
Progressive cGVHD,0.17770059760865176
Fibroid Tumor,0.18199217081569455
Secondary malignant neoplasm of colon and/or rectum,0.17650570545770253
"Glaucoma, Primary Open Angle",0.13598797351849393
"Respiratory Distress Syndrome, Adult",0.1940707261209085
Inflammatory dermatosis,0.2696172529407038
Dwarfism,0.09840325494497229
Aplasia Cutis Congenita,0.2346639938017843
Cardiac Arrest,0.1301028010272744
Primary biliary cirrhosis,0.17729611315038102
Chondrosarcoma,0.22246910072917167
Sarcoidosis,0.16731608628573283
Ataxia Telangiectasia,0.19260127027953866
Uveal melanoma,0.19551746775023635
Childhood Non-Hodgkin Lymphoma,0.1981377240579991
Cervical Squamous Cell Carcinoma,0.21080120153983695
Allergic asthma,0.19138314587935923
Adult Non-Hodgkin Lymphoma,0.19842933126108858
Leukopenia,0.14581111076255038
Stage IV Gallbladder Cancer AJCC v8,0.17031564860356355
Stage IIA Gallbladder Cancer AJCC v8,0.1709649543635699
Stage 0 Gallbladder Cancer AJCC v8,0.17142441012561638
Stage III Gallbladder Cancer AJCC v8,0.17015593918770672
Stage IIB Gallbladder Cancer AJCC v8,0.17286873157886068
"Pancreatitis, Chronic",0.14904763272813304
Hepatoblastoma,0.2046311387419912
Nonorganic psychosis,0.09067367955163663
"FANCONI ANEMIA, COMPLEMENTATION GROUP A (disorder)",0.29126390277226244
"Muscular Dystrophy, Duchenne",0.11401786132770983
Metastatic Prostate Carcinoma,0.18250496027377774
Pancreatitis,0.1573542000104865
Microcephaly,0.10881607286914285
estrogen receptor-negative breast cancer,0.2325771251554058
Kidney Failure,0.12967395281121857
Hypertrophic Cardiomyopathy,0.10395042799114507
"Tuberculosis, Pulmonary",0.20733286185196495
Chronic myeloproliferative disorder,0.22654778117668012
Dengue Fever,0.15592608049089704
Myeloid Leukemia,0.24273203001435692
Malignant neoplasm of larynx,0.15211420127129585
"Lymphoma, T-Cell, Cutaneous",0.26105177043436895
Pulmonary Emphysema,0.1729144584236907
"B-CELL MALIGNANCY, LOW-GRADE",0.22296865977014235
Malignant mesothelioma,0.21532128032411446
Metastasis from malignant tumor of prostate,0.1766209603791725
Mucocutaneous Lymph Node Syndrome,0.17537787492189874
Miscarriage,0.1094411649045106
"Alzheimer Disease, Late Onset",0.08073359684992795
Intervertebral Disc Degeneration,0.18995239986467374
Pheochromocytoma,0.20033610394951915
Childhood Kidney Wilms Tumor,0.14326675540843253
Childhood Myelodysplastic Syndrome,0.15263400305806674
Infection caused by Helicobacter pylori,0.2096731041951483
Refractory anemias,0.16858970894384825
Adult Myelodysplastic Syndrome,0.15095532298899536
"Ovarian Failure, Premature",0.1336494079907706
Medullary carcinoma of thyroid,0.19056362126653745
Status Epilepticus,0.13830741363962248
"Osteoarthritis, Knee",0.14977668983456113
Gastrointestinal Carcinoid Tumor,0.20177539759806337
Epithelioma,0.18217620569013096
Familial multiple trichoepitheliomata,0.18859456758886103
Adenocarcinoma of prostate,0.1459271789531045
Pulmonary arterial hypertension,0.16454729778656504
Aortic Valve Insufficiency,0.20447620080430576
Primary Sjögren's syndrome,0.18687580255061925
Immune thrombocytopenic purpura,0.17966261241310025
Spinal Muscular Atrophy,0.09605367156320511
Glomerulonephritis,0.17806192158105869
Transitional cell carcinoma of bladder,0.19257023825483505
Neurofibromatosis 1,0.1766129993686112
"Epilepsy, Temporal Lobe",0.11131911351736835
Scleroderma,0.2293724954122113
Frontotemporal dementia,0.06394194225612418
Intraocular pressure disorder,0.12428991760802503
Patent ductus arteriosus,0.1554343905446257
Vitiligo,0.15442334006454478
VITILIGO-ASSOCIATED MULTIPLE AUTOIMMUNE DISEASE SUSCEPTIBILITY 1 (finding),0.15563409919825527
Adenocarcinoma of large intestine,0.1643048691189435
Blast Phase,0.2170773742013022
Acute GVH disease,0.1423991685760283
Hypoglycemia,0.1589209297551806
Myasthenia Gravis,0.15898015322956288
synovial sarcoma,0.19942010599007812
Ki-1+ Anaplastic Large Cell Lymphoma,0.27097082347761964
Cardiac fibrosis,0.16785257961790978
Seminoma,0.1239214506601963
Neutropenia,0.11217245013659163
Adrenoleukodystrophy,0.11892915593630958
Acute Erythroblastic Leukemia,0.14832847714397687
HER2-positive carcinoma of breast,0.20081722840228508
"Carcinoma of urinary bladder, invasive",0.14427366573198813
Juvenile arthritis,0.15146273163550905
Eosinophilia,0.18567122400254032
Follicular thyroid carcinoma,0.15243783437740419
Classical Hodgkin's Lymphoma,0.19367076001703812
Encephalitis,0.14622045658927735
Hypothyroidism,0.10245168833686541
Polycythemia Vera,0.2023806716748857
Tuberous Sclerosis,0.15878212374782028
Thymoma,0.17363754338086249
Hirschsprung Disease,0.06828504323918404
Left Ventricular Hypertrophy,0.12886223768618912
Cholestasis,0.09447280461992598
Primary cholangiocarcinoma of intrahepatic biliary tract,0.14555291627275818
"Encephalitis, St. Louis",0.1345465041859767
"Malignant lymphoma, lymphocytic, intermediate differentiation, diffuse",0.16493292866338286
"Polycystic Kidney, Autosomal Dominant",0.1659956394071725
Germ cell tumor,0.1446236029261615
Lymphoid leukemia,0.1271828199141077
"Hamartoma Syndrome, Multiple",0.16647081423847318
Gastritis,0.1622585009076322
Severe Combined Immunodeficiency,0.1696175831829424
Intracranial Aneurysm,0.1312442711486165
Myocarditis,0.15281004329941963
