,AUPRC
Hashimoto24,0.04768055814563545
Kumbrink24_1v2,0.11668438249769465
Kumbrink24_2v3,0.06899959743197905
Yu24,0.10886234483377624
Zhao24_CAFRGs,0.06557746090309508
Reed24_Leukocyte module,0.049666921824516264
Reed24_Cell cycle module,0.15022681309896435
Reed24_Cellular response to stimulus module,0.06876243619718707
Reed24_Catabolic process module,0.03480788662375734
Reed24_Organic acid metabolic process module,0.05042038944832749
Reed24_Endoplasmic reticulum module,0.14852872121282285
Reed24_Neutrophil activation module,0.05630218204258441
