,AUPRC
EFO_00043402023-07-27,0.13060778966184475
EFO_0004612,0.061943602989277965
EFO_00046122023-07-27,0.08260081710345729
EFO_0004530,0.11062169996530828
EFO_00045302023-07-27,0.0714254773940204
EFO_00046112023-07-27,0.07778142247729322
EFO_0004574,0.06265129395379035
EFO_00045742023-07-27,0.05535196734741194
EFO_0004309,0.059673384879025466
EFO_00043092023-07-27,0.07637251941178552
EFO_00063352023-07-27,0.07864012580096355
EFO_0004509,0.07578819163652882
EFO_00045092023-07-27,0.0557553891352617
EFO_00045872023-07-27,0.07873332333501165
EFO_0004305,0.0870355463135035
EFO_00043052023-07-27,0.08155194291313489
EFO_00043082023-07-27,0.09585978488770516
EFO_00063362023-07-27,0.04967725761629125
EFO_00043482023-07-27,0.045933080213415904
EFO_0001663,0.044462985155756855
EFO_00016632023-07-27,0.05736829073444567
EFO_00045322023-07-27,0.03983197172975134
EFO_0004518,0.08837831307555344
EFO_00045182023-07-27,0.05012351876355653
EFO_00047352023-07-27,0.04031142863833538
EFO_00043122023-07-27,0.0373870930756482
EFO_00043432023-07-27,0.03877070241383212
EFO_00047362023-07-27,0.04796262597560594
EFO_00045412023-07-27,0.047930935246550836
EFO_00045352023-07-27,0.044446683807218446
EFO_00043382023-07-27,0.04660748166998422
EFO_00047612023-07-27,0.03509893931154143
EFO_0004468,0.10637166367313983
EFO_00044682023-07-27,0.04762873279526005
EFO_0003923,0.08130750864138132
EFO_00039232023-07-27,0.07506830835021194
EFO_00045702023-07-27,0.04556841688901162
EFO_00079932023-07-27,0.049244450974237436
EFO_00078692023-07-27,0.04471473901091059
EFO_0005036,0.04976232679857041
EFO_00050362023-07-27,0.09305054502434693
EFO_00047412023-07-27,0.033745386638308165
EFO_0005047,0.06159746985231114
EFO_00044652023-07-27,0.07036741726151038
EFO_0004748,0.05480586930879985
EFO_0006312,0.04120172711029547
EFO_00063122023-07-27,0.0671881171611665
EFO_0000274,0.13645480989024128
EFO_00002742023-07-27,0.05525574624996801
EFO_0803548,0.08717732503186934
EFO_00050932023-07-27,0.10249138500538534
EFO_00030952023-07-27,0.06371656209851892
EFO_0003843,0.10189433365027371
EFO_0009187,0.10366787042359689
EFO_0803541,0.10381224004600981
