,AUPRC
Laryngeal Squamous Cell Carcinoma,0.04432857175019844
Gallbladder Carcinoma,0.045001695060619726
Adenocarcinoma of pancreas,0.034790113771177744
Mental Retardation,0.03650137729718924
Hyperinsulinism,0.040898600240844026
Dermatitis,0.029037813006696864
Lupus Nephritis,0.03023876958342719
Behcet Syndrome,0.03190758603589431
Kaposi Sarcoma,0.04267377971790747
Childhood Burkitt Lymphoma,0.044342130615887
Malignant neoplasm of skin,0.05231916266880371
Adult Burkitt Lymphoma,0.04308827982031503
Invasive carcinoma of breast,0.03445339581121811
Precursor B-cell lymphoblastic leukemia,0.03941808119885707
"Alcoholic Intoxication, Chronic",0.029057985519855348
Noninfiltrating Intraductal Carcinoma,0.0322764191531476
Rectal Carcinoma,0.04285287725136275
Respiratory syncytial virus (RSV) infection in conditions classified elsewhere and of unspecified site,0.03768899214636747
Mantle cell lymphoma,0.04132981355408198
Intrahepatic Cholangiocarcinoma,0.03942500112541767
"Lymphoma, Follicular",0.029185890118192434
Squamous cell carcinoma of tongue,0.05177465833624402
Adenocarcinoma Of Esophagus,0.027869442254763167
Metastatic melanoma,0.03512650045685345
T-Cell Lymphoma,0.03336070204770289
Subarachnoid Hemorrhage,0.039857867311883385
Carcinoma of larynx,0.04861419677919748
Sjogren's Syndrome,0.029150869985610197
Cutaneous Melanoma,0.04563536049521619
Hepatitis A,0.02988525745036432
Barrett Esophagus,0.028615870959951516
Urothelial Carcinoma,0.035429508289257755
Pancreatic Neoplasm,0.03665775931828047
"Lymphoma, Non-Hodgkin, Familial",0.03729975675149866
"Leukemia, T-Cell",0.03247539641644901
Essential Hypertension,0.03559264202702806
Lymphatic Metastasis,0.03122879709105607
Graft-vs-Host Disease,0.02543699584344563
Hypercholesterolemia,0.03133054281161583
Human papilloma virus infection,0.03320601146301219
Mild cognitive disorder,0.030697845037737415
Agenesis of corpus callosum,0.03698753902395224
Squamous cell carcinoma of skin,0.03015637939849171
Acute pancreatitis,0.034089750343445774
Hyperlipidemia,0.04079096300530302
Trichohepatoenteric Syndrome,0.03125929759012638
Nasal Polyps,0.02745212271845886
Malignant neoplasm of gastrointestinal tract,0.042179499873451265
Celiac Disease,0.03166343489044112
Irritable Bowel Syndrome,0.03273307491336483
Malignant Pleural Mesothelioma,0.038386091480202465
Malignant neoplasm of gallbladder,0.048242638108097646
"Sleep Apnea, Obstructive",0.03315599568369796
