,AUPRC
EFO_00043402023-07-27,0.07300336111050541
EFO_0004612,0.10122564135267777
EFO_00046122023-07-27,0.04382812948546535
EFO_00045302023-07-27,0.03382288631142356
EFO_00046112023-07-27,0.035483635412547045
EFO_0004574,0.07336667570891739
EFO_00045742023-07-27,0.0314497583652392
EFO_0004309,0.05446136047228119
EFO_00043092023-07-27,0.04652889266733319
EFO_00063352023-07-27,0.03683556808065111
EFO_00045092023-07-27,0.03195514547650768
EFO_00045872023-07-27,0.02530601850930462
EFO_00043052023-07-27,0.037251466557126835
EFO_00043082023-07-27,0.03540733550017528
EFO_00063362023-07-27,0.026889663487035066
EFO_00043482023-07-27,0.0280339584328539
EFO_0001663,0.02983179215566623
EFO_00016632023-07-27,0.04084699438694377
EFO_00045322023-07-27,0.0311050960701761
EFO_0004518,0.0732859686725777
EFO_00045182023-07-27,0.024389601437648904
EFO_00047352023-07-27,0.02374249405437487
EFO_00043122023-07-27,0.024768466131639234
EFO_00043432023-07-27,0.023469927714476476
EFO_00047362023-07-27,0.02456752976165729
EFO_00045412023-07-27,0.02456299068575034
EFO_00045352023-07-27,0.026059212664133725
EFO_00043382023-07-27,0.029049871695921305
EFO_00047612023-07-27,0.028307108968772973
EFO_0004468,0.08518496441804572
EFO_00044682023-07-27,0.040037983257016733
EFO_00039232023-07-27,0.053018058209697676
EFO_00045702023-07-27,0.03323971279049728
EFO_00079932023-07-27,0.026627464692935133
EFO_00078692023-07-27,0.05832666721629613
EFO_0005036,0.04157701974538945
EFO_00050362023-07-27,0.10813950704192145
EFO_00047412023-07-27,0.03533049277641664
EFO_0005047,0.04324798124965676
EFO_00044652023-07-27,0.07348586685165609
EFO_0004748,0.05230793107754894
EFO_0006312,0.042024451046072386
EFO_00063122023-07-27,0.04764246561411311
EFO_0803548,0.08569338512087339
EFO_00030952023-07-27,0.07324234717238194
EFO_00043422023-07-27,0.1031150511318103
EFO_0003843,0.10167943830007418
EFO_0009187,0.07028266886347781
EFO_0803541,0.07718119900319236
EFO_0803544,0.0524498852531188
