Node_A	Node_B
10622	55703
10622	4716
10622	10755
10622	123169
10622	90411
10622	10097
10622	55207
10622	11128
171568	1537
171568	5683
171568	51691
171568	6144
171568	1434
171568	10398
171568	5705
171568	5861
171568	10594
23636	27339
23636	25923
23636	10933
23636	4839
8021	5719
8021	6168
8021	4839
8021	5682
8021	5707
8021	6613
8021	10808
8027	9146
8027	2879
8027	6241
9146	2224
9146	1047
9146	6232
9146	5886
9146	5725
9146	4478
1025	904
1025	6222
1025	292
5714	5701
5714	5719
5714	5682
5714	5683
5714	5694
5714	5684
5714	5696
5714	3157
5714	6157
5714	60412
5714	2992
5714	29945
5714	6169
5714	28985
5714	3313
5714	2673
5714	11224
5714	1315
5714	4176
5714	6124
5714	23633
5714	6206
5714	51719
5714	4282
5714	6232
5714	5093
5714	6191
5714	51015
5714	5062
5714	6193
5714	51690
5714	2956
5714	4691
5715	5710
5715	10213
5715	5702
5715	5705
5715	6506
5715	11284
5715	5518
5715	30844
5715	10095
5715	4282
5715	6613
5715	54815
5715	57142
5715	5723
5715	7514
5715	5500
5715	86
5715	79228
5715	71
5715	8615
5715	260425
4172	4927
4172	29968
4172	6633
4172	24148
4172	117246
4172	51386
4172	6319
4172	23787
4172	6136
4172	5447
4172	7879
4172	57456
4172	10856
4172	10540
4172	10598
4172	7965
4172	5684
4172	1213
4172	3376
4176	79892
4176	10575
4176	5687
4176	47
4176	654364
4176	8662
4176	54512
4176	6188
4176	2098
4176	790
4176	539
4176	6203
4176	65005
4176	128308
4176	55847
10001	9442
10001	9969
10001	400569
10001	54606
10001	821
10001	5315
10001	6143
10001	50
10001	26986
10001	10236
10001	498
10001	4513
10001	3945
10001	5515
10001	5928
10001	51412
10001	10452
10001	23603
10001	6208
10001	6138
219541	54797
219541	9440
219541	9969
219541	5693
219541	30011
219541	8450
219541	7385
219541	6222
219541	51018
219541	6201
219541	10213
219541	5710
219541	6146
219541	84061
143471	5702
143471	5708
143471	10939
143471	5685
143471	821
143471	23450
143471	10969
143471	6156
143471	6222
143471	6141
143471	8189
143471	1175
143471	6217
143471	5686
143471	23171
143471	5965
143471	25873
143471	6175
143471	5860
5686	51371
5686	5682
5686	5696
5686	5704
5686	10213
5686	5707
5686	25932
5686	51377
5686	7936
5686	2271
5686	7184
5686	4719
5686	8894
5686	4713
5686	84076
5686	9342
5686	10890
5686	5708
5686	9446
5686	5709
5686	3149
5686	55742
5686	26528
5686	1503
5686	51144
5686	6222
5686	51068
5686	1615
5686	60314
5686	8030
5686	9615
5686	23368
5686	2026
5686	6227
5686	1917
5686	6156
5686	6193
5686	51540
5686	509
5686	51164
5686	515
5686	6143
5686	6389
5686	1738
5686	1806
5686	2879
5686	7284
5686	5861
5686	6301
5686	3611
5686	51069
5686	6421
5686	6154
5686	123169
5686	1650
5686	6228
5705	5717
5705	5708
5705	9861
5705	5701
5705	5716
5705	5682
5705	5692
5705	7385
5705	55466
5705	54859
5705	3337
5705	2108
5705	6207
5705	4704
5705	54187
5705	2316
5705	6209
5705	3035
5705	55236
5705	2171
5705	1967
5705	5901
5705	5315
5705	1396
5705	3185
5705	29979
5705	6223
5705	5034
5705	56257
5705	6143
5705	5425
5705	6120
5705	25942
5705	5694
5705	80895
5705	51399
5705	5885
5705	5711
5705	10449
5705	22929
5705	84916
5705	400569
5705	27250
5705	476
5705	8893
5707	5710
5707	10213
5707	5690
5707	5684
5707	51377
5707	6193
5707	375
5707	10294
