Node_A	Node_B
4193	7157
4193	1029
4193	6135
4193	1026
4193	25
4193	5371
4193	2309
4193	8626
4193	6790
4193	207
4193	10524
4193	2308
4193	10277
4193	3551
4193	6714
4193	596
4193	900
4193	857
4193	1111
4193	6908
4193	1017
4193	8554
4193	637
4193	5515
4193	23368
4193	5087
4193	7159
4193	1487
4193	3861
4193	6462
4193	3836
4193	5524
4193	355
4193	8826
4193	5879
4193	1906
4193	1499
4193	10097
4193	2185
4193	7040
4193	9846
4193	898
4193	6925
4193	5608
4193	2002
4193	5770
4193	4790
4193	409
4193	8915
4193	3688
4193	834
4193	23385
4193	1435
4193	3630
4193	2059
4193	4914
4193	7050
4193	5925
4193	55349
4193	3717
4193	1869
4193	3595
4193	7049
4193	3458
4193	3480
4193	5581
4193	4088
4193	208
4193	113
4193	9587
4193	1387
4193	3162
4193	8439
4193	30011
4193	2147
4193	9475
4193	5743
4193	3371
4193	4318
4193	994
4193	10726
4193	64411
4193	8651
4193	5617
4193	998
4193	7010
4193	156
4193	759
4193	140823
4193	7421
4193	6774
4193	3984
4193	5894
4193	960
4193	4691
4193	5909
4193	6198
4193	8454
4193	64781
4193	1386
4193	7015
4193	88
4193	652
4193	6194
4193	367
4193	79155
4193	30844
4193	2810
4193	3091
4193	4087
4193	4654
4193	632
4193	4803
4193	25898
4193	1958
4193	6667
4193	11315
4193	7430
4193	5578
4193	999
4193	4773
4193	7124
4193	5590
4193	7471
4193	10640
4193	1950
4193	5347
4193	2735
4193	860
4193	7187
4193	4851
4193	6923
4193	2099
4193	8648
4193	7297
4193	4018
4193	10498
4193	836
4193	4891
4193	22943
4193	644353
4193	2597
4193	5747
4193	6772
4193	5236
4193	329
4193	1051
4193	4609
4193	27148
4193	1027
4193	6615
4193	1874
4193	6720
4193	387
4193	94
4193	3172
4193	6654
4193	4605
4193	5587
4193	5315
7157	1026
7157	472
7157	581
7157	2033
7157	596
7157	1029
7157	27113
7157	5728
7157	1387
7157	1111
7157	8626
7157	598
7157	6790
7157	7159
7157	5366
7157	5371
7157	355
7157	10524
7157	2932
7157	8850
7157	5970
7157	2908
7157	8795
7157	25
7157	54205
7157	6615
7157	1027
7157	10419
7157	10075
7157	995
7157	7040
7157	6908
7157	3725
7157	6273
7157	1616
7157	842
7157	1643
7157	317
7157	1432
7157	3976
7157	10155
7157	6772
7157	5601
7157	4170
7157	29102
7157	3159
7157	22933
7157	6347
7157	207
7157	351
7157	5594
7157	900
7157	5328
7157	5580
7157	54541
7157	7832
7157	29108
7157	2810
7157	1877
7157	3082
7157	91875
7157	1649
7157	11073
7157	4361
7157	1843
7157	8797
7157	133746
7157	5458
7157	4803
7157	4800
7157	4683
7157	5457
7157	6446
7157	2232
7157	6464
7157	2308
7157	7534
7157	890
7157	1906
7157	25946
7157	6890
7157	4775
7157	4738
7157	9787
7157	6696
7157	1969
7157	1965
7157	8794
7157	5451
7157	3586
7157	92140
7157	5757
7157	865
7157	1386
7157	3565
7157	3308
7157	1870
7157	2177
7157	5295
7157	10399
7157	84883
7157	255488
7157	2288
7157	3872
7157	4782
7157	8061
7157	4314
7157	6776
7157	8793
7157	624
7157	333926
7157	7280
7157	3726
7157	8648
7157	5449
7157	6613
7157	6881
7157	200186
7157	5566
7157	51285
7157	4091
7157	7803
7157	1827
7157	6654
7157	9723
7157	6385
7157	7422
7157	6774
7157	4018
7157	5894
7157	5590
7157	2887
7157	8322
7157	8204
7157	3567
7157	79728
7157	4632
7157	8517
7157	64223
7157	1021
7157	367
7157	8841
7157	860
7157	50855
7157	130367
7157	10277
7157	2247
7157	2353
7157	4089
7157	6850
7157	6714
7157	50807
7157	857
7157	409
7157	56998
7157	1869
7157	4846
7157	1457
7157	1326
7157	3667
7157	5771
7157	9020
7157	23411
7157	3162
7157	3728
7157	805
7157	4322
7157	6885
7157	7356
7157	5054
7157	29904
7157	4791
7157	672
7157	3973
7157	7514
7157	2335
7157	83737
7157	4088
7157	4862
7157	3398
7157	9610
7157	998
7157	4040
7157	9055
7157	2735
7157	840
7157	2113
7157	5778
7157	7852
7157	9475
7157	5159
7157	51135
7157	9021
7157	7033
7157	6093
7157	25805
7157	55662
7157	999
7157	3458
7157	3312
7157	1511
7157	50674
7157	354
7157	1943
7157	23235
7157	2885
7157	23566
7157	3672
7157	10499
7157	6935
7157	11016
7157	80243
7157	5819
7157	2011
7157	5335
7157	81
7157	23309
7157	4654
7157	7124
7157	11279
7157	94241
7157	329
7157	6469
7157	10856
7157	1285
7157	3091
7157	3627
7157	3605
7157	3099
7157	2261
7157	2548
7157	23607
7157	3516
7157	6777
7157	959
7157	5599
7157	112744
7157	7295
7157	920
7157	57521
7157	4217
7157	6667
7157	1375
7157	29924
7157	4012
7157	105371893
7157	10006
7157	5747
7157	1956
7157	1540
7157	5818
7157	7471
7157	10912
7157	8553
7157	1081
7157	3611
7157	10565
7157	2099
7157	387
7157	208
7157	1289
7157	2597
7157	6258
7157	2064
7157	3688
7157	572
7157	5137
7157	9656
7157	51701
7157	4790
7157	8738
7157	891
7157	10460
7157	8660
7157	933
7157	5582
7157	23028
7157	23643
7157	8408
7157	7182
7157	338
7157	10848
7157	85440
7157	4851
7157	644353
7157	9314
7157	7050
7157	2674
7157	5347
7157	3815
7157	253260
7157	3480
7157	5879
7157	5933
7157	5336
7157	29982
7157	9493
7157	7057
7157	6016
7157	595
7157	1072
7157	1612
7157	3662
7157	3560
7157	4772
7157	1398
7157	80233
7157	2290
7157	4916
7157	162
7157	7249
7157	4436
7157	3569
7157	5329
7157	4137
7157	9170
7157	57732
7157	3630
7157	847
7157	1499
7157	94
7157	4909
7157	5265
7157	9064
7157	7474
7157	7283
7157	8766
7157	2185
7157	5900
7157	5467
7157	7525
7157	1234
7157	7132
7157	3791
7157	4915
7157	8651
7157	3164
7157	613
7157	10112
7157	7855
7157	81624
7157	7520
7157	3717
7157	8717
7157	4602
7157	7329
7157	3033
7157	4215
7157	5925
7157	861
7157	5155
7157	1947
7157	5595
7157	5045
7157	5617
7157	7161
7157	5979
7157	1909
7157	8431
7157	30009
7157	374
7157	6272
7157	824
7157	5528
7157	2050
7157	6256
7157	64858
7157	4092
7157	627
7157	405
7157	2625
7157	652
7157	5460
7157	28964
7157	3718
7157	3593
7157	4831
7157	5579
7157	5743
7157	2623
7157	4214
7157	54625
7157	6502
7157	7083
7157	839
7157	3950
7157	22926
7157	2475
7157	6642
7157	1786
7157	814
7157	3592
7157	396
7157	6387
7157	11315
7157	3479
7157	4233
7157	7042
7157	92
7157	4087
7157	5621
7157	8295
7157	6921
7157	5209
7157	7436
7157	7251
7157	8737
7157	51586
7157	6934
7157	2782
7157	5605
7157	5606
7157	5888
7157	6609
7157	3984
7157	5585
7157	5770
7157	55349
7157	2048
7157	3952
7157	8976
3569	3586
3569	9021
3569	920
3569	3717
3569	183
3569	1437
3569	7040
3569	3558
3569	3596
3569	4318
3569	1950
3569	598
3569	1649
3569	5728
3569	1026
3569	5781
3569	4803
3569	1029
3569	3559
3569	5599
3569	1387
3569	4283
3569	207
3569	6775
3569	2308
3569	3480
3569	5340
3569	2932
3569	632
3569	383
3569	6667
3569	8061
3569	2625
3569	7042
3569	5268
3569	6446
3569	3055
3569	1432
3569	3065
3569	338
3569	2770
3569	6093
3569	6654
3569	2697
3569	10524
3569	5605
3569	3594
3569	673
3569	5579
3569	5898
3569	354
3569	2335
3569	6198
3569	7037
3569	10672
3569	10163
3569	10048
3569	5903
3569	5581
3569	6462
3569	4149
3569	4040
3569	7424
3569	2309
3569	3551
3569	3320
3569	5879
3569	5580
3569	356
3569	868
3569	7026
3569	6934
3569	10109
3569	253260
3569	3484
3569	1147
3569	2260
3569	5587
3569	83990
3569	865
3569	7531
3569	5578
3569	1017
3569	5608
3569	2057
3569	23411
3569	7514
3569	10013
3569	4914
3569	6714
3569	999
3569	2547
3569	4690
3569	472
3569	2353
3569	355
3569	7414
3569	2937
3569	596
3569	64781
3569	284217
3569	891
3569	6257
3569	3576
3569	4049
3569	6790
3569	57459
3569	387
3569	5618
3569	1977
3569	5515
3569	1499
3569	6416
3569	27018
3569	6688
3569	4772
3569	10320
3569	4609
3569	6347
3569	9732
3569	10891
3569	7022
3569	10018
3569	864
3569	4313
3569	6925
3569	867
3569	4790
3569	8648
3569	2534
3569	6776
3569	8878
3569	2305
3569	805
3569	8517
3569	3565
3569	11184
3569	19
3569	463
3569	573
3569	2475
3569	7329
3569	22926
3569	5970
3569	5959
3569	10075
3569	10006
3569	285220
3569	3265
3569	55349
3569	5595
3569	5861
3569	4314
3569	1943
3569	5582
3569	9564
3569	3667
3569	4602
3569	5601
3569	5532
3569	4233
3569	836
3569	7325
3569	87
3569	5817
3569	5604
3569	8431
3569	1326
3569	1796
3569	5170
3569	6258
3569	3572
3569	7422
3569	1857
3569	2641
3569	3479
3569	64151
3569	10755
3569	1051
3569	3725
3569	3932
3569	5617
3569	933
3569	2048
3569	4851
3569	5743
3569	83879
3569	8795
3569	5894
3569	5914
3569	8324
3569	2064
3569	4312
3569	3688
3569	5337
3569	7029
3569	1956
3569	1843
3569	998
3569	3458
3569	10728
3569	3553
3569	768
3569	3856
3569	6502
3569	6839
3569	7474
3569	7341
3569	814
3569	4792
6774	3717
6774	6714
6774	3458
6774	51561
6774	5970
6774	4609
6774	598
6774	3553
6774	1499
6774	367
6774	5581
6774	3558
6774	7297
6774	2056
6774	7422
6774	3718
6774	4318
6774	4843
6774	6387
6774	5617
6774	4233
6774	5037
6774	51285
6774	5594
6774	1027
6774	4086
6774	142
6774	2932
6774	29949
6774	5595
6774	5599
6774	4803
6774	11009
6774	9252
6774	6777
6774	2261
6774	6776
6774	3659
6774	1000
6774	207
6774	4067
6774	5925
6774	7538
6774	2246
6774	8554
6774	5604
6774	2309
6774	8850
6774	4915
6774	25942
6774	5159
6774	5295
6774	998
6774	5579
6774	10399
6774	4283
6774	5335
6774	1445
6774	3265
6774	1017
6774	4916
6774	4035
6774	23028
6774	4792
6774	4286
6774	3002
6774	6464
6774	2266
6774	2119
6774	3554
6774	5663
6774	5338
6774	1386
6774	6194
6774	3560
6774	1793
6774	823
6774	4804
6774	5609
6774	1843
6774	8440
6774	57154
6774	55869
6774	3594
6774	3595
6774	567
6774	3105
6774	9047
6774	3929
6774	9794
6774	9844
6774	1454
6774	3169
6774	3454
6774	983
6774	87
6774	3556
6774	6456
6774	1021
6774	3551
6774	3852
6774	2187
6774	6195
6774	3611
