Node_A	Node_B
2	162427
351	334
351	580
351	8772
351	8346
351	6421
351	6242
351	2962
351	729230
351	4175
351	1058
19	2115
19	11127
19	6256
19	3741
19	3725
19	2067
821	554313
821	1869
821	1058
821	653604
821	79829
821	10336
821	348
1756	6383
1756	1457
1756	653604
1756	10848
1756	64326
1756	8195
2316	1655
2316	3695
2316	8607
2316	2547
2316	10919
2316	60684
2316	7874
2316	3014
2316	8294
2316	5562
2316	29110
2316	1822
2316	23476
2316	51474
2316	2688
2316	1105
2316	5594
2316	672
2316	26524
2316	26043
2316	8767
2316	79084
2316	55004
2316	5931
2316	5499
2316	5591
2316	1488
2316	26259
2316	1785
2316	8370
2316	4683
2316	4234
2316	5890
2316	904
3832	50484
3832	22994
3832	8464
3832	9025
3832	54461
3832	10622
3832	9851
10558	55304
10558	672
10558	8361
10558	10856
10558	10597
10558	4040
10558	55143
10558	4066
7402	5478
7402	5530
7402	6640
7402	7520
7402	26271
7402	6233
7402	3091
7402	8451
7402	142
287	3303
287	64785
287	124944
6833	8131
6833	23035
3767	2081
3767	51479
160	2043
160	6352
160	7027
160	9533
160	51474
160	8356
160	7314
160	9757
160	4791
160	3066
160	8357
160	5709
160	5682
160	60561
160	7345
160	55212
23	57062
23	5332
23	6917
23	10480
23	7158
23	7514
23	1025
23	1058
23	8318
23	4174
23	4851
23	7528
23	79705
23	80169
23	10138
23	57224
28974	1660
28974	6428
28974	317762
28974	5966
28974	1387
28974	55802
28974	5159
28974	79760
28974	3020
28974	85236
28974	10956
28974	25906
28974	6877
28974	51744
28974	55755
28974	55845
1105	1660
1105	2631
1105	22803
1105	526
1105	3875
1105	57599
1105	55629
1105	54623
1105	10036
1105	9114
1105	9442
1105	8065
1105	10042
1105	440738
1105	7314
1105	90
9276	57062
9276	51594
9276	60561
9276	7410
9276	3040
9276	367
9276	5783
9276	55159
9276	1232
9276	65109
9276	2551
9276	9837
9276	8339
9276	9400
9276	56915
9276	5894
9276	5978
9276	6714
9276	54623
9276	2272
9276	650
9276	11218
9276	6595
9276	994
9276	3329
57062	1660
57062	5052
57062	6421
57062	805
57062	4595
57062	7533
57062	2494
57062	9342
57062	151648
57062	84733
57062	5687
57062	10592
57062	10152
57062	8368
1660	22803
1660	7533
1660	3837
1660	10621
1660	637
1660	57332
1660	2965
1660	57132
1660	4092
1660	8663
1660	5469
1660	857
1660	8464
1660	7090
1660	2963
1660	1956
1660	25842
23028	367
23028	3066
23028	8351
23028	8354
23028	5585
23028	5052
23028	7157
23028	9837
23028	151648
23028	51592
23028	6594
23028	3880
23028	55723
23028	6657
23028	2932
23028	9757
23028	23095
23028	8290
23028	8346
23028	867
23028	993
23028	23097
23028	440738
23028	8428
23028	3184
23028	6873
23028	54463
23028	23468
23028	2625
23028	10717
23028	9079
23028	8368
23028	1459
23028	4343
23028	23648
23028	5663
23028	9844
23028	7316
23028	1437
23028	841
23028	23476
23028	7322
23028	56852
23028	817
23028	7507
23028	5440
23028	8363
23028	6428
23028	9156
23028	10155
23028	2967
3796	5052
3796	6421
3796	8480
3796	9776
3796	7311
3796	11190
3796	2145
3796	58
3796	93323
3796	26512
3796	4678
3796	85235
3796	7314
3796	1654
3796	8881
3796	7158
4522	56949
4522	9141
4522	8452
4522	27097
4522	6721
4522	8350
4522	3066
4522	25898
4522	6632
4522	6453
4522	7186
4522	4361
4522	23269
4522	10521
4522	54165
4522	9859
2631	6603
2631	84747
2631	7341
2631	5108
2631	405
2631	9212
2631	23658
2631	143187
2631	8351
2631	2967
2631	8878
2631	8290
2631	7150
2631	7314
2631	146956
5332	51659
5332	2177
5332	4140
5332	5905
5332	81607
5332	9440
5332	22808
5332	8358
5332	8673
5332	23405
5332	25803
5332	5187
5332	8668
5332	7066
5332	8453
5052	2623
5052	7322
5052	2885
5052	7013
5052	8370
5052	3643
5052	9820
5052	1230
5052	6500
5052	59277
5052	91056
5052	7311
5052	4849
5052	8358
6421	8350
6421	1024
6421	1457
6421	8363
6421	9318
6421	57508
6421	2957
6421	8355
6421	10454
6421	996
6421	4001
6421	7314
6421	6233
10592	23310
10592	153129
10592	4212
10592	6627
10592	5573
10592	11274
10592	284403
10592	57521
10592	2967
10592	54461
10592	10482
10592	8878
10592	3265
10592	9776
10592	1460
10592	7314
10592	3560
10592	11198
10592	4149
10592	10526
10592	8367
6428	723790
6428	23411
6428	10401
6428	2475
6428	409
6428	1813
6428	8343
6428	207
6428	367
6428	10413
6428	10021
6428	3065
6428	7291
6428	8533
22803	10419
22803	6606
22803	6607
22803	3929
22803	7528
22803	5688
22803	5687
22803	892
22803	648
22803	10910
22803	7003
22803	80006
22803	2146
22803	983
22803	4794
22803	5971
22803	79084
22803	92609
22803	7529
22803	56829
22803	1460
64240	7157
64241	5931
55347	7314
55347	7316
55347	9094
55347	7532
55347	4794
55347	30811
55347	4149
55347	8367
55347	153129
55347	83990
55347	8359
55347	5591
55347	1107
55347	5295
55347	3454
55347	2960
55347	7005
55347	3934
9131	3801
9131	4001
9131	5147
9131	9611
9131	1025
9131	9402
9131	8473
9131	5579
9131	9400
9131	246175
9131	6667
9131	5295
9131	152485
9131	6348
9131	3021
9131	55275
9131	3781
9131	2274
9131	8678
9131	6917
9131	8663
9131	2965
9131	8360
9131	3054
9131	8368
9131	6631
9131	8518
23568	7311
23568	7314
23568	7316
23568	9851
23568	775
23568	8364
23568	1665
23568	3066
23568	10642
23568	6401
23568	60673
23568	1654
23568	7520
23568	3554
23568	51343
23568	55662
23568	5885
23568	344558
23568	25
403	5147
403	7314
403	7533
403	10971
403	79833
403	50855
403	146956
403	10288
403	2275
403	1027
403	9230
403	627
403	8364
403	10155
403	5591
403	3012
403	7520
403	27304
25943	112942
25943	7311
25943	7534
25943	55197
25943	404672
25943	6293
25943	51529
25943	7415
25943	55135
25943	554313
25943	8669
25943	10576
25943	7316
25943	10097
