,0
Abnormality of the skeletal system,8.85310834585223
Absence Epilepsy,9.066627671295365
Acoustic Neuroma,20.825709440880726
Acquired Hypogammaglobulinemia,21.238206259196044
Acromegaly,12.15725263955051
ACTH-Secreting Pituitary Adenoma,2.780209212063447
Actinic keratosis,2.4241405517827044
Acute Chest Syndrome,14.041300998330446
Acute Coronary Syndrome,12.315590337619621
Acute Erythroblastic Leukemia,11.400761526572287
Acute GVH disease,20.976245021728207
Acute Megakaryocytic Leukemias,10.646845631764911
Acute monoblastic leukemia,6.079912303587615
Acute myelomonocytic leukemia,5.931318533028581
Acute pancreatitis,14.496959155543573
Acute respiratory distress,9.475634691003178
Acute Undifferentiated Leukemia,3.9267445163119925
Adenocarcinoma of colon,17.660697925954647
Adenocarcinoma Of Esophagus,12.48386174091359
Adenocarcinoma of large intestine,16.79187331611439
Adenocarcinoma of pancreas,22.608267006049317
Adenocarcinoma of prostate,15.516010689434628
Adenocarcinoma of rectum,2.8945050146544595
Adenocarcinoma of small intestine,14.556427621245746
"Adenocarcinoma, Clear Cell",4.041901157361996
"Adenocarcinoma, Endometrioid",9.921062012254573
Adenoid Cystic Carcinoma,12.455424926660596
Adenoma of large intestine,11.221293922519715
Adenomatous Polyps,8.692176212345077
Adenosquamous carcinoma,7.2772533745002725
Adolescent idiopathic scoliosis,18.87919119991579
Adrenal Cortical Adenoma,11.633206290082589
Adrenal cortical hypofunction,12.883049388677247
Adrenal Gland Pheochromocytoma,22.528539987627347
Adrenocortical carcinoma,12.729036121508257
Adrenoleukodystrophy,15.952098464521557
Adult Acute Monocytic Leukemia,1.5247534079262348
Adult Acute Myeloblastic Leukemia,7.946157022241247
Adult Anaplastic Large Cell Lymphoma,20.124787928007414
Adult Angiosarcoma,13.352490050046113
Adult B Acute Lymphoblastic Leukemia,6.842705933521456
Adult Burkitt Lymphoma,20.869080403278357
Adult Classical Hodgkin Lymphoma,16.027820051637956
Adult Ependymoma,8.182239523696309
Adult Erythroleukemia,14.640321172947102
Adult Fibrosarcoma,28.531632288238956
Adult Hepatocellular Carcinoma,6.472919806998416
Adult Hodgkin Lymphoma,30.146546135367768
Adult Leiomyosarcoma,6.262155952284309
Adult Liposarcoma,10.90940436883015
Adult Lymphoblastic Lymphoma,2.711387090636329
Adult Malignant Peripheral Nerve Sheath Tumor,12.949309944499591
Adult Meningioma,20.574863771639162
Adult Myelodysplastic Syndrome,8.434381629291275
Adult Non-Hodgkin Lymphoma,12.875991542753
Adult Oligodendroglioma,3.617712563928337
Adult Pilocytic Astrocytoma,20.069804450349373
Adult Soft Tissue Sarcoma,15.847230151990965
Adult Synovial Sarcoma,10.109199844702385
Adult type dermatomyositis,16.918189754812666
Adult-Onset Still Disease,13.891940396688984
Advanced breast cancer,7.111499432808596
Age-related cataract,6.886773352660371
Agenesis,6.822983438039873
Agenesis of corpus callosum,10.194332538982897
Aggressive Non-Hodgkin Lymphoma,14.26415555982626
Agnosia for Pain,8.787451581014802
AICARDI-GOUTIERES SYNDROME,17.221953015266074
AIDS related complex,2.6254498574512937
Alcohol or Other Drugs use,5.367435643613375
Alcohol Use Disorder,5.538613411982033
"Alcoholic Intoxication, Chronic",11.814644532222559
Allergic asthma,28.760745551084913
Allergic rhinitis (disorder),28.968105346296372
Alopecia,10.169617973367336
alpha-Thalassemia,6.999405494148671
alpha^+^ Thalassemia,8.719592459665318
Alveolar rhabdomyosarcoma,19.98447265715849
Alveolar Soft Part Sarcoma,8.778086543318652
"Alzheimer Disease, Early Onset",10.641992307466795
"Alzheimer disease, familial, type 3",12.498062903335164
"Alzheimer Disease, Late Onset",29.301041908685562
Ameloblastoma,26.021651975565476
Amnesia,9.926628211231158
AMYOTROPHIC LATERAL SCLEROSIS 1,6.953256007126869
"Amyotrophic Lateral Sclerosis, Familial",12.191228185546358
"Amyotrophic Lateral Sclerosis, Sporadic",7.286295877538948
Anaplastic astrocytoma,13.373259331881972
Anaplastic thyroid carcinoma,11.989144915412899
Anastomosis,8.466685959822989
androgen independent prostate cancer,13.528789346501037
Androgen-Insensitivity Syndrome,12.89188741916432
"Anemia, Diamond-Blackfan",4.566060301661374
"Anemia, Hemolytic",17.81043954165339
"Anemia, severe",17.222520656278736
"Anemia, Sickle Cell",19.12572265873968
Angelman Syndrome,-0.4970339511142158
Angioimmunoblastic Lymphadenopathy,6.059638199916573
Anhedonia,5.5663169525533585
Anorexia Nervosa,17.57190503228999
Anthrax disease,13.231115496939037
Aortic Aneurysm,8.111167897165641
Aortic aneurysm without mention of rupture NOS,7.470649653655451
Aortic Valve Insufficiency,15.355215293013574
Aortic Valve Stenosis,8.369515403989825
Aplasia Cutis Congenita,15.5704438323953
Aplastic Anemia,11.340915550406425
"Arthritis, Psoriatic",23.962579882516657
Arthrogryposis,1.483521466001588
Asthenozoospermia,0.2985959496828502
Ataxia Telangiectasia,5.546638854192604
"Ataxia, Spinocerebellar",3.141266593898283
Atherosclerotic lesion,14.25543083387856
Atherothrombosis,13.328619776840101
Atrial Premature Complexes,13.856406533364257
ATRICHIA WITH PAPULAR LESIONS,16.654804118848524
Atypical Teratoid Rhabdoid Tumor,2.766894656843157
"AURAL ATRESIA, CONGENITAL",11.65385947579855
Autoimmune arthritis,8.167665788540399
Autoinflammatory disease,17.571027549818755
Autosomal dominant retinitis pigmentosa,7.706713161608794
Avellino corneal dystrophy,19.31117706151133
Axonal neuropathy,104.89452788350398
Azoospermia,9.866324696381708
"B-CELL MALIGNANCY, LOW-GRADE",17.59881381218574
Bacteremia,21.976337087267737
Barrett Esophagus,13.546517994143306
Basal-Like Breast Carcinoma,16.444085939014336
Beckwith-Wiedemann Syndrome,12.59133960888735
Behcet Syndrome,47.32568383276078
Benign melanocytic nevus,6.4279272329491635
Bernard-Soulier Syndrome,11.728377914273642
beta Thalassemia,10.349941206980155
beta^+^ Thalassemia,9.422897705034996
Bicuspid aortic valve,18.359275809904094
Bilateral cataracts (disorder),8.397629682387741
Biliary Atresia,23.004835623202183
Biliary Tract Cancer,7.547715245130385
Blast Phase,11.276760847068807
Blastic plasmacytoid dendritic cell neoplasm,7.600839901121207
Blood spots,7.163148272448158
Bloom Syndrome,12.656464866208202
bone destruction,18.717668538579087
Borderline Personality Disorder,6.621746263153475
Brain Ischemia,11.212699260628918
"Brain Tumor, Primary",11.613653658512272
Breast adenocarcinoma,9.222776369743078
"Breast Cancer, Familial",26.707031001726723
Bronchioloalveolar Adenocarcinoma,5.285214641114579
Bronchopulmonary Dysplasia,18.688609110693097
Brucellosis,13.310679784912878
Brugada Syndrome (disorder),10.309870492054724
"Bulbo-Spinal Atrophy, X-Linked",6.119035026417242
Bullous pemphigoid,28.130871738932893
Cancer cachexia,10.971888000287771
Cancer of Nasopharynx,6.000101079437557
Cannabis use,3.0787784183209754
Carcinoma of larynx,17.457053335626263
"Carcinoma of urinary bladder, invasive",21.94904323511101
"Carcinoma, Endometrioid",12.88966291026343
"Carcinoma, Lewis Lung",21.640799666151562
"Carcinoma, Papillary",17.047818048604857
"Carcinoma, Small Cell",16.013515255711564
"Carcinoma, Spindle-Cell",7.5767286895584025
Carcinosarcoma,7.088585471642268
Cardiac Arrest,17.542928843557437
Cardiac fibrosis,19.313078450072787
Carotid Atherosclerosis,9.760318223888795
Carotid Stenosis,15.600282501967365
Cataract,9.96225407288706
Cavernous Hemangioma of Brain,13.013762186903769
Celiac Disease,47.745433573160355
Central Serous Chorioretinopathy,5.485187653622104
Cerebellar atrophy,1.5389394830571275
Cerebral atrophy,10.00517656846198
Cerebral Palsy,6.005962658400209
Cervical Intraepithelial Neoplasia,13.412846632866215
Cervical Squamous Cell Carcinoma,17.221270883849357
Chagas Disease,8.366203320465148
Charcot-Marie-Tooth Disease,6.761892507491784
Chikungunya Fever,12.400088006019221
Childhood Acute Monocytic Leukemia,1.5204088582771833
Childhood Acute Myeloid Leukemia,8.685117749671663
Childhood Anaplastic Large Cell Lymphoma,18.198510168968138
Childhood Angiosarcoma,13.213751408537036
Childhood asthma,9.73722782021652
Childhood B Acute Lymphoblastic Leukemia,8.392145566177954
Childhood Burkitt Lymphoma,23.677412689997475
Childhood Ependymoma,11.125405971020871
Childhood Hepatocellular Carcinoma,8.700072310140172
Childhood Hodgkin Lymphoma,20.97768167089855
