,0
Abnormality of the skeletal system,1.975279966058236
Acoustic Neuroma,6.386002519199227
Acromegaly,7.381959869108503
Actinic keratosis,1.298385096324126
Acute Chest Syndrome,1.3620027678193036
Acute Coronary Syndrome,1.2727835606220828
Acute Erythroblastic Leukemia,4.944598997454865
Acute GVH disease,-0.14091497544326195
Acute Megakaryocytic Leukemias,-0.29085942427620365
Acute pancreatitis,6.240078486553263
Acute respiratory distress,2.5367789762976725
Acute Undifferentiated Leukemia,10.755534906432146
Adenocarcinoma of colon,4.150079763231904
Adenocarcinoma Of Esophagus,4.8253746393242265
Adenocarcinoma of large intestine,2.1235614377455168
Adenocarcinoma of pancreas,6.1461329166933965
Adenocarcinoma of prostate,1.4056115123666817
Adenocarcinoma of rectum,2.2294192887751727
"Adenocarcinoma, Clear Cell",20.270500493134357
"Adenocarcinoma, Endometrioid",13.561866734145863
Adenoid Cystic Carcinoma,3.370278584168641
Adenoma of large intestine,2.401802392209725
Adenomatous Polyps,12.852692320576718
Adenosquamous carcinoma,3.324759913959786
Adrenal Cortical Adenoma,0.1874973176926804
Adrenal Gland Pheochromocytoma,9.61187830347333
Adrenocortical carcinoma,0.572769873343758
Adrenoleukodystrophy,4.940777020994511
Adult Acute Myeloblastic Leukemia,-0.3985124171247759
Adult Anaplastic Large Cell Lymphoma,6.133255433773053
Adult Angiosarcoma,8.033130850615915
Adult Burkitt Lymphoma,4.810668434779756
Adult Classical Hodgkin Lymphoma,7.897930708147326
Adult Ependymoma,3.0642040487310838
Adult Erythroleukemia,4.741716814078911
Adult Fibrosarcoma,8.46861236694548
Adult Hepatocellular Carcinoma,0.10473017608049658
Adult Hodgkin Lymphoma,9.087676694217187
Adult Leiomyosarcoma,15.946812647175546
Adult Liposarcoma,2.4286564196156086
Adult Meningioma,5.999925667415458
Adult Myelodysplastic Syndrome,4.7546728224308366
Adult Non-Hodgkin Lymphoma,3.4396336929371185
Adult Oligodendroglioma,11.556487219471917
Adult Pilocytic Astrocytoma,9.56163167979094
Adult Soft Tissue Sarcoma,1.4183642126562255
Adult Synovial Sarcoma,9.12070231770986
Adult type dermatomyositis,2.2789594854621393
Advanced breast cancer,7.610121111387119
Age-related cataract,6.629214082768477
Agenesis of corpus callosum,5.70020045499754
Agnosia for Pain,2.340593845504222
AICARDI-GOUTIERES SYNDROME,1.9728605606420293
Alcohol or Other Drugs use,21.571705931119638
Alcohol Use Disorder,5.0414733207941484
"Alcoholic Intoxication, Chronic",3.179801722765221
Allergic asthma,0.8211962938049978
Allergic rhinitis (disorder),21.0308676207122
Alopecia,3.68356122272748
"Alzheimer disease, familial, type 3",2.4467909659443596
"Alzheimer Disease, Late Onset",0.8726684009683618
Ameloblastoma,-0.08777245015425829
Amnesia,5.365402207119639
AMYOTROPHIC LATERAL SCLEROSIS 1,4.4596415100160876
"Amyotrophic Lateral Sclerosis, Familial",4.26592400912414
"Amyotrophic Lateral Sclerosis, Sporadic",2.320948029415424
Anaplastic astrocytoma,5.387465071565203
Anaplastic thyroid carcinoma,9.635638971004164
Anastomosis,1.0363776524676114
androgen independent prostate cancer,7.727827775199925
Androgen-Insensitivity Syndrome,1.8808085987272387
"Anemia, Diamond-Blackfan",2.983767255170363
"Anemia, Hemolytic",4.663406291632079
"Anemia, Sickle Cell",2.864007857495854
Angelman Syndrome,5.3350507680910795
Anorexia Nervosa,-0.4729310350348785
Aortic Aneurysm,3.984137473059348
Aortic Valve Insufficiency,11.76320381724646
Aortic Valve Stenosis,5.934376520598371
Aplasia Cutis Congenita,6.523881202348334
Aplastic Anemia,0.6066304499973629
"Arthritis, Psoriatic",5.192210934703904
Arthrogryposis,18.465360509459593
Asthenozoospermia,1.3848415552025635
Ataxia Telangiectasia,5.658445380213384
"Ataxia, Spinocerebellar",-1.7833516714085875
Atherosclerotic lesion,4.454216541311424
Atrial Premature Complexes,8.303233824518346
Atypical Teratoid Rhabdoid Tumor,1.7216677667208644
Autosomal dominant retinitis pigmentosa,11.776666617738663
Azoospermia,0.16133661851133224
"B-CELL MALIGNANCY, LOW-GRADE",5.14764447163174
Bacteremia,0.1016803455588994
Barrett Esophagus,1.822246952013517
Basal-Like Breast Carcinoma,4.398349094777927
Behcet Syndrome,0.3580855055113675
beta Thalassemia,1.200180759639878
beta^+^ Thalassemia,0.8257166069875166
Bilateral cataracts (disorder),3.1666117913510514
Biliary Atresia,2.90802806469033
Biliary Tract Cancer,4.803192993160504
Blast Phase,0.603143590971966
Blood spots,0.3227812558375133
Bloom Syndrome,1.1459647636662502
bone destruction,2.500012846246664
Borderline Personality Disorder,5.913550965592301
Brain Ischemia,0.7292945401907184
"Brain Tumor, Primary",3.6355917061737806
Breast adenocarcinoma,1.9331377240875731
"Breast Cancer, Familial",7.8214464126187995
Bronchioloalveolar Adenocarcinoma,4.520673222037234
Bronchopulmonary Dysplasia,5.607290762589722
"Bulbo-Spinal Atrophy, X-Linked",6.288339289662635
Cancer cachexia,7.938841148937918
Cancer of Nasopharynx,15.41406210569409
Carcinoma of larynx,11.457980646993061
"Carcinoma of urinary bladder, invasive",2.281658134840972
"Carcinoma, Endometrioid",2.6183581859097393
"Carcinoma, Lewis Lung",0.37875594307652727
"Carcinoma, Papillary",0.7216478760719446
"Carcinoma, Small Cell",9.244192165807398
Cardiac Arrest,1.8784069895063407
Cardiac fibrosis,4.95698100399012
Carotid Atherosclerosis,2.4918581158991886
Cataract,4.57454052795007
Cavernous Hemangioma of Brain,31.780209513216057
Celiac Disease,4.370162197000173
Central Serous Chorioretinopathy,13.50109323831346
Cerebellar atrophy,1.4304592577740294
Cerebral atrophy,0.47911196315382343
Cerebral Palsy,48.78357209659819
Cervical Intraepithelial Neoplasia,1.4850425262862423
Cervical Squamous Cell Carcinoma,7.9425435882535975
Chagas Disease,8.2722203115223
Charcot-Marie-Tooth Disease,6.111004127823679
Chikungunya Fever,11.307963377306598
Childhood Acute Myeloid Leukemia,1.2113267195200186
Childhood Anaplastic Large Cell Lymphoma,4.003178059055543
Childhood Angiosarcoma,9.656899122626895
Childhood asthma,-0.31274361880171564
Childhood Burkitt Lymphoma,6.128572139002109
Childhood Ependymoma,4.0668965059851
Childhood Hepatocellular Carcinoma,0.5226465655961677
Childhood Hodgkin Lymphoma,9.704147467983645
Childhood Kidney Wilms Tumor,6.317549114107086
Childhood Leiomyosarcoma,10.222427893171016
Childhood Liposarcoma,2.2578309859748784
Childhood Myelodysplastic Syndrome,3.2815416523380403
Childhood Non-Hodgkin Lymphoma,4.025546467226581
Childhood Oligodendroglioma,10.376660577455372
Childhood Pilocytic Astrocytoma,11.729882135353742
Childhood Soft Tissue Sarcoma,3.702221618577175
Childhood Synovial Sarcoma,7.327066024236589
Childhood T Acute Lymphoblastic Leukemia,12.319414026583804
Cholera,6.24210580144662
Cholestasis,4.243176013616754
Cholesteatoma,16.721993008865415
Chondrosarcoma,10.234243736291715
Chordoma,5.085467065339917
Choriocarcinoma,4.393701384267699
Chronic graft-versus-host disease,1.8939526577778998
Chronic heart failure,9.482416692990714
Chronic myeloproliferative disorder,3.401931828594232
"Cicatrix, Hypertrophic",10.859136465706408
Classical Hodgkin's Lymphoma,2.692249354894771
Clear-cell metastatic renal cell carcinoma,1.3400614796292534
Cleft Palate,0.0434986229117084
"Cleft palate, isolated",0.18760593553269123
Clostridium; difficile (disorder),4.050241732138857
Cockayne Syndrome,41.39330464798625
Complete atrioventricular block,3.853381538544229
Complicated malaria,-0.9298525677869642
Cone-Rod Dystrophy 2,3.9007192117176097
Congenital atresia of extrahepatic bile duct,2.2040342803415784
Craniosynostosis,2.1850198733500017
Creutzfeldt-Jakob disease,14.29022052418816
Cryptorchidism,1.189443743198111
Cushing Syndrome,4.6650027909226175
Cutaneous Mastocytosis,1.7434641206969033
Cutaneous Melanoma,10.609574108795705
Cyst,0.38403912916773136
"Cystadenocarcinoma, Serous",1.8479879289166188
Cystitis,11.240421606810498
Deep Vein Thrombosis,2.091970436921631
Dejerine-Sottas Disease (disorder),0.5678178841433954
"Dementia, Vascular",9.404147705440746
Dengue Fever,7.675734353824583
Dermatitis,5.945607697573107
Dermatomyositis,1.092687802898173
Desmoplastic,13.722500025675357
Deuteranomaly,4.6861079702231665
Diabetic Cardiomyopathies,9.409041190793516
Diabetic peripheral neuropathy,6.348546321454154
Differentiated Thyroid Gland Carcinoma,4.3737584099908435
Dissection of aorta,1.004603359947872
DOSAGE-SENSITIVE SEX REVERSAL,0.7477500186608994
Drug Resistant Epilepsy,3.059025820120128
Dry Eye Syndromes,3.450715951854569
Ductal Breast Carcinoma,2.645239180118465
Ductal Carcinoma,2.9459300738085132
Dwarfism,3.2193151425797235
Dyskinetic syndrome,2.2699646710680232
Dysmorphic features,0.8302215937889889
Dysmorphism,2.410564189065397
Dysplastic Nevus,2.0235949976312755
Dystrophia myotonica 2,3.950695700498396
"EAR, PATELLA, SHORT STATURE SYNDROME",3.7294890449414133
Early infantile epileptic encephalopathy with suppression bursts,10.997124594620715
Early-Stage Breast Carcinoma,1.573201461865217
Eclampsia,0.06760582465937393
"ECTRODACTYLY, ECTODERMAL DYSPLASIA, AND CLEFT LIP/PALATE SYNDROME 1",28.229472407122408
Embryonal Carcinoma,15.540573391095966
Embryonal Rhabdomyosarcoma,11.274200714311611
Encephalitis,2.470002323980942
"Encephalitis, St. Louis",2.6951366845585216
Endometrial adenocarcinoma,8.58614317047464
Endometrial Hyperplasia,-1.0348640535574998
Endometriosis of uterus,4.787687966836676
Eosinophilia,7.447143940518349
Ependymoma,2.5601333548402443
"Epilepsy, Temporal Lobe",3.819694984247742
Epileptic encephalopathy,1.9642172943869642
Episodic Kinesigenic Dyskinesia 1,9.437278182667834
Epithelioma,4.564332672512376
Erythroleukemia (Erythroid/Myeloid),4.607325401041158
Essential Hypertension,3.0542981631802077
Essential Tremor,0.5204478663229077
estrogen receptor-negative breast cancer,4.189097796625076
Ewings sarcoma-primitive neuroectodermal tumor (PNET),5.664646377000312
Extrahepatic Cholangiocarcinoma,2.3505368970151603
Extrapulmonary Small Cell Carcinoma,8.711644461583578
Failure to Thrive,40.44327515024101
Familial Alzheimer Disease (FAD),4.8319383247716
Familial lichen amyloidosis,1.6165773387933302
Familial multiple trichoepitheliomata,10.730575451278769
Fanconi Anemia,11.601507018187204
"FANCONI ANEMIA, COMPLEMENTATION GROUP A (disorder)",8.492383015786675
Fetal Alcohol Syndrome,9.269380593569348
Fibrillation,4.914870856721451
Fibroadenoma,0.30408927539381353
Fibroid Tumor,4.559295707602793
Fibrosarcoma,9.065772185931278
Focal glomerulosclerosis,0.9234030832089376
Folic Acid Deficiency,1.8240419327396242
Follicular adenoma,2.8117420093425824
Follicular thyroid carcinoma,3.022588140167258
Fragile X Syndrome,4.274293301132743
FRAGILE X TREMOR/ATAXIA SYNDROME,1.116660560901284
Friedreich Ataxia,0.912060696414355
FRIEDREICH ATAXIA 1,3.702947912831913
Frontotemporal dementia,6.781034847205786
Frontotemporal Lobar Degeneration,2.5030092092084035
Gallbladder Carcinoma,6.48738614245231
Gastric Adenocarcinoma,1.5490028204528263
Gastritis,0.03877756911190226
"Gastritis, Atrophic",4.076733862426677
Gastroenteritis,-0.20952007419012425
Gastroesophageal reflux disease,1.6991688853643003
Gastrointestinal Carcinoid Tumor,8.122339062163215
Gastrointestinal mucositis,5.853836629439488
Gastrointestinal tract vascular insufficiency,4.088544130459964
Gaucher Disease,3.317012361838328
Generalized Anxiety Disorder,2.4798198668582816
Germ cell tumor,7.817572989744754
Giant Cell Arteritis,1.6306921170008126
Giardiasis,1.8340345947173473
Gilles de la Tourette syndrome,0.20310883145344438
"Glaucoma, Primary Open Angle",2.2424231547284372
Glomerulonephritis,0.8408957098441139
Glomerulosclerosis (disorder),2.296603390145043
Glycogen storage disease type II,1.8971791831809797
Gonorrhea,1.5542059075958714
Graft-vs-Host Disease,-0.5451049632486489
GRN-related frontotemporal dementia,1.3392786235244551
Hairy Cell Leukemia,7.178188006110791
"Hamartoma Syndrome, Multiple",19.692765861635415
Hemangioma,17.835532712291236
Hemangiosarcoma,4.018391099216345
"Hemorrhagic Fever, Ebola",2.8878480855387654
Henoch-Schoenlein Purpura,8.693535621208312
Hepatitis A,1.1227110687724355
"Hepatitis B, Chronic",2.3142331668070635
"Hepatitis C, Chronic",1.508822628657142
"Hepatitis, Chronic",0.6067140097935154
Hepatoblastoma,3.411567714955237
Hepatolenticular Degeneration,9.044871264330535
HER2 gene amplification,4.459904504351977
HER2-negative breast cancer,8.903688043490162
HER2-positive carcinoma of breast,10.296295383217737
Hereditary hemochromatosis,2.7915102843218422
Hereditary Leiomyomatosis and Renal Cell Cancer,2.477989878228437
Hereditary Nonpolyposis Colorectal Cancer,12.529455475982274
Hereditary pancreatitis,2.830424605127437
High grade serous carcinoma,3.142663587487281
High-Grade Prostatic Intraepithelial Neoplasia,3.4374711962695192
High-Risk Neuroblastoma,6.47795190174432
Hirschsprung Disease,1.033086521622174
Human papilloma virus infection,2.436522624276465
Hurthle Cell Tumor,1.1172588145767457
Hydrocephalus,3.8017393660691225
Hypercholesterolemia,3.5356698839926013
"Hypercholesterolemia, Familial",3.7175828409655396
Hyperhomocysteinemia,5.084591511589076
Hyperinsulinism,9.817728514623704
Hyperlipidemia,4.992408206740325
Hyperlipoproteinemia Type IIa,6.298325263150299
Hyperparathyroidism,-0.4017774222621851
Hyperplastic Polyp,5.894956110556548
Hyperthyroidism,6.133078481802025
Hypertrophic Cardiomyopathy,9.24255138067343
Hypertrophic obstructive cardiomyopathy,16.471169039974043
Hyperuricemia,11.017572233727273
Hypocholesterolemia,6.7061453017039545
Hypoglycemia,8.092491849904864
Hypothyroidism,10.601255838829836
Hypoxic-Ischemic Encephalopathy,5.151109968144067
"Ichthyosis, X-Linked",6.261575625843102
Idiopathic Inflammatory Myopathies,8.87529858194482
Idiopathic pulmonary hypertension,-0.32601009161584743
IGA Glomerulonephritis,8.21489238927254
Immune thrombocytopenic purpura,3.1281182525231865
"Inclusion Body Myopathy, Sporadic",0.9386231001314342
Infection by Cryptococcus neoformans,3.2346886975925013
Infection caused by Helicobacter pylori,2.662710514689146
Infectious Otitis Media,4.423563657386229
Infective cystitis,17.18925310936006
Inflammatory Breast Carcinoma,15.421538430256259
Inflammatory dermatosis,8.977381995851177
Inflammatory Myofibroblastic Tumor,4.818416087861345
Inherited neuropathies,0.4786106007675565
insulinoma,3.3828399946912775
Intervertebral Disc Degeneration,4.140254601525708
Intracranial Aneurysm,3.3785241740198284
intracranial glioma,6.660673715624315
Intraepithelial Neoplasia,1.9462529657917922
Intrahepatic Cholangiocarcinoma,4.027839858908252
Intraocular pressure disorder,2.7098964586384002
Invasive carcinoma of breast,3.5153780184598173
Invasive Ductal Breast Carcinoma,2.380520560615199
Iron deficiency,2.0063859824579997
Iron Overload,9.508475276648937
Irritable Bowel Syndrome,1.8982028331710985
Japanese Encephalitis,3.10985795434344
Juvenile arthritis,2.419713136258259
Juvenile Myelomonocytic Leukemia,13.575884605209065
Kaposi Sarcoma,6.449250387590725
Keloid,7.094806206826626
Keratoconus,4.943942014895865
Ketosis,22.02765341129891
Ki-1+ Anaplastic Large Cell Lymphoma,6.238695751873802
Kidney Calculi,1.287413192606555
Kidney Failure,1.9242839564591576
Kidney Neoplasm,2.6383506253220763
Lafora Disease,0.3954003935108343
Large cell neuroendocrine carcinoma,8.582482445416991
Laryngeal Squamous Cell Carcinoma,10.479193419083686
Left Ventricular Hypertrophy,3.01996877904605
Leigh Disease,20.937293808536765
leiomyosarcoma,4.7163133692793275
Leishmaniasis,10.34334979530908
"Leishmaniasis, Visceral",-0.12221075017818414
"Leukemia, B-Cell",7.512872612031728
"Leukemia, Myelomonocytic, Chronic",10.035893755550958
"Leukemia, T-Cell",1.2648388660553047
Leukodystrophy,15.89547475784032
"Leukoencephalopathy, Progressive Multifocal",3.333792418774796
Leukopenia,3.2610493194815513
Lewy Body Disease,1.9622201962394634
Li-Fraumeni Syndrome,-0.16770858820980675
"Lichen Planus, Oral",1.7026590894392102
Limb ischemia,9.828779827842261
Lipodystrophy,56.491587342468456
liposarcoma,2.8732532887399773
"Liposarcoma, Dedifferentiated",17.321804092058443
Liver Failure,4.935103867997212
"Liver Failure, Acute",5.266504778485255
Luminal A Breast Carcinoma,3.5163693684048973
Luminal B Breast Carcinoma,4.36238392845742
Lupus Nephritis,3.0153691567408574
Lyme Disease,7.373957403310073
Lymphatic Metastasis,3.1932374478627765
Lymphocytic Choriomeningitis,2.295299022490203
Lymphoid leukemia,3.6119740897273296
"Lymphoma, Follicular",2.846774856569447
"Lymphoma, Large-Cell, Follicular",0.4829394054035744
"Lymphoma, Non-Hodgkin, Familial",2.6295129795613774
"Lymphoma, T-Cell, Cutaneous",5.655057538716104
Lymphopenia,0.42924590114725764
Lynch Syndrome,3.9371212886607827
M5b Acute differentiated monocytic leukemia,9.80534503058831
Machado-Joseph Disease,1.1836050705409698
Macrocephaly,14.490361862417902
"Macular dystrophy, corneal type 1",-0.04530773141029821
MAJOR AFFECTIVE DISORDER 2,1.207759162423908
"Malaria, Cerebral",7.744610284819547
"Malaria, Falciparum",2.6551109353999633
"Malformations of Cortical Development, Group II",1.7504073780071974
Malignant Childhood Neoplasm,3.4550473216528492
Malignant Fibrous Histiocytoma,6.5760465603952385
"Malignant lymphoma, lymphocytic, intermediate differentiation, diffuse",4.065965740401063
Malignant mesothelioma,3.7595718273711736
Malignant neoplasm of brain,2.523690615325956
Malignant neoplasm of colon stage IV,6.335177553384586
Malignant neoplasm of gallbladder,6.271904820719369
Malignant neoplasm of gastrointestinal tract,7.201169016063026
Malignant neoplasm of larynx,9.4755204519835
Malignant neoplasm of nasopharynx,15.722504047000939
Malignant neoplasm of skin,13.506240435397403
Malignant neoplasm of stomach stage IV,4.946635873871421
Malignant neoplasm of testis,5.518577419866017
Malignant Peripheral Nerve Sheath Tumor,10.577143853943058
Malignant Pleural Mesothelioma,6.394473872549259
Malignant Squamous Cell Neoplasm,3.4227628109544623
Malignant Testicular Germ Cell Tumor,9.318221860316925
Malnutrition,2.654581502301388
Mantle cell lymphoma,5.7311535905192095
Marfan Syndrome,6.121548907982312
Marijuana Abuse,20.631961220193794
Marinesco-Sjogren syndrome,8.581181821733452
"Mastocytosis, Systemic",0.10008096282214729
Measles,3.354922863356102
Medullary carcinoma,1.7331854718121469
Medullary carcinoma of thyroid,3.947155246245448
Melanocytic nevus,2.678235637147814
Melanocytic nevus of skin,5.242133302314626
"Melanoma, B16",3.388501666281461
MELAS Syndrome,21.060969482970226
Membranous glomerulonephritis,2.1546702715748105
"Meningioma, benign, no ICD-O subtype",5.058552848372808
"Meningitis, Pneumococcal",18.32349351192487
Mental Retardation,1.9438420351930246
"Mental Retardation, X-Linked",1.1000281501094795
Merkel cell carcinoma,6.731954843523162
Metastasis from malignant tumor of prostate,3.3793574792218495
Metastatic castration-resistant prostate cancer,4.81412198691053
Metastatic malignant neoplasm to brain,6.4161812979359905
Metastatic melanoma,5.567873400655723
Metastatic Prostate Carcinoma,2.1966191432084594
Metastatic Renal Cell Cancer,9.822382418608084
Metastatic Renal Cell Carcinoma,9.8886831974261
Microcephaly,5.951538782423844
Microphthalmos,-0.8257054202667237
Mild cognitive disorder,2.302065609674464
Mild Mental Retardation,0.3288329991274492
Miller Dieker syndrome,-0.40329841257885735
Miscarriage,3.9847680089441466
Mitochondrial abnormalities,0.815353747113921
Mixed anxiety and depressive disorder,-0.04373029038678515
MIXED LINEAGE LEUKEMIA,14.785319696604697
MOHR-TRANEBJAERG SYNDROME,8.504616965224034
Monoclonal Gammopathy of Undetermined Significance,7.751661226049746
Motor neuron atrophy,2.566735403261813
Motor Neuron Disease,2.0630649676059805
MRSA - Methicillin resistant Staphylococcus aureus infection,2.5022142034714783
Mucinous Adenocarcinoma,1.1095877731003332
Mucocutaneous Lymph Node Syndrome,2.247226547807088
Mucoepidermoid Carcinoma,6.626823497718937
Mucosa-Associated Lymphoid Tissue Lymphoma,3.201080847284551
Multiple Endocrine Neoplasia Type 1,1.6108924747593347
Muscular Dystrophy,2.8229129950843324
"Muscular Dystrophy, Duchenne",10.351048789988758
"Muscular Dystrophy, Facioscapulohumeral",11.914227883697581
Myasthenia Gravis,4.716174140573912
Myelodysplasia,0.8278066757700265
Myeloid Leukemia,6.389308286350358
Myeloid neoplasm,0.4013544378782788
"MYELOPROLIFERATIVE SYNDROME, TRANSIENT",0.7377917604518284
Myocarditis,2.9223102731551167
Myofibrillar Myopathy,2.6563182590061665
Myopia,7.520314726138371
Myositis,2.3383184549256133
Myotonic Dystrophy,7.7806290143925265
MYOTONIC DYSTROPHY 1,7.08069984683835
Nasal Polyps,3.3473651489927736
Neointimal hyperplasia,10.139449130087472
Nephritis,2.2665006487857595
Neurilemmoma,13.623940938352503
"Neuroectodermal Tumor, Primitive",7.291761180059709
neurofibroma,18.85035345478793
Neurofibromatosis 1,7.607071584880862
Neurofibromatosis 2,7.844873052308453
Neutropenia,3.783686311899456
Newly Diagnosed Childhood Ependymoma,3.0392495177590213
"Niemann-Pick Disease, Type C",0.9326196308014295
Nijmegen Breakage Syndrome,18.60291484947609
Non-arthropod borne lymphocytic choriomeningitis,1.886619184987708
Non-Metastatic Childhood Soft Tissue Sarcoma,2.2226698884949068
NONAKA MYOPATHY,5.6115215550256385
Nonalcoholic Steatohepatitis,1.6397591904887108
Noninfiltrating Intraductal Carcinoma,1.6134249553444258
Nonorganic psychosis,2.0796262910386214
Nonsyndromic Deafness,4.183164215961508
"Obesity, Morbid",3.7022275842267716
Obsessive-Compulsive Disorder,1.5181520103291934
Obstructive nephropathy,3.5742993412508848
oligodendroglioma,4.617527831652853
Oligospermia,1.8764625287369878
"Opitz GBBB Syndrome, X-Linked",14.679536181388192
Optic Atrophy,2.426009959751054
Optic Atrophy 1,5.418105232442718
Oral Cavity Carcinoma,3.6664062407128264
Oropharyngeal Carcinoma,13.108603280279693
Osteitis Deformans,11.558858859731552
"Osteoarthritis, Knee",0.5577893598973158
"Osteoporosis, Postmenopausal",8.852969347568063
Ovarian clear cell carcinoma,10.0887575205085
"Ovarian Failure, Premature",6.032028986453962
PACHYONYCHIA CONGENITA 3,9.540195474187
Pancreatic intraepithelial neoplasia,5.152563620305355
Pancreatic Neoplasm,4.331644472051446
Pancreatitis,4.803757248212128
"Pancreatitis, Chronic",3.583805845410382
