,0
Abnormality of the skeletal system,0.6064333645896921
Absence Epilepsy,0.1227706666929924
Acoustic Neuroma,1.7819008868447312
Acquired Hypogammaglobulinemia,1.5892189928644207
Acromegaly,2.412009632741928
ACTH-Secreting Pituitary Adenoma,0.11878464968907544
Actinic keratosis,0.21024266895198912
Acute Chest Syndrome,1.2110831196543486
Acute Coronary Syndrome,1.2232151974288459
Acute Erythroblastic Leukemia,0.5751343405674197
Acute GVH disease,1.1846368229567033
Acute Megakaryocytic Leukemias,1.2713791422033525
Acute monoblastic leukemia,0.4288269533761282
Acute myelomonocytic leukemia,0.368231424901321
Acute pancreatitis,0.7221288138981962
Acute respiratory distress,0.7106914660416986
Acute Undifferentiated Leukemia,0.34523054269467107
Adenocarcinoma of colon,0.6905170327303292
Adenocarcinoma Of Esophagus,0.5557086997619675
Adenocarcinoma of large intestine,1.1031917767478683
Adenocarcinoma of pancreas,0.4957634708176398
Adenocarcinoma of prostate,0.5168522443859324
Adenocarcinoma of rectum,0.1054223804168744
Adenocarcinoma of small intestine,0.7991708915331108
"Adenocarcinoma, Clear Cell",0.33391937580593944
"Adenocarcinoma, Endometrioid",0.5637988538950999
Adenoid Cystic Carcinoma,0.6757255303814398
Adenoma of large intestine,0.6145259317512066
Adenomatous Polyps,0.7321914796488267
Adenosquamous carcinoma,0.6915375390493262
Adolescent idiopathic scoliosis,1.192685646652089
Adrenal Cortical Adenoma,1.2978948713235527
Adrenal cortical hypofunction,0.10432214058418848
Adrenal Gland Pheochromocytoma,1.0867485237030639
Adrenocortical carcinoma,0.6725973792719193
Adrenoleukodystrophy,0.6727641542576883
Adult Acute Monocytic Leukemia,0.07723984249357277
Adult Acute Myeloblastic Leukemia,0.3804355948514475
Adult Anaplastic Large Cell Lymphoma,1.1947079103363398
Adult Angiosarcoma,0.621397502243205
Adult B Acute Lymphoblastic Leukemia,0.35799536755644273
Adult Burkitt Lymphoma,0.42120064698927717
Adult Classical Hodgkin Lymphoma,1.2343616306740104
Adult Ependymoma,0.3507572219532075
Adult Erythroleukemia,0.6277734745335761
Adult Fibrosarcoma,0.8420190663268105
Adult Hepatocellular Carcinoma,0.5155855090230916
Adult Hodgkin Lymphoma,0.7901119389103285
Adult Leiomyosarcoma,0.3411740129660684
Adult Liposarcoma,0.5895132542681464
Adult Lymphoblastic Lymphoma,0.1565806023491883
Adult Malignant Peripheral Nerve Sheath Tumor,0.6035264404585919
Adult Meningioma,0.5223567566674512
Adult Myelodysplastic Syndrome,0.4562057167170593
Adult Non-Hodgkin Lymphoma,0.4489556321593012
Adult Oligodendroglioma,0.2633986091439809
Adult Pilocytic Astrocytoma,1.5867444078401087
Adult Soft Tissue Sarcoma,1.0599569334220629
Adult Synovial Sarcoma,0.6473914792904459
Adult type dermatomyositis,1.0119854908024573
Adult-Onset Still Disease,0.9312140635909519
Advanced breast cancer,0.5096237269537424
Age-related cataract,0.5948556494036626
Agenesis,0.5961140798073763
Agenesis of corpus callosum,0.44113423573979815
Aggressive Non-Hodgkin Lymphoma,0.6741528476522476
Agnosia for Pain,0.21736362887609695
AICARDI-GOUTIERES SYNDROME,1.0025285077201884
AIDS related complex,0.23594840621058433
Alcohol or Other Drugs use,0.16315046161921531
Alcohol Use Disorder,0.3094720980376273
"Alcoholic Intoxication, Chronic",0.8312142752883863
Allergic asthma,1.6000817038479092
Allergic rhinitis (disorder),1.3240799728826826
Alopecia,0.43060395735464857
alpha-Thalassemia,0.4567723683558393
alpha^+^ Thalassemia,0.31174420378728396
Alveolar rhabdomyosarcoma,1.332515772453455
Alveolar Soft Part Sarcoma,0.6042152913963534
"Alzheimer Disease, Early Onset",1.0141465394425424
"Alzheimer disease, familial, type 3",0.9976380914362513
"Alzheimer Disease, Late Onset",0.8619807209932686
Ameloblastoma,1.352931064415052
Amnesia,0.68160624839518
AMYOTROPHIC LATERAL SCLEROSIS 1,0.270105610567919
"Amyotrophic Lateral Sclerosis, Familial",0.5677267008431336
"Amyotrophic Lateral Sclerosis, Sporadic",0.37791288972505327
Anaplastic astrocytoma,0.9966210527617847
Anaplastic thyroid carcinoma,0.5030795437038835
Anastomosis,0.35755752303645183
androgen independent prostate cancer,0.8613042603785286
Androgen-Insensitivity Syndrome,0.905328792939593
"Anemia, Diamond-Blackfan",0.0895742945558544
"Anemia, Hemolytic",0.8975944001074245
"Anemia, severe",0.7824496969402924
"Anemia, Sickle Cell",0.9045760371223954
Angelman Syndrome,-0.02166192302477726
Angioimmunoblastic Lymphadenopathy,0.5332874154114874
Anhedonia,0.08979527207175947
Anorexia Nervosa,1.5355340956050585
Anthrax disease,1.2469427565121551
Aortic Aneurysm,0.6880302107488699
Aortic aneurysm without mention of rupture NOS,0.6426894820558124
Aortic Valve Insufficiency,0.7886343343234196
Aortic Valve Stenosis,0.765323711866803
Aplasia Cutis Congenita,0.5447640248804073
Aplastic Anemia,1.4541059042356241
"Arthritis, Psoriatic",1.043327889364317
Arthrogryposis,0.04538460224729392
Asthenozoospermia,0.010627554675689814
Ataxia Telangiectasia,0.22095821173850388
"Ataxia, Spinocerebellar",0.2428325728577828
Atherosclerotic lesion,0.7924814672732808
Atherothrombosis,0.7988969853457462
Atrial Premature Complexes,0.806883758760539
ATRICHIA WITH PAPULAR LESIONS,1.1389027049498728
Atypical Teratoid Rhabdoid Tumor,0.17175100602985868
"AURAL ATRESIA, CONGENITAL",0.5792442318095297
Autoimmune arthritis,0.6094160633113711
Autoinflammatory disease,1.163028384494788
Autosomal dominant retinitis pigmentosa,0.17476043183059434
Avellino corneal dystrophy,1.1986654418223959
Axonal neuropathy,1.1348455533158914
Azoospermia,0.7266728327357623
"B-CELL MALIGNANCY, LOW-GRADE",0.9635202512790229
Bacteremia,1.5778995444263342
Barrett Esophagus,0.783041524472798
Basal-Like Breast Carcinoma,0.701170271260446
Beckwith-Wiedemann Syndrome,1.3589637501478364
Behcet Syndrome,1.7837284396475925
Benign melanocytic nevus,0.4418738703235438
Bernard-Soulier Syndrome,0.4903422896984829
beta Thalassemia,0.7015616049584757
beta^+^ Thalassemia,0.5910014367522817
Bicuspid aortic valve,1.6670737573804177
Bilateral cataracts (disorder),1.045212846381296
Biliary Atresia,2.465902205453416
Biliary Tract Cancer,0.47587893976348034
Blast Phase,0.386890294063292
Blastic plasmacytoid dendritic cell neoplasm,0.301512245230966
Blood spots,0.34418937534122507
Bloom Syndrome,0.7061762746559279
bone destruction,0.8084288359008946
Borderline Personality Disorder,0.5428180940849668
Brain Ischemia,0.5240014195114789
"Brain Tumor, Primary",0.9363883620259174
Breast adenocarcinoma,0.5857395213209345
"Breast Cancer, Familial",1.9880737730382354
Bronchioloalveolar Adenocarcinoma,0.31430097752633585
Bronchopulmonary Dysplasia,0.7529218495683458
Brucellosis,0.6086786294704605
Brugada Syndrome (disorder),0.5057339416845544
"Bulbo-Spinal Atrophy, X-Linked",0.5407218990094731
Bullous pemphigoid,2.3822653860213476
Cancer cachexia,1.1411947715115067
Cancer of Nasopharynx,0.3039799516188385
Cannabis use,0.047424844819778274
Carcinoma of larynx,0.5070553934756851
"Carcinoma of urinary bladder, invasive",0.9528756044608453
"Carcinoma, Endometrioid",0.3628217126979492
"Carcinoma, Lewis Lung",1.2595118264239777
"Carcinoma, Papillary",0.9509058266373713
"Carcinoma, Small Cell",1.2309332522600018
"Carcinoma, Spindle-Cell",0.4137655432949881
Carcinosarcoma,0.6905862735157329
Cardiac Arrest,0.6066703431206721
Cardiac fibrosis,1.0391298013623669
Carotid Atherosclerosis,0.8251673808403962
Carotid Stenosis,1.2111567554088594
Cataract,0.6539161112130447
Cavernous Hemangioma of Brain,1.5581825147168007
Celiac Disease,1.269031543589126
Central Serous Chorioretinopathy,0.3501294201036285
Cerebellar atrophy,0.04036050096214078
Cerebral atrophy,0.586772859521546
Cerebral Palsy,0.18007894877987426
Cervical Intraepithelial Neoplasia,0.4208477757562698
Cervical Squamous Cell Carcinoma,0.7246781464609199
Chagas Disease,0.5440216945033098
Charcot-Marie-Tooth Disease,0.15781094166739482
Chikungunya Fever,0.9482765939928408
Childhood Acute Monocytic Leukemia,0.07834146954070421
Childhood Acute Myeloid Leukemia,0.4382567464959629
Childhood Anaplastic Large Cell Lymphoma,1.1868458152840564
Childhood Angiosarcoma,0.582342964105223
Childhood asthma,0.592536288151614
Childhood B Acute Lymphoblastic Leukemia,0.3721860139371961
Childhood Burkitt Lymphoma,0.46975614417282835
Childhood Ependymoma,0.4177326158248878
Childhood Hepatocellular Carcinoma,0.5153959506773484
Childhood Hodgkin Lymphoma,0.7054034523884646
Childhood Kidney Wilms Tumor,0.6828834788736591
Childhood Leiomyosarcoma,0.39920297157929346
Childhood Liposarcoma,0.6044924085767845
Childhood Lymphoblastic Lymphoma,0.15375597420925316
Childhood Malignant Peripheral Nerve Sheath Tumor,0.6913292705453329
Childhood Myelodysplastic Syndrome,0.4458037514326815
Childhood Non-Hodgkin Lymphoma,0.42774900000037697
Childhood Oligodendroglioma,0.29372548956287137
Childhood Pilocytic Astrocytoma,1.1651951767575526
Childhood Soft Tissue Sarcoma,1.0112065815419962
Childhood Synovial Sarcoma,0.5769045514619974
Childhood T Acute Lymphoblastic Leukemia,0.6575829522787496
Cholera,0.5215149749667454
Cholestasis,0.41216830354867284
Cholesteatoma,0.6788551864166008
Chondrosarcoma,0.721933549451646
Chordoma,0.3201136738202392
Choriocarcinoma,0.9714073374287355
Chronic active hepatitis,0.2840672504287799
Chronic graft-versus-host disease,1.093908980286157
Chronic heart failure,1.2141476264190274
Chronic myeloproliferative disorder,0.39545891742953215
Chronic schizophrenia,0.30534104381704347
"Cicatrix, Hypertrophic",1.1737537728707266
Classical Hodgkin's Lymphoma,1.071488901073663
Clear Cell Sarcoma of Soft Tissue,0.8555778800347587
Clear-cell metastatic renal cell carcinoma,0.5970870331229261
Cleft Lip with or without Cleft Palate,0.7776224093353226
Cleft Palate,0.6973883191024376
Cleft palate with cleft lip,2.194823683198157
"Cleft palate, isolated",0.5754143306063038
Cleft upper lip,0.10365206939059396
Clostridium; difficile (disorder),0.22349490604346087
Cockayne Syndrome,1.4509632180321739
Coffin-Siris syndrome,1.004775895095373
Combined immunodeficiency,1.1725408079363042
Common Variable Immunodeficiency,1.636262644616887
Complete atrioventricular block,1.328543549512899
Complicated malaria,0.8003288055414253
Cone-Rod Dystrophy 2,0.2881453359835606
Congenital atresia of extrahepatic bile duct,2.4012989415003316
Congenital cataract,0.5663252372657885
Coronary Stenosis,0.854643714209045
Craniosynostosis,1.1587965075275855
Creutzfeldt-Jakob disease,0.15117090711849498
Cryptorchidism,0.0992568890200527
Cushing Syndrome,1.6421805947810488
Cutaneous Mastocytosis,0.35087119065896005
Cutaneous Melanoma,0.44884667411223395
Cyst,0.8926794568287246
"Cystadenocarcinoma, Serous",0.35437540246408306
Cystic kidney,0.6920958405853898
Cystitis,0.1818094250301864
Cytogenetically normal acute myeloid leukemia,0.2683228525773492
Decompression Sickness,0.23387707249456655
Deep Vein Thrombosis,1.8242844233405973
Dejerine-Sottas Disease (disorder),0.6857108424977785
"Dementia, Vascular",0.9907009053807702
Dengue Fever,1.0571642243367192
Dentatorubral-Pallidoluysian Atrophy,0.0953555173979363
Dermatitis,1.2948396192680625
Dermatomyositis,1.0531369274843636
Desmoplastic,0.2960599791622007
Deuteranomaly,0.14040492866594864
Diabetic Cardiomyopathies,0.6133886950310327
Diabetic peripheral neuropathy,0.6200140867890171
Differentiated Thyroid Gland Carcinoma,0.46135215877273067
DiGeorge Syndrome,0.064133738563467
Diphtheria,1.0828901025681519
Disease due to Parvoviridae,0.8258567974247785
Dissection of aorta,0.6911748572831907
DOSAGE-SENSITIVE SEX REVERSAL,0.8272361350708779
Drug Resistant Epilepsy,0.7496030155300412
Dry Eye Syndromes,1.075396327303859
Ductal Breast Carcinoma,0.5860307878847008
Ductal Carcinoma,0.6209926834970666
Dwarfism,1.0583329108204942
Dysautonomia,0.7358841329028983
Dyskinetic syndrome,1.0473367459939595
Dysmorphic features,0.34467121392935235
Dysmorphism,0.23909906614586066
Dysplastic Nevus,0.37726865636748874
Dystrophia myotonica 2,0.8994782286068078
"EAR, PATELLA, SHORT STATURE SYNDROME",0.6642379332453497
Early infantile epileptic encephalopathy with suppression bursts,0.18139540869890797
Early-Stage Breast Carcinoma,0.4589334449872077
Eclampsia,2.311473628144067
"ECTRODACTYLY, ECTODERMAL DYSPLASIA, AND CLEFT LIP/PALATE SYNDROME 1",0.6959050765316886
Elastosis perforans serpiginosa,0.11360258147141071
Embryonal Carcinoma,0.4914287094896302
Embryonal Rhabdomyosarcoma,0.6397076642293342
Encephalitis,1.3778670627135654
"Encephalitis, St. Louis",1.243818250724706
Endometrial adenocarcinoma,1.5951169578991595
Endometrial Hyperplasia,0.5520169416257562
Endometriosis of ovary,0.8810527322003688
Endometriosis of uterus,0.29187269625499207
Enteritis,1.4590231574544879
Eosinophilia,1.2233563687496904
Eosinophilic esophagitis,1.3704126762349913
