,0
Abnormality of the skeletal system,0.23301572418084465
Acoustic Neuroma,0.19525720926699663
Acquired Hypogammaglobulinemia,1.3917844229066922
Acromegaly,0.05988538345302649
ACTH-Secreting Pituitary Adenoma,0.262361955843865
Actinic keratosis,-0.06136122187475452
Acute Chest Syndrome,0.4150169717616138
Acute Coronary Syndrome,0.36543715059219617
Acute Erythroblastic Leukemia,0.017976227127908136
Acute GVH disease,0.395330517216963
Acute Megakaryocytic Leukemias,0.1750692316362517
Acute monoblastic leukemia,0.14468895849317773
Acute myelomonocytic leukemia,0.09476973733278696
Acute pancreatitis,0.19095924934859743
Acute respiratory distress,0.49017072983684895
Acute Undifferentiated Leukemia,0.04457760379190189
Adenocarcinoma of colon,0.07116235281503784
Adenocarcinoma Of Esophagus,0.07015542179225256
Adenocarcinoma of large intestine,0.06344318096022983
Adenocarcinoma of pancreas,0.02690920842103273
Adenocarcinoma of prostate,0.018504308719030558
Adenocarcinoma of rectum,0.0125512260754784
Adenocarcinoma of small intestine,0.017573670732670854
"Adenocarcinoma, Clear Cell",0.20094757904046784
"Adenocarcinoma, Endometrioid",-0.0629228759242844
Adenoid Cystic Carcinoma,0.07358740771236552
Adenoma of large intestine,0.16587373386425822
Adenomatous Polyps,0.37279179720532146
Adenosquamous carcinoma,0.01390656926020436
Adolescent idiopathic scoliosis,0.2815187450590778
Adrenal Cortical Adenoma,0.41520954058531445
Adrenal cortical hypofunction,0.07836930346341052
Adrenal Gland Pheochromocytoma,0.13379283758147456
Adrenocortical carcinoma,0.05985060297660761
Adrenoleukodystrophy,0.21558361978684593
Adult Acute Monocytic Leukemia,0.0415289632324745
Adult Acute Myeloblastic Leukemia,0.18417347275430493
Adult Anaplastic Large Cell Lymphoma,0.12039868974410732
Adult Angiosarcoma,0.16725954066744336
Adult B Acute Lymphoblastic Leukemia,0.5251724003402456
Adult Burkitt Lymphoma,0.09157980237069828
Adult Classical Hodgkin Lymphoma,0.21214403374443647
Adult Ependymoma,0.03307729047259782
Adult Erythroleukemia,0.04794688949359064
Adult Fibrosarcoma,0.08398240650860939
Adult Hepatocellular Carcinoma,0.07918358261543064
Adult Hodgkin Lymphoma,0.231054484608962
Adult Leiomyosarcoma,0.16950666218874733
Adult Liposarcoma,0.13604044147955446
Adult Lymphoblastic Lymphoma,0.38683540129215066
Adult Malignant Peripheral Nerve Sheath Tumor,-0.11766684846545455
Adult Meningioma,0.07584708714289716
Adult Myelodysplastic Syndrome,0.156823795769526
Adult Non-Hodgkin Lymphoma,0.10553378364627258
Adult Oligodendroglioma,0.0015426524091118883
Adult Pilocytic Astrocytoma,0.19727599747198524
Adult Soft Tissue Sarcoma,0.20969644654229933
Adult Synovial Sarcoma,0.040348616361458846
Adult type dermatomyositis,0.6068384699288003
Adult-Onset Still Disease,1.5722366466095716
Advanced breast cancer,0.03532387152670978
Age-related cataract,0.3126187774188431
Agenesis,0.3284475288866077
Agenesis of corpus callosum,0.06154223683626455
Aggressive Non-Hodgkin Lymphoma,-0.022609593673608232
Agnosia for Pain,0.30747333477068006
AICARDI-GOUTIERES SYNDROME,0.06318754963382979
AIDS related complex,0.056469995740471755
Alcohol or Other Drugs use,0.26282277249800196
Alcohol Use Disorder,0.2861775681806606
"Alcoholic Intoxication, Chronic",0.2235107558908361
Allergic asthma,0.4607545599072639
Allergic rhinitis (disorder),0.45646691749622115
Alopecia,0.23136818402849943
alpha-Thalassemia,0.041323958135533585
alpha^+^ Thalassemia,-0.012050327386432696
Alveolar rhabdomyosarcoma,0.04132271236858172
Alveolar Soft Part Sarcoma,0.3492355359564635
"Alzheimer Disease, Early Onset",0.4037406166049762
"Alzheimer disease, familial, type 3",0.4965134957253502
"Alzheimer Disease, Late Onset",0.18756978498848131
Ameloblastoma,0.3255483077929051
Amnesia,0.10950468289635544
