random_means	random_medians	top_k_mean	top_k_median	k	0	1	2-5	6-10	11-20	21+
1.0	0.0	6.435643564356436	5.0	100	0	4	67	16	12	2
1.45	0.0	6.435643564356436	5.0	100	0	4	67	16	12	2
1.09	0.0	6.435643564356436	5.0	100	0	4	67	16	12	2
1.25	0.5	6.435643564356436	5.0	100	0	4	67	16	12	2
1.14	1.0	6.435643564356436	5.0	100	0	4	67	16	12	2
1.56	1.0	6.435643564356436	5.0	100	0	4	67	16	12	2
1.43	1.0	6.435643564356436	5.0	100	0	4	67	16	12	2
1.37	0.0	6.435643564356436	5.0	100	0	4	67	16	12	2
1.21	0.0	6.435643564356436	5.0	100	0	4	67	16	12	2
0.87	0.0	6.435643564356436	5.0	100	0	4	67	16	12	2
1.15	0.0	6.435643564356436	5.0	100	0	4	67	16	12	2
0.84	0.0	6.435643564356436	5.0	100	0	4	67	16	12	2
1.13	0.0	6.435643564356436	5.0	100	0	4	67	16	12	2
1.41	0.5	6.435643564356436	5.0	100	0	4	67	16	12	2
1.2	0.0	6.435643564356436	5.0	100	0	4	67	16	12	2
1.01	0.0	6.435643564356436	5.0	100	0	4	67	16	12	2
1.04	0.0	6.435643564356436	5.0	100	0	4	67	16	12	2
1.03	0.0	6.435643564356436	5.0	100	0	4	67	16	12	2
1.44	1.0	6.435643564356436	5.0	100	0	4	67	16	12	2
0.78	0.0	6.435643564356436	5.0	100	0	4	67	16	12	2
0.79	0.0	6.435643564356436	5.0	100	0	4	67	16	12	2
1.88	1.0	6.435643564356436	5.0	100	0	4	67	16	12	2
1.13	0.0	6.435643564356436	5.0	100	0	4	67	16	12	2
1.21	0.0	6.435643564356436	5.0	100	0	4	67	16	12	2
1.5	0.0	6.435643564356436	5.0	100	0	4	67	16	12	2
1.28	0.0	6.435643564356436	5.0	100	0	4	67	16	12	2
1.29	0.0	6.435643564356436	5.0	100	0	4	67	16	12	2
1.3	0.0	6.435643564356436	5.0	100	0	4	67	16	12	2
1.04	0.5	6.435643564356436	5.0	100	0	4	67	16	12	2
0.85	0.0	6.435643564356436	5.0	100	0	4	67	16	12	2
0.94	0.5	6.435643564356436	5.0	100	0	4	67	16	12	2
1.15	0.0	6.435643564356436	5.0	100	0	4	67	16	12	2
1.08	1.0	6.435643564356436	5.0	100	0	4	67	16	12	2
1.11	1.0	6.435643564356436	5.0	100	0	4	67	16	12	2
1.31	0.0	6.435643564356436	5.0	100	0	4	67	16	12	2
1.29	0.0	6.435643564356436	5.0	100	0	4	67	16	12	2
0.96	0.0	6.435643564356436	5.0	100	0	4	67	16	12	2
1.23	1.0	6.435643564356436	5.0	100	0	4	67	16	12	2
1.64	0.0	6.435643564356436	5.0	100	0	4	67	16	12	2
1.11	0.0	6.435643564356436	5.0	100	0	4	67	16	12	2
1.23	0.0	6.435643564356436	5.0	100	0	4	67	16	12	2
1.08	1.0	6.435643564356436	5.0	100	0	4	67	16	12	2
1.63	0.0	6.435643564356436	5.0	100	0	4	67	16	12	2
0.99	0.0	6.435643564356436	5.0	100	0	4	67	16	12	2
1.23	0.0	6.435643564356436	5.0	100	0	4	67	16	12	2
0.97	0.0	6.435643564356436	5.0	100	0	4	67	16	12	2
0.92	0.0	6.435643564356436	5.0	100	0	4	67	16	12	2
0.89	0.0	6.435643564356436	5.0	100	0	4	67	16	12	2
1.41	0.0	6.435643564356436	5.0	100	0	4	67	16	12	2
1.78	1.0	6.435643564356436	5.0	100	0	4	67	16	12	2
1.14	0.0	6.435643564356436	5.0	100	0	4	67	16	12	2
1.02	1.0	6.435643564356436	5.0	100	0	4	67	16	12	2
1.25	0.0	6.435643564356436	5.0	100	0	4	67	16	12	2
0.99	0.5	6.435643564356436	5.0	100	0	4	67	16	12	2
