random_means	random_medians	top_k_mean	top_k_median	k	0	1	2-5	6-10	11-20	21+
0.69	0.0	6.425742574257426	4.0	100	5	8	49	21	12	6
0.87	0.0	6.425742574257426	4.0	100	5	8	49	21	12	6
0.78	0.0	6.425742574257426	4.0	100	5	8	49	21	12	6
0.73	0.0	6.425742574257426	4.0	100	5	8	49	21	12	6
0.87	0.0	6.425742574257426	4.0	100	5	8	49	21	12	6
0.78	0.0	6.425742574257426	4.0	100	5	8	49	21	12	6
0.58	0.0	6.425742574257426	4.0	100	5	8	49	21	12	6
0.73	0.0	6.425742574257426	4.0	100	5	8	49	21	12	6
0.89	0.0	6.425742574257426	4.0	100	5	8	49	21	12	6
0.95	0.0	6.425742574257426	4.0	100	5	8	49	21	12	6
1.13	0.0	6.425742574257426	4.0	100	5	8	49	21	12	6
0.8	0.0	6.425742574257426	4.0	100	5	8	49	21	12	6
0.72	0.0	6.425742574257426	4.0	100	5	8	49	21	12	6
0.6	0.0	6.425742574257426	4.0	100	5	8	49	21	12	6
1.13	0.0	6.425742574257426	4.0	100	5	8	49	21	12	6
0.83	0.0	6.425742574257426	4.0	100	5	8	49	21	12	6
0.57	0.0	6.425742574257426	4.0	100	5	8	49	21	12	6
0.89	0.0	6.425742574257426	4.0	100	5	8	49	21	12	6
0.76	0.0	6.425742574257426	4.0	100	5	8	49	21	12	6
0.81	0.0	6.425742574257426	4.0	100	5	8	49	21	12	6
0.57	0.0	6.425742574257426	4.0	100	5	8	49	21	12	6
0.69	0.0	6.425742574257426	4.0	100	5	8	49	21	12	6
0.61	0.0	6.425742574257426	4.0	100	5	8	49	21	12	6
0.69	0.0	6.425742574257426	4.0	100	5	8	49	21	12	6
0.59	0.0	6.425742574257426	4.0	100	5	8	49	21	12	6
0.49	0.0	6.425742574257426	4.0	100	5	8	49	21	12	6
0.83	0.0	6.425742574257426	4.0	100	5	8	49	21	12	6
0.76	0.0	6.425742574257426	4.0	100	5	8	49	21	12	6
0.68	0.0	6.425742574257426	4.0	100	5	8	49	21	12	6
0.84	0.0	6.425742574257426	4.0	100	5	8	49	21	12	6
0.73	0.0	6.425742574257426	4.0	100	5	8	49	21	12	6
0.51	0.0	6.425742574257426	4.0	100	5	8	49	21	12	6
0.48	0.0	6.425742574257426	4.0	100	5	8	49	21	12	6
0.68	0.0	6.425742574257426	4.0	100	5	8	49	21	12	6
0.73	0.0	6.425742574257426	4.0	100	5	8	49	21	12	6
