random_means	random_medians	top_k_mean	top_k_median	k	0	1	2-5	6-10	11-20	21+
1.05	0.0	12.287128712871286	13.0	100	0	4	15	15	58	9
1.55	1.0	12.287128712871286	13.0	100	0	4	15	15	58	9
1.1	1.0	12.287128712871286	13.0	100	0	4	15	15	58	9
1.24	1.0	12.287128712871286	13.0	100	0	4	15	15	58	9
1.2	1.0	12.287128712871286	13.0	100	0	4	15	15	58	9
1.35	0.0	12.287128712871286	13.0	100	0	4	15	15	58	9
1.22	1.0	12.287128712871286	13.0	100	0	4	15	15	58	9
1.88	1.0	12.287128712871286	13.0	100	0	4	15	15	58	9
1.46	1.0	12.287128712871286	13.0	100	0	4	15	15	58	9
1.43	1.0	12.287128712871286	13.0	100	0	4	15	15	58	9
0.92	0.5	12.287128712871286	13.0	100	0	4	15	15	58	9
1.56	1.0	12.287128712871286	13.0	100	0	4	15	15	58	9
1.38	1.0	12.287128712871286	13.0	100	0	4	15	15	58	9
1.21	1.0	12.287128712871286	13.0	100	0	4	15	15	58	9
1.22	1.0	12.287128712871286	13.0	100	0	4	15	15	58	9
1.41	1.0	12.287128712871286	13.0	100	0	4	15	15	58	9
1.47	1.0	12.287128712871286	13.0	100	0	4	15	15	58	9
1.15	1.0	12.287128712871286	13.0	100	0	4	15	15	58	9
1.3	1.0	12.287128712871286	13.0	100	0	4	15	15	58	9
1.2	1.0	12.287128712871286	13.0	100	0	4	15	15	58	9
1.34	1.0	12.287128712871286	13.0	100	0	4	15	15	58	9
1.12	1.0	12.287128712871286	13.0	100	0	4	15	15	58	9
1.33	1.0	12.287128712871286	13.0	100	0	4	15	15	58	9
1.49	1.0	12.287128712871286	13.0	100	0	4	15	15	58	9
0.95	1.0	12.287128712871286	13.0	100	0	4	15	15	58	9
1.56	1.0	12.287128712871286	13.0	100	0	4	15	15	58	9
1.48	1.0	12.287128712871286	13.0	100	0	4	15	15	58	9
1.47	1.0	12.287128712871286	13.0	100	0	4	15	15	58	9
1.26	1.0	12.287128712871286	13.0	100	0	4	15	15	58	9
1.36	1.0	12.287128712871286	13.0	100	0	4	15	15	58	9
1.01	0.0	12.287128712871286	13.0	100	0	4	15	15	58	9
1.11	1.0	12.287128712871286	13.0	100	0	4	15	15	58	9
1.42	1.0	12.287128712871286	13.0	100	0	4	15	15	58	9
1.17	0.0	12.287128712871286	13.0	100	0	4	15	15	58	9
1.29	1.0	12.287128712871286	13.0	100	0	4	15	15	58	9
1.43	1.0	12.287128712871286	13.0	100	0	4	15	15	58	9
1.52	1.0	12.287128712871286	13.0	100	0	4	15	15	58	9
1.33	1.0	12.287128712871286	13.0	100	0	4	15	15	58	9
1.0	0.0	12.287128712871286	13.0	100	0	4	15	15	58	9
1.37	1.0	12.287128712871286	13.0	100	0	4	15	15	58	9
1.38	1.0	12.287128712871286	13.0	100	0	4	15	15	58	9
0.92	0.0	12.287128712871286	13.0	100	0	4	15	15	58	9
1.51	1.0	12.287128712871286	13.0	100	0	4	15	15	58	9
1.05	1.0	12.287128712871286	13.0	100	0	4	15	15	58	9
1.11	1.0	12.287128712871286	13.0	100	0	4	15	15	58	9
1.2	1.0	12.287128712871286	13.0	100	0	4	15	15	58	9
1.12	1.0	12.287128712871286	13.0	100	0	4	15	15	58	9
1.24	1.0	12.287128712871286	13.0	100	0	4	15	15	58	9
1.05	1.0	12.287128712871286	13.0	100	0	4	15	15	58	9
1.05	1.0	12.287128712871286	13.0	100	0	4	15	15	58	9
1.09	1.0	12.287128712871286	13.0	100	0	4	15	15	58	9
1.12	1.0	12.287128712871286	13.0	100	0	4	15	15	58	9
