Node_A	Node_B
4193	7157
4193	6125
4193	2033
4193	6667
4193	28996
4193	4683
4193	10524
4193	11200
4193	23411
4193	6714
4193	5970
4193	11186
4193	83737
4193	857
4193	25898
4193	7329
4193	133746
4193	672
4193	3320
4193	55367
4193	7027
4193	2355
4193	354
4193	1728
4193	5524
4193	5617
4193	4209
4193	2889
4193	5578
4193	2475
4193	2335
4193	8554
4193	4149
4193	3654
4193	5460
4193	4478
4193	64344
4193	9826
4193	5879
4193	1031
4193	1019
4193	1540
4193	429
4193	836
4193	3611
4193	5829
4193	5347
4193	5290
4193	3558
4193	5579
4193	896
4193	8600
4193	983
4193	2175
4193	841
4193	6462
4193	5728
4193	6885
4193	3066
4193	3065
4193	2623
4193	7786
4193	5329
4193	1272
4193	51285
4193	6446
4193	3565
4193	3091
4193	382
4193	3383
4193	6934
4193	4603
4193	3265
4193	7428
4193	5581
4193	3643
4193	79155
4193	54205
4193	3827
4193	1871
4193	5058
4193	246778
4193	7040
4193	6347
4193	2625
4193	86
4193	6257
4193	2876
4193	801
4193	4088
4193	2099
4193	57662
4193	5566
4193	156
4193	207
4193	9021
4193	998
4193	23235
4193	920
4193	5567
4193	4089
4193	4914
4193	4086
4193	11148
4193	3458
4193	8717
4193	6777
4193	5045
4193	1499
4193	5595
4193	5747
4193	2549
4193	3171
4193	3630
4193	3673
4193	6502
4193	8915
4193	916
4193	3667
4193	2308
4193	2885
4193	405
4193	2264
4193	995
4193	596
4193	3932
4193	9261
4193	4843
4193	6776
4193	5604
4193	1432
4193	598
4193	3481
4193	1960
4193	58
4193	6654
4193	5499
4193	6591
4193	4502
4193	5137
4193	25913
4193	6464
4193	3725
4193	2353
4193	7533
4193	7133
4193	8611
4193	3914
4193	4303
4193	3682
4193	5331
4193	11213
4193	6774
4193	29949
4193	4312
4193	8476
4193	5284
4193	4313
4193	847
4193	2768
7157	1026
7157	596
7157	4609
7157	5728
7157	545
7157	1387
7157	28996
7157	8493
7157	6667
7157	332
7157	5925
7157	10524
7157	578
7157	5888
7157	3065
7157	1499
7157	1647
7157	57103
7157	2908
7157	5300
7157	10891
7157	1956
7157	54205
7157	1027
7157	10075
7157	7040
7157	9518
7157	3066
7157	4843
7157	23410
7157	3725
7157	1655
7157	644353
7157	407040
7157	1758
7157	5599
7157	2113
7157	3551
7157	1432
7157	64781
7157	4313
7157	6772
7157	1263
7157	27244
7157	22933
7157	207
7157	26959
7157	3315
7157	5879
7157	5594
7157	5328
7157	9212
7157	51065
7157	324
7157	84148
7157	64065
7157	2810
7157	1877
7157	3082
7157	9261
7157	4361
7157	3090
7157	6880
7157	5458
7157	4800
7157	4233
7157	5457
7157	6446
7157	2232
7157	639
7157	84335
7157	834
7157	4137
7157	5515
7157	1977
7157	3558
7157	1385
7157	2308
7157	7027
7157	7520
7157	3303
7157	1736
7157	665
7157	5536
7157	839
7157	632
7157	7076
7157	6696
7157	9759
7157	2353
7157	3586
7157	5757
7157	865
7157	1386
7157	55800
7157	4068
7157	5295
7157	4314
7157	2624
7157	5600
7157	2175
7157	8851
7157	1477
7157	7280
7157	5179
7157	6599
7157	3880
7157	6885
7157	273
7157	7018
7157	9612
7157	990
7157	1437
7157	2885
7157	177
7157	125997
7157	8554
7157	925
7157	7421
7157	6256
7157	1785
7157	5335
7157	5921
7157	6774
7157	5588
7157	1022
7157	868
7157	1436
7157	6839
7157	7448
7157	27255
7157	50943
7157	389
7157	5770
7157	57167
7157	1949
7157	2263
7157	1050
7157	4485
7157	4067
7157	5781
7157	9350
7157	149233
7157	5916
7157	25780
7157	6198
7157	3716
7157	4089
7157	8611
7157	2056
7157	4353
7157	6929
7157	4173
7157	11336
7157	3309
7157	1495
7157	58190
7157	1500
7157	3717
7157	805
7157	112744
7157	3688
7157	999
7157	627
7157	354
7157	367
7157	641
7157	27018
7157	55742
7157	961
7157	4914
7157	8073
7157	11143
7157	23368
7157	57154
7157	7124
7157	8976
7157	9542
7157	5315
7157	5606
7157	3479
7157	8738
7157	7037
7157	25
7157	1847
7157	3565
7157	860
7157	4214
7157	7083
7157	1649
7157	5366
7157	5657
7157	7291
7157	5582
