Node_A	Node_B
2	9440
351	348
351	27242
351	3934
351	9131
351	5440
351	55835
351	7316
351	3054
351	53335
351	54463
19	9319
19	8346
19	63933
19	10565
19	8363
19	5932
821	1756
821	51421
821	57488
821	7295
821	23451
821	7157
821	6829
1756	9554
1756	1605
1756	6233
1756	10848
1756	7529
2316	55355
2316	3832
2316	84074
2316	4043
2316	25945
2316	10109
2316	8366
2316	9757
2316	57332
2316	3015
2316	79833
2316	257397
2316	57621
2316	8351
2316	9440
2316	9927
2316	94103
2316	8697
2316	9894
2316	4613
2316	7532
2316	11073
2316	11335
2316	2260
2316	51690
2316	6628
2316	8367
2316	4001
2316	79738
2316	7314
2316	23568
2316	8294
2316	10728
2316	8936
3832	85235
3832	23648
3832	7316
3832	92421
3832	4793
3832	3856
10558	115106
10558	8161
10558	3065
10558	10592
10558	9440
10558	7018
10558	51529
10558	8356
7402	2043
7402	2059
7402	2250
7402	3015
7402	8450
7402	54461
7402	3552
7402	4609
7402	1785
287	7157
287	6118
287	8339
6833	6604
6833	90353
3767	152559
3767	11340
160	6421
160	10592
160	7186
160	8370
160	9739
160	27183
160	1665
160	23107
160	93035
160	54487
160	1108
160	8360
160	54815
160	154
160	1434
160	4851
23	1105
23	5332
23	4851
23	10229
23	3066
23	8364
23	11091
23	11335
23	6331
23	7936
23	55605
23	3265
23	10574
23	6233
23	7157
23	892
28974	1105
28974	2631
28974	3930
28974	5713
28974	7311
28974	57459
28974	582
28974	554313
28974	64708
28974	83987
28974	7159
28974	51185
28974	26986
28974	6500
28974	9101
28974	25842
1105	9276
1105	5052
1105	22803
1105	8365
1105	6929
1105	5439
1105	6426
1105	7311
1105	7159
1105	8828
1105	8290
1105	84823
1105	6790
1105	10693
1105	5441
9276	1660
9276	2631
9276	5332
9276	6421
9276	6428
9276	10270
9276	6714
9276	54888
9276	27161
9276	493
9276	868
9276	79084
9276	1281
9276	2186
9276	4851
9276	1654
9276	8464
9276	56915
9276	55212
9276	162427
9276	84333
9276	8208
9276	5294
9276	23060
57062	6421
57062	8394
57062	8366
57062	805
57062	5332
57062	153129
57062	10482
57062	7422
57062	6118
57062	2965
57062	3636
57062	54165
57062	2966
57062	5591
57062	7391
57062	10856
1660	3796
1660	10592
1660	4780
1660	55031
1660	84661
1660	2932
1660	3320
1660	7178
1660	9113
1660	4087
1660	7332
1660	8362
1660	6908
1660	11157
1660	29117
1660	84557
1660	80169
1660	5058
1660	1452
23028	1107
23028	8968
23028	8357
23028	6615
23028	6428
23028	7157
23028	22803
23028	5469
23028	8837
23028	7311
23028	23468
23028	6605
23028	2237
23028	165918
23028	1019
23028	60489
23028	9675
23028	836
23028	738
23028	8463
23028	23405
23028	50484
23028	154810
23028	473
23028	6233
23028	9477
23028	4297
23028	22976
23028	2968
23028	8370
23028	7813
23028	8354
23028	8330
23028	60
23028	5888
23028	1822
23028	8517
23028	6790
23028	6883
23028	126961
23028	4846
23028	26524
23028	6923
23028	8851
23028	7124
23028	4804
23028	8356
23028	3796
23028	4738
23028	9112
23028	8346
3796	7311
3796	6233
3796	1874
3796	8453
3796	4793
3796	7469
3796	3656
3796	30827
3796	3569
3796	9441
3796	55755
3796	8359
3796	29127
3796	572
4522	6428
4522	10919
4522	2059
4522	333932
4522	3579
4522	5978
4522	9079
4522	2177
4522	10920
4522	57819
4522	1869
4522	10482
4522	3875
4522	10155
4522	50813
4522	9636
2631	10592
2631	3015
2631	1869
2631	9493
2631	60684
2631	330
2631	3916
2631	85236
2631	638
2631	23286
2631	4609
2631	57215
2631	2960
2631	9094
5332	399687
5332	8454
5332	4690
5332	8368
5332	8359
5332	8650
5332	7029
5332	2081
5332	55031
5332	8362
5332	22976
5332	808
5332	4171
5052	22803
5052	8666
5052	6118
5052	8361
5052	3020
5052	2966
5052	1459
5052	1025
5052	790
5052	2068
5052	57464
5052	55763
5052	57117
5052	5571
5052	23476
5052	7029
6421	3728
6421	10038
6421	10749
6421	5433
6421	2959
6421	8356
6421	10111
6421	6383
6421	5728
6421	5435
6421	57103
6421	51586
6421	2244
10592	404672
10592	3479
10592	8531
10592	1232
10592	27161
10592	653604
10592	4793
10592	8737
10592	6249
10592	9070
10592	7703
10592	7334
10592	1457
10592	2271
10592	64127
10592	7027
10592	27095
10592	23279
6428	3936
6428	659
6428	5929
6428	3551
6428	2965
6428	4791
6428	4001
6428	10482
6428	3558
6428	26173
6428	10336
6428	57459
6428	8673
22803	91368
22803	5430
22803	6637
22803	5558
22803	5594
22803	55506
22803	10093
22803	7311
22803	54851
22803	2957
22803	672
22803	9183
22803	2068
22803	3934
22803	6829
22803	8841
22803	9400
22803	1024
22803	51692
22803	27304
64240	26512
64241	3725
55347	10036
55347	11218
55347	5430
55347	667
55347	3020
55347	3841
55347	7109
55347	2177
55347	7040
55347	207
55347	6015
55347	7316
55347	6667
55347	65109
55347	5594
55347	8294
55347	7341
55347	5931
9131	23568
9131	9349
9131	55610
9131	7533
9131	7534
9131	382
9131	7321
9131	585
9131	55140
9131	1876
9131	6233
9131	7189
9131	10423
9131	9757
9131	8878
9131	121504
9131	3066
9131	51592
9131	8347
9131	7316
9131	5931
9131	23047
9131	58485
9131	4999
9131	7311
9131	23635
23568	402
23568	7533
23568	51138
23568	1410
23568	5928
23568	9314
23568	2247
23568	9696
23568	3191
23568	9862
23568	3106
23568	10419
23568	6633
23568	64072
23568	2957
23568	81857
23568	207
403	7316
403	9094
403	6045
403	126961
403	8417
403	3480
403	2873
403	25945
403	3066
403	9798
403	5591
403	4928
403	63978
403	5784
403	9219
403	2874
403	10971
403	25906
25943	60561
25943	58508
25943	8480
25943	1025
25943	5929
25943	112464
25943	55173
25943	1642
25943	5976
25943	1027
25943	6829
25943	6455
25943	653604
25943	23054
25943	51548
25943	9493
25943	5286
25943	7311
112942	3192
112942	3836
112942	3093
112942	10131
112942	23077
112942	7314
112942	51690
112942	64919
112942	9969
112942	11140
112942	5928
112942	4756
112942	9094
112942	2959
112942	1017
112942	4967
112942	60
112942	56254
5147	6009
5147	7311
5147	3066
5147	84733
5147	699
5147	10787
5147	5329
5147	5695
5147	2966
5147	11157
5147	83987
5147	23054
5147	7529
5147	8337
5147	25820
5147	51692
5147	7316
5147	8370
5147	8367
5147	23118
9349	7311
9349	7316
9349	9094
9349	10971
9349	8360
9349	8454
9349	29882
9349	5515
9349	55802
9349	7314
9349	6667
9349	11140
9349	9611
9349	79083
9349	26092
9349	8535
9349	8350
6233	11047
6233	8313
6233	638
6233	79444
6233	8945
6233	8851
6233	51138
6233	1387
6233	8454
6233	55215
6233	2744
6233	8349
6233	92815
6233	3191
6233	3643
6233	221037
6233	3741
6233	4778
6233	4842
6233	9572
6233	55611
6233	5159
6233	5830
6233	5209
6233	55159
6233	55288
6233	165918
6233	6048
6233	4091
6233	64750
6233	10617
6233	7187
6233	7189
6233	7317
6233	7335
6233	51720
6233	8408
6233	9101
6233	7520
6233	7533
6233	5932
6233	8365
6233	10971
6233	7316
6233	857
6233	1616
6233	23411
6233	30009
6233	1230
6233	3015
6233	355
6233	25842
6233	8318
6233	8363
6233	8450
6233	3936
6233	10616
6233	10095
6233	8697
6233	6119
6233	8354
6233	7341
6233	1973
6233	4171
6233	153
6233	123169
6233	3604
6233	10419
6233	84898
6233	151648
6233	55613
6233	4300
6233	113510
6233	4172
6233	7158
6233	6628
6233	836
6233	5695
6233	9318
6233	7311
6233	2071
6233	6882
6233	5286
6233	10574
6233	10956
6233	10641
6233	554313
6233	1499
6233	5929
6233	10694
6233	598
6233	2073
6233	23165
6233	7015
6233	4116
6233	6790
6233	5685
6233	4841
6233	10025
6233	3012
6233	246175
6233	8364
6233	84305
6233	5976
6233	10097
6233	3195
6233	10673
6233	9282
6233	55755
6233	1665
6233	8347
6233	7005
6233	7436
6233	57224
6233	8368
6233	5921
6233	10898
6233	50717
6233	1778
6233	8405
6233	667
6233	399687
6233	2099
6233	64682
6233	440738
6233	2043
6233	2194
6233	6240
6233	9978
6233	5439
6233	6605
6233	55722
6233	10521
6233	3020
6233	64708
6233	3263
6233	8463
6233	51586
6233	63978
6233	8357
6233	8358
6233	7404
6233	8361
6233	867
6233	2492
6233	2065
6233	54888
6233	8452
6233	6189
6233	3934
6233	1439
6233	2146
6233	2147
6233	9851
6233	143187
6233	596
6233	3646
6233	8367
6233	23648
6233	6478
6233	2033
6233	64785
6233	27304
6233	3018
6233	10010
6233	93129
6233	7132
6233	998
6233	9219
6233	8829
6233	51068
6233	2547
6233	7003
6233	8663
6233	167227
6233	10499
6233	583
6233	4780
6233	723790
6233	7403
6233	790
6233	3725
6233	79991
6233	9908
6233	81631
6233	9685
6233	55559
6233	6348
6233	51433
6233	8436
6233	7469
6233	8546
6233	9672
6233	2957
6233	55072
6233	3576
6233	8208
6233	10423
6233	5438
6233	10155
6233	81607
6233	604
6233	7321
6233	26271
6233	8323
