,0
Abnormality of the skeletal system,2.65861553479718
Acoustic Neuroma,3.4835644082989967
Acquired Hypogammaglobulinemia,14.47034258002939
Acromegaly,0.6167784275408567
ACTH-Secreting Pituitary Adenoma,2.5609933081557568
Actinic keratosis,-0.8047457566990698
Acute Chest Syndrome,14.357831540399802
Acute Coronary Syndrome,10.659066968381167
Acute Erythroblastic Leukemia,0.45979745427208407
Acute GVH disease,8.256878238642464
Acute Megakaryocytic Leukemias,2.546395252284418
Acute monoblastic leukemia,1.5771848446278216
Acute myelomonocytic leukemia,1.3390243934968908
Acute pancreatitis,6.982713688521721
Acute respiratory distress,6.925364489576001
Acute Undifferentiated Leukemia,0.6765836687678504
Adenocarcinoma of colon,2.944259113411357
Adenocarcinoma Of Esophagus,3.452803970491783
Adenocarcinoma of large intestine,1.7681383429615907
Adenocarcinoma of pancreas,1.4862871916689022
Adenocarcinoma of prostate,0.6670993161940347
Adenocarcinoma of rectum,0.1043694496736623
Adenocarcinoma of small intestine,0.10773116109531213
"Adenocarcinoma, Clear Cell",1.904942013804307
"Adenocarcinoma, Endometrioid",-0.8068452326681534
Adenoid Cystic Carcinoma,1.5508451306494784
Adenoma of large intestine,3.655436826585553
Adenomatous Polyps,5.336176240093688
Adenosquamous carcinoma,0.14137552605630008
Adolescent idiopathic scoliosis,3.068148209453935
Adrenal Cortical Adenoma,4.485458508199938
Adrenal cortical hypofunction,1.7369081323276039
Adrenal Gland Pheochromocytoma,5.7851874067217794
Adrenocortical carcinoma,1.735284085772127
Adrenoleukodystrophy,4.656385085228376
Adult Acute Monocytic Leukemia,0.545079233779921
Adult Acute Myeloblastic Leukemia,2.5598888144969867
Adult Anaplastic Large Cell Lymphoma,2.0013713161952924
Adult Angiosarcoma,2.682971068555829
Adult B Acute Lymphoblastic Leukemia,3.92117339799225
Adult Burkitt Lymphoma,4.119128881095059
Adult Classical Hodgkin Lymphoma,8.653211016167967
Adult Ependymoma,0.40174427358515524
Adult Erythroleukemia,1.0267966603370278
Adult Fibrosarcoma,3.707112951859056
Adult Hepatocellular Carcinoma,0.9349084721785567
Adult Hodgkin Lymphoma,8.716597505614086
Adult Leiomyosarcoma,2.2543537882120566
Adult Liposarcoma,1.784630441441534
Adult Lymphoblastic Lymphoma,2.606598271201805
Adult Malignant Peripheral Nerve Sheath Tumor,-0.8729804357253933
Adult Meningioma,3.434220420288692
Adult Myelodysplastic Syndrome,4.9652233205461265
Adult Non-Hodgkin Lymphoma,3.93339065526751
Adult Oligodendroglioma,0.01587226639736228
Adult Pilocytic Astrocytoma,2.2008809071432953
Adult Soft Tissue Sarcoma,3.879478655744546
Adult Synovial Sarcoma,0.8862056007453075
Adult type dermatomyositis,15.076466731383443
Adult-Onset Still Disease,16.555095737690205
Advanced breast cancer,0.5867001570560296
Age-related cataract,3.6168597418944057
Agenesis,4.785658196329397
Agenesis of corpus callosum,2.0621966990166083
Aggressive Non-Hodgkin Lymphoma,-0.1997701251587891
Agnosia for Pain,3.723817239395743
AICARDI-GOUTIERES SYNDROME,0.4547191407138191
AIDS related complex,0.53372919875751
Alcohol or Other Drugs use,6.478292834858829
Alcohol Use Disorder,3.1918190326133877
"Alcoholic Intoxication, Chronic",5.9830361482531185
Allergic asthma,18.01859038572386
Allergic rhinitis (disorder),11.822058088315332
Alopecia,4.6102910415387495
alpha-Thalassemia,0.6585852906278625
alpha^+^ Thalassemia,-0.18339665067743313
Alveolar rhabdomyosarcoma,0.6021220781672924
Alveolar Soft Part Sarcoma,2.9251101656953953
"Alzheimer Disease, Early Onset",2.623065475408181
"Alzheimer disease, familial, type 3",11.845725166770986
"Alzheimer Disease, Late Onset",5.512758843863939
Ameloblastoma,5.710384208867362
Amnesia,1.7812498945668398
AMYOTROPHIC LATERAL SCLEROSIS 1,3.475101674357337
"Amyotrophic Lateral Sclerosis, Familial",2.69618412496509
"Amyotrophic Lateral Sclerosis, Sporadic",-0.30603949651233314
Anaplastic astrocytoma,2.3564039756824653
Anaplastic thyroid carcinoma,1.5674323996546151
Anastomosis,2.8810274540234855
androgen independent prostate cancer,1.9377803315815778
Androgen-Insensitivity Syndrome,3.9843626366404927
"Anemia, Diamond-Blackfan",2.161627609907735
"Anemia, Hemolytic",1.740065158884386
"Anemia, severe",4.470585111067324
"Anemia, Sickle Cell",9.380827193710894
Angelman Syndrome,1.8827320550267426
Angioimmunoblastic Lymphadenopathy,3.774379250202205
Anhedonia,0.2668040119107912
Anorexia Nervosa,3.9885007331992184
Anthrax disease,8.088230327110624
Aortic Aneurysm,4.377667954297855
Aortic aneurysm without mention of rupture NOS,3.1597099803189828
Aortic Valve Insufficiency,1.6476043375369447
Aortic Valve Stenosis,5.040630174688296
Aplasia Cutis Congenita,2.7482103255206556
Aplastic Anemia,10.798166195794058
"Arthritis, Psoriatic",10.404299875961179
Arthrogryposis,7.6284535193779615
Asthenozoospermia,-0.9207344462401624
Ataxia Telangiectasia,11.99242099020901
