,0
Abnormality of the skeletal system,0.02469941869373158
Acoustic Neuroma,0.16766457010106403
Acromegaly,0.2246581312456617
Actinic keratosis,0.025625957072804652
Acute Chest Syndrome,0.046405213576655245
Acute Coronary Syndrome,0.0387026237194655
Acute Erythroblastic Leukemia,0.2809207409313516
Acute GVH disease,-0.007242536773977723
Acute Megakaryocytic Leukemias,-0.00964305666095313
Acute pancreatitis,0.29018710266280895
Acute respiratory distress,0.03056427856710996
Acute Undifferentiated Leukemia,0.0789188294252886
Adenocarcinoma of colon,0.22361055879186004
Adenocarcinoma Of Esophagus,0.13742955110078542
Adenocarcinoma of large intestine,0.15050179201080227
Adenocarcinoma of pancreas,0.30317710998876285
Adenocarcinoma of prostate,0.06718138752317752
Adenocarcinoma of rectum,0.013671652357229168
"Adenocarcinoma, Clear Cell",0.19926371265795417
"Adenocarcinoma, Endometrioid",0.35987109528349415
Adenoid Cystic Carcinoma,0.10513914118527408
Adenoma of large intestine,0.11193962798018506
Adenomatous Polyps,0.19522418746133993
Adenosquamous carcinoma,0.13809817811647837
Adrenal Cortical Adenoma,0.007586629709012805
Adrenal Gland Pheochromocytoma,0.5300127143890799
Adrenocortical carcinoma,0.028303703849573227
Adrenoleukodystrophy,0.26473266383954785
Adult Acute Myeloblastic Leukemia,-0.016169773488915483
Adult Anaplastic Large Cell Lymphoma,0.1869930407353812
Adult Angiosarcoma,0.15791975241659342
Adult Burkitt Lymphoma,0.33899072525399687
Adult Classical Hodgkin Lymphoma,0.3034447992633249
Adult Ependymoma,0.043018359538063086
Adult Erythroleukemia,0.27425083829484875
Adult Fibrosarcoma,0.32362524450977864
Adult Hepatocellular Carcinoma,0.002100027800514322
Adult Hodgkin Lymphoma,0.32109249289665354
Adult Leiomyosarcoma,0.2082969784468128
Adult Liposarcoma,0.16130315615048868
Adult Meningioma,0.3024871241598181
Adult Myelodysplastic Syndrome,0.2918485601615587
Adult Non-Hodgkin Lymphoma,0.19747816934316959
Adult Oligodendroglioma,0.48730656700667613
Adult Pilocytic Astrocytoma,0.31928268316290853
Adult Soft Tissue Sarcoma,0.05148347206372361
Adult Synovial Sarcoma,0.29940282675936053
Adult type dermatomyositis,0.08317949736331923
Advanced breast cancer,0.18353348097995004
Age-related cataract,0.37409209185824316
Agenesis of corpus callosum,0.287451987311943
Agnosia for Pain,0.09924044934792052
AICARDI-GOUTIERES SYNDROME,0.07397566342966956
Alcohol or Other Drugs use,0.18537519863205595
Alcohol Use Disorder,0.17547507191142572
"Alcoholic Intoxication, Chronic",0.21585300973954602
Allergic asthma,0.041064219434648226
Allergic rhinitis (disorder),0.6485380587190709
Alopecia,0.18229605516031977
"Alzheimer disease, familial, type 3",0.1746227133082896
"Alzheimer Disease, Late Onset",0.0636273530656044
Ameloblastoma,-0.0029309602908930647
Amnesia,0.27237380522025073
AMYOTROPHIC LATERAL SCLEROSIS 1,0.24376051274240004
"Amyotrophic Lateral Sclerosis, Familial",0.2087511959134546
"Amyotrophic Lateral Sclerosis, Sporadic",0.1631721286559257
Anaplastic astrocytoma,0.3044771230465945
Anaplastic thyroid carcinoma,0.6407639090756813
Anastomosis,0.011324869214617674
androgen independent prostate cancer,0.4646641324190283
Androgen-Insensitivity Syndrome,0.06095805189316111
"Anemia, Diamond-Blackfan",0.22939445630510466
"Anemia, Hemolytic",0.29071644334050495
"Anemia, Sickle Cell",0.13991481633212421
Angelman Syndrome,0.18191931245956453
Anorexia Nervosa,-0.012309307613907756
Aortic Aneurysm,0.1356826459878647
Aortic Valve Insufficiency,0.5129149901796416
Aortic Valve Stenosis,0.2023620416833912
Aplasia Cutis Congenita,0.3627867698866884
Aplastic Anemia,0.03341361248207355
"Arthritis, Psoriatic",0.4635865216938294
Arthrogryposis,0.1967894943982785
Asthenozoospermia,0.05877221013417917
Ataxia Telangiectasia,0.5384582499157025
"Ataxia, Spinocerebellar",-0.0823103657599613
Atherosclerotic lesion,0.24193698913621386
Atrial Premature Complexes,0.23173815023410155
Atypical Teratoid Rhabdoid Tumor,0.03999924664468101
Autosomal dominant retinitis pigmentosa,0.7624443829979578
Azoospermia,0.00376569737247255
"B-CELL MALIGNANCY, LOW-GRADE",0.20843986078801993
Bacteremia,0.00395651143841815
Barrett Esophagus,0.07659877176549959
Basal-Like Breast Carcinoma,0.1853866281247464
Behcet Syndrome,0.02343334166706686
beta Thalassemia,0.05224430164092004
beta^+^ Thalassemia,0.03202567970576754
Bilateral cataracts (disorder),0.15769084343209067
Biliary Atresia,0.08955938257377766
Biliary Tract Cancer,0.26382054209668604
Blast Phase,0.029284657243001652
Blood spots,0.00498457162205866
Bloom Syndrome,0.07277102468687782
bone destruction,0.11276228507139578
Borderline Personality Disorder,0.17742808840563287
Brain Ischemia,0.037258643323686044
"Brain Tumor, Primary",0.06763089562832086
Breast adenocarcinoma,0.09172931305361619
"Breast Cancer, Familial",0.532575788660778
Bronchioloalveolar Adenocarcinoma,0.06867599872025164
Bronchopulmonary Dysplasia,0.2735565330716074
"Bulbo-Spinal Atrophy, X-Linked",0.376810985797392
Cancer cachexia,0.08391775633830573
Cancer of Nasopharynx,0.25723149846311943
Carcinoma of larynx,0.691341807926121
"Carcinoma of urinary bladder, invasive",0.14408587623841204
"Carcinoma, Endometrioid",0.18548254388199378
"Carcinoma, Lewis Lung",0.022964867943263155
"Carcinoma, Papillary",0.029188380248764034
"Carcinoma, Small Cell",0.7270191344080432
Cardiac Arrest,0.10594885543681605
Cardiac fibrosis,0.1335081870073297
Carotid Atherosclerosis,0.0742240703393413
Cataract,0.4497841394791312
Cavernous Hemangioma of Brain,0.8221607669017775
Celiac Disease,0.19769243325449126
Central Serous Chorioretinopathy,1.0626810585214126
Cerebellar atrophy,0.023214481647740155
Cerebral atrophy,0.015400518915191924
Cerebral Palsy,1.015159184426977
Cervical Intraepithelial Neoplasia,0.0715132791835109
Cervical Squamous Cell Carcinoma,0.4939151207478351
Chagas Disease,0.2409254116342895
Charcot-Marie-Tooth Disease,0.45634876504612026
Chikungunya Fever,0.5174617955514172
Childhood Acute Myeloid Leukemia,0.08788482638193018
Childhood Anaplastic Large Cell Lymphoma,0.14333008505041864
Childhood Angiosarcoma,0.19635279026940347
Childhood asthma,-0.0027873552409553876
Childhood Burkitt Lymphoma,0.3632455960270687
Childhood Ependymoma,0.04391166967439029
Childhood Hepatocellular Carcinoma,0.00934491860269967
Childhood Hodgkin Lymphoma,0.3712900395452963
Childhood Kidney Wilms Tumor,0.3892543151443558
Childhood Leiomyosarcoma,0.2022110669392909
Childhood Liposarcoma,0.1392878684276048
Childhood Myelodysplastic Syndrome,0.21176934908730136
Childhood Non-Hodgkin Lymphoma,0.22229825439229992
Childhood Oligodendroglioma,0.47261550021197685
Childhood Pilocytic Astrocytoma,0.35214609792780044
Childhood Soft Tissue Sarcoma,0.11466392294483274
Childhood Synovial Sarcoma,0.2494124032152375
Childhood T Acute Lymphoblastic Leukemia,0.3187809087093237
Cholera,0.6324559365947793
Cholestasis,0.21011183300834235
Cholesteatoma,0.30767311539865516
Chondrosarcoma,0.5464405936160556
Chordoma,0.2965051367360271
Choriocarcinoma,0.2420160543635686
Chronic graft-versus-host disease,0.04427974369633718
Chronic heart failure,0.20673357091065325
Chronic myeloproliferative disorder,0.2399464745077609
"Cicatrix, Hypertrophic",0.3720609067853085
Classical Hodgkin's Lymphoma,0.20837243783533
Clear-cell metastatic renal cell carcinoma,0.05480218859552444
Cleft Palate,0.0020375129299853435
"Cleft palate, isolated",0.011372143625643549
Clostridium; difficile (disorder),0.15946298985982363
Cockayne Syndrome,3.615415416786653
Complete atrioventricular block,0.31968164197623644
Complicated malaria,-0.04345379963868886
Cone-Rod Dystrophy 2,0.16183102397563096
Congenital atresia of extrahepatic bile duct,0.06959421396733209
Craniosynostosis,0.08375853061286946
Creutzfeldt-Jakob disease,0.6901850966810057
Cryptorchidism,0.04680255368788622
Cushing Syndrome,0.0805367949824402
Cutaneous Mastocytosis,0.056220481448311155
Cutaneous Melanoma,0.5800354618717061
Cyst,0.00914499355600061
"Cystadenocarcinoma, Serous",0.028612976205430525
Cystitis,0.3897263189083442
Deep Vein Thrombosis,0.07679086514989178
Dejerine-Sottas Disease (disorder),0.006067013761508114
"Dementia, Vascular",0.3184497495545766
Dengue Fever,0.4053917605824473
Dermatitis,0.1820083875528685
Dermatomyositis,0.036835208526258205
Desmoplastic,0.15611542063218542
Deuteranomaly,0.09035742883130705
Diabetic Cardiomyopathies,0.4363089508856127
Diabetic peripheral neuropathy,0.5173696909199635
Differentiated Thyroid Gland Carcinoma,0.1033285374665629
Dissection of aorta,0.029624515455486267
DOSAGE-SENSITIVE SEX REVERSAL,0.009493825106568309
Drug Resistant Epilepsy,0.18979741927426969
Dry Eye Syndromes,0.09572014939159475
Ductal Breast Carcinoma,0.26156787271541637
Ductal Carcinoma,0.25495931669302613
Dwarfism,0.12212583491431897
Dyskinetic syndrome,0.03525913315083965
Dysmorphic features,0.02266997461772168
Dysmorphism,0.024313187481531735
Dysplastic Nevus,0.0337638315483506
Dystrophia myotonica 2,0.2154775505805127
"EAR, PATELLA, SHORT STATURE SYNDROME",0.2556168951540034
Early infantile epileptic encephalopathy with suppression bursts,1.294345258302166
Early-Stage Breast Carcinoma,0.05217232939007754
Eclampsia,0.0024291984739644554
"ECTRODACTYLY, ECTODERMAL DYSPLASIA, AND CLEFT LIP/PALATE SYNDROME 1",1.7689966079475163
Embryonal Carcinoma,0.4485314293764171
Embryonal Rhabdomyosarcoma,0.2591022247894579
Encephalitis,0.11413777716400361
"Encephalitis, St. Louis",0.07966914884054425
Endometrial adenocarcinoma,0.2998135565215131
Endometrial Hyperplasia,-0.018876405263390055
Endometriosis of uterus,0.24014650388299535
Eosinophilia,0.08717638926116884
Ependymoma,0.14785775464714418
"Epilepsy, Temporal Lobe",0.1966172257099089
Epileptic encephalopathy,0.05212030282540405
