	M	N	n	x	P-value	stat	Network
Adipose - Subcutaneous	34812	170	3192	15	1.0	0.9584513692162417	dip
Adipose - Visceral (Omentum)	34812	140	3192	16	0.37620631855932873	1.279596977329975	dip
Adrenal Gland	34812	201	3192	16	0.6249560439438788	0.8560147048812036	dip
Artery - Aorta	34812	315	3192	42	0.013841485612476136	1.530989010989011	dip
Artery - Coronary	34812	147	3192	14	0.8857123292610283	1.0429267000099367	dip
Artery - Tibial	34812	271	3192	35	0.04361058616432672	1.4743132022999736	dip
Bladder	34812	57	3192	3	0.486431810103614	0.549911152921501	dip
Brain - Amygdala	34812	85	3192	3	0.08702424567851699	0.36181538673335933	dip
Brain - Anterior cingulate cortex (BA24)	34812	274	3192	21	0.4613230776809993	0.8210611732062927	dip
Brain - Caudate (basal ganglia)	34812	233	3192	10	0.008257156732240895	0.4424692708142494	dip
Brain - Cerebellar Hemisphere	34812	1195	3192	89	0.036366201739200854	0.7913201888856319	dip
Brain - Cerebellum	34812	1165	3192	79	0.0032250507725235357	0.7135129283187772	dip
Brain - Cortex	34812	520	3192	36	0.07795285030045589	0.7338088803695441	dip
Brain - Frontal Cortex (BA9)	34812	671	3192	57	0.5890243004870521	0.9181522061000889	dip
Brain - Hippocampus	34812	76	3192	2	0.04530269560087403	0.2672710327882742	dip
Brain - Hypothalamus	34812	208	3192	7	0.0016258059594675437	0.3435460062325734	dip
Brain - Nucleus accumbens (basal ganglia)	34812	331	3192	13	0.0003609403334072866	0.4025295720144581	dip
Brain - Putamen (basal ganglia)	34812	136	3192	5	0.024221498118916735	0.37711648227412414	dip
Brain - Spinal cord (cervical c-1)	34812	368	3192	26	0.17333171912160394	0.7510611652314615	dip
Brain - Substantia nigra	34812	112	3192	9	0.8692197802726418	0.8651940374989706	dip
Breast - Mammary Tissue	34812	85	3192	8	0.8513039608668846	1.0292697252496248	dip
Cells - Cultured fibroblasts	34812	503	3192	104	2.414590223613718e-15	2.6352993883672915	dip
Cells - EBV-transformed lymphocytes	34812	1049	3192	288	6.453094099056447e-68	4.021546247325724	dip
Cervix - Ectocervix	34812	146	3192	22	0.02025572088633879	1.7627760252365932	dip
Cervix - Endocervix	34812	136	3192	19	0.07142054487031543	1.6123138338707201	dip
Colon - Sigmoid	34812	164	3192	17	0.5864725223862635	1.1463731319299373	dip
Colon - Transverse	34812	420	3192	20	0.0008639992339404714	0.4921185372005044	dip
Esophagus - Gastroesophageal Junction	34812	67	3192	8	0.39614759442068426	1.3440507622860063	dip
Esophagus - Mucosa	34812	531	3192	42	0.36265811520035585	0.8488343558282209	dip
Esophagus - Muscularis	34812	109	3192	13	0.31646067200052597	1.3428357974205725	dip
Fallopian Tube	34812	139	3192	11	0.7676567375346828	0.850783951587551	dip
Heart - Atrial Appendage	34812	178	3192	13	0.5135319217925255	0.7795761960593669	dip
Heart - Left Ventricle	34812	144	3192	11	0.6633605734409429	0.8186695912998466	dip
Kidney - Cortex	34812	295	3192	11	0.0005072900176096491	0.3815524394401619	dip
Kidney - Medulla	34812	354	3192	20	0.0201934976648687	0.5906094494491471	dip
Liver	34812	592	3192	57	0.6667636178140437	1.0564146134239591	dip
Lung	34812	379	3192	67	2.141208027266422e-07	2.1514215384615385	dip
Minor Salivary Gland	34812	469	3192	28	0.015311158102117103	0.6256697369213172	dip
Muscle - Skeletal	34812	368	3192	43	0.10139442349342265	1.3148838459095684	dip
Nerve - Tibial	34812	370	3192	29	0.41535844644029507	0.8410025005029748	dip
Ovary	34812	283	3192	23	0.6056885003480019	0.8754035488020973	dip
Pancreas	34812	200	3192	13	0.21905858706068887	0.6873802510795276	dip
Pituitary	34812	516	3192	26	0.0005237633203814124	0.521729601505795	dip
Prostate	34812	194	3192	20	0.5338757686494253	1.139496456059486	dip
Skin - Not Sun Exposed (Suprapubic)	34812	607	3192	54	0.8871314737857703	0.9667518385721546	dip
Skin - Sun Exposed (Lower leg)	34812	627	3192	57	1.0	0.9904306220095693	dip
Small Intestine - Terminal Ileum	34812	568	3192	34	0.006561536489864673	0.6267442770634237	dip
Spleen	34812	1103	3192	146	6.134660696255259e-06	1.5357681691596152	dip
Stomach	34812	174	3192	10	0.14557703212526102	0.6027808863883736	dip
Testis	34812	4545	3192	189	8.256886104447308e-43	0.3939201294573195	dip
Thyroid	34812	396	3192	29	0.22032506739448274	0.7807724016019696	dip
Uterus	34812	140	3192	15	0.5554803896025895	1.1896128423040604	dip
Vagina	34812	308	3192	24	0.48675527163506216	0.8358941527955612	dip
Whole Blood	34812	728	3192	142	5.738120003852039e-18	2.465634196833212	dip
Adipose - Subcutaneous	34812	170	2531	27	0.00013908566578997754	2.4233282691749145	pid2
Adipose - Visceral (Omentum)	34812	140	2531	20	0.004650765735614692	2.1346741006239216	pid2
Adrenal Gland	34812	201	2531	24	0.019230160608649467	1.7363720565467538	pid2
Artery - Aorta	34812	315	2531	48	1.0462239352220187e-06	2.317892002696991	pid2
Artery - Coronary	34812	147	2531	25	7.324112191837688e-05	2.629672392814622	pid2
Artery - Tibial	34812	271	2531	50	9.92815734135377e-10	2.9235766485926526	pid2
Bladder	34812	57	2531	6	0.30612307689103774	1.5016889924286547	pid2
Brain - Amygdala	34812	85	2531	5	0.8336787887849069	0.7967389152810768	pid2
Brain - Anterior cingulate cortex (BA24)	34812	274	2531	28	0.061843199833345394	1.456755957891181	pid2
Brain - Caudate (basal ganglia)	34812	233	2531	16	0.8996750219491954	0.940026202233603	pid2
Brain - Cerebellar Hemisphere	34812	1195	2531	96	0.30721677683217874	1.118609600289978	pid2
Brain - Cerebellum	34812	1165	2531	92	0.3894920407447121	1.0970899643758787	pid2
Brain - Cortex	34812	520	2531	47	0.12492873991634659	1.2723936363976809	pid2
Brain - Frontal Cortex (BA9)	34812	671	2531	71	0.0015474650115958855	1.52395054200542	pid2
Brain - Hippocampus	34812	76	2531	6	0.823281427794477	1.0934427157001414	pid2
Brain - Hypothalamus	34812	208	2531	19	0.28375192076622435	1.284307282714926	pid2
Brain - Nucleus accumbens (basal ganglia)	34812	331	2531	28	0.39414841628938846	1.1806083524852684	pid2
Brain - Putamen (basal ganglia)	34812	136	2531	9	1.0	0.9035011583108019	pid2
Brain - Spinal cord (cervical c-1)	34812	368	2531	31	0.36445668461366326	1.1753875370919882	pid2
Brain - Substantia nigra	34812	112	2531	8	1.0	0.9810360071953413	pid2
Breast - Mammary Tissue	34812	85	2531	11	0.05619481395959665	1.8998123123123123	pid2
Cells - Cultured fibroblasts	34812	503	2531	116	2.4183787902993233e-29	3.958575012973395	pid2
Cells - EBV-transformed lymphocytes	34812	1049	2531	255	6.44974601465218e-69	4.44302446290943	pid2
Cervix - Ectocervix	34812	146	2531	28	2.0259530788808114e-06	3.0491004015520358	pid2
Cervix - Endocervix	34812	136	2531	28	4.548776471372713e-07	3.33246030689099	pid2
Colon - Sigmoid	34812	164	2531	26	0.00019646232351500407	2.4175359426075387	pid2
Colon - Transverse	34812	420	2531	29	0.8501397076285923	0.9453409139695916	pid2
Esophagus - Gastroesophageal Junction	34812	67	2531	17	4.234760392897992e-06	4.359005568814638	pid2
Esophagus - Mucosa	34812	531	2531	66	2.1372991351742367e-05	1.8319753975004907	pid2
Esophagus - Muscularis	34812	109	2531	28	2.819858070633471e-09	4.447009267890877	pid2
Fallopian Tube	34812	139	2531	15	0.13688821427121126	1.5460889019949742	pid2
Heart - Atrial Appendage	34812	178	2531	10	0.47021161850872367	0.7582261385315728	pid2
Heart - Left Ventricle	34812	144	2531	14	0.2578201645242177	1.375611992298524	pid2
Kidney - Cortex	34812	295	2531	17	0.36770758327672876	0.7784478860825421	pid2
Kidney - Medulla	34812	354	2531	22	0.536221385270099	0.8438032720759483	pid2
Liver	34812	592	2531	77	8.352161982554143e-07	1.9354032647312491	pid2
Lung	34812	379	2531	74	5.0607782887133636e-15	3.1575545280463313	pid2
Minor Salivary Gland	34812	469	2531	26	0.17822749888903666	0.7459464817543243	pid2
Muscle - Skeletal	34812	368	2531	40	0.011204543358266851	1.5643144588812408	pid2
Nerve - Tibial	34812	370	2531	36	0.06996144534747975	1.380115920463682	pid2
Ovary	34812	283	2531	33	0.007677426129591532	1.6925908726981584	pid2
Pancreas	34812	200	2531	19	0.2182468858478635	1.3414065524158074	pid2
Pituitary	34812	516	2531	42	0.4415023419020574	1.1323189120738846	pid2
Prostate	34812	194	2531	22	0.036385379170823684	1.6368932308804582	pid2
Skin - Not Sun Exposed (Suprapubic)	34812	607	2531	74	1.2501675136228972e-05	1.7939722705201129	pid2
Skin - Sun Exposed (Lower leg)	34812	627	2531	72	0.0001294212270116182	1.6737720233450204	pid2
Small Intestine - Terminal Ileum	34812	568	2531	44	0.6252762323286583	1.0722228872580164	pid2
Spleen	34812	1103	2531	170	6.315052422677089e-21	2.4192521108237512	pid2
Stomach	34812	174	2531	15	0.4636439759712092	1.2044425113237545	pid2
Testis	34812	4545	2531	164	2.223698937206915e-28	0.4412416909173123	pid2
Thyroid	34812	396	2531	40	0.04006242301257973	1.4400155165336785	pid2
Uterus	34812	140	2531	20	0.004650765735614692	2.1346741006239216	pid2
Vagina	34812	308	2531	37	0.002691981472608047	1.752353249274273	pid2
Whole Blood	34812	728	2531	145	3.8709044845883426e-29	3.3041584773385053	pid2
Adipose - Subcutaneous	34812	170	3422	6	0.0028331427177387234	0.33443051350888214	wan
Adipose - Visceral (Omentum)	34812	140	3422	4	0.002562728718190547	0.2689395243176264	wan
Adrenal Gland	34812	201	3422	23	0.40682996209740097	1.186528754326289	wan
Artery - Aorta	34812	315	3422	17	0.005692488865242764	0.5209118055760873	wan
Artery - Coronary	34812	147	3422	4	0.0019166765750850614	0.2557173663083552	wan
Artery - Tibial	34812	271	3422	23	0.5383894528909174	0.8497114900967078	wan
Bladder	34812	57	3422	3	0.3694827170048008	0.5091807221084788	wan
Brain - Amygdala	34812	85	3422	4	0.14199228236961514	0.4523474127531081	wan
Brain - Anterior cingulate cortex (BA24)	34812	274	3422	12	0.0014444341570532698	0.4180967518076604	wan
Brain - Caudate (basal ganglia)	34812	233	3422	3	1.9292857973559854e-07	0.11887533858107506	wan
Brain - Cerebellar Hemisphere	34812	1195	3422	55	1.7549039249105158e-11	0.4334510913458282	wan
Brain - Cerebellum	34812	1165	3422	49	5.167153630523624e-13	0.39408086778093376	wan
Brain - Cortex	34812	520	3422	22	2.456945939679616e-06	0.401384360973305	wan
Brain - Frontal Cortex (BA9)	34812	671	3422	36	3.3771365046399426e-05	0.5149410960369469	wan
Brain - Hippocampus	34812	76	3422	1	0.006145453885429876	0.122050082821787	wan
Brain - Hypothalamus	34812	208	3422	3	1.770072826031749e-06	0.1334793371332368	wan
Brain - Nucleus accumbens (basal ganglia)	34812	331	3422	6	7.743926666006385e-09	0.16788866870834085	wan
Brain - Putamen (basal ganglia)	34812	136	3422	1	1.871745062729872e-05	0.06767568503902908	wan
Brain - Spinal cord (cervical c-1)	34812	368	3422	23	0.01740060174466846	0.6089045797783662	wan
Brain - Substantia nigra	34812	112	3422	4	0.02441787177924997	0.33896799081117396	wan
Breast - Mammary Tissue	34812	85	3422	4	0.14199228236961514	0.4523474127531081	wan
Cells - Cultured fibroblasts	34812	503	3422	90	2.4312020672587904e-08	2.025941127056149	wan
Cells - EBV-transformed lymphocytes	34812	1049	3422	158	6.59404404458322e-08	1.6569707147730024	wan
Cervix - Ectocervix	34812	146	3422	0	4.3245936517834e-07	0.0	wan
Cervix - Endocervix	34812	136	3422	0	1.5427134574938542e-06	0.0	wan
Colon - Sigmoid	34812	164	3422	11	0.23469087582844395	0.6583985299387027	wan
Colon - Transverse	34812	420	3422	6	2.5382815340778e-12	0.1314190679835726	wan
Esophagus - Gastroesophageal Junction	34812	67	3422	6	1.0	0.9020904518754559	wan
Esophagus - Mucosa	34812	531	3422	39	0.05577362314636955	0.7239821777466962	wan
Esophagus - Muscularis	34812	109	3422	11	0.8720487044053526	1.0297177798120127	wan
Fallopian Tube	34812	139	3422	0	9.938875442185413e-07	0.0	wan
Heart - Atrial Appendage	34812	178	3422	13	0.3118765030342461	0.7216636888094794	wan
Heart - Left Ventricle	34812	144	3422	14	1.0	0.9878114842903575	wan
Kidney - Cortex	34812	295	3422	9	1.215054222536778e-05	0.28678499935458623	wan
Kidney - Medulla	34812	354	3422	4	1.8137735776026758e-11	0.10378667558304773	wan
Liver	34812	592	3422	43	0.03636027702533557	0.714885306276687	wan
Lung	34812	379	3422	10	7.693081847399959e-08	0.24638848381449815	wan
Minor Salivary Gland	34812	469	3422	4	4.0826368556589566e-16	0.07782958027394503	wan
Muscle - Skeletal	34812	368	3422	49	0.02761028918425549	1.4149604037967	wan
Nerve - Tibial	34812	370	3422	8	6.717619612517193e-09	0.20084992895681417	wan
Ovary	34812	283	3422	8	7.939690529260799e-06	0.26513287532619695	wan
Pancreas	34812	200	3422	6	0.0003136831207350234	0.28244284024240085	wan
