	M	N	n	x	P-value	stat	Network
adrenal gland	11131	78	2384	6	0.00200313718245814	0.3040019624334174	dip
appendix	11131	111	2384	25	0.8160055927717176	1.0672880704279504	dip
bone marrow	11131	176	2384	52	0.012030114400531077	1.5506418414209042	dip
breast	11131	16	2384	3	1.0	0.8465092236616806	dip
bronchus	11131	116	2384	7	6.736968792957209e-06	0.23337566047712596	dip
caudate	11131	137	2384	24	0.295283759057297	0.7770211489425529	dip
cerebellum	11131	98	2384	14	0.10665100698345037	0.609212376933896	dip
cerebral cortex	11131	151	2384	23	0.07155197043961606	0.6559621188055909	dip
cervix	11131	55	2384	1	4.446137128850001e-05	0.06755412567414246	dip
colon	11131	68	2384	9	0.10444378547669333	0.5580160570918823	dip
duodenum	11131	101	2384	7	0.00012455365027699483	0.2710863863801144	dip
endometrium 1	11131	65	2384	3	0.0003546591826927642	0.17649808294156696	dip
endometrium 2	11131	55	2384	1	4.446137128850001e-05	0.06755412567414246	dip
epididymis	11131	68	2384	0	1.1561458910257435e-07	0.0	dip
esophagus	11131	35	2384	0	0.0003001356569491705	0.0	dip
fallopian tube	11131	119	2384	7	4.648005458331556e-06	0.2270456457719815	dip
gallbladder	11131	50	2384	4	0.02288384213065376	0.31790281329923276	dip
heart muscle	11131	107	2384	7	4.234561612835012e-05	0.25464450988641146	dip
hippocampus	11131	126	2384	22	0.3255226735834162	0.7740588158666059	dip
kidney	11131	132	2384	22	0.2007884122294114	0.7313293818797629	dip
liver	11131	98	2384	6	5.557540216096636e-05	0.23736607306103047	dip
lung	11131	83	2384	20	0.590726148440391	1.1661697956114199	dip
lymph node	11131	130	2384	39	0.023258501554306553	1.5819677124581175	dip
nasopharynx	11131	90	2384	5	4.789953719119884e-05	0.21417797888386123	dip
oral mucosa	11131	33	2384	1	0.005204801716745826	0.11428608896349139	dip
ovary	11131	36	2384	2	0.014567907334481468	0.21516767916234503	dip
pancreas	11131	64	2384	8	0.09231074872524772	0.5225468975468975	dip
parathyroid gland	11131	14	2384	2	0.7474976993745817	0.6111810803246571	dip
placenta	11131	100	2384	20	0.8071491128499674	0.9165609137055838	dip
prostate	11131	28	2384	1	0.018755937043394476	0.13552789045865002	dip
rectum	11131	45	2384	3	0.01615912009882027	0.26114477710445794	dip
salivary gland	11131	50	2384	1	0.0001727123930783382	0.07449022412154119	dip
seminal vesicle	11131	21	2384	3	0.5964808384921801	0.6110177796444071	dip
skeletal muscle	11131	131	2384	7	4.813291432171167e-07	0.20478849729260248	dip
skin 1	11131	41	2384	2	0.006635202505486652	0.18747443432581973	dip
skin 2	11131	44	2384	2	0.0029865157710886815	0.17402342969093598	dip
small intestine	11131	106	2384	10	0.00177658894937211	0.37958965178320697	dip
smooth muscle	11131	42	2384	5	0.18485383549097995	0.4947570521341013	dip
soft tissue 1	11131	12	2384	2	1.0	0.7335852225020991	dip
soft tissue 2	11131	25	2384	5	1.0	0.9170870113493065	dip
spleen	11131	140	2384	39	0.07714989888745358	1.4236905993371192	dip
stomach 1	11131	78	2384	4	0.00013189022326892826	0.1969793322734499	dip
stomach 2	11131	69	2384	2	2.1382788646689457e-05	0.10877601914858955	dip
testis	11131	487	2384	42	1.7391659445243413e-14	0.3345685527590938	dip
thyroid gland	11131	26	2384	0	0.003061432364853213	0.0	dip
tonsil	11131	149	2384	38	0.22767509768467703	1.260216738477608	dip
urinary bladder	11131	22	2384	2	0.1989846973742435	0.3663727959697733	dip
vagina	11131	32	2384	0	0.0007658627444461657	0.0	dip
adrenal gland	11131	78	1880	9	0.2282312738968295	0.6401134013431553	pid2
appendix	11131	111	1880	34	0.00030529758588872886	2.194397152143631	pid2
bone marrow	11131	176	1880	54	5.77189748098136e-06	2.212872353796707	pid2
breast	11131	16	1880	2	1.0	0.7026471930625285	pid2
bronchus	11131	116	1880	8	0.0025295014764114537	0.3617837923393479	pid2
caudate	11131	137	1880	15	0.06596665027085763	0.6018327253548983	pid2
cerebellum	11131	98	1880	10	0.07875070252776609	0.5568181818181818	pid2
cerebral cortex	11131	151	1880	16	0.037406517708895096	0.5796216817676045	pid2
