Entrez_A	Entrez_B	Score	ID
10622	171568	1.0	0
23636	8021	1.0	1057
8027	9146	1.0	1055
1025	904	1.0	1054
5714	5715	1.0	1053
4172	4176	1.0	1052
10001	219541	1.0	1051
143471	5686	1.0	1050
5705	5707	1.0	1049
5707	9861	1.0	1048
5708	5709	1.0	1047
29079	55588	1.0	1046
29894	55339	1.0	1045
54815	57459	1.0	1044
22948	6950	1.0	1043
23595	4999	1.0	1042
7529	7532	1.0	1041
10450	57461	1.0	1
1615	5859	1.0	1039
7251	93343	1.0	1038
5690	5692	1.0	1037
54994	57610	1.0	1036
1478	23283	1.0	1035
23020	9416	1.0	1056
112950	9440	1.0	1058
29079	9477	1.0	984
58493	65123	1.0	1059
51616	6874	1.0	1080
10036	8208	1.0	1079
51010	54512	1.0	1078
25942	79595	1.0	1077
7082	9414	1.0	1076
29894	53981	1.0	1075
5704	5717	1.0	1074
5718	9861	1.0	1073
2067	2072	1.0	1072
10025	9440	1.0	1071
10200	51013	1.0	1070
51386	8663	1.0	1069
9442	9969	1.0	1068
11340	56915	1.0	1067
112950	9442	1.0	1066
27297	55703	1.0	1065
10801	4735	1.0	1064
54973	55756	1.0	1063
830	832	1.0	1062
4141	7965	1.0	1061
1315	9276	1.0	1060
1107	9112	1.0	1034
10001	5469	1.0	1033
51386	8665	1.0	1032
5469	54797	1.0	1031
10213	5701	1.0	1006
5684	5695	1.0	1005
5692	5694	1.0	1004
5682	5687	1.0	1003
5977	6598	1.0	1002
10594	26121	1.0	1001
5917	9255	1.0	1000
25896	55726	1.0	999
6595	6601	1.0	998
56949	9716	1.0	997
79228	84321	1.0	996
5432	5438	1.0	995
10801	989	1.0	994
2967	2968	1.0	993
10393	51434	1.0	992
10885	5822	1.0	991
23310	54892	1.0	990
5433	5436	1.0	989
5709	5715	1.0	988
26173	57508	1.0	987
55588	9440	1.0	986
55174	57508	1.0	1007
5706	5710	1.0	1008
54973	92105	1.0	1009
5432	5433	1.0	1021
1022	902	1.0	1030
5687	5689	1.0	1029
23404	51013	1.0	1028
51371	5685	1.0	1027
5983	5984	1.0	1026
5700	5717	1.0	1025
1107	57459	1.0	1024
55054	9474	1.0	1023
27127	5885	1.0	1022
10097	10552	1.0	1020
151987	55671	1.0	1010
6599	6760	1.0	1019
5707	5718	1.0	1018
10200	11340	1.0	1017
5977	6601	1.0	1016
102157402	6881	1.0	1015
2965	2968	1.0	1013
6598	6604	1.0	1012
4831	8407	1.0	1011
5500	5501	1.0	1081
55588	9862	1.0	1082
2071	2967	1.0	1083
112950	9969	1.0	1132
102157402	6874	1.0	1154
10802	9632	1.0	1153
5684	5693	1.0	1152
25896	26173	1.0	1151
6603	9274	1.0	1150
10001	10025	1.0	1149
5983	5985	1.0	1148
162	8907	1.0	1147
605	6598	1.0	1146
143471	5685	1.0	1145
5431	5439	1.0	1144
10213	5706	1.0	1143
2058	5859	1.0	1142
9092	9343	1.0	1141
2547	7520	1.0	1140
64151	9918	1.0	1139
6602	9275	1.0	1138
10200	5393	1.0	1137
10623	11128	1.0	1136
5705	5717	1.0	1135
23016	5393	1.0	1134
25885	51082	1.0	1156
6595	6760	1.0	1157
10006	10163	1.0	1169
29115	728642	1.0	1178
11128	27297	1.0	1177
7531	7534	1.0	1176
10694	6950	1.0	1175
5701	9861	1.0	1174
221830	84172	1.0	1173
119504	51434	1.0	1172
2026	4831	1.0	1171
6294	9667	1.0	1170
5689	5690	1.0	1168
6595	6599	1.0	1158
23397	64151	1.0	1167
10622	55703	1.0	1166
5706	9861	1.0	1165
5707	5717	1.0	1164
10006	10787	1.0	1163
5705	5708	1.0	1162
6597	8289	1.0	1161
5499	5500	1.0	1160
102157402	6879	1.0	1159
4141	5859	1.0	1133
23157	4735	1.0	1131
10978	51585	1.0	1084
23137	286053	1.0	1130
5700	5706	1.0	1105
219541	9477	1.0	1104
9774	9967	1.0	1103
5702	5713	1.0	1102
11235	51765	1.0	1101
10001	54797	1.0	1100
10623	171568	1.0	1099
115708	51605	1.0	1098
23404	51010	1.0	1097
6634	6635	1.0	1096
23047	9126	1.0	1095
10671	84516	1.0	1094
57122	79023	1.0	1093
51082	9533	1.0	1092
5702	5717	1.0	1091
5683	5689	1.0	1090
51659	84296	1.0	1089
25885	9533	1.0	1088
5701	5718	1.0	1087
6595	6598	1.0	1086
196528	55193	1.0	1085
23157	5413	1.0	1106
6760	8289	1.0	1107
6595	6604	1.0	1108
5708	5716	1.0	1120
6599	8289	1.0	1129
4848	4849	1.0	1128
23091	25962	1.0	1127
5686	5689	1.0	1126
10200	51010	1.0	1125
24148	9128	1.0	1123
5701	5702	1.0	1122
25843	6801	1.0	1121
79034	92105	1.0	1119
5393	54512	1.0	1109
10121	55860	1.0	1118
10856	8607	1.0	1117
5704	5711	1.0	1116
9632	9871	1.0	1115
6601	6602	1.0	1114
8892	8893	1.0	1113
10421	9092	1.0	1112
29945	51434	1.0	1111
5701	5711	1.0	1110
5706	5716	1.0	985
5683	5684	1.0	983
10097	10109	1.0	1180
10693	10694	1.0	860
220988	3185	1.0	858
5859	9255	1.0	857
55770	60412	1.0	856
102157402	6877	1.0	855
9282	9969	1.0	854
7531	7533	1.0	853
5859	7965	1.0	852
51164	84516	1.0	851
58493	79035	1.0	850
10056	2193	1.0	849
6874	6881	1.0	848
54797	55588	1.0	847
81572	8725	1.0	846
9440	9477	1.0	845
26517	26521	1.0	844
5707	5719	1.0	843
23047	23244	1.0	842
5704	5710	1.0	841
3376	7965	1.0	840
6595	8289	1.0	839
23016	5394	1.0	838
23016	56915	1.0	859
29945	51433	1.0	861
22820	9276	1.0	982
5469	9282	1.0	862
5469	9477	1.0	883
1965	1968	1.0	882
5432	5439	1.0	881
5905	729540	1.0	880
51010	56915	1.0	879
4171	4172	1.0	878
10213	5716	1.0	877
5701	5719	1.0	876
9282	9440	1.0	875
23016	23404	1.0	874
1936	7407	1.0	873
5499	5501	1.0	872
2071	2965	1.0	871
10575	10576	1.0	870
283899	79913	1.0	869
3550	55234	1.0	867
10213	5710	1.0	866
10120	51164	1.0	865
151011	23176	1.0	864
144983	3188	1.0	863
6597	6601	1.0	837
8932	9112	1.0	836
5430	5433	1.0	835
5700	5702	1.0	834
5694	5696	1.0	809
359948	64207	1.0	808
2965	2966	1.0	807
10980	64708	1.0	806
24148	9343	1.0	805
6595	6602	1.0	804
6118	6119	1.0	803
10623	55718	1.0	802
23397	9918	1.0	801
25909	55746	1.0	800
84172	9533	1.0	799
6605	9274	1.0	798
10576	908	1.0	797
10001	9477	1.0	796
5518	5519	1.0	795
23019	4849	1.0	794
5702	5709	1.0	793
23157	989	1.0	792
29882	29945	1.0	791
10787	26999	1.0	790
23028	55758	1.0	789
10213	5702	1.0	810
5469	9440	1.0	811
5701	5714	1.0	812
5432	5441	1.0	824
5683	5685	1.0	833
51386	8664	1.0	832
26173	65123	1.0	831
9282	9477	1.0	830
51520	5917	1.0	829
51466	55740	1.0	828
56339	57721	1.0	827
6595	6603	1.0	826
5707	5709	1.0	825
55752	989	1.0	823
112950	29079	1.0	813
2966	2968	1.0	822
10607	5822	1.0	821
54797	9439	1.0	820
8881	996	1.0	819
160	163	1.0	818
5682	5696	1.0	817
5707	5710	1.0	816
23279	55746	1.0	815
3646	8665	1.0	814
143471	5689	1.0	884
5591	7520	1.0	885
1738	1743	1.0	886
25896	79034	1.0	935
84164	9325	1.0	957
5413	989	1.0	956
5701	5717	1.0	955
64682	8881	1.0	954
6598	9275	1.0	953
5714	5719	1.0	952
10987	9318	1.0	951
6597	6599	1.0	950
11128	55718	1.0	949
4173	4175	1.0	948
6598	6603	1.0	947
54797	9862	1.0	946
10213	5707	1.0	945
1615	2058	1.0	944
134430	5822	1.0	943
10671	51164	1.0	942
84321	8563	1.0	941
7917	8266	1.0	940
10621	55718	1.0	939
27335	8663	1.0	938
220988	3189	1.0	937
57187	84321	1.0	958
1314	372	1.0	959
112950	9477	1.0	960
8664	8665	1.0	972
5688	5690	1.0	981
79720	93343	1.0	980
9092	9128	1.0	979
51434	996	1.0	978
5685	5695	1.0	977
6598	6599	1.0	976
1915	1937	1.0	974
4174	79892	1.0	973
11128	171568	1.0	971
728689	8662	1.0	961
10980	50813	1.0	970
5715	9861	1.0	969
1315	372	1.0	968
23404	5393	1.0	967
5700	5708	1.0	966
6872	83860	1.0	965
54881	81887	1.0	964
10286	27339	1.0	963
79228	80145	1.0	962
55726	57508	1.0	936
6602	8289	1.0	934
10594	9343	1.0	887
6597	8110	1.0	933
27297	55718	1.0	908
197370	286053	1.0	907
5685	5694	1.0	906
143471	5694	1.0	905
10594	9092	1.0	904
5700	5719	1.0	903
151011	4735	1.0	902
10291	8175	1.0	901
23091	9589	1.0	900
24148	26121	1.0	899
219541	29079	1.0	898
57492	6595	1.0	897
5683	5695	1.0	896
2965	2967	1.0	895
119504	29945	1.0	894
3735	5859	1.0	893
10393	29882	1.0	892
29763	6767	1.0	891
4172	79892	1.0	890
10574	6950	1.0	889
1737	1738	1.0	888
9128	9343	1.0	909
10523	23350	1.0	910
1025	905	1.0	911
10844	85378	1.0	923
23020	24148	1.0	932
51616	6878	1.0	931
5711	5713	1.0	930
10213	9861	1.0	929
10274	27127	1.0	928
5682	5693	1.0	927
23636	4927	1.0	926
10471	5204	1.0	925
10621	661	1.0	924
10213	5705	1.0	922
197370	23137	1.0	912
54797	9969	1.0	921
8289	9274	1.0	920
10935	7001	1.0	919
654364	8407	1.0	918
10920	64708	1.0	917
26168	57418	1.0	916
