	entrezgene	mean	bases	median	transcript_count
0	1	0.062387313172043	1488.0	0.089	1
1	10	0.299896	678.0	0.5235	2
2	100	0.5481005437057764	1030.9565217391305	1.026	23
3	1000	0.8308254395350799	2605.0	1.138	3
4	10000	0.9472123496826088	1086.6	1.1376	10
5	100008586	-0.6836837344632768	354.0	-0.2	2
6	10001	0.8678048057900349	714.6	1.138	5
7	10002	0.5706181055190133	1102.0	0.9766666666666666	3
8	10003	0.7230161603020773	1596.0	1.1255000000000002	4
9	100033411	0.113023295761079	1038.0	-0.011	1
10	100037417	0.2452816518518518	405.0	0.181	1
11	10004	0.5777849902198721	1527.0	1.034	6
12	100049587	0.0120718916876574	1191.0	0.085	1
13	10005	0.637501345145218	677.0	1.026	3
14	10006	0.946311640951044	1355.25	1.138	12
15	10007	0.8094180629885057	861.0	1.134	5
16	10008	0.688433	312.0	1.026	2
17	10009	0.900536	2019.0	1.138	2
18	1001	0.5556600451167728	2422.5	1.0245	2
19	10010	0.7319216404067564	930.0	1.0513333333333332	6
20	100101267	0.4219870347769439	3327.0	0.224	2
21	100101268	-0.0647542017543859	798.0	0.307	1
22	100101467	0.5396624453520529	859.0	0.6593333333333334	6
23	100101490	0.687423	546.0	0.952	1
24	10011	0.66769928	675.0	1.026	1
25	100113407	0.8741655914786968	399.0	1.129	1
26	100125288	0.31344265584718123	650.0	0.1625	3
27	100126572	0.4480212233009709	618.0	0.242	1
28	100127206	0.5303335026178011	573.0	1.026	1
29	100127983	0.9526947372881356	354.0	1.138	1
30	100128071	0.7356538229166666	384.0	1.058	1
31	100128327	0.8078152914704343	420.0	1.049	2
32	100128553	-0.006626	2334.0	0.272	1
33	100128569	0.07955640069254875	550.5	0.11275	2
34	100128731	0.959772	114.0	1.138	3
35	100128908	0.5302300614589456	2280.0	0.944	2
36	100128927	0.428624	1269.0	0.871	2
37	100129053	0.101648	1917.0	0.083	2
38	100129128	-0.0718242764857881	387.0	0.028	1
39	100129216	-0.0953947746478873	213.0	-0.089	1
40	100129239	-0.0621746697247706	327.0	-0.216	1
41	100129250	0.4086780357142856	180.0	0.273	4
42	100129271	0.394344	753.0	0.797	1
43	100129278	0.522338	5805.0	0.315	2
44	100129361	0.557725	207.0	0.858	1
45	100129407	0.14231251052631574	234.0	0.089	2
46	100129480	0.43055653125	672.0	1.026	1
47	100129515	0.014811	180.0	-0.102	2
48	100129520	-0.4452879999999999	2982.0	-0.127	3
49	100129543	-0.11408337852254426	825.0	0.363	2
50	100129583	0.26370222518059033	751.5	0.182375	4
51	100129631	-0.0462069497206703	358.0	0.169	1
52	100129654	0.6005455119047619	504.0	0.947	1
53	100129669	0.43053359296652427	711.0	0.966	2
54	100129792	0.7561624355240253	681.0	1.138	2
55	100129842	-0.12491506318068954	1003.5	0.3665	2
