Entrez_A	Entrez_B	ID
18	7915	0
18	4329	1
18	51380	2
18	2571	3
18	2572	4
1431	47	7
4301	58	10
160	58	11
161	58	12
10552	58	13
10095	58	14
58	81873	15
10092	58	16
1008	58	17
1009	58	18
1010	58	19
1012	58	20
1013	58	21
1014	58	22
1015	58	23
1016	58	24
28513	58	25
58	999	26
28316	58	27
58	64405	28
58	64072	29
58	64403	30
1000	58	31
1001	58	32
1002	58	33
1003	58	34
1004	58	35
1005	58	36
1006	58	37
1007	58	38
58	92211	39
54825	58	40
58	9620	41
1952	58	42
1951	58	43
1212	58	44
441294	58	45
100128553	58	46
58	643854	47
1499	58	48
58	8642	49
2195	58	50
2196	58	51
120114	58	52
58	9026	53
3092	58	54
3064	58	55
55081	58	56
3728	58	57
4628	58	58
4629	58	59
58	8735	60
58	79784	61
22989	58	62
4619	58	63
4620	58	64
4621	58	65
4622	58	66
4624	58	67
57644	58	68
4625	58	69
4626	58	70
4627	58	71
4651	58	72
51168	58	73
23026	58	74
399687	58	75
58	84700	76
58	80179	77
4640	58	78
4430	58	79
4641	58	80
4642	58	81
4643	58	82
4542	58	83
58	64005	84
53904	58	85
140469	58	86
4644	58	87
4645	58	88
55930	58	89
4646	58	90
4647	58	91
4648	58	92
4649	58	93
58	5818	94
57575	58	95
27328	58	96
58	83259	97
51294	58	98
58	65217	99
54510	58	100
57526	58	101
5097	58	102
58	64881	103
5099	58	104
5100	58	105
5101	58	106
56139	58	107
56138	58	108
56137	58	109
56136	58	110
56147	58	111
56146	58	112
56145	58	113
56144	58	114
56143	58	115
56142	58	116
56141	58	117
56140	58	118
58	9752	119
56135	58	120
56134	58	121
56126	58	122
56125	58	123
56124	58	124
56123	58	125
56122	58	126
56121	58	127
57717	58	128
29930	58	129
56133	58	130
56132	58	131
56131	58	132
26167	58	133
56130	58	134
56129	58	135
56128	58	136
56106	58	137
56105	58	138
26025	58	139
56114	58	140
56113	58	141
56112	58	142
56110	58	143
56109	58	144
56108	58	145
58	9708	146
56104	58	147
56103	58	148
58	8641	149
56100	58	150
56099	58	151
5098	58	152
56098	58	153
56097	58	154
5216	58	155
5217	58	156
345456	58	157
58	79990	158
4301	59	159
160	59	160
161	59	161
10552	59	162
10095	59	163
59	81873	164
10092	59	165
1008	59	166
1009	59	167
1010	59	168
1012	59	169
1013	59	170
1014	59	171
1015	59	172
1016	59	173
28513	59	174
59	999	175
28316	59	176
59	64405	177
59	64072	178
59	64403	179
1000	59	180
