source	target	__relationship_score	__directed	__edge_source	__reverse_directed	interaction
ACTN1	GIPC1	1.0986122886681098	false	INDRA	false	interacts with
ACTN1	DNM2	3.9889840465642745	false	INDRA	false	interacts with
ACTN1	ITGB1	1.3862943611198906	false	INDRA	false	interacts with
ACTN1	ADAM12	0.6931471805599453	false	INDRA	false	interacts with
ACTN1	RAC1	1.3862943611198906	false	INDRA	false	interacts with
ACTN1	PTK2	3.1780538303479458	false	INDRA + NCI-PID	true	interacts with
ACTN1	RHOA	1.3862943611198906	true	INDRA	false	interacts with
ACTN1	SDC4	1.0986122886681098	false	INDRA + NCI-PID	false	interacts with
ACTN1	VASP	2.1972245773362196	false	INDRA	false	interacts with
ACTN1	ZYX	3.8918202981106265	true	INDRA	false	interacts with
ACTN1	EGF	0.6931471805599453	false	INDRA	true	interacts with
ACTN1	VCL	3.828641396489095	true	INDRA	false	interacts with
ACTN1	ARF6	1.3862943611198906	true	INDRA	false	interacts with
ACTN1	LPP	1.3862943611198906	true	INDRA + NCI-PID	false	interacts with
ACTN1	CDH1	0.6931471805599453	false	INDRA + NCI-PID	true	interacts with
ACTN1	CTNNA1	2.3978952727983707	false	INDRA + NCI-PID	true	interacts with
ACTN1	CTNNB1	0.6931471805599453	false	INDRA	false	interacts with
ACTN1	GIT2	0.0	false	INDRA	false	interacts with
ACTN1	TLN1	2.995732273553991	false	INDRA	false	interacts with
ACTN1	ACTN3	0.6931471805599453	false	INDRA	false	interacts with
ACTN1	ACTN4	2.833213344056216	true	INDRA	false	interacts with
ACTN1	ACTN2	1.0986122886681098	false	INDRA	false	interacts with
ACTN1	SRC	1.6094379124341003	false	INDRA + NCI-PID	true	interacts with
ACTN1	IQGAP1	0.0	false	INDRA	false	interacts with
ACTN1	HSP90AA1	0.0	false	INDRA	false	interacts with
ACTN1	PARVB	3.784189633918261	false	INDRA + NCI-PID	false	interacts with
SDC4	RHOA	3.367295829986474	true	INDRA	false	interacts with
SDC4	ADAM12	1.791759469228055	false	INDRA + NCI-PID	true	interacts with
SDC4	CCL5	2.0794415416798357	false	INDRA + NCI-PID	false	interacts with
SDC4	CXCL12	2.995732273553991	true	INDRA + NCI-PID	true	interacts with
SDC4	CXCR4	2.0794415416798357	false	INDRA + NCI-PID	false	interacts with
SDC4	FGF2	3.7612001156935624	true	INDRA + NCI-PID	true	interacts with
SDC4	FN1	4.6913478822291435	true	INDRA	true	interacts with
SDC4	FZD7	2.995732273553991	false	INDRA + NCI-PID	false	interacts with
SDC4	GIPC1	2.4849066497880004	false	INDRA + NCI-PID	false	interacts with
SDC4	MDK	1.0986122886681098	false	INDRA + NCI-PID	false	interacts with
SDC4	MMP9	2.1972245773362196	false	INDRA	true	interacts with
SDC4	PRKCA	4.795790545596741	true	INDRA + NCI-PID	true	interacts with
SDC4	PRKCD	2.6390573296152584	false	INDRA + NCI-PID	true	interacts with
SDC4	PTK2	2.833213344056216	true	INDRA + NCI-PID	true	interacts with
SDC4	RAC1	4.02535169073515	true	INDRA + NCI-PID	true	interacts with
