Gene Set Group	Gene Set Name	Source	Gene List (NCBI Gene IDs)	
Experimental	Gou24_livercancer	"Wang, J. et al. Terminal modifications independent cell-free RNA sequencing enables sensitive early cancer detection and classification. Nat. Commun. 15, 156 (2024)"	"1666,54812,10914,8100,55208,5562,80829,63934,163786,222545,23510,471,360023,23784,7404,79982,3313,133619,253943,10236"	20
Experimental	Gou24_lung	"Wang, J. et al. Terminal modifications independent cell-free RNA sequencing enables sensitive early cancer detection and classification. Nat. Commun. 15, 156 (2024)"	"6147,147339,3221,286,10399,162,79908,353189,79915,6187,6189,57135,150709,1974,4536,1982,2243,6598,53834,79838,23521,147179,6124,3312,2294,3190,2296,6139,7422"	29
Experimental	Hashimoto24	"Iwasaki, T. et al. Monocyte-derived transcriptomes explain the ineffectiveness of abatacept in rheumatoid arthritis. Arthritis Res. Ther. 26, 1 (2024)"	"6144,7170,54790,23048,10250,3084,83982,140823,51225,4637,2079,55840,147495,4650,8243,5683,220213,5685,23099,6715,6203,5694,9792,51264,84034,92241,2130,5204,1622,2647,4697,4700,27230,55905,8802,4707,4708,4709,92259,9315,3176,4705,6251,23150,115825,4722,4724,4214,3192,27258,2171,4731,644,153733,84617,51338,6283,84629,10903,10907,9377,4257,50856,10923,79026,51389,199,3281,118487,7388,23261,7905,54499,10981,9446,7402,64747,8942,6902,7419,6400,80150,203547,79644,283,8992,805,301,302,1329,10549,310,9528,28985,1337,5435,30011,116541,830,5439,1347,1349,1350,28998,25932,9550,56655,3920,9553,84817,79699,51028,51023,8028,351,80223,5478,221035,7531,23405,7534,10618,26509,6036,93589,23446,8087,91544,26521,59286,55704,11165,64928,29100,79789,196527,1968,1457,29103,2483,51121,23478,27072,1475,51142,11214,9168,27089,64976,27095,2519,8668,2012,23524,54757,23527,6632,490,6635,8685,6637,6129,6643,3059,5110,7167"	166
Experimental	Kumbrink24_1v2	"Pretzsch, E. et al. Comparative transcriptomic analyses reveal activation of the epithelial-mesenchymal transition program in non-metastasizing low grade pseudomyxoma peritonei. Pathol. Res. Pract. 254, 155129 (2024)"	"7431,2697,1289,22795,1293,2191,1809,7058,5396,1301,25878,5654,6424,2200,6422,6678,2335,1311,4256,1842,30008,4060,4323,6641,3569,1009,3956,633,1277,1278"	30
Experimental	Kumbrink24_2v3	"Pretzsch, E. et al. Comparative transcriptomic analyses reveal activation of the epithelial-mesenchymal transition program in non-metastasizing low grade pseudomyxoma peritonei. Pathol. Res. Pract. 254, 155129 (2024)"	"1281,7431,4616,9353,2192,7057,1809,6678,2200,1307,667,4638,1311,800,4256,1314,7078,4016,30008,59,3908,1490,4312,4314,1634,1000,6641,6387,633,1278"	30
Experimental	Qian24_DEG_PANoptosis	"Dai, W. et al. Integrated analysis of single-cell RNA-seq and chipset data unravels PANoptosis-related genes in sepsis. Front. Immunol. 14, 1247131 (2023)"	"81030,64135,11274,51191,219285,91543,163351,26010,26270,94240,115361,115362,23586,9636,3620,5423,55601,51513,439996,8638,80830,10561,27074,710,129607,838,2633,24138,8651,4938,4940,9934,4939,2635,54739,10964,4061,54625,3429,116071,2537,3434,3433,64108,3437,6891,51056,4599"	48
Experimental	Reed24_Catabolic process module	"Sosa, R. A. et al. Myeloid spatial and transcriptional molecular signature of ischemia-reperfusion injury in human liver transplantation. Hepatol Commun 8, (2024)"	"90624,9728,23556,9736,23049,523,2060,11278,27154,10771,55832,4121,7707,6683,540,546,10787,36,23077,55333,55334,23080,10788,5170,9779,132660,23095,23607,166968,57404,51773,55870,55366,3658,374354,6738,9813,100381270,24149,1112,360023,115294,92255,5218,65125,8295,57448,9320,55914,9321,3709,23167,9857,23169,9354,80014,6801,8850,9874,5781,10905,57498,4763,9372,23196,1182,1183,9371,23201,160418,56995,5796,5286,201895,51366,5290,2734,8879,178,23731,5813,57534,8895,54464,4289,120766146,9922,1730,114882,64710,286410,201931,23244,374986,57551,79056,214,8411,23262,23266,79589,25831,23272,25836,51439,9969,57589,5885,8450,10499,160518,23303,23304,60684,54542,8975,8976,23317,29974,83737,64795,8476,23325,10526,2335,79646,10020,23335,1832,5927,647979,23348,108281145,23358,55103,140609,324,10565,28996,64839,9031,23369,5962,283464,253260,84301,22862,57679,23376,80205,338,5465,10075,8540,11101,23389,22878,23392,57182,2909,116064,57700,79718,10087,9575,23405,55667,257397,57720,57211,8573,200576,8065,10116,54664,148362,29068,2957,64397,64398,10640,23443,391059,54165,205717,154007,55187,2969,3482,9113,26523,10142,10564,1955,55206,23469,196527,4026,26043,127933,375743,6595,286148,5576,5578,55754,130507,6093,11215,55252,2005,80854,114134,79832,23512,80856,987,66008,8671,23527,1000,23019,11244,4077,9710,10735,2551,10746,9724,10238,100113407"	231
Experimental	Reed24_Cell cycle module	"Sosa, R. A. et al. Myeloid spatial and transcriptional molecular signature of ischemia-reperfusion injury in human liver transplantation. Hepatol Commun 8, (2024)"	"10112,2305,7298,51203,157313,9088,4751,9232,9493,64151,10403,1062,1063,10024,79019,55723,54443,51512,11065,9787,699,701,55355,55872,4288,259266,150468,144455,29128,24137,1870,55635,81620,3925,983,81624,3161,146909,221150,63967,9055,6241,991,995,23397,55143,7272,9833,113130,128239,7153,79733,8438,374393,11130,11004,4605,890"	58
Experimental	Reed24_Cellular response to stimulus module	"Sosa, R. A. et al. Myeloid spatial and transcriptional molecular signature of ischemia-reperfusion injury in human liver transplantation. Hepatol Commun 8, (2024)"	"10370,388,4616,64651,3725,3726,5008,2069,7832,677,1958,1959,8744,1960,353322,9518,4783,1839,2353,2354,1843,1844,220213,56892,4929,2627,3398,102724428,64332,6348,6351,3280,467,9308,23645,3164,9825,9314,79845,114789,2921,7538,5366,9592,10365"	45
Experimental	Reed24_Endoplasmic reticulum module	"Sosa, R. A. et al. Myeloid spatial and transcriptional molecular signature of ischemia-reperfusion injury in human liver transplantation. Hepatol Commun 8, (2024)"	"2058,51726,7184,16,2590,23071,84513,6184,6185,4141,9276,6734,54867,55379,6745,6747,56926,81502,6242,116844,58477,2673,3703,5774,9871,60559,54431,168620,6836,9919,2243,2244,57549,10959,23256,10970,2266,10972,29925,29926,29927,3309,8943,7922,2802,10483,11014,1798,8985,10525,1314,22820,7466,811,90411,813,821,4925,25940,22872,1369,2923,6509,51569,372,85365,378,6522,201595,9601,10113,5007,400,11153,10130,26003,27044,8615,91050,5034,23471,949,116150,84926,54732,11231,5611,92140,9197,11260,3069,1534"	92
