	ligase activity	nucleobase-containing small molecule metabolic process	mitochondrion organization	mitochondrion	generation of precursor metabolites and energy	isomerase activity	amino acid metabolic process	oxidoreductase activity	meiotic nuclear division	nucleolus	lysosome organization	autophagy	cytokinesis	protein catabolic process	nuclear envelope	protein-containing complex assembly	ATP-dependent activity	intracellular protein transport	establishment or maintenance of cell polarity	microtubule organizing center	cytoskeleton organization	cytoskeletal protein binding	structural molecule activity	programmed cell death	transcription regulator activity	regulation of DNA-templated transcription	DNA binding	protein glycosylation	peroxisome	lipid droplet	carbohydrate metabolic process	detoxification	sulfur compound metabolic process	cellular modified amino acid metabolic process	vitamin metabolic process	wound healing	protein localization to plasma membrane	lysosome	endosome	muscle system process	catalytic activity, acting on a protein	transferase activity	vesicle-mediated transport	GTPase activity	lipid binding	Golgi apparatus	extracellular space	immune system process	defense response to other organism	cell junction organization	cell motility	cell adhesion	lyase activity	endoplasmic reticulum	lipid metabolic process	transporter activity	transmembrane transport	extracellular matrix organization	cargo receptor activity	inflammatory response	circulatory system process	renal system process	digestive system process	cytoskeletal motor activity	microtubule-based movement	cilium	cilium organization	cyclase activity	nervous system process	receptor ligand activity	extracellular matrix	translation regulator activity	regulatory ncRNA-mediated gene silencing	cytoplasmic translation	DNA recombination	chromosome segregation	DNA repair	catalytic activity, acting on DNA	telomere organization	nuclear chromosome	DNA replication	nucleocytoplasmic transport	chromatin organization	histone binding	protein folding	molecular carrier activity	RNA binding	mRNA metabolic process	catalytic activity, acting on RNA	tRNA metabolic process	mitochondrial gene expression	ribosome biogenesis	ribosome
ligase activity	0.3849343638817323	0.3331935156365439	0.33274581302582473	0.3245648932962578	0.35401837401604475	0.3557562891118234	0.343176405935153	0.30238164928442685	0.21925848224877934	0.22127167245549098	0.31151995285952794	0.3266727621369703	0.29789940330334264	0.2843796566702012	0.29157811774309317	0.2776638860672474	0.3372051032169659	0.33128683436443385	0.2532546566626096	0.23840298365522575	0.21401280342663798	0.23145436964604302	0.23913874703668142	0.24485063778382915	0.2479367546816069	0.2425208662583959	0.2504039061149299	0.1712075500889611	0.32307315879618304	0.290864807382251	0.2621210415024461	0.22262621584066697	0.26060461743281127	0.2740606307524213	0.252743407869207	0.20783823552679462	0.24552736166309996	0.25357077736582995	0.2406394473712504	0.18534207222680046	0.21097753755058804	0.2349852365591762	0.21986767772027718	0.21894722495963767	0.19895580448650801	0.20198528816706918	0.19336398341289812	0.18064603759916692	0.1868941010066909	0.17855420897171237	0.1723593964334705	0.15498853394729736	0.20963685358655204	0.22495722447326466	0.2325093295390676	0.16629319495223494	0.17645432426454324	0.12771089669823846	0.13925733275538216	0.16721205223054791	0.17017493914023601	0.1377891339429801	0.1624920534011443	0.20022712330404638	0.1821599973881531	0.1555709548086918	0.154125311529885	0.08988623734062613	0.10246095066861445	0.07228849581790758	0.08964435081823405	0.1442874889962073	0.06632730511167559	0.49696873367998	0.28361134321583675	0.3143922229157226	0.30925730994152045	0.33128672228045913	0.361207202827278	0.33737035910948954	0.3350546475483806	0.3559114219611272	0.3387974744092605	0.34852855477855477	0.3709502134160747	0.36658894070619585	0.3192995153113594	0.32143831237061316	0.3195003298153034	0.33125101265594903	0.3966527017783858	0.4119940650771195	0.4325174825174825
nucleobase-containing small molecule metabolic process	0.0	0.3869143104495637	0.32601883481062766	0.3358121256120321	0.3714684797077486	0.36068883873251906	0.37896798936811077	0.3291532447200107	0.2037449758116922	0.20469640642091397	0.259700815385197	0.2616369483845316	0.25049730446564994	0.2437414779735265	0.2688425238931043	0.2611715134153491	0.2992487479131887	0.279547268374084	0.22890443167244573	0.20874338890004687	0.19641565336126077	0.2146717741512305	0.2440084434480579	0.2393561457377101	0.23935289363719053	0.23250873907912897	0.23943884180628544	0.18334238595192762	0.3349008305206872	0.27079147721264674	0.2835732950123938	0.26150700465191035	0.2858742951309318	0.3067886422715457	0.29052239080572556	0.22378443676386697	0.22055807770093486	0.2275862565779758	0.20182862519645958	0.2122679820425018	0.19934433431489773	0.22497901507535925	0.19143939989223654	0.19105815770033466	0.19314626948845573	0.18556861702869396	0.20129686332092625	0.18201287187743362	0.18449095223236633	0.18051749721106045	0.17818220837848417	0.16884240028733274	0.24159747439716023	0.22160588668721853	0.2472036805835455	0.1846814557710204	0.19411938543055798	0.15227183538364414	0.15700187132418464	0.18250304545745977	0.2048460176435078	0.18231425192439363	0.19280681330800808	0.1796910102650952	0.16296914374845384	0.15175405837061287	0.13949257050439706	0.13907764528608063	0.11981346240892939	0.11450968987124237	0.12426179227310828	0.1285651754675328	0.05741330951108476	0.46937632375851146	0.2593091875039766	0.273109852953777	0.2810816298903479	0.3079024907476321	0.32850203246172915	0.3063405042191895	0.3092588207435472	0.3181401429963449	0.312189417220351	0.31696523838939744	0.3473927777575338	0.3478852623199199	0.290617867387996	0.28196967763958664	0.3035767173095222	0.3132466153437749	0.4225331272810969	0.37656781332990474	0.43329645831344515
mitochondrion organization	0.0	0.0	0.40590214218572207	0.3576697644946668	0.3762558891979338	0.3216829417641561	0.2974361796531585	0.2922607567099879	0.21108735823761732	0.21498240210871403	0.28452168633552155	0.30892120102313686	0.28034857725782997	0.2665284435366018	0.29496590862695465	0.2753366845891634	0.30111784901396765	0.3107339116425671	0.24527374301675978	0.2253261928412728	0.20686853585608547	0.22358089309760482	0.24153815440203286	0.25504621541400424	0.2602030431021322	0.2512238449832218	0.2559746628722845	0.16964061321940185	0.2971476438601224	0.26019738151140115	0.24923678548584055	0.2343466394180997	0.2300792149665724	0.251749753102323	0.2372618806129788	0.2230378991345867	0.2356944651436763	0.237350011933951	0.2224752103058126	0.2014253630515117	0.21114510840135578	0.22536855667757483	0.2071695623488014	0.21010474242843208	0.19629793175878077	0.19624473011777846	0.18741190859408388	0.19014260110082404	0.19527306802343675	0.19151492417632301	0.18520187690840456	0.1729045504832307	0.20381954405403693	0.2190071418833595	0.213227977586465	0.1799024316535892	0.19111046472601972	0.15500073828217786	0.15248042650929636	0.18550772528150866	0.18548466021645446	0.15669044311601554	0.16492696960755385	0.18340702210663198	0.17319284241503763	0.1505326196660305	0.14580638616246924	0.11714923339999421	0.11346440631929192	0.10694368202900627	0.11424659890763651	0.1289665113792577	0.06018355411499436	0.4604199046389716	0.2710070078217105	0.29541024102062985	0.29694004359724835	0.3183248001391226	0.3403922930046867	0.3260426465976795	0.32473240338506987	0.3435880929242159	0.3326402229798008	0.34279097678271087	0.3526307606478814	0.3734846280671128	0.30124625367064595	0.30053502021245126	0.301091681321963	0.31352198680381954	0.4803431287599336	0.3933968999592978	0.45305949966193376
mitochondrion	0.0	0.0	0.0	0.3665260249995456	0.37439961110761777	0.3358875486124843	0.34068993630573247	0.3072464646668755	0.20325352588463813	0.21277747742529268	0.24608047393522076	0.2625953406857789	0.2513563759153166	0.24390229373946784	0.2745972068562664	0.2646200077583468	0.29424717207608964	0.28221471009131227	0.22053890468898127	0.20673132396410912	0.18852947417379506	0.20415021413492085	0.23749231431603532	0.23371280194823477	0.24469612300976182	0.23659089291967617	0.24360676019552654	0.1596330323215047	0.3115060804490178	0.24916885693895668	0.25018395018671474	0.23403253525437295	0.25319665448282813	0.2731275456328255	0.26041891134767053	0.20016884546893418	0.20603565735363139	0.2094177234411752	0.19125708181934792	0.18715127142899987	0.1928586658259948	0.21509131454834254	0.1811796692558148	0.1868293222928244	0.1796777155634826	0.17413459564028574	0.17951015754715338	0.17274589626130954	0.17618483161004503	0.16879618342438335	0.16542735383144813	0.15425159558733567	0.20848210976976164	0.2060980548102442	0.2181873466672211	0.1712800147144041	0.17951739988916995	0.1378175812295301	0.13754145683848562	0.16602604631869106	0.17441439633994024	0.14668606898433414	0.16056574167616017	0.1717108952305897	0.15699773643239662	0.13801102839466683	0.13234027146646568	0.10291444172066713	0.10486147905535627	0.09020447707919026	0.10211504782432979	0.13165553700612131	0.05959875141253087	0.474453311223961	0.2652403824353219	0.28192116688731766	0.2898239987329493	0.3141163640378163	0.3340649054121576	0.31957008406432746	0.320937205771335	0.32678004616938394	0.32161840135182246	0.33326929944462913	0.3496898319278426	0.3558305021719656	0.3010934155877298	0.298006785058342	0.3136291530188999	0.33473020637898687	0.4794626417839202	0.40728679332011486	0.4633878392921201
generation of precursor metabolites and energy	0.0	0.0	0.0	0.0	0.44728473581213307	0.3844810298541256	0.39942938659058486	0.3580933359154979	0.21027225737145727	0.2131942637790886	0.2808094090145372	0.29003693563913674	0.27029059686213885	0.26473991846357875	0.2893869945673111	0.2817944592233323	0.3123830676770316	0.301553913706518	0.24597964223333132	0.22203567535610694	0.21092811246732143	0.23024787796543164	0.2640691305049508	0.26086623726037256	0.25356810308104666	0.2470941576942514	0.25093190308207947	0.18228648971019126	0.35751196172248806	0.29190369476527034	0.3046697808552503	0.2962353611773241	0.304920601440323	0.33060032920277027	0.30900044424700135	0.24527768076989387	0.23854558872769763	0.24616376295708634	0.21917472091106616	0.230754311180839	0.21766638313731737	0.2403681605263539	0.20644897593987407	0.20658034784846252	0.2106910086969688	0.19732435907490986	0.2181254239297215	0.1967269161342606	0.20014833392699433	0.1972955155472539	0.19528856318156176	0.18349830087060398	0.2565244575211475	0.23853592138589333	0.2642943705435784	0.19999557033269408	0.21203401862574867	0.17140349359013982	0.17296607843453832	0.20020055695507613	0.22388603158709208	0.20266490209642976	0.21221916348459285	0.18678218482905984	0.17356765295582963	0.16002835456089556	0.1476193498928207	0.15044457782554682	0.12874948809233683	0.13437583841171286	0.14137869156814434	0.13557950863000162	0.060247741381064916	0.49412137738601053	0.26568639878311573	0.2840816287544117	0.29008955438444023	0.3173824473005688	0.3414733499754546	0.3143582340230796	0.3180141009753058	0.3401178903702997	0.32754093626669806	0.330419850745054	0.3737317740643946	0.38038865311592585	0.30583746113038335	0.2967230068997217	0.3107561721352622	0.3247215728053821	0.47406498057257274	0.3879772292113751	0.4692334611033798
isomerase activity	0.0	0.0	0.0	0.0	0.0	0.41997091001075065	0.38495301182109487	0.34650800460631787	0.23891747827442975	0.23484930206468038	0.2954663500779105	0.2968316077426504	0.2888101201341427	0.28224860569212723	0.2995701708131601	0.2932760387553568	0.3362293288583476	0.3176897020175954	0.26450947486189774	0.24604798738359868	0.23070582766668105	0.24830290736984448	0.2884089626940157	0.27003866004366217	0.26528775773171204	0.2628376190659873	0.2701302431575938	0.20621454040856477	0.32752777777777775	0.29422523153552804	0.307259421826459	0.2866267150291752	0.29969807722866676	0.31463860356670237	0.29830068189197967	0.2560538398641424	0.2506175237989509	0.2604866105260926	0.23156424687299032	0.23426922067698766	0.23054021232420574	0.25365455632000733	0.22183230955439798	0.2210498173068354	0.21769959328950986	0.21237760633609815	0.23391918462340996	0.2084044990032046	0.2125244838167339	0.20662606421989094	0.20654895023198372	0.1962213456811296	0.2455297611831737	0.24872411739287842	0.26124581927755963	0.19305402714457895	0.2052811786677734	0.18547637587601418	0.18355094810051834	0.20850576262047585	0.22151794371195083	0.1987666758250145	0.21361044959226383	0.2169046569209375	0.19099382716049382	0.17532021155707692	0.16899969245726645	0.14524427058973596	0.13422067103957303	0.13740184748519443	0.15706112490008833	0.1448633910396474	0.06427287398703171	0.5432238775194598	0.302557616638561	0.3149117101725025	0.3247221447635741	0.34931136645714056	0.39181559621343975	0.3529716356941488	0.3562037564029596	0.36817956199077495	0.3557606139440911	0.35490004795052826	0.41478170818117405	0.3798563869992441	0.331036199121835	0.3279074138990921	0.3430518848240367	0.3558162855996791	0.4047636337230412	0.44063724209976496	0.4690641534391534
amino acid metabolic process	0.0	0.0	0.0	0.0	0.0	0.0	0.5307275452553903	0.3748575249616267	0.18976997578692495	0.1960162959244068	0.23768180233847713	0.23659546321614391	0.22398259766156078	0.23272225440419805	0.24663401857939896	0.24739370990131695	0.2942842640514108	0.2589890145526775	0.2043903531695662	0.19244254773496824	0.1783837970540098	0.1954954657873042	0.23336793198892844	0.22600998615698345	0.22574660108314168	0.2182698226009024	0.2264259550578681	0.1596009600960096	0.36211725611203416	0.25666334330342305	0.29759947585219515	0.29060463025398964	0.3368572547276633	0.3743504698728579	0.3435461431442263	0.21043911792905082	0.19564032051585983	0.21472092707437418	0.18341729775408716	0.1906817316237146	0.18833149323046794	0.22056616366329704	0.17347968265503022	0.17000416129588844	0.17868555624092167	0.16791265629865804	0.20446594977304922	0.16948237253135595	0.17119025590106965	0.16300421159641287	0.16279153688368914	0.15344183002185466	0.2600925792529769	0.2115857018609623	0.25526397778372	0.17911446963336133	0.1882058435020368	0.14614988411022406	0.15741700518279872	0.17140886359717192	0.19679219754200022	0.1751805783723174	0.18828967642526964	0.16276981022743733	0.1467901032797516	0.13452454630757252	0.1221535775726913	0.11212689955803112	0.11240734969456183	0.10554757916566962	0.11973623530398222	0.13461078226462658	0.057951178352073154	0.47156977128139654	0.25098745062746863	0.26108325390576437	0.26762806886269974	0.30034581394355975	0.3185534306172392	0.2955047899778924	0.2990583804143126	0.30137764962432434	0.29654190568496425	0.30244777468608314	0.3450671960904093	0.3281028025313186	0.28820660087500993	0.2733053878198598	0.3044784707349039	0.3405141612200436	0.4164057478176125	0.3735768686091504	0.42450564971751414
oxidoreductase activity	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3729218170956195	0.1795460803209692	0.1789885278449058	0.23977637756362738	0.24318215453334588	0.22059594418692316	0.2260404379392268	0.24570078530547051	0.2363756319714528	0.26678132518943687	0.25092911399491846	0.2109205942573239	0.18625593589558292	0.18089786332572214	0.1966711257460383	0.22560381560071088	0.23128052176841668	0.23001739836948776	0.22030560254001907	0.22308590891072427	0.16517598202404918	0.3433896123033015	0.27730756342489	0.2766035831845012	0.3024504384437141	0.3018961174413492	0.3274652461998181	0.3245174546301076	0.2328411617478621	0.20708819417430857	0.22066738111501047	0.19349274189629712	0.2062874244218132	0.19040985982548614	0.21280892176078162	0.18084811712721757	0.17631161516061905	0.19497307234218839	0.17764988221851633	0.19888328290849552	0.18033589487127707	0.18359827861996098	0.1776863222332854	0.1791651283611589	0.17205723651179297	0.2380990662296704	0.22388637703736197	0.25771173038570006	0.17890394340670585	0.18841855883188385	0.17039243521906403	0.17287311530337243	0.1930304620536272	0.21148402749696724	0.19985746888494854	0.20647209647049397	0.15677359840355434	0.15039598176582342	0.1410779335216795	0.12988926028513686	0.1399493997615572	0.12179290450387874	0.13314495937646492	0.14489131788739412	0.11022952604362421	0.05119098666267094	0.4157578184782842	0.22848166246458557	0.23483920305679795	0.2441974007598006	0.2707739013642065	0.28616022522469464	0.2632491819850496	0.2646780153491457	0.2828899178130061	0.28464315425996917	0.28834659982923405	0.3185634212577511	0.3091558919373489	0.2502806217339547	0.24154853395235626	0.2516968282117477	0.25939278620666634	0.34283430828022055	0.3096701035409708	0.3720504419174537
meiotic nuclear division	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3625448028673835	0.21508757700778758	0.17367068326713175	0.21119284096283575	0.27829619268428213	0.2269951667194108	0.24853982046265394	0.24101280272968215	0.27703441004504936	0.23488367126856508	0.2298327401014269	0.2535705209656925	0.2061725217225783	0.21003275561388057	0.21813422241902505	0.21288679472228178	0.2463681482336444	0.24391966197835271	0.26300201122567324	0.1276410815594431	0.16914354222344333	0.1608599740887286	0.17602709092070795	0.1347682119205298	0.14224332135517972	0.1535336356764928	0.15630377609662652	0.17516891345811916	0.17316433566433567	0.14996423632635544	0.15324712683040423	0.15999433592674464	0.1899974752187229	0.20154235307009533	0.16135663662368704	0.16373746825290736	0.14051790273288645	0.1481551491133157	0.14506406782169406	0.1587974286771356	0.15384226761844194	0.15780439408066174	0.16063369254858617	0.14554822541506726	0.14939146278321394	0.1510444245223503	0.14477040322892623	0.10964655847156342	0.1211440682085533	0.12899106002554278	0.11092417131556422	0.1414324459583811	0.13885790235682244	0.11660301673214825	0.11851803747118225	0.22644562496183673	0.18062077972601218	0.15436665235943142	0.1660147179652056	0.09697665518561041	0.09471954164409473	0.08854677387723082	0.09470323207592413	0.1126667058833416	0.06389769746881935	0.38671521673585824	0.3680906446179758	0.38438980374464243	0.3793902038732266	0.384306893861034	0.4329552651275261	0.44398892365231774	0.40931041143519414	0.32495507759324804	0.37592107517931894	0.37293286850808977	0.26680611423974254	0.278843537414966	0.2752805595916033	0.30334126806445866	0.2863914922790091	0.26021392882266997	0.25977787456445994	0.36418752203031374	0.31095700828881384
nucleolus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.21375395324091864	0.18087848734587106	0.2039856098234159	0.23652756629465826	0.21081943849868767	0.23160607359350632	0.22662196110616237	0.24488904221939228	0.22969506518637164	0.2044020639538364	0.20384413920843367	0.1789222076108685	0.18753560193317256	0.2061135436127483	0.18922443221668006	0.21195578861340306	0.2118148843284282	0.2223730823341353	0.12817660957236388	0.1731981586085998	0.16230077060896092	0.16569879466809304	0.1298219250807591	0.14856432073085327	0.1550478436221684	0.15125463966551178	0.1588583621315165	0.1693940912794468	0.15417238945567432	0.15155874362332153	0.1447494051271307	0.16735961209011485	0.18089587796550755	0.15347052174884815	0.1593343207907255	0.13704508575339974	0.1446719682812869	0.1407978084966443	0.14229816426970127	0.1443152368476768	0.1473690721799532	0.14167817959714457	0.13225349205134548	0.14181323551963734	0.1513429281321408	0.1393424198760105	0.11050855363033159	0.11961751694552203	0.11266866760120056	0.10489259205192414	0.12628850142100007	0.12609517187510583	0.10396960607042445	0.11227974826608694	0.17499666103397615	0.14715710934032256	0.12589132569715297	0.13312973261269095	0.081220170864684	0.08222048102473258	0.06912256397277244	0.0856790985923608	0.11465719717258217	0.05718025216777358	0.3993351275740567	0.2725324087001766	0.2843666956754697	0.29695236703148126	0.30291941948479617	0.34420177621964776	0.32937405173066353	0.32658708932056385	0.2997083458748067	0.3118485601695216	0.3200749989346742	0.2673650642085032	0.27304617973528367	0.26747262137700134	0.2980128863637952	0.2864473968719218	0.2908559441521373	0.30851456105533986	0.3666316593917173	0.3484006906108726
