index,Network,Performance,parent,InteractionType,GeneSet
493,GM_domain,164.22346266960236,GeneMANIA,Domain,Performance_gwas
1213,GM_predicted,102.9581524227139,GeneMANIA,Orthology,Performance_gwas
395,GM_domain,67.3914536497186,GeneMANIA,Domain,Performance_gwas
435,GM_domain,50.938449005253474,GeneMANIA,Domain,Performance_gwas
502,GM_domain,46.5204584840575,GeneMANIA,Domain,Performance_gwas
371,GM_domain,46.19492169840777,GeneMANIA,Domain,Performance_gwas
333,GM_colocal,44.607757787104376,GeneMANIA,Colocalization,Performance_gwas
492,GM_domain,40.05720605127739,GeneMANIA,Domain,Performance_gwas
834,GM_pathway,39.28409360085927,GeneMANIA,Pathway,Performance_gwas
451,GM_domain,34.52697571003952,GeneMANIA,Domain,Performance_gwas
870,GM_pathway,33.555785218142894,GeneMANIA,Pathway,Performance_gwas
755,GM_pathway,30.21972603392533,GeneMANIA,Pathway,Performance_gwas
770,GM_pathway,28.714102922043523,GeneMANIA,Pathway,Performance_gwas
480,GM_domain,27.96293031661866,GeneMANIA,Domain,Performance_gwas
709,GM_genetic_90,27.08620008521771,GeneMANIA,Genetic,Performance_gwas
514,GM_domain,25.74962649822657,GeneMANIA,Domain,Performance_gwas
495,GM_domain,23.980483695249504,GeneMANIA,Domain,Performance_gwas
829,GM_pathway,23.66496131935545,GeneMANIA,Pathway,Performance_gwas
397,GM_domain,22.59045711631703,GeneMANIA,Domain,Performance_gwas
471,GM_domain,22.10543967342077,GeneMANIA,Domain,Performance_gwas
455,GM_domain,21.471569290557262,GeneMANIA,Domain,Performance_gwas
884,GM_pathway,21.45055569428066,GeneMANIA,Pathway,Performance_gwas
429,GM_domain,21.312793650698016,GeneMANIA,Domain,Performance_gwas
1156,GM_predicted,21.17796334266309,GeneMANIA,Orthology,Performance_gwas
1050,GM_physical,20.989406182695685,GeneMANIA,Physical,Performance_gwas
855,GM_pathway,19.93640809172874,GeneMANIA,Pathway,Performance_gwas
440,GM_domain,19.70616054110565,GeneMANIA,Domain,Performance_gwas
731,GM_pathway,19.457504921539503,GeneMANIA,Pathway,Performance_gwas
433,GM_domain,19.42978425822318,GeneMANIA,Domain,Performance_gwas
1175,GM_predicted,19.332110302136734,GeneMANIA,Orthology,Performance_gwas
901,GM_physical,18.682459200363475,GeneMANIA,Physical,Performance_gwas
727,GM_pathway,18.39697462549212,GeneMANIA,Pathway,Performance_gwas
401,GM_domain,18.05203636544229,GeneMANIA,Domain,Performance_gwas
1042,GM_physical,17.793634979165255,GeneMANIA,Physical,Performance_gwas
388,GM_domain,17.619595644548575,GeneMANIA,Domain,Performance_gwas
528,GM_domain,17.482084300797922,GeneMANIA,Domain,Performance_gwas
1248,GM_predicted,17.456035659745172,GeneMANIA,Orthology,Performance_gwas
1205,GM_predicted,17.21429807035469,GeneMANIA,Orthology,Performance_gwas
203,GM_colocal,17.156181878670072,GeneMANIA,Colocalization,Performance_gwas
862,GM_pathway,17.135063996843083,GeneMANIA,Pathway,Performance_gwas
998,GM_physical,17.113641259394694,GeneMANIA,Physical,Performance_gwas
597,GM_genetic_90,16.90686168384487,GeneMANIA,Genetic,Performance_gwas
1242,GM_predicted,16.78791198318968,GeneMANIA,Orthology,Performance_gwas
258,GM_colocal,16.48046097125799,GeneMANIA,Colocalization,Performance_gwas
454,GM_domain,16.38584471827888,GeneMANIA,Domain,Performance_gwas
975,GM_physical,16.300450240611838,GeneMANIA,Physical,Performance_gwas
363,GM_domain,16.294127153191127,GeneMANIA,Domain,Performance_gwas
815,GM_pathway,16.09320417408802,GeneMANIA,Pathway,Performance_gwas
923,GM_physical,16.063995189507825,GeneMANIA,Physical,Performance_gwas
875,GM_pathway,16.040492558978475,GeneMANIA,Pathway,Performance_gwas
973,GM_physical,15.95928798787565,GeneMANIA,Physical,Performance_gwas
795,GM_pathway,15.910340582700288,GeneMANIA,Pathway,Performance_gwas
966,GM_physical,15.834011879663672,GeneMANIA,Physical,Performance_gwas
1174,GM_predicted,15.7717982971161,GeneMANIA,Orthology,Performance_gwas
813,GM_pathway,15.617977388571004,GeneMANIA,Pathway,Performance_gwas
325,GM_colocal,15.54358333835543,GeneMANIA,Colocalization,Performance_gwas
463,GM_domain,15.524962041882809,GeneMANIA,Domain,Performance_gwas
490,GM_domain,15.439334436766408,GeneMANIA,Domain,Performance_gwas
436,GM_domain,15.245539041963706,GeneMANIA,Domain,Performance_gwas
385,GM_domain,15.176828624257348,GeneMANIA,Domain,Performance_gwas
407,GM_domain,15.152361274577228,GeneMANIA,Domain,Performance_gwas
428,GM_domain,14.882512850502108,GeneMANIA,Domain,Performance_gwas
1097,GM_predicted,14.584359405186586,GeneMANIA,Orthology,Performance_gwas
