index,Network,Performance,method,num_nets,min_nets,Group,GeneSet,Comparator,Disease
ACTH-Secreting Pituitary Adenoma,OC_nocite_10__composite_min2,35.74083370095341,OC,10,2,NOCITE,Literature,False,0
AICARDI-GOUTIERES SYNDROME,OC_nocite_10__composite_min2,33.67341065674013,OC,10,2,NOCITE,Literature,False,1
AIDS related complex,OC_nocite_10__composite_min2,14.547494298218131,OC,10,2,NOCITE,Literature,False,2
AMYOTROPHIC LATERAL SCLEROSIS 1,OC_nocite_10__composite_min2,60.58007093612551,OC,10,2,NOCITE,Literature,False,3
ATRICHIA WITH PAPULAR LESIONS,OC_nocite_10__composite_min2,19.77321788755625,OC,10,2,NOCITE,Literature,False,4
"AURAL ATRESIA, CONGENITAL",OC_nocite_10__composite_min2,68.28210965328185,OC,10,2,NOCITE,Literature,False,5
Abnormality of the skeletal system,OC_nocite_10__composite_min2,62.60101303105259,OC,10,2,NOCITE,Literature,False,6
Absence Epilepsy,OC_nocite_10__composite_min2,82.07661196202564,OC,10,2,NOCITE,Literature,False,7
Acoustic Neuroma,OC_nocite_10__composite_min2,50.59711252757365,OC,10,2,NOCITE,Literature,False,8
Acquired Hypogammaglobulinemia,OC_nocite_10__composite_min2,130.21719487018234,OC,10,2,NOCITE,Literature,False,9
Acromegaly,OC_nocite_10__composite_min2,84.25991088312755,OC,10,2,NOCITE,Literature,False,10
Actinic keratosis,OC_nocite_10__composite_min2,18.18342970650419,OC,10,2,NOCITE,Literature,False,11
Acute Chest Syndrome,OC_nocite_10__composite_min2,234.4304575400809,OC,10,2,NOCITE,Literature,False,12
Acute Coronary Syndrome,OC_nocite_10__composite_min2,276.0549051006923,OC,10,2,NOCITE,Literature,False,13
Acute Erythroblastic Leukemia,OC_nocite_10__composite_min2,49.4641715377072,OC,10,2,NOCITE,Literature,False,14
Acute GVH disease,OC_nocite_10__composite_min2,145.08636188630803,OC,10,2,NOCITE,Literature,False,15
Acute Megakaryocytic Leukemias,OC_nocite_10__composite_min2,57.38723563470263,OC,10,2,NOCITE,Literature,False,16
Acute Undifferentiated Leukemia,OC_nocite_10__composite_min2,54.52731688356963,OC,10,2,NOCITE,Literature,False,17
Acute monoblastic leukemia,OC_nocite_10__composite_min2,9.102919056766904,OC,10,2,NOCITE,Literature,False,18
Acute myelomonocytic leukemia,OC_nocite_10__composite_min2,33.711820822947104,OC,10,2,NOCITE,Literature,False,19
Acute pancreatitis,OC_nocite_10__composite_min2,169.29355967722583,OC,10,2,NOCITE,Literature,False,20
Acute respiratory distress,OC_nocite_10__composite_min2,89.04531856827148,OC,10,2,NOCITE,Literature,False,21
Adenocarcinoma Of Esophagus,OC_nocite_10__composite_min2,122.41554577886644,OC,10,2,NOCITE,Literature,False,22
Adenocarcinoma of colon,OC_nocite_10__composite_min2,81.52363754243191,OC,10,2,NOCITE,Literature,False,23
Adenocarcinoma of large intestine,OC_nocite_10__composite_min2,57.26896426935128,OC,10,2,NOCITE,Literature,False,24
Adenocarcinoma of pancreas,OC_nocite_10__composite_min2,145.86090312640167,OC,10,2,NOCITE,Literature,False,25
Adenocarcinoma of prostate,OC_nocite_10__composite_min2,79.09910065214618,OC,10,2,NOCITE,Literature,False,26
Adenocarcinoma of rectum,OC_nocite_10__composite_min2,12.309172581078563,OC,10,2,NOCITE,Literature,False,27
Adenocarcinoma of small intestine,OC_nocite_10__composite_min2,21.307202455361693,OC,10,2,NOCITE,Literature,False,28
"Adenocarcinoma, Clear Cell",OC_nocite_10__composite_min2,18.74946377528469,OC,10,2,NOCITE,Literature,False,29
"Adenocarcinoma, Endometrioid",OC_nocite_10__composite_min2,31.927693640988306,OC,10,2,NOCITE,Literature,False,30
Adenoid Cystic Carcinoma,OC_nocite_10__composite_min2,63.493228776010845,OC,10,2,NOCITE,Literature,False,31
Adenoma of large intestine,OC_nocite_10__composite_min2,92.48821158725076,OC,10,2,NOCITE,Literature,False,32
Adenomatous Polyps,OC_nocite_10__composite_min2,26.74022722564964,OC,10,2,NOCITE,Literature,False,33
Adenosquamous carcinoma,OC_nocite_10__composite_min2,67.28464360040932,OC,10,2,NOCITE,Literature,False,34
Adolescent idiopathic scoliosis,OC_nocite_10__composite_min2,86.50611966582443,OC,10,2,NOCITE,Literature,False,35
Adrenal Cortical Adenoma,OC_nocite_10__composite_min2,46.5395199726986,OC,10,2,NOCITE,Literature,False,36
Adrenal Gland Pheochromocytoma,OC_nocite_10__composite_min2,186.3054984461841,OC,10,2,NOCITE,Literature,False,37
Adrenal cortical hypofunction,OC_nocite_10__composite_min2,90.41052098779645,OC,10,2,NOCITE,Literature,False,38
Adrenocortical carcinoma,OC_nocite_10__composite_min2,45.87377781200427,OC,10,2,NOCITE,Literature,False,39
Adrenoleukodystrophy,OC_nocite_10__composite_min2,37.068581119486666,OC,10,2,NOCITE,Literature,False,40
Adult Acute Monocytic Leukemia,OC_nocite_10__composite_min2,41.71340199734544,OC,10,2,NOCITE,Literature,False,41
Adult Acute Myeloblastic Leukemia,OC_nocite_10__composite_min2,61.14459962533864,OC,10,2,NOCITE,Literature,False,42
Adult Anaplastic Large Cell Lymphoma,OC_nocite_10__composite_min2,62.447874042395306,OC,10,2,NOCITE,Literature,False,43
Adult Angiosarcoma,OC_nocite_10__composite_min2,20.445498564004904,OC,10,2,NOCITE,Literature,False,44
Adult B Acute Lymphoblastic Leukemia,OC_nocite_10__composite_min2,13.645340749147078,OC,10,2,NOCITE,Literature,False,45
Adult Burkitt Lymphoma,OC_nocite_10__composite_min2,111.48608096960992,OC,10,2,NOCITE,Literature,False,46
Adult Classical Hodgkin Lymphoma,OC_nocite_10__composite_min2,77.4309011716101,OC,10,2,NOCITE,Literature,False,47
Adult Ependymoma,OC_nocite_10__composite_min2,50.09810506419768,OC,10,2,NOCITE,Literature,False,48
Adult Erythroleukemia,OC_nocite_10__composite_min2,41.01432033902536,OC,10,2,NOCITE,Literature,False,49
Adult Extraskeletal Myxoid Chondrosarcoma,OC_nocite_10__composite_min2,3.773483828544141,OC,10,2,NOCITE,Literature,False,50
Adult Fibrosarcoma,OC_nocite_10__composite_min2,107.8936309830542,OC,10,2,NOCITE,Literature,False,51
