,Edge,Node,method,Group,Comparator,Network,k,m
0,6351672,20916,Global,ALL,False,Global_k2,2.0,
1,6248089,20831,Ranked,ALL,False,Ranked_k45_m2,45.0,2.0
2,5363347,20800,Ranked,ALL,False,Ranked_k44_m2,44.0,2.0
3,5310851,20799,Ranked,ALL,False,Ranked_k43_m2,43.0,2.0
4,4765353,20798,Ranked,ALL,False,Ranked_k42_m2,42.0,2.0
5,4717169,20794,Ranked,ALL,False,Ranked_k41_m2,41.0,2.0
6,4665959,19926,Ranked,ALL,False,Ranked_k40_m2,40.0,2.0
7,4654437,19920,Ranked,ALL,False,Ranked_k39_m2,39.0,2.0
8,4595066,19786,Ranked,ALL,False,Ranked_k38_m2,38.0,2.0
9,4594358,19783,Ranked,ALL,False,Ranked_k37_m2,37.0,2.0
10,4594344,19783,Ranked,ALL,False,Ranked_k36_m2,36.0,2.0
11,4460453,19753,Ranked,ALL,False,Ranked_k35_m2,35.0,2.0
12,4459058,19725,Ranked,ALL,False,Ranked_k34_m2,34.0,2.0
13,4396559,19708,Ranked,ALL,False,Ranked_k33_m2,33.0,2.0
14,4390212,19706,Ranked,ALL,False,Ranked_k32_m2,32.0,2.0
15,4370661,19690,Ranked,ALL,False,Ranked_k31_m2,31.0,2.0
16,4339061,19676,Ranked,ALL,False,Ranked_k30_m2,30.0,2.0
17,4334474,19674,Ranked,ALL,False,Ranked_k29_m2,29.0,2.0
18,4334382,19673,Ranked,ALL,False,Ranked_k28_m2,28.0,2.0
19,4331325,19669,Ranked,ALL,False,Ranked_k27_m2,27.0,2.0
20,4328482,19666,Ranked,ALL,False,Ranked_k26_m2,26.0,2.0
21,4113362,19537,Ranked,ALL,False,Ranked_k25_m2,25.0,2.0
22,4110743,19537,Ranked,ALL,False,Ranked_k24_m2,24.0,2.0
23,3895672,19380,Ranked,ALL,False,Ranked_k23_m2,23.0,2.0
24,3894360,19380,Ranked,ALL,False,Ranked_k22_m2,22.0,2.0
25,3890101,19362,Ranked,ALL,False,Ranked_k21_m2,21.0,2.0
26,3889731,19361,Ranked,ALL,False,Ranked_k20_m2,20.0,2.0
27,3872221,19354,Ranked,ALL,False,Ranked_k19_m2,19.0,2.0
28,3869945,19352,Ranked,ALL,False,Ranked_k18_m2,18.0,2.0
29,3857206,19285,Ranked,ALL,False,Ranked_k17_m2,17.0,2.0
30,3853371,19268,Ranked,ALL,False,Ranked_k16_m2,16.0,2.0
31,3852120,19267,Ranked,ALL,False,Ranked_k15_m2,15.0,2.0
32,3851944,19267,Ranked,ALL,False,Ranked_k14_m2,14.0,2.0
33,3850073,19247,Ranked,ALL,False,Ranked_k13_m2,13.0,2.0
34,3845068,19245,Ranked,ALL,False,Ranked_k12_m2,12.0,2.0
35,3074653,19203,Ranked,ALL,False,Ranked_k11_m2,11.0,2.0
36,2738722,19672,Global,ALL,False,Global_k3,3.0,
37,2619081,19545,Ranked,ALL,False,Ranked_k45_m3,45.0,3.0
38,2369229,19524,Ranked,ALL,False,Ranked_k44_m3,44.0,3.0
39,2336930,19523,Ranked,ALL,False,Ranked_k43_m3,43.0,3.0
40,2125634,19522,Ranked,ALL,False,Ranked_k42_m3,42.0,3.0
41,2091198,19517,Ranked,ALL,False,Ranked_k41_m3,41.0,3.0
42,2026026,19358,Ranked,ALL,False,Ranked_k40_m3,40.0,3.0
43,2015969,19358,Ranked,ALL,False,Ranked_k39_m3,39.0,3.0
44,1943406,19251,Ranked,ALL,False,Ranked_k38_m3,38.0,3.0
45,1942882,19243,Ranked,ALL,False,Ranked_k37_m3,37.0,3.0
46,1942841,19243,Ranked,ALL,False,Ranked_k36_m3,36.0,3.0
47,1934989,18990,Ranked,ALL,False,Ranked_k10_m2,10.0,2.0
48,1931623,18989,Ranked,ALL,False,Ranked_k9_m2,9.0,2.0
49,1860961,19174,Ranked,ALL,False,Ranked_k35_m3,35.0,3.0
50,1860638,19167,Ranked,ALL,False,Ranked_k34_m3,34.0,3.0
51,1792164,19131,Ranked,ALL,False,Ranked_k33_m3,33.0,3.0
52,1787489,19130,Ranked,ALL,False,Ranked_k32_m3,32.0,3.0
53,1765351,19103,Ranked,ALL,False,Ranked_k31_m3,31.0,3.0
