random_means,random_medians,top_k_mean,top_k_median,k,0,1,2-5,6-10,11-20,21+,network,Name,method,weighted_mean,size
0.16,0.0,7.13,4.0,100,24,6,26,14,27,3,apid.1,APID,MPS,5.02,
0.12,0.0,7.13,4.0,100,24,6,26,14,27,3,apid.1,APID,MPS,5.02,
0.12,0.0,7.13,4.0,100,24,6,26,14,27,3,apid.1,APID,MPS,5.02,
0.3,0.0,7.13,4.0,100,24,6,26,14,27,3,apid.1,APID,MPS,5.02,
0.21,0.0,7.13,4.0,100,24,6,26,14,27,3,apid.1,APID,MPS,5.02,
0.16,0.0,7.13,4.0,100,24,6,26,14,27,3,apid.1,APID,MPS,5.02,
0.15,0.0,7.13,4.0,100,24,6,26,14,27,3,apid.1,APID,MPS,5.02,
0.21,0.0,7.13,4.0,100,24,6,26,14,27,3,apid.1,APID,MPS,5.02,
0.31,0.0,7.13,4.0,100,24,6,26,14,27,3,apid.1,APID,MPS,5.02,
0.24,0.0,7.13,4.0,100,24,6,26,14,27,3,apid.1,APID,MPS,5.02,
0.18,0.0,7.13,4.0,100,24,6,26,14,27,3,apid.1,APID,MPS,5.02,
0.27,0.0,7.13,4.0,100,24,6,26,14,27,3,apid.1,APID,MPS,5.02,
0.3,0.0,7.13,4.0,100,24,6,26,14,27,3,apid.1,APID,MPS,5.02,
0.21,0.0,7.13,4.0,100,24,6,26,14,27,3,apid.1,APID,MPS,5.02,
0.21,0.0,7.13,4.0,100,24,6,26,14,27,3,apid.1,APID,MPS,5.02,
0.19,0.0,7.13,4.0,100,24,6,26,14,27,3,apid.1,APID,MPS,5.02,
0.15,0.0,7.13,4.0,100,24,6,26,14,27,3,apid.1,APID,MPS,5.02,
0.15,0.0,7.13,4.0,100,24,6,26,14,27,3,apid.1,APID,MPS,5.02,
0.35,0.0,7.13,4.0,100,24,6,26,14,27,3,apid.1,APID,MPS,5.02,
0.29,0.0,7.13,4.0,100,24,6,26,14,27,3,apid.1,APID,MPS,5.02,
0.37,0.0,7.13,4.0,100,24,6,26,14,27,3,apid.1,APID,MPS,5.02,
0.26,0.0,7.13,4.0,100,24,6,26,14,27,3,apid.1,APID,MPS,5.02,
0.2,0.0,7.13,4.0,100,24,6,26,14,27,3,apid.1,APID,MPS,5.02,
0.15,0.0,7.13,4.0,100,24,6,26,14,27,3,apid.1,APID,MPS,5.02,
0.11,0.0,7.13,4.0,100,24,6,26,14,27,3,apid.1,APID,MPS,5.02,
0.17,0.0,7.13,4.0,100,24,6,26,14,27,3,apid.1,APID,MPS,5.02,
0.21,0.0,7.13,4.0,100,24,6,26,14,27,3,apid.1,APID,MPS,5.02,
0.19,0.0,7.13,4.0,100,24,6,26,14,27,3,apid.1,APID,MPS,5.02,
0.29,0.0,7.13,4.0,100,24,6,26,14,27,3,apid.1,APID,MPS,5.02,
0.17,0.0,7.13,4.0,100,24,6,26,14,27,3,apid.1,APID,MPS,5.02,
0.16,0.0,7.13,4.0,100,24,6,26,14,27,3,apid.1,APID,MPS,5.02,
0.2,0.0,7.13,4.0,100,24,6,26,14,27,3,apid.1,APID,MPS,5.02,
0.23,0.0,7.13,4.0,100,24,6,26,14,27,3,apid.1,APID,MPS,5.02,
0.19,0.0,7.13,4.0,100,24,6,26,14,27,3,apid.1,APID,MPS,5.02,
0.11,0.0,7.13,4.0,100,24,6,26,14,27,3,apid.1,APID,MPS,5.02,
0.19,0.0,7.13,4.0,100,24,6,26,14,27,3,apid.1,APID,MPS,5.02,
0.15,0.0,7.13,4.0,100,24,6,26,14,27,3,apid.1,APID,MPS,5.02,
0.36,0.0,7.13,4.0,100,24,6,26,14,27,3,apid.1,APID,MPS,5.02,
0.22,0.0,7.13,4.0,100,24,6,26,14,27,3,apid.1,APID,MPS,5.02,
0.23,0.0,7.13,4.0,100,24,6,26,14,27,3,apid.1,APID,MPS,5.02,
0.26,0.0,7.13,4.0,100,24,6,26,14,27,3,apid.1,APID,MPS,5.02,
0.16,0.0,7.13,4.0,100,24,6,26,14,27,3,apid.1,APID,MPS,5.02,
0.19,0.0,7.13,4.0,100,24,6,26,14,27,3,apid.1,APID,MPS,5.02,
0.2,0.0,7.13,4.0,100,24,6,26,14,27,3,apid.1,APID,MPS,5.02,
0.14,0.0,7.13,4.0,100,24,6,26,14,27,3,apid.1,APID,MPS,5.02,
0.26,0.0,7.13,4.0,100,24,6,26,14,27,3,apid.1,APID,MPS,5.02,
0.17,0.0,7.13,4.0,100,24,6,26,14,27,3,apid.1,APID,MPS,5.02,
0.34,0.0,7.13,4.0,100,24,6,26,14,27,3,apid.1,APID,MPS,5.02,
0.28,0.0,7.13,4.0,100,24,6,26,14,27,3,apid.1,APID,MPS,5.02,
0.19,0.0,7.13,4.0,100,24,6,26,14,27,3,apid.1,APID,MPS,5.02,
0.09,0.0,7.13,4.0,100,24,6,26,14,27,3,apid.1,APID,MPS,5.02,
0.16,0.0,7.13,4.0,100,24,6,26,14,27,3,apid.1,APID,MPS,5.02,
0.18,0.0,7.13,4.0,100,24,6,26,14,27,3,apid.1,APID,MPS,5.02,
0.12,0.0,7.13,4.0,100,24,6,26,14,27,3,apid.1,APID,MPS,5.02,
0.23,0.0,7.13,4.0,100,24,6,26,14,27,3,apid.1,APID,MPS,5.02,
0.14,0.0,7.13,4.0,100,24,6,26,14,27,3,apid.1,APID,MPS,5.02,
0.1,0.0,7.13,4.0,100,24,6,26,14,27,3,apid.1,APID,MPS,5.02,
0.35,0.0,7.13,4.0,100,24,6,26,14,27,3,apid.1,APID,MPS,5.02,
0.12,0.0,7.13,4.0,100,24,6,26,14,27,3,apid.1,APID,MPS,5.02,
0.21,0.0,7.13,4.0,100,24,6,26,14,27,3,apid.1,APID,MPS,5.02,
0.16,0.0,7.13,4.0,100,24,6,26,14,27,3,apid.1,APID,MPS,5.02,
