,expDB_counts
1,2
2,2
9,2
10,3
12,3
13,1
14,5
15,2
16,6
18,2
20,3
21,3
22,8
23,5
25,6
26,1
27,4
28,1
29,3
30,6
31,7
32,3
33,3
34,4
35,3
36,7
37,5
38,6
39,4
40,2
41,4
47,5
48,4
50,3
51,5
52,6
53,4
54,2
55,2
56,1
58,3
59,4
60,8
70,4
71,4
72,2
81,8
86,9
87,9
88,5
89,4
90,2
91,4
92,2
93,3
94,2
95,5
97,1
98,4
100,5
101,2
102,4
103,8
104,6
105,1
108,1
109,4
112,1
113,2
114,1
115,3
116,1
117,1
118,8
119,2
120,7
123,3
124,1
125,1
126,2
127,2
128,3
131,1
132,4
133,1
134,1
135,1
136,1
140,1
141,2
142,6
143,5
148,1
152,1
156,5
157,2
158,6
159,4
160,8
161,8
162,9
163,8
164,9
166,6
167,1
173,2
174,1
175,4
177,1
178,7
181,1
182,2
183,3
185,2
187,3
189,2
190,1
191,8
196,3
197,3
199,2
202,4
203,4
204,7
205,2
207,7
208,6
210,4
211,4
212,1
213,4
214,3
215,4
216,2
217,3
218,4
219,6
220,1
221,4
222,2
223,3
224,6
226,8
229,3
230,6
231,6
238,1
240,2
241,2
242,2
246,2
247,4
248,5
249,1
250,3
251,2
257,1
258,2
259,1
262,4
266,1
267,2
268,1
269,3
270,1
271,6
272,3
273,3
274,4
275,2
277,1
278,2
279,2
280,2
283,2
284,1
285,2
286,4
287,3
288,6
290,1
291,7
292,7
293,8
301,6
302,7
306,4
307,4
308,7
309,5
310,6
311,5
312,2
313,1
314,2
317,3
318,3
319,2
320,2
321,3
322,5
323,4
324,5
325,3
326,1
327,6
328,4
329,5
330,2
331,7
332,4
333,2
334,5
335,4
336,3
337,3
338,5
339,1
341,2
343,1
344,2
345,3
346,2
347,3
348,3
350,2
351,7
353,8
354,2
355,3
356,3
357,1
358,3
359,2
360,3
361,1
362,2
363,2
364,1
366,3
369,5
372,9
373,4
374,2
375,6
377,5
378,6
379,4
381,5
382,5
383,3
384,3
387,7
388,5
389,6
390,3
391,4
392,6
393,2
394,5
396,5
397,4
398,2
399,4
400,4
402,7
403,5
