	Adipose - Subcutaneous	Bladder	Brain - Cerebellum	Brain - Spinal cord (cervical c-1)	Cells - EBV-transformed lymphocytes	Fallopian Tube	Kidney - Medulla	Liver	Lung	Minor Salivary Gland	Pancreas	Pituitary	Skin - Not Sun Exposed (Suprapubic)	Skin - Sun Exposed (Lower leg)	Spleen	Testis	Thyroid	Whole Blood
Adipose - Subcutaneous	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03508771929824561	0.043859649122807015	0.0	0.0046477040342071015	0.011111111111111112	0.0
Bladder	0.0	0.0	0.0	0.015384615384615385	0.0	0.0	0.0014285714285714286	0.005405405405405406	0.0	0.0	0.0	0.006060606060606061	0.005263157894736842	0.0	0.004761904761904762	0.0031236055332440876	0.013333333333333334	0.013793103448275862
Brain - Cerebellum	0.0	0.0	0.0	0.002331002331002331	0.001024380249948781	0.0011655011655011655	0.0005417118093174431	0.0004095004095004095	0.001893939393939394	0.0	0.0005224660397074191	0.0004591368227731864	0.00039872408293460925	0.0023923444976076554	0.00036075036075036075	0.0012335039962150015	0.0030303030303030303	0.0044444444444444444
Brain - Spinal cord (cervical c-1)	0.0	0.015384615384615385	0.002331002331002331	0.0	0.002079002079002079	0.0	0.0016483516483516484	0.002079002079002079	0.009615384615384616	0.0	0.005305039787798408	0.002331002331002331	0.0	0.0	0.0	0.005151983513652756	0.015384615384615385	0.021220159151193633
Cells - EBV-transformed lymphocytes	0.0	0.0	0.001024380249948781	0.002079002079002079	0.00259163272861903	0.0010395010395010396	0.0007742934572202865	0.001095690284879474	0.006756756756756757	0.0	0.001863932898415657	0.0012285012285012285	0.0	0.0	0.001287415513356936	0.003971309928274821	0.010810810810810811	0.014699020065328978
Fallopian Tube	0.0	0.0	0.0011655011655011655	0.0	0.0010395010395010396	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0002577319587628866	0.0	0.0013315579227696406
Kidney - Medulla	0.0	0.0014285714285714286	0.0005417118093174431	0.0016483516483516484	0.0007742934572202865	0.0	0.00041109969167523125	0.0	0.0017857142857142857	0.0	0.001477832512315271	0.0006507592190889371	0.0	0.00037593984962406017	0.00017009695526450075	0.0013601632195863504	0.0033349213911386373	0.005051127263767402
Liver	0.0	0.005405405405405406	0.0004095004095004095	0.002079002079002079	0.001095690284879474	0.0	0.0	0.0015015015015015015	0.0034129692832764505	0.0	0.0	0.000819000819000819	0.0	0.001422475106685633	0.0	0.001839954151962115	0.005405405405405406	0.004666355576294913
Lung	0.0	0.0	0.001893939393939394	0.009615384615384616	0.006756756756756757	0.0	0.0017857142857142857	0.0034129692832764505	0.0	0.0	0.004310344827586207	0.003787878787878788	0.0	0.0	0.0	0.008222996515679443	0.025	0.039647577092511016
Minor Salivary Gland	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00020279862096937742	0.0	0.0
Pancreas	0.0	0.0	0.0005224660397074191	0.005305039787798408	0.001863932898415657	0.0	0.001477832512315271	0.0	0.004310344827586207	0.0	0.0	0.0010449320794148381	0.0	0.0036363636363636364	0.0008216926869350862	0.0024655212265968104	0.0069124423963133645	0.007733491969066032
Pituitary	0.0	0.006060606060606061	0.0004591368227731864	0.002331002331002331	0.0012285012285012285	0.0	0.0006507592190889371	0.000819000819000819	0.003787878787878788	0.0	0.0010449320794148381	0.0	0.0	0.0	0.0	0.0018615040953090098	0.006072874493927126	0.008359456635318705
Skin - Not Sun Exposed (Suprapubic)	0.03508771929824561	0.005263157894736842	0.00039872408293460925	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04836415362731152	0.06814580031695722	0.0	0.005638766519823789	0.0	0.0
Skin - Sun Exposed (Lower leg)	0.043859649122807015	0.0	0.0023923444976076554	0.0	0.0	0.0	0.00037593984962406017	0.001422475106685633	0.0	0.0	0.0036363636363636364	0.0	0.06814580031695722	0.05847953216374269	0.0	0.006221752655984035	0.0	0.0018165304268846503
Spleen	0.0	0.004761904761904762	0.00036075036075036075	0.0	0.001287415513356936	0.0	0.00017009695526450075	0.0	0.0	0.0	0.0008216926869350862	0.0	0.0	0.0	0.0	0.0013815824432754132	0.004761904761904762	0.005613126079447323
Testis	0.0046477040342071015	0.0031236055332440876	0.0012335039962150015	0.005151983513652756	0.003971309928274821	0.0002577319587628866	0.0013601632195863504	0.001839954151962115	0.008222996515679443	0.00020279862096937742	0.0024655212265968104	0.0018615040953090098	0.005638766519823789	0.006221752655984035	0.0013815824432754132	0.005867773530817009	0.014577910003718855	0.020745196972637298
Thyroid	0.011111111111111112	0.013333333333333334	0.0030303030303030303	0.015384615384615385	0.010810810810810811	0.0	0.0033349213911386373	0.005405405405405406	0.025	0.0	0.0069124423963133645	0.006072874493927126	0.0	0.0	0.004761904761904762	0.014577910003718855	0.02857142857142857	0.05747126436781609
Whole Blood	0.0	0.013793103448275862	0.0044444444444444444	0.021220159151193633	0.014699020065328978	0.0013315579227696406	0.005051127263767402	0.004666355576294913	0.039647577092511016	0.0	0.007733491969066032	0.008359456635318705	0.0	0.0018165304268846503	0.005613126079447323	0.020745196972637298	0.05747126436781609	0.0822746521476104
