	M	N	n	x	P-value	stat	Network	direction	Name
Adipose - Subcutaneous	19056	141	16615	126	0.526954142220798	1.2358784644308327	apid.1	1	Adipose - Subcutaneous
Adipose - Visceral (Omentum)	19056	123	16615	109	0.7861699031517446	1.1447915043880148	apid.1	1	Adipose - Visceral (Omentum)
Adrenal Gland	19056	166	16615	146	0.9070029726980048	1.0731252656506165	apid.1	1	Adrenal Gland
Artery - Aorta	19056	261	16615	235	0.1911442514173536	1.332593688362919	apid.1	1	Artery - Aorta
Artery - Coronary	19056	124	16615	108	1.0	0.9916247652511057	apid.1	-1	Artery - Coronary
Artery - Tibial	19056	222	16615	203	0.0551583395680312	1.5767217825211337	apid.1	1	Artery - Tibial
Bladder	19056	46	16615	44	0.1174882470321949	3.238066501719872	apid.1	1	Bladder
Brain - Amygdala	19056	66	16615	49	0.0045157553773993	0.4217568229754778	apid.1	-1	Brain - Amygdala
Brain - Anterior cingulate cortex (BA24)	19056	231	16615	197	0.3728122147460424	0.8494604200554629	apid.1	-1	Brain - Anterior cingulate cortex (BA24)
Brain - Caudate (basal ganglia)	19056	184	16615	153	0.1193485819048048	0.7225438056756323	apid.1	-1	Brain - Caudate (basal ganglia)
Brain - Cerebellar Hemisphere	19056	943	16615	802	0.0455959088057741	0.8273110417723455	apid.1	-1	Brain - Cerebellar Hemisphere
Brain - Cerebellum	19056	898	16615	755	0.0056694799153148	0.7649935184613621	apid.1	-1	Brain - Cerebellum
Brain - Cortex	19056	447	16615	379	0.132193758144557	0.8146086039737402	apid.1	-1	Brain - Cortex
Brain - Frontal Cortex (BA9)	19056	595	16615	509	0.2360234889256565	0.8654112724132852	apid.1	-1	Brain - Frontal Cortex (BA9)
Brain - Hippocampus	19056	53	16615	37	0.0006947422332111	0.3382683375557968	apid.1	-1	Brain - Hippocampus
Brain - Hypothalamus	19056	183	16615	143	0.0007421557720644	0.5211009592034969	apid.1	-1	Brain - Hypothalamus
Brain - Nucleus accumbens (basal ganglia)	19056	274	16615	226	0.0225932794863751	0.687475847621372	apid.1	-1	Brain - Nucleus accumbens (basal ganglia)
Brain - Putamen (basal ganglia)	19056	99	16615	77	0.0093858087649611	0.5119421937356391	apid.1	-1	Brain - Putamen (basal ganglia)
Brain - Spinal cord (cervical c-1)	19056	287	16615	246	0.4242347078669004	0.8797116500702548	apid.1	-1	Brain - Spinal cord (cervical c-1)
Brain - Substantia nigra	19056	72	16615	57	0.0505090673701239	0.556758062567943	apid.1	-1	Brain - Substantia nigra
Breast - Mammary Tissue	19056	70	16615	61	1.0	0.9957445666035736	apid.1	-1	Breast - Mammary Tissue
Cells - Cultured fibroblasts	19056	413	16615	392	2.091345844957997e-07	2.7845240296698104	apid.1	1	Cells - Cultured fibroblasts
Cells - EBV-transformed lymphocytes	19056	872	16615	817	2.5581963234511877e-10	2.243508384260378	apid.1	1	Cells - EBV-transformed lymphocytes
Cervix - Ectocervix	19056	100	16615	92	0.1766103779323876	1.693366822005689	apid.1	1	Cervix - Ectocervix
Cervix - Endocervix	19056	105	16615	93	0.7705662385843517	1.1393747730298995	apid.1	1	Cervix - Endocervix
Colon - Sigmoid	19056	133	16615	116	1.0	1.0024992602047182	apid.1	1	Colon - Sigmoid
Colon - Transverse	19056	239	16615	201	0.1716693500177423	0.7743758537320515	apid.1	-1	Colon - Transverse
Esophagus - Gastroesophageal Junction	19056	53	16615	47	1.0	1.1512654917109286	apid.1	1	Esophagus - Gastroesophageal Junction
Esophagus - Mucosa	19056	461	16615	407	0.5254692197830411	1.1100016909802202	apid.1	1	Esophagus - Mucosa
Esophagus - Muscularis	19056	95	16615	89	0.0633546057547382	2.185596433902134	apid.1	1	Esophagus - Muscularis
Fallopian Tube	19056	108	16615	83	0.0033387725493638	0.4851875151221873	apid.1	-1	Fallopian Tube
Heart - Atrial Appendage	19056	147	16615	133	0.2654437186135715	1.3988896978522023	apid.1	1	Heart - Atrial Appendage
Heart - Left Ventricle	19056	121	16615	110	0.2739295168474284	1.472281126931233	apid.1	1	Heart - Left Ventricle
Kidney - Cortex	19056	228	16615	199	1.0	1.0082425892317	apid.1	1	Kidney - Cortex
Kidney - Medulla	19056	250	16615	213	0.3406139336383098	0.8437533985637875	apid.1	-1	Kidney - Medulla
Liver	19056	496	16615	451	0.011570040830275	1.4856003739448431	apid.1	1	Liver
Lung	19056	303	16615	276	0.0456376572348236	1.5102787468293313	apid.1	1	Lung
Minor Salivary Gland	19056	233	16615	205	0.8434324317232511	1.07657569426308	apid.1	1	Minor Salivary Gland
Muscle - Skeletal	19056	335	16615	303	0.0826205274164307	1.3983704481363413	apid.1	1	Muscle - Skeletal
Nerve - Tibial	19056	284	16615	246	0.7882066185259266	0.9503490230249092	apid.1	-1	Nerve - Tibial
Ovary	19056	190	16615	163	0.5847507957001407	0.885813725225347	apid.1	-1	Ovary
Pancreas	19056	156	16615	133	0.4697714616112365	0.8483404821069626	apid.1	-1	Pancreas
Pituitary	19056	384	16615	302	2.9576198555880475e-06	0.5325828719575738	apid.1	-1	Pituitary
Prostate	19056	127	16615	96	0.0004162730520002	0.4517964650675957	apid.1	-1	Prostate
Skin - Not Sun Exposed (Suprapubic)	19056	525	16615	450	0.3201969655486617	0.8781936282090937	apid.1	-1	Skin - Not Sun Exposed (Suprapubic)
Skin - Sun Exposed (Lower leg)	19056	539	16615	464	0.4327034531514084	0.9063001258951974	apid.1	-1	Skin - Sun Exposed (Lower leg)
Small Intestine - Terminal Ileum	19056	334	16615	272	0.0028033207675399	0.6386161185710366	apid.1	-1	Small Intestine - Terminal Ileum
Spleen	19056	661	16615	595	0.0281888177703939	1.3365159081451217	apid.1	1	Spleen
Stomach	19056	147	16615	125	0.456101403035955	0.833494128673025	apid.1	-1	Stomach
Testis	19056	2478	16615	1920	2.7067703548900887e-47	0.4409077771314213	apid.1	-1	Testis
Thyroid	19056	289	16615	236	0.0075031332584276	0.6492068191321838	apid.1	-1	Thyroid
Uterus	19056	104	16615	91	1.0	1.028564512224643	apid.1	1	Uterus
Vagina	19056	269	16615	226	0.1183436366298538	0.7690183574632447	apid.1	-1	Vagina
Whole Blood	19056	565	16615	513	0.0086537120348315	1.463694189923851	apid.1	1	Whole Blood
Adipose - Subcutaneous	19056	141	6070	29	0.0035559988289705	0.5518037458320524	bind.v8	-1	Adipose - Subcutaneous
Adipose - Visceral (Omentum)	19056	123	6070	24	0.0025485585416095	0.5167253079922614	bind.v8	-1	Adipose - Visceral (Omentum)
Adrenal Gland	19056	166	6070	55	0.7380813913128038	1.0605992526192027	bind.v8	1	Adrenal Gland
Artery - Aorta	19056	261	6070	68	0.0446946064534283	0.7509793799303514	bind.v8	-1	Artery - Aorta
Artery - Coronary	19056	124	6070	31	0.1213110895938764	0.711652039520892	bind.v8	-1	Artery - Coronary
Artery - Tibial	19056	222	6070	65	0.4263097838137318	0.8844911618237457	bind.v8	-1	Artery - Tibial
Bladder	19056	46	6070	14	1.0	0.9358281043593132	bind.v8	-1	Bladder
Brain - Amygdala	19056	66	6070	10	0.0032388093156446	0.381011315417256	bind.v8	-1	Brain - Amygdala
Brain - Anterior cingulate cortex (BA24)	19056	231	6070	56	0.0127446671741178	0.6816627868307283	bind.v8	-1	Brain - Anterior cingulate cortex (BA24)
Brain - Caudate (basal ganglia)	19056	184	6070	28	2.734768458980208e-07	0.3811354705098498	bind.v8	-1	Brain - Caudate (basal ganglia)
Brain - Cerebellar Hemisphere	19056	943	6070	177	3.214121989919383e-20	0.4791585715494641	bind.v8	-1	Brain - Cerebellar Hemisphere
Brain - Cerebellum	19056	898	6070	161	6.690819541593761e-22	0.4528402618364048	bind.v8	-1	Brain - Cerebellum
