	GeneA	GeneB
0	6728	6730
1	2316	54751
2	23586	57506
3	7311	23586
4	7311	57506
5	3113	3115
6	3113	28755
7	3113	28638
8	3115	28755
9	3115	28638
10	28638	28755
11	8454	9978
12	8454	54165
13	8454	9040
14	4738	8454
15	9978	54165
16	9040	9978
17	4738	9978
18	9040	54165
19	4738	54165
20	4738	9040
21	2908	10499
22	162	1174
23	684	1174
24	162	684
25	2550	9568
26	5928	9112
27	3329	3336
28	567	3140
29	6628	6632
30	6628	6635
31	6628	6637
32	6628	6631
33	6628	6634
34	6628	6633
35	6628	6636
36	6625	6628
37	6632	6635
38	6632	6637
39	6631	6632
40	6632	6634
41	6632	6633
42	6632	6636
43	6625	6632
44	6635	6637
45	6631	6635
46	6634	6635
47	6633	6635
48	6635	6636
49	6625	6635
50	6631	6637
51	6634	6637
52	6633	6637
53	6636	6637
54	6625	6637
55	6631	6634
56	6631	6633
57	6631	6636
58	6625	6631
59	6633	6634
60	6634	6636
61	6625	6634
62	6633	6636
63	6625	6633
64	6625	6636
65	5885	10735
66	405	2034
67	2494	10499
68	156	2782
69	3454	7297
70	4922	6272
71	6256	10499
72	2099	10499
73	567	3106
74	3106	28755
75	3106	28639
76	567	28755
77	567	28639
78	28639	28755
79	9894	55011
80	9092	59286
81	3691	5339
82	808	5530
83	5868	27342
84	9135	27342
85	5868	9135
86	3934	57817
87	3933	7422
88	6103	57096
89	1788	8968
90	9971	10499
91	2516	10891
92	2810	6615
93	27044	92140
94	567	3105
95	2315	3105
96	567	2315
97	7884	90459
98	3021	23515
99	57763	64864
100	2549	5781
101	4485	4486
102	5774	6300
103	8370	29028
104	598	637
105	598	10018
106	7862	8370
107	7862	8969
108	920	3539
109	5687	5691
110	5687	5690
111	5687	5693
112	5687	5689
113	5687	5692
114	5683	5687
115	5685	5687
116	5687	5688
117	5686	5687
118	5682	5687
119	5684	5687
120	5687	5694
121	5687	5695
122	5690	5691
123	5691	5693
124	5689	5691
125	5691	5692
126	5683	5691
127	5685	5691
128	5688	5691
129	5686	5691
130	5682	5691
131	5684	5691
132	5691	5694
133	5691	5695
134	5690	5693
135	5689	5690
136	5690	5692
137	5683	5690
138	5685	5690
139	5688	5690
140	5686	5690
141	5682	5690
142	5684	5690
143	5690	5694
144	5690	5695
145	5689	5693
146	5692	5693
147	5683	5693
148	5685	5693
149	5688	5693
150	5686	5693
151	5682	5693
152	5684	5693
153	5693	5694
154	5693	5695
155	5689	5692
156	5683	5689
157	5685	5689
158	5688	5689
159	5686	5689
160	5682	5689
161	5684	5689
162	5689	5694
163	5689	5695
164	5683	5692
165	5685	5692
166	5688	5692
167	5686	5692
168	5682	5692
169	5684	5692
170	5692	5694
171	5692	5695
172	5683	5685
173	5683	5688
174	5683	5686
175	5682	5683
176	5683	5684
177	5683	5694
178	5683	5695
179	5685	5688
180	5685	5686
181	5682	5685
182	5684	5685
183	5685	5694
184	5685	5695
185	5686	5688
186	5682	5688
187	5684	5688
188	5688	5694
189	5688	5695
190	5682	5686
191	5684	5686
192	5686	5694
193	5686	5695
194	5682	5684
195	5682	5694
196	5682	5695
197	5684	5694
198	5684	5695
199	5694	5695
200	1956	54206
201	5917	9255
202	5859	9255
203	5859	5917
204	3606	8809
205	5928	84295
206	648	7323
207	558	2621
208	3416	6351
209	5789	114798
210	7003	10413
211	5562	5565
212	5562	5571
213	5565	5571
214	2801	64689
215	996	119504
216	6872	6879
217	2060	5774
218	317	842
219	9070	84661
220	1956	2065
221	1026	5111
222	6908	55290
223	10628	83737
224	7410	10628
225	3040	3043
226	7014	54386
227	5557	5558
228	5170	5586
229	1437	1438
230	8740	8764
231	190	2494
232	1482	6910
233	22914	154064
234	6097	8204
235	6095	8204
236	6045	7323
237	7323	84333
238	6045	84333
239	889	9784
240	3021	4300
241	9474	55054
242	9474	25851
243	2099	8648
244	11235	83605
245	51534	57132
246	51510	57132
247	51510	51534
248	1642	51185
249	259	5646
250	5646	10653
251	672	84142
252	10051	10592
253	9798	51534
254	9798	23111
255	1788	29947
256	1788	3021
257	3021	29947
258	9525	9798
259	8370	79829
260	4306	8648
261	1977	1978
262	7314	51377
263	11047	51377
264	7314	11047
265	4798	51377
266	4798	7314
267	8549	239405
268	8549	84133
269	84133	239405
270	6124	6132
271	6128	6132
272	6130	6132
273	6132	6133
274	6132	140801
275	6132	6135
276	6132	9045
277	6132	6139
278	6132	6143
279	6132	6142
280	6132	9349
