	M	N	n	x	P-value	stat	Network
adrenal gland	11042	571	10342	526	0.1329429349392201	0.7799737390201937	apid.1
appendix	11042	348	10342	325	0.822783740794975	0.9550069230134858	apid.1
bone marrow	11042	646	10342	607	0.8031446011854435	1.0567921720464093	apid.1
breast	11042	77	10342	70	0.3404601014797719	0.6746495327102804	apid.1
bronchus	11042	478	10342	436	0.033982315712952266	0.6895484218318864	apid.1
caudate	11042	504	10342	461	0.04859672147751985	0.7128480075691426	apid.1
cerebellum	11042	297	10342	266	0.0053605624726072035	0.5697153248216779	apid.1
cerebral cortex	11042	497	10342	454	0.037580476062735825	0.7015268683675774	apid.1
cervix	11042	160	10342	151	0.8700006281783621	1.1376159792409424	apid.1
colon	11042	271	10342	251	0.44884916899176625	0.8457040927559211	apid.1
duodenum	11042	679	10342	616	0.0019447078574611407	0.640391162291224	apid.1
endometrium 1	11042	195	10342	177	0.10150245475182554	0.6597474995900967	apid.1
endometrium 2	11042	148	10342	135	0.23097599521044843	0.6989547143363152	apid.1
epididymis	11042	470	10342	419	0.00014216034660841887	0.5373355227407903	apid.1
esophagus	11042	294	10342	274	0.7155529690295217	0.9253079062375844	apid.1
fallopian tube	11042	408	10342	370	0.016732996755731634	0.6463888361095277	apid.1
gallbladder	11042	566	10342	524	0.2871693456093254	0.8361512867522238	apid.1
heart muscle	11042	428	10342	396	0.3117752339411961	0.831138145988337	apid.1
hippocampus	11042	460	10342	422	0.09557750569700894	0.7410971986417657	apid.1
kidney	11042	424	10342	380	0.0010780119823650942	0.5687065393951561	apid.1
liver	11042	222	10342	204	0.2649862264945303	0.7624120470835799	apid.1
lung	11042	267	10342	250	1.0	0.9952554148889045	apid.1
lymph node	11042	456	10342	431	0.49275176571379	1.174149934416305	apid.1
nasopharynx	11042	363	10342	334	0.18837634452069185	0.7721891452355357	apid.1
oral mucosa	11042	238	10342	220	0.4187943733854773	0.8235087488199522	apid.1
ovary	11042	134	10342	127	0.7223814427457607	1.2308370044052863	apid.1
pancreas	11042	198	10342	185	0.8825580675346015	0.9625419377314622	apid.1
parathyroid gland	11042	204	10342	190	0.7707878578771358	0.9170606776989756	apid.1
placenta	11042	412	10342	393	0.1790301513728496	1.4158153953584334	apid.1
prostate	11042	246	10342	232	0.7912616175958802	1.124431256181998	apid.1
rectum	11042	489	10342	446	0.028481612588664353	0.6886080351939238	apid.1
salivary gland	11042	285	10342	264	0.4590480856213105	0.8469934510815638	apid.1
seminal vesicle	11042	267	10342	251	0.8992852744723564	1.0633485283916362	apid.1
skeletal muscle	11042	403	10342	368	0.0597808104976507	0.7010226589131743	apid.1
skin 1	11042	120	10342	115	0.44905010413558755	1.5630194582966657	apid.1
skin 2	11042	281	10342	266	0.6187733795988282	1.2055709937806007	apid.1
small intestine	11042	693	10342	620	1.6621242567147713e-05	0.5477479406965702	apid.1
smooth muscle	11042	286	10342	269	0.9020952400892372	1.072914780922793	apid.1
soft tissue 1	11042	93	10342	83	0.08568440807300125	0.5582415440101375	apid.1
soft tissue 2	11042	112	10342	104	0.6949234279881038	0.878687243602266	apid.1
spleen	11042	400	10342	374	0.8348338356881349	0.9726355105568588	apid.1
stomach 1	11042	632	10342	579	0.035162201271923925	0.7239751932111804	apid.1
stomach 2	11042	605	10342	552	0.015925214885963223	0.6883111376645402	apid.1
testis	11042	867	10342	715	3.5375868545567166e-33	0.2677639096182338	apid.1
thyroid gland	11042	282	10342	260	0.3201946549681802	0.7947557302843953	apid.1
tonsil	11042	435	10342	408	1.0	1.0237344249826634	apid.1
urinary bladder	11042	337	10342	318	0.7327570196195088	1.137050027302894	apid.1
vagina	11042	234	10342	221	0.7854897008732115	1.15393735796858	apid.1
adrenal gland	11042	571	4456	177	2.6027673571981646e-06	0.6500783545659774	bind.v8
appendix	11042	348	4456	126	0.1199739472090183	0.8341801385681293	bind.v8
bone marrow	11042	646	4456	262	0.9341395672679695	1.0089587307264345	bind.v8
breast	11042	77	4456	25	0.16384356147224816	0.7089474506536118	bind.v8
bronchus	11042	478	4456	124	1.844140541394499e-11	0.503915155119437	bind.v8
caudate	11042	504	4456	139	1.2394226192441763e-09	0.5487822911014435	bind.v8
cerebellum	11042	297	4456	94	0.0018048189231801674	0.677596257874207	bind.v8
cerebral cortex	11042	497	4456	143	5.009928358015514e-08	0.5836879962169292	bind.v8
cervix	11042	160	4456	40	6.096227894818964e-05	0.4880736714975845	bind.v8
colon	11042	271	4456	72	2.221019156494596e-06	0.527115504529949	bind.v8
duodenum	11042	679	4456	212	4.224251302767e-07	0.6545217129813699	bind.v8
endometrium 1	11042	195	4456	45	4.1744106127428186e-07	0.4377238721378372	bind.v8
endometrium 2	11042	148	4456	28	2.5772206076505095e-08	0.34072568503462813	bind.v8
epididymis	11042	470	4456	134	6.418915507245239e-08	0.5767143738569005	bind.v8
esophagus	11042	294	4456	106	0.13228459504516796	0.8292834433846906	bind.v8
fallopian tube	11042	408	4456	97	8.009586894226931e-13	0.4489915900059676	bind.v8
gallbladder	11042	566	4456	186	0.0001811265402443686	0.7113989892764698	bind.v8
heart muscle	11042	428	4456	136	0.00019665821432647128	0.6785768645357686	bind.v8
hippocampus	11042	460	4456	134	3.999025543277735e-07	0.595356046819951	bind.v8
kidney	11042	424	4456	126	4.0689787464397356e-06	0.6140149107987042	bind.v8
liver	11042	222	4456	96	0.4070288740406015	1.128877238968982	bind.v8
lung	11042	267	4456	79	0.0002416938137349486	0.6142383542599371	bind.v8
lymph node	11042	456	4456	195	0.28403384019805544	1.1090295030846464	bind.v8
nasopharynx	11042	363	4456	95	1.221513271063129e-08	0.5135495419029594	bind.v8
oral mucosa	11042	238	4456	87	0.256157994892786	0.8486113026909942	bind.v8
ovary	11042	134	4456	40	0.0129757538851549	0.6255781683626273	bind.v8
pancreas	11042	198	4456	57	0.0007440647452477574	0.5922767747021809	bind.v8
parathyroid gland	11042	204	4456	54	3.622895744243083e-05	0.5263425715583826	bind.v8
placenta	11042	412	4456	153	0.18344532452217815	0.8685966601374456	bind.v8
prostate	11042	246	4456	88	0.14831543033856703	0.8196318449483007	bind.v8
rectum	11042	489	4456	130	1.0876338823068497e-10	0.5212442225991188	bind.v8
salivary gland	11042	285	4456	83	8.4717724446153e-05	0.5998464927672735	bind.v8
seminal vesicle	11042	267	4456	90	0.02697126792017629	0.7464071368121928	bind.v8
skeletal muscle	11042	403	4456	124	5.3038086803733014e-05	0.6470708936082897	bind.v8
skin 1	11042	120	4456	37	0.03912396661326614	0.656014417479831	bind.v8
skin 2	11042	281	4456	91	0.005563672317999772	0.7017977934527039	bind.v8
small intestine	11042	693	4456	204	8.212134693220418e-10	0.598197023125891	bind.v8
smooth muscle	11042	286	4456	84	0.00011297186233622409	0.6072124138305871	bind.v8
soft tissue 1	11042	93	4456	32	0.28844729414271314	0.7737230605045504	bind.v8
soft tissue 2	11042	112	4456	34	0.032940274843519364	0.6415243131661043	bind.v8
spleen	11042	400	4456	166	0.6406357984712213	1.050377542685235	bind.v8
stomach 1	11042	632	4456	201	5.144295357401134e-06	0.674601465179494	bind.v8
stomach 2	11042	605	4456	183	1.4430091242356599e-07	0.6255591429930912	bind.v8
testis	11042	867	4456	182	3.010116223170952e-36	0.3668359696552572	bind.v8
