type1	Citation_HS	Coexpression_HS	Pathway_HS	Domain_HS	Genetic_HS	Orthology_HS	Physical_HS	Coexpression_GM	Colocalization_GM	Domain_GM	Genetic_GM	Pathway_GM	Physical_GM	Orthology_GM	parent	height
Citation_HS	1.0	0.015426405338364252	0.04824975125663854	0.0280637882152919	0.013166035468115398	0.0013031733959294298	0.038510797932154964	0.0075674875016802845	0.017337710434631528	0.09558977592061309	0.0024737478180861744	0.022273935009479384	0.040441391209018324	0.009854057330192708	HumanNet	1
Coexpression_HS	0.015426405338364252	1.0	0.023415404697269226	0.006449931591634634	0.0066129438825345815	0.00040003282320600665	0.009457059665372101	0.001043108492900574	0.013930648883582437	0.002688125399581699	0.0005447719868535552	0.026333193049960922	0.011555972868160189	0.014666102133465057	HumanNet	1
Pathway_HS	0.04824975125663854	0.023415404697269226	1.0	0.04792240847000708	0.026116733785502333	0.0027547117461701577	0.03605355542528317	0.0020070013662417956	0.010863400591617159	0.025926520298239046	0.0011244500685160537	0.06705211633686847	0.039742191159431006	0.026298999533930324	HumanNet	1
Domain_HS	0.0280637882152919	0.006449931591634634	0.04792240847000708	1.0	0.003176337298697095	0.006821847835827583	0.006965960811128443	0.001992085277633388	0.002904084884703632	0.10000059172823106	0.00041741095840472456	0.012084685903682509	0.007053952135656717	0.003541998855849167	HumanNet	1
Genetic_HS	0.013166035468115398	0.0066129438825345815	0.026116733785502333	0.003176337298697095	1.0	0.0006182606964339981	0.014406870099623978	0.0011502350991956659	0.0049697366672949	0.0033592602975344834	0.009421039389449553	0.011069305642207278	0.013311022929191433	0.0074729753274397955	HumanNet	1
Orthology_HS	0.0013031733959294298	0.00040003282320600665	0.0027547117461701577	0.006821847835827583	0.0006182606964339981	1.0	0.0006404828255146187	0.00018241022118209584	0.000410328079644274	0.004311908355858228	0.00012199089134677944	0.0007828120873731467	0.000873159613577362	0.001642386563978844	HumanNet	1
Physical_HS	0.038510797932154964	0.009457059665372101	0.03605355542528317	0.006965960811128443	0.014406870099623978	0.0006404828255146187	1.0	0.006185381926476645	0.009493644971889384	0.018374216570620158	0.0024743323054503114	0.06501698919378285	0.5846698415915155	0.019479980705650067	HumanNet	1
Coexpression_GM	0.0075674875016802845	0.001043108492900574	0.0020070013662417956	0.001992085277633388	0.0011502350991956659	0.00018241022118209584	0.006185381926476645	1.0	0.006941628342073491	0.009774134313242288	0.005996228179048663	0.001804650451052259	0.006788070912943852	0.0014358108108108109	GeneMANIA	1
Colocalization_GM	0.017337710434631528	0.013930648883582437	0.010863400591617159	0.002904084884703632	0.0049697366672949	0.000410328079644274	0.009493644971889384	0.006941628342073491	1.0	0.00473970623814416	0.0019439497984968615	0.009286931387330163	0.010982950144653975	0.006137819035394402	GeneMANIA	1
Domain_GM	0.09558977592061309	0.002688125399581699	0.025926520298239046	0.10000059172823106	0.0033592602975344834	0.004311908355858228	0.018374216570620158	0.009774134313242288	0.00473970623814416	1.0	0.0016349955496645198	0.010255257930440286	0.019641907343672688	0.0038405929854481856	GeneMANIA	1
Genetic_GM	0.0024737478180861744	0.0005447719868535552	0.0011244500685160537	0.00041741095840472456	0.009421039389449553	0.00012199089134677944	0.0024743323054503114	0.005996228179048663	0.0019439497984968615	0.0016349955496645198	1.0	0.001366275154702751	0.003951877116900383	0.0009286903523903183	GeneMANIA	1
Pathway_GM	0.022273935009479384	0.026333193049960922	0.06705211633686847	0.012084685903682509	0.011069305642207278	0.0007828120873731467	0.06501698919378285	0.001804650451052259	0.009286931387330163	0.010255257930440286	0.001366275154702751	1.0	0.08422447681763111	0.03620178720580327	GeneMANIA	1
Physical_GM	0.040441391209018324	0.011555972868160189	0.039742191159431006	0.007053952135656717	0.013311022929191433	0.000873159613577362	0.5846698415915155	0.006788070912943852	0.010982950144653975	0.019641907343672688	0.003951877116900383	0.08422447681763111	1.0	0.027886927452935313	GeneMANIA	1
Orthology_GM	0.009854057330192708	0.014666102133465057	0.026298999533930324	0.003541998855849167	0.0074729753274397955	0.001642386563978844	0.019479980705650067	0.0014358108108108109	0.006137819035394402	0.0038405929854481856	0.0009286903523903183	0.03620178720580327	0.027886927452935313	1.0	GeneMANIA	1
