	CORUM Interactions	PANTHER Interactions	%CORUM	%PANTHER
APID	11740	1696	0.2861042062679729	0.0699727700305305
BIND	1123	456	0.0273675488619193	0.0188134334516049
BioGRID	21775	2559	0.530657503533655	0.1055780179882828
BioPlex 293T	6125	360	0.1492664619583759	0.014852710619688
BioPlex HCT116	5449	197	0.1327923185650923	0.0081277333113293
ComPPI	15816	2684	0.3854364673197836	0.1107352091756745
ConsensusPathDB	38679	5361	0.9426085685041672	0.2211816156448552
DIP	2854	444	0.0695520787639518	0.0183183430976153
FunCoup	32336	4441	0.7880294390018033	0.1832246885056523
GeneMANIA	18710	8221	0.4559633474679534	0.3391781500123773
GIANT	17817	3415	0.4342009065652873	0.1408944632395412
Havugimana	4525	44	0.1102744065896573	0.0018153312979618
Hein	1397	94	0.0340449383438124	0.0038782077729185
HuRI	483	86	0.0117707267144319	0.0035481475369254
HINT	9052	1518	0.2205975532485256	0.0626289297796847
HIPPIE	16646	3435	0.4056635960423064	0.1417196138295239
HPRD	3026	1756	0.0737437247160891	0.0724482218004786
HumanNet	20074	6384	0.489204074669786	0.2633880683224688
huMAP	19519	903	0.4756787054637618	0.0372555491377176
IID	24343	7524	0.5932397524004485	0.3104216519514811
InBio	24698	4802	0.6018911146853828	0.1981186566548395
InnateDB	11351	2021	0.2766242628064532	0.0833814671177489
IntAct	9281	1336	0.2261782911731734	0.0551200594108424
iRefIndex	18024	4423	0.4392455037286153	0.1824820529746678
MatrixDB	3429	490	0.0835648486620851	0.0202161894545754
Mentha	13654	2172	0.3327484525028025	0.0896113540721181
MINT	2533	490	0.0617292976556026	0.0202161894545754
MultiNet	4956	1691	0.1207778915046059	0.0697664823830349
PathwayCommons	40538	24154	0.9879124628356972	0.9965343675220728
PhosphoSitePlus	177	335	0.0043134961251644	0.0138212723822097
PID2	1665	1952	0.0405761076180728	0.0805346975823087
PIPs	1688	1025	0.0411366184139981	0.0422889677366119
PrePPI	116	45	0.0028269240142321	0.001856588827461
PROPER	3937	144	0.0959448262416532	0.0059410842478752
ProteomeHD	910	6	0.0221767314909587	0.0002475451769948
PTMCode2	3813	1057	0.0929229419505775	0.0436092086805842
Reactome	2036	1586	0.0496173904566944	0.0654344417856258
ReactomeFI	24460	13425	0.596091046449286	0.5538823335258685
SignaLink	10717	2997	0.2611736608665984	0.1236488159089033
SIGNOR	545	1171	0.0132816688599697	0.0483125670434854
SPIKE	2846	1921	0.0693571184871082	0.0792557141678356
STRING	33404	14750	0.8140566359604231	0.6085485601122205
TFLink	5056	1564	0.1232148949651508	0.0645267761366449
Wan	4421	67	0.1077399229906906	0.0027642544764419
Youn	1739	1	0.042379490178876	4.12575294991336e-05
