Network	GO Branch	Term	Term name	P-value	Term_size	Intersection	Expected	Observed/Expected
APID	CC	GO:0005739	mitochondrion	7.36E-31	1671	1601	1470.15	1.09
APID	CC	GO:0005730	nucleolus	2.69E-26	988	960	869.24	1.10
APID	CC	GO:0005815	microtubule organizing center	5.42E-26	843	824	741.67	1.11
APID	CC	GO:0005615	extracellular space	1.69E-21	3190	2958	2806.57	1.05
APID	CC	GO:0005768	endosome	7.70E-20	1037	995	912.35	1.09
APID	CC	GO:0005783	endoplasmic reticulum	9.78E-17	2020	1885	1777.20	1.06
APID	CC	GO:0005764	lysosome	1.04E-14	747	717	657.21	1.09
APID	CC	GO:0005794	Golgi apparatus	1.47E-12	1636	1523	1439.35	1.06
APID	CC	GO:0005840	ribosome	2.25E-11	222	221	195.32	1.13
APID	CC	GO:0005635	nuclear envelope	6.17E-09	493	471	433.74	1.09
APID	CC	GO:0000228	nuclear chromosome	2.11E-07	206	202	181.24	1.11
APID	CC	GO:0005777	peroxisome	6.47E-04	142	137	124.93	1.10
APID	CC	GO:0005929	cilium	1.04E-01	842	756	740.79	1.02
APID	CC	GO:0005811	lipid droplet	1.26E-01	102	95	89.74	1.06
APID	CC	GO:0031012	extracellular matrix	5.11E-01	564	502	496.21	1.01
BIND	CC	GO:0005730	nucleolus	3.69E-43	988	524	319.90	1.64
BIND	CC	GO:0005615	extracellular space	7.49E-42	3190	1365	1032.89	1.32
BIND	CC	GO:0005739	mitochondrion	3.07E-25	1671	735	541.05	1.36
BIND	CC	GO:0005768	endosome	7.50E-23	1037	484	335.77	1.44
BIND	CC	GO:0005840	ribosome	1.83E-20	222	139	71.88	1.93
BIND	CC	GO:0005764	lysosome	2.37E-14	747	340	241.87	1.41
BIND	CC	GO:0005815	microtubule organizing center	1.51E-12	843	369	272.95	1.35
BIND	CC	GO:0005794	Golgi apparatus	6.16E-11	1636	650	529.72	1.23
BIND	CC	GO:0000228	nuclear chromosome	1.65E-10	206	111	66.70	1.66
BIND	CC	GO:0005783	endoplasmic reticulum	2.12E-10	2020	782	654.05	1.20
BIND	CC	GO:0005635	nuclear envelope	9.14E-08	493	216	159.63	1.35
BIND	CC	GO:0005777	peroxisome	5.10E-03	142	62	45.98	1.35
BIND	CC	GO:0005929	cilium	2.15E-02	842	242	272.63	0.89
BIND	CC	GO:0031012	extracellular matrix	4.43E-02	564	205	182.62	1.12
BIND	CC	GO:0005811	lipid droplet	8.32E-01	102	34	33.03	1.03
BioGRID	CC	GO:0005615	extracellular space	2.58E-24	3190	3131	3027.59	1.03
BioGRID	CC	GO:0005739	mitochondrion	8.52E-21	1671	1654	1585.93	1.04
BioGRID	CC	GO:0005783	endoplasmic reticulum	9.10E-15	2020	1982	1917.16	1.03
BioGRID	CC	GO:0005730	nucleolus	3.10E-13	988	979	937.70	1.04
BioGRID	CC	GO:0005815	microtubule organizing center	9.19E-13	843	837	800.08	1.05
BioGRID	CC	GO:0005768	endosome	5.85E-12	1037	1025	984.21	1.04
BioGRID	CC	GO:0005794	Golgi apparatus	1.42E-10	1636	1602	1552.71	1.03
BioGRID	CC	GO:0005635	nuclear envelope	4.15E-09	493	491	467.90	1.05
BioGRID	CC	GO:0005764	lysosome	5.54E-08	747	737	708.97	1.04
BioGRID	CC	GO:0005840	ribosome	1.75E-05	222	222	210.70	1.05
BioGRID	CC	GO:0031012	extracellular matrix	4.28E-04	564	552	535.29	1.03
BioGRID	CC	GO:0000228	nuclear chromosome	5.89E-04	206	205	195.51	1.05
BioGRID	CC	GO:0005777	peroxisome	1.09E-02	142	141	134.77	1.05
BioGRID	CC	GO:0005929	cilium	1.27E-01	842	809	799.13	1.01
BioGRID	CC	GO:0005811	lipid droplet	1.78E-01	102	100	96.81	1.03
BioPlex 293T	CC	GO:0005739	mitochondrion	2.40E-37	1671	1417	1204.93	1.18
BioPlex 293T	CC	GO:0005730	nucleolus	1.08E-36	988	873	712.43	1.23
BioPlex 293T	CC	GO:0005815	microtubule organizing center	2.39E-26	843	734	607.88	1.21
BioPlex 293T	CC	GO:0005840	ribosome	1.30E-18	222	211	160.08	1.32
BioPlex 293T	CC	GO:0005768	endosome	6.01E-15	1037	853	747.77	1.14
BioPlex 293T	CC	GO:0005794	Golgi apparatus	6.89E-15	1636	1311	1179.70	1.11
BioPlex 293T	CC	GO:0005615	extracellular space	8.30E-14	3190	2470	2300.26	1.07
BioPlex 293T	CC	GO:0005764	lysosome	2.23E-13	747	623	538.65	1.16
BioPlex 293T	CC	GO:0000228	nuclear chromosome	6.15E-11	206	187	148.54	1.26
BioPlex 293T	CC	GO:0005783	endoplasmic reticulum	1.16E-10	2020	1577	1456.59	1.08
BioPlex 293T	CC	GO:0005635	nuclear envelope	3.21E-07	493	404	355.50	1.14
BioPlex 293T	CC	GO:0005777	peroxisome	3.05E-02	142	114	102.39	1.11
BioPlex 293T	CC	GO:0005811	lipid droplet	1.84E-01	102	80	73.55	1.09
BioPlex 293T	CC	GO:0031012	extracellular matrix	7.39E-01	564	403	406.69	0.99
BioPlex 293T	CC	GO:0005929	cilium	1.00E+00	842	607	607.15	1.00
BioPlex HCT116	CC	GO:0005739	mitochondrion	4.72E-44	1671	1149	881.43	1.30
BioPlex HCT116	CC	GO:0005730	nucleolus	5.18E-41	988	722	521.16	1.39
BioPlex HCT116	CC	GO:0005840	ribosome	2.42E-34	222	201	117.10	1.72
BioPlex HCT116	CC	GO:0005768	endosome	6.23E-30	1037	722	547.00	1.32
BioPlex HCT116	CC	GO:0005764	lysosome	2.74E-21	747	519	394.03	1.32
BioPlex HCT116	CC	GO:0005815	microtubule organizing center	5.85E-18	843	566	444.67	1.27
BioPlex HCT116	CC	GO:0005783	endoplasmic reticulum	7.50E-16	2020	1236	1065.52	1.16
BioPlex HCT116	CC	GO:0005615	extracellular space	8.33E-16	3190	1889	1682.68	1.12
BioPlex HCT116	CC	GO:0005794	Golgi apparatus	9.89E-16	1636	1017	862.97	1.18
BioPlex HCT116	CC	GO:0005635	nuclear envelope	8.89E-15	493	344	260.05	1.32
BioPlex HCT116	CC	GO:0000228	nuclear chromosome	1.16E-11	206	156	108.66	1.44
BioPlex HCT116	CC	GO:0005777	peroxisome	3.67E-04	142	96	74.90	1.28
BioPlex HCT116	CC	GO:0005811	lipid droplet	6.57E-04	102	71	53.80	1.32
BioPlex HCT116	CC	GO:0005929	cilium	1.58E-01	842	424	444.14	0.95
BioPlex HCT116	CC	GO:0031012	extracellular matrix	3.25E-01	564	286	297.50	0.96
ComPPI	CC	GO:0005739	mitochondrion	1.82E-30	1671	1614	1491.39	1.08
ComPPI	CC	GO:0005615	extracellular space	2.13E-27	3190	3009	2847.12	1.06
ComPPI	CC	GO:0005730	nucleolus	3.80E-27	988	968	881.81	1.10
ComPPI	CC	GO:0005815	microtubule organizing center	1.12E-17	843	818	752.39	1.09
ComPPI	CC	GO:0005768	endosome	1.59E-16	1037	997	925.54	1.08
ComPPI	CC	GO:0005783	endoplasmic reticulum	1.89E-16	2020	1904	1802.88	1.06
ComPPI	CC	GO:0005764	lysosome	1.25E-14	747	723	666.71	1.08
ComPPI	CC	GO:0005794	Golgi apparatus	4.17E-12	1636	1538	1460.16	1.05
ComPPI	CC	GO:0005840	ribosome	5.07E-10	222	221	198.14	1.12
ComPPI	CC	GO:0005635	nuclear envelope	9.11E-09	493	475	440.01	1.08
ComPPI	CC	GO:0000228	nuclear chromosome	1.20E-05	206	201	183.86	1.09
ComPPI	CC	GO:0005777	peroxisome	1.82E-04	142	139	126.74	1.10
ComPPI	CC	GO:0031012	extracellular matrix	1.29E-02	564	521	503.38	1.04
ComPPI	CC	GO:0005811	lipid droplet	2.34E-02	102	98	91.04	1.08
ComPPI	CC	GO:0005929	cilium	5.69E-01	842	757	751.50	1.01
ConsensusPathDB	CC	GO:0005615	extracellular space	6.60E-26	3190	3055	2913.59	1.05
ConsensusPathDB	CC	GO:0005783	endoplasmic reticulum	7.04E-19	2020	1942	1844.97	1.05
ConsensusPathDB	CC	GO:0005730	nucleolus	5.16E-17	988	965	902.39	1.07
ConsensusPathDB	CC	GO:0005768	endosome	1.04E-16	1037	1011	947.14	1.07
ConsensusPathDB	CC	GO:0005739	mitochondrion	1.23E-16	1671	1609	1526.21	1.05
ConsensusPathDB	CC	GO:0005815	microtubule organizing center	5.00E-15	843	824	769.95	1.07
ConsensusPathDB	CC	GO:0005794	Golgi apparatus	4.95E-11	1636	1561	1494.24	1.04
ConsensusPathDB	CC	GO:0005764	lysosome	6.84E-11	747	726	682.27	1.06
ConsensusPathDB	CC	GO:0005635	nuclear envelope	5.70E-08	493	480	450.28	1.07
ConsensusPathDB	CC	GO:0031012	extracellular matrix	7.31E-08	564	547	515.13	1.06
ConsensusPathDB	CC	GO:0005840	ribosome	5.73E-06	222	219	202.76	1.08
ConsensusPathDB	CC	GO:0000228	nuclear chromosome	1.69E-05	206	203	188.15	1.08
ConsensusPathDB	CC	GO:0005777	peroxisome	2.39E-03	142	139	129.70	1.07
ConsensusPathDB	CC	GO:0005811	lipid droplet	3.37E-02	102	99	93.16	1.06
ConsensusPathDB	CC	GO:0005929	cilium	8.02E-01	842	767	769.04	1.00
DIP	CC	GO:0005615	extracellular space	1.21E-37	3190	802	543.62	1.48
DIP	CC	GO:0005815	microtubule organizing center	4.92E-30	843	276	143.66	1.92
DIP	CC	GO:0000228	nuclear chromosome	3.49E-29	206	105	35.11	2.99
DIP	CC	GO:0005730	nucleolus	3.55E-22	988	288	168.37	1.71
DIP	CC	GO:0005768	endosome	2.27E-21	1037	296	176.72	1.67
DIP	CC	GO:0005635	nuclear envelope	6.01E-13	493	148	84.01	1.76
DIP	CC	GO:0005764	lysosome	2.13E-07	747	182	127.30	1.43
DIP	CC	GO:0005794	Golgi apparatus	6.36E-06	1636	346	278.80	1.24
DIP	CC	GO:0005840	ribosome	2.04E-04	222	60	37.83	1.59
DIP	CC	GO:0005777	peroxisome	9.75E-03	142	13	24.20	0.54
