Interactome	Fold	Prediction Method	Test Set	P@k
APID	1	L3	CORUM	0.0593
APID	2	L3	CORUM	0.0604
APID	3	L3	CORUM	0.0587
APID	4	L3	CORUM	0.0635
APID	5	L3	CORUM	0.0605
APID	6	L3	CORUM	0.0584
APID	7	L3	CORUM	0.0590
APID	8	L3	CORUM	0.0602
APID	9	L3	CORUM	0.0594
APID	10	L3	CORUM	0.0640
BIND	1	L3	CORUM	0.0097
BIND	2	L3	CORUM	0.0109
BIND	3	L3	CORUM	0.0148
BIND	4	L3	CORUM	0.0107
BIND	5	L3	CORUM	0.0110
BIND	6	L3	CORUM	0.0127
BIND	7	L3	CORUM	0.0096
BIND	8	L3	CORUM	0.0124
BIND	9	L3	CORUM	0.0088
BIND	10	L3	CORUM	0.0116
BioGRID	1	L3	CORUM	0.0200
BioGRID	2	L3	CORUM	0.0194
BioGRID	3	L3	CORUM	0.0204
BioGRID	4	L3	CORUM	0.0195
BioGRID	5	L3	CORUM	0.0181
BioGRID	6	L3	CORUM	0.0199
BioGRID	7	L3	CORUM	0.0212
BioGRID	8	L3	CORUM	0.0181
BioGRID	9	L3	CORUM	0.0195
BioGRID	10	L3	CORUM	0.0182
BioPlex 293T	1	L3	CORUM	0.0605
BioPlex 293T	2	L3	CORUM	0.0627
BioPlex 293T	3	L3	CORUM	0.0650
BioPlex 293T	4	L3	CORUM	0.0609
BioPlex 293T	5	L3	CORUM	0.0624
BioPlex 293T	6	L3	CORUM	0.0631
BioPlex 293T	7	L3	CORUM	0.0594
BioPlex 293T	8	L3	CORUM	0.0603
BioPlex 293T	9	L3	CORUM	0.0604
BioPlex 293T	10	L3	CORUM	0.0623
BioPlex HCT116	1	L3	CORUM	0.0752
BioPlex HCT116	2	L3	CORUM	0.0735
BioPlex HCT116	3	L3	CORUM	0.0733
BioPlex HCT116	4	L3	CORUM	0.0704
BioPlex HCT116	5	L3	CORUM	0.0728
BioPlex HCT116	6	L3	CORUM	0.0679
BioPlex HCT116	7	L3	CORUM	0.0708
BioPlex HCT116	8	L3	CORUM	0.0747
BioPlex HCT116	9	L3	CORUM	0.0756
BioPlex HCT116	10	L3	CORUM	0.0741
ComPPI	1	L3	CORUM	0.0483
ComPPI	2	L3	CORUM	0.0482
ComPPI	3	L3	CORUM	0.0478
ComPPI	4	L3	CORUM	0.0493
ComPPI	5	L3	CORUM	0.0486
ComPPI	6	L3	CORUM	0.0474
ComPPI	7	L3	CORUM	0.0487
ComPPI	8	L3	CORUM	0.0501
ComPPI	9	L3	CORUM	0.0478
ComPPI	10	L3	CORUM	0.0489
DIP	1	L3	CORUM	0.0841
DIP	2	L3	CORUM	0.0842
DIP	3	L3	CORUM	0.0832
DIP	4	L3	CORUM	0.0861
DIP	5	L3	CORUM	0.0866
DIP	6	L3	CORUM	0.0828
DIP	7	L3	CORUM	0.0850
DIP	8	L3	CORUM	0.0821
DIP	9	L3	CORUM	0.0820
DIP	10	L3	CORUM	0.0840
GeneMANIA	1	L3	CORUM	0.0516
GeneMANIA	2	L3	CORUM	0.0520
GeneMANIA	3	L3	CORUM	0.0509
GeneMANIA	4	L3	CORUM	0.0528
GeneMANIA	5	L3	CORUM	0.0532
GeneMANIA	6	L3	CORUM	0.0508
GeneMANIA	7	L3	CORUM	0.0522
GeneMANIA	8	L3	CORUM	0.0524
GeneMANIA	9	L3	CORUM	0.0532
GeneMANIA	10	L3	CORUM	0.0513
Havugimana	1	L3	CORUM	0.1893
Havugimana	2	L3	CORUM	0.1919
Havugimana	3	L3	CORUM	0.1850
Havugimana	4	L3	CORUM	0.1886
Havugimana	5	L3	CORUM	0.1865
Havugimana	6	L3	CORUM	0.1826
Havugimana	7	L3	CORUM	0.1842
Havugimana	8	L3	CORUM	0.1893
Havugimana	9	L3	CORUM	0.1848
Havugimana	10	L3	CORUM	0.1834
Hein	1	L3	CORUM	0.0099
Hein	2	L3	CORUM	0.0088
Hein	3	L3	CORUM	0.0097
Hein	4	L3	CORUM	0.0113
Hein	5	L3	CORUM	0.0100
Hein	6	L3	CORUM	0.0104
Hein	7	L3	CORUM	0.0098
Hein	8	L3	CORUM	0.0101
Hein	9	L3	CORUM	0.0099
Hein	10	L3	CORUM	0.0103
HuRI	1	L3	CORUM	0.0004
HuRI	2	L3	CORUM	0.0003
HuRI	3	L3	CORUM	0.0005
HuRI	4	L3	CORUM	0.0002
HuRI	5	L3	CORUM	0.0003
HuRI	6	L3	CORUM	0.0004
HuRI	7	L3	CORUM	0.0004
HuRI	8	L3	CORUM	0.0002
HuRI	9	L3	CORUM	0.0006
HuRI	10	L3	CORUM	0.0007
HINT	1	L3	CORUM	0.0115
HINT	2	L3	CORUM	0.0119
HINT	3	L3	CORUM	0.0131
HINT	4	L3	CORUM	0.0114
HINT	5	L3	CORUM	0.0117
HINT	6	L3	CORUM	0.0125
HINT	7	L3	CORUM	0.0119
HINT	8	L3	CORUM	0.0121
HINT	9	L3	CORUM	0.0116
HINT	10	L3	CORUM	0.0136
HIPPIE	1	L3	CORUM	0.0340
HIPPIE	2	L3	CORUM	0.0335
HIPPIE	3	L3	CORUM	0.0343
HIPPIE	4	L3	CORUM	0.0352
HIPPIE	5	L3	CORUM	0.0346
HIPPIE	6	L3	CORUM	0.0350
HIPPIE	7	L3	CORUM	0.0349
HIPPIE	8	L3	CORUM	0.0354
HIPPIE	9	L3	CORUM	0.0345
HIPPIE	10	L3	CORUM	0.0355
HPRD	1	L3	CORUM	0.0188
HPRD	2	L3	CORUM	0.0170
HPRD	3	L3	CORUM	0.0176
HPRD	4	L3	CORUM	0.0169
HPRD	5	L3	CORUM	0.0161
HPRD	6	L3	CORUM	0.0183
HPRD	7	L3	CORUM	0.0168
HPRD	8	L3	CORUM	0.0164
HPRD	9	L3	CORUM	0.0179
HPRD	10	L3	CORUM	0.0197
HumanNet-XC	1	L3	CORUM	0.0122
HumanNet-XC	2	L3	CORUM	0.0122
HumanNet-XC	3	L3	CORUM	0.0118
HumanNet-XC	4	L3	CORUM	0.0120
HumanNet-XC	5	L3	CORUM	0.0121
HumanNet-XC	6	L3	CORUM	0.0118
HumanNet-XC	7	L3	CORUM	0.0118
HumanNet-XC	8	L3	CORUM	0.0124
HumanNet-XC	9	L3	CORUM	0.0109
HumanNet-XC	10	L3	CORUM	0.0117
HumanNet-FN	1	L3	CORUM	0.0394
HumanNet-FN	2	L3	CORUM	0.0395
HumanNet-FN	3	L3	CORUM	0.0401
HumanNet-FN	4	L3	CORUM	0.0418
HumanNet-FN	5	L3	CORUM	0.0387
HumanNet-FN	6	L3	CORUM	0.0398
HumanNet-FN	7	L3	CORUM	0.0404
HumanNet-FN	8	L3	CORUM	0.0385
HumanNet-FN	9	L3	CORUM	0.0382
HumanNet-FN	10	L3	CORUM	0.0395
huMAP	1	L3	CORUM	0.0042
huMAP	2	L3	CORUM	0.0043
huMAP	3	L3	CORUM	0.0134
huMAP	4	L3	CORUM	0.0135
huMAP	5	L3	CORUM	0.0039
huMAP	6	L3	CORUM	0.0038
huMAP	7	L3	CORUM	0.0039
huMAP	8	L3	CORUM	0.0031
huMAP	9	L3	CORUM	0.0132
huMAP	10	L3	CORUM	0.0034
IID	1	L3	CORUM	0.0128
IID	2	L3	CORUM	0.0140
IID	3	L3	CORUM	0.0134
IID	4	L3	CORUM	0.0131
IID	5	L3	CORUM	0.0142
IID	6	L3	CORUM	0.0145
IID	7	L3	CORUM	0.0142
IID	8	L3	CORUM	0.0140
IID	9	L3	CORUM	0.0142
IID	10	L3	CORUM	0.0137
InBio	1	L3	CORUM	0.0101
InBio	2	L3	CORUM	0.0097
InBio	3	L3	CORUM	0.0100
InBio	4	L3	CORUM	0.0095
InBio	5	L3	CORUM	0.0094
InBio	6	L3	CORUM	0.0106
InBio	7	L3	CORUM	0.0101
InBio	8	L3	CORUM	0.0105
InBio	9	L3	CORUM	0.0098
InBio	10	L3	CORUM	0.0103
InnateDB All	1	L3	CORUM	0.0584
InnateDB All	2	L3	CORUM	0.0585
InnateDB All	3	L3	CORUM	0.0567
InnateDB All	4	L3	CORUM	0.0582
InnateDB All	5	L3	CORUM	0.0577
InnateDB All	6	L3	CORUM	0.0581
InnateDB All	7	L3	CORUM	0.0583
InnateDB All	8	L3	CORUM	0.0585
InnateDB All	9	L3	CORUM	0.0570
InnateDB All	10	L3	CORUM	0.0577
IntAct	1	L3	CORUM	0.0117
IntAct	2	L3	CORUM	0.0116
IntAct	3	L3	CORUM	0.0105
IntAct	4	L3	CORUM	0.0116
IntAct	5	L3	CORUM	0.0117
IntAct	6	L3	CORUM	0.0103
IntAct	8	L3	CORUM	0.0114
IntAct	9	L3	CORUM	0.0099
IntAct	10	L3	CORUM	0.0102
iRefIndex	1	L3	CORUM	0.0248
iRefIndex	2	L3	CORUM	0.0266
