Node_A	Node_B
10622	10623
10622	10621
10622	6595
10622	6152
10622	23309
10622	4976
10622	117246
10622	5710
171568	5438
171568	25873
171568	4841
171568	689
171568	4837
171568	2745
171568	6748
171568	3419
171568	57175
23636	9861
23636	3704
23636	3308
23636	117246
8021	10190
8021	5055
8021	10994
8021	6187
8021	5710
8021	8724
8021	7417
8027	5684
8027	23184
8027	5861
9146	6643
9146	3190
9146	23787
9146	2026
9146	9861
9146	6176
9146	3188
1025	904
1025	164
1025	6390
5714	5705
5714	64374
5714	230
5714	92906
5714	7353
5714	6125
5714	148362
5714	3836
5714	5375
5714	3868
5714	1854
5714	7416
5714	6154
5714	51010
5714	5504
5714	9862
5714	5683
5714	6597
5714	10556
5714	6697
5714	705
5714	64841
5714	2286
5714	3833
5714	2770
5714	5708
5714	50865
5714	6224
5714	8895
5714	10240
5714	6169
5714	4809
5714	51100
5715	5710
5715	5713
5715	5705
5715	51477
5715	1445
5715	7871
5715	7295
5715	6746
5715	10693
5715	9128
5715	6206
5715	1072
5715	6143
5715	7430
5715	6157
5715	54187
5715	6223
5715	998
5715	9904
5715	23451
5715	51122
4172	79892
4172	847
4172	11198
4172	706
4172	6232
4172	5719
4172	2597
4172	5441
4172	1615
4172	6697
4172	10632
4172	8904
4172	6228
4172	140890
4172	6165
4172	116541
4172	5702
4172	2967
4172	6194
4176	51122
4176	26576
4176	23029
4176	3336
4176	6125
4176	6184
4176	983
4176	10728
4176	4076
4176	143471
4176	5093
4176	6612
4176	1977
4176	5901
4176	10594
4176	6137
10001	10025
10001	9969
10001	7169
10001	8914
10001	6205
10001	6125
10001	6141
10001	3956
10001	54165
10001	6122
10001	5245
10001	6597
10001	8110
10001	6124
10001	28970
10001	9380
10001	5684
10001	10280
10001	57142
10001	23673
219541	9282
219541	25824
219541	29777
219541	203068
219541	57062
219541	7458
219541	3309
219541	5110
219541	57698
219541	27250
219541	10399
219541	5905
219541	5886
219541	9131
143471	5694
143471	5702
143471	5707
143471	11128
143471	3382
143471	9782
143471	29114
143471	7415
143471	79720
143471	51031
143471	5471
143471	6155
143471	6141
143471	4926
143471	5037
143471	6133
143471	6210
143471	5434
5686	5694
5686	51371
5686	5696
5686	56984
5686	10213
5686	5717
5686	23198
5686	56915
5686	5493
5686	6427
5686	23392
5686	10540
5686	23521
5686	10987
5686	10576
5686	10652
5686	6147
5686	523
5686	4926
5686	81611
5686	55003
5686	1655
5686	23406
5686	2271
5686	1434
5686	8761
5686	6633
5686	7430
5686	10762
5686	1978
5686	54517
5686	481
5686	6125
5686	1213
5686	6207
5686	79720
5686	5202
5686	9862
5686	3192
5686	1915
5686	8089
5686	23107
5686	2091
5686	6137
5686	3301
5686	7086
5686	3945
5686	51690
5686	6217
5686	6201
5686	5601
5686	6165
5686	402
5686	10575
5686	506
5686	5708
5686	2023
5705	5713
5705	5706
5705	5701
5705	5689
5705	9097
5705	9361
5705	8801
5705	1665
5705	4637
5705	8724
5705	6128
5705	8761
5705	11169
5705	6168
5705	6133
5705	5394
5705	7453
5705	3308
5705	6136
5705	55795
5705	6204
5705	3852
5705	3735
5705	1499
5705	11338
5705	2665
5705	822
5705	9669
5705	6224
5705	55742
5705	4361
5705	10902
5705	23788
5705	374454
5705	3312
5705	2108
5705	6632
5705	5441
5705	22894
5705	2280
5705	23389
5705	26986
5705	10969
5705	5710
5705	30011
5707	9861
5707	5718
5707	5702
5707	5706
5707	5693
5707	5683
5707	5696
5707	5695
5707	6451
5707	25782
5707	6908
5707	6624
5707	4736
5707	51068
5707	9589
5707	220988
5707	10061
5707	5422
5707	996
5707	7296
5707	328
5707	7706
5707	51143
5707	64949
5707	64431
5707	2108
5707	55192
5707	6193
5707	6301
5707	6191
5707	254065
5707	6184
5707	34
5707	10054
5707	6748
5707	5271
5707	4716
5707	11103
5707	1977
5707	5357
5707	57050
5707	10213
9861	5710
9861	5693
9861	3192
9861	55795
9861	481
9861	65985
9861	51386
9861	55276
9861	6231
9861	11315
9861	5711
9861	5496
9861	1479
9861	27292
9861	81542
9861	10204
9861	6202
9861	5230
9861	8997
9861	10226
9861	6232
9861	55236
9861	6132
9861	9112
9861	114548
9861	55770
9861	6152
9861	8110
9861	1537
9861	3848
9861	9040
9861	2806
9861	25879
9861	6169
9861	57644
9861	60
9861	6812
9861	50
9861	2261
5708	5701
5708	5682
5708	2673
5708	3419
5708	1315
5708	23787
5708	6146
5708	2805
5708	6144
5708	3326
5708	27068
5708	9343
5708	6155
5708	5250
5708	55968
5708	5917
5708	10051
5708	23564
5708	7385
5708	25804
5708	6120
5708	6203
5708	5527
5708	84678
5708	25873
5708	5245
5708	6206
5708	1915
5708	51010
5708	6950
5708	9092
5708	23616
5708	10061
5708	4673
5708	4967
5708	6202
5708	6133
5708	1665
