From	To
P41208	P41208
P20226	P20226
O43149	O43149
Q9UQP3	Q9UQP3
Q9HCM2	Q9HCM2
P12644	P12644
Q9P2R7	Q9P2R7
P78357	P78357
P52757	P52757
P30203	P30203
P20273	P20273
Q9H819	Q9H819
Q8WZA9	Q8WZA9
Q9NS75	Q9NS75
Q92786	Q92786
Q3L8U1	Q3L8U1
Q6UVJ0	Q6UVJ0
B4DMS2	B4DMS2
B7ZLY3	B7ZLY3
P46939	P46939
E5RHT1	E5RHT1
O43189	O43189
D6RG13	D6RG13
Q13515	Q13515
Q8IY51	Q8IY51
Q96NL0	Q96NL0
Q96DT0	Q96DT0
Q96GR4	Q96GR4
Q8IXW0	Q8IXW0
P49447	P49447
P14209	P14209
Q9NP64	Q9NP64
Q12974	Q12974
Q6ZS30	Q6ZS30
P36969	P36969
Q9HAH1	Q9HAH1
Q01650	Q01650
P29400	P29400
Q9NZD2	Q9NZD2
A2RTX5	A2RTX5
Q8IZ02	Q8IZ02
Q8NB37	Q8NB37
Q92185	Q92185
Q8IYK8	Q8IYK8
P08047	P08047
Q9H6U6	Q9H6U6
C9JAW5	C9JAW5
O15496	O15496
Q9HBX8	Q9HBX8
Q86SS6	Q86SS6
Q8NGS2	Q8NGS2
Q2TAA8	Q2TAA8
P48201	P48201
Q4VC44	Q4VC44
Q86VS8	Q86VS8
Q5T749	Q5T749
Q6ZTI6	Q6ZTI6
Q8TDX6	Q8TDX6
Q96LM8	Q96LM8
Q92874	Q92874
Q96EB6	Q96EB6
Q07283	Q07283
Q9H6Z9	Q9H6Z9
P48549	P48549
Q9BQ49	Q9BQ49
Q5VZE5	Q5VZE5
Q8N5X7	Q8N5X7
P68104	P68104
O43934	O43934
O95486	O95486
P48681	P48681
O75438	O75438
Q8IVG5	Q8IVG5
P33261	P33261
Q9UK32	Q9UK32
Q93063	Q93063
P35443	P35443
Q02487	Q02487
Q96IX5	Q96IX5
Q8N3J6	Q8N3J6
O95985	O95985
Q5VVD0	Q5VVD0
Q8TCJ2	Q8TCJ2
P53667	P53667
Q6ZNE9	Q6ZNE9
Q14440	Q14440
A6ND91	A6ND91
Q13068	P0DTW1
Q13068	P0DSO3
Q96B45	Q96B45
Q712K3	Q712K3
Q9BTY2	Q9BTY2
Q6PII3	Q6PII3
Q7Z6J8	Q7Z6J8
Q96A44	Q96A44
O15213	O15213
Q498B9	Q498B9
O60861	O60861
P61088	P61088
O60260	O60260
A1A4S6	A1A4S6
P62873	P62873
O75380	O75380
B3KX63	B3KX63
P09619	P09619
Q9NQT8	Q9NQT8
Q07092	Q07092
P40937	P40937
P68106	P68106
A0A0C4DGW6	A0A0C4DGW6
Q8TDI0	Q8TDI0
Q06124	Q06124
Q8WV48	Q8WV48
Q8IYL2	Q8IYL2
O43424	O43424
P04279	P04279
O60307	O60307
P0C7M6	P0C7M6
Q9Y6I9	Q9Y6I9
Q9NW68	Q9NW68
Q5RKT7	Q5RKT7
P78348	P78348
P22792	P22792
Q6P1R3	Q6P1R3
Q8NBN3	Q8NBN3
Q14406	Q14406
Q96CE8	Q96CE8
P31321	P31321
O60381	O60381
B7Z8Y3	B7Z8Y3
Q8N5R6	Q8N5R6
Q8N7F7	Q8N7F7
Q8WXG6	Q8WXG6
Q13454	Q13454
P16410	P16410
Q6FGX2	Q6FGX2
Q5TGI0	Q5TGI0
O14544	O14544
Q14232	Q14232
Q17RY0	Q17RY0
Q9UM63	Q9UM63
A6NK59	A6NK59
Q9UQV4	Q9UQV4
P15814	P15814
Q8WVX9	Q8WVX9
Q969K7	Q969K7
Q9UKG4	Q9UKG4
Q9C0H6	Q9C0H6
Q9UPA5	Q9UPA5
Q8TB61	Q8TB61
Q69YU3	Q69YU3
Q8IWN7	Q8IWN7
Q13424	Q13424
P32119	P32119
P37023	P37023
Q9NQC1	Q9NQC1
Q9BTE2	Q9BTE2
P18754	P18754
Q96GV9	Q96GV9
P15498	P15498
Q8TD23	Q8TD23
Q96IT1	Q96IT1
P20366	P20366
Q7Z7B1	Q7Z7B1
P52584	P52584
Q8WVM7	Q8WVM7
Q9NZH0	Q9NZH0
A8CG34	A8CG34
Q02447	Q02447
Q8N9F8	Q8N9F8
Q7Z398	Q7Z398
Q9H814	Q9H814
Q13409	Q13409
Q5QNZ2	Q5QNZ2
Q8IZR5	Q8IZR5
Q99523	Q99523
Q9Y4G8	Q9Y4G8
A1IGU5	A1IGU5
O75800	O75800
A2RRC6	A2RRC6
P02774	P02774
Q9NVE7	Q9NVE7
Q8IZF5	Q8IZF5
Q9NXV2	Q9NXV2
Q14934	Q14934
Q96SM3	Q96SM3
Q92667	Q92667
Q8NCG5	Q8NCG5
Q8ND83	Q8ND83
V9HWB8	V9HWB8
D3DQ69	D3DQ69
P35680	P35680
P10242	P10242
Q6KB66	Q6KB66
O75474	O75474
Q6PJ05	Q6PJ05
P49419	P49419
Q9GZT9	Q9GZT9
P51148	P51148
Q15678	Q15678
Q7Z7A1	Q7Z7A1
Q8NGJ0	Q8NGJ0
Q3MUY2	Q3MUY2
Q5T5D7	Q5T5D7
P61106	P61106
Q96EP1	Q96EP1
O15480	O15480
Q6ZMN7	Q6ZMN7
O15120	O15120
A0AUL9	A0AUL9
Q9H4L7	Q9H4L7
Q5H9J7	Q5H9J7
E9PJK4	E9PJK4
Q6FGH5	Q6FGH5
Q9H2J7	Q9H2J7
Q92832	Q92832
Q9P2E2	Q9P2E2
A8K0R7	A8K0R7
P23258	P23258
Q9H6S8	Q9H6S8
Q05048	Q05048
O60645	O60645
Q96BU1	Q96BU1
Q96C11	Q96C11
Q96GM8	Q96GM8
Q9BYQ4	Q9BYQ4
Q9Y217	Q9Y217
D6W5C0	D6W5C0
Q15459	Q15459
Q8WU02	Q8WU02
R4GMT7	R4GMT7
P49137	P49137
Q9BWH6	Q9BWH6
P62861	P62861
P29322	P29322
Q13619	Q13619
Q499Z4	Q499Z4
A0A0C4DGS5	Q08379
P16885	P16885
A6NH52	A6NH52
P49327	P49327
P14543	P14543
O15266	O15266
Q93079	Q93079
O95206	O95206
O15165	O15165
Q1RN33	Q1RN33
Q86US8	Q86US8
P47972	P47972
Q8NCB2	Q8NCB2
Q5VZV1	Q5VZV1
Q8IZL2	Q8IZL2
Q9UBZ9	Q9UBZ9
Q8NDZ2	Q8NDZ2
Q99973	Q99973
Q9NUN5	Q9NUN5
A1KXE4	A1KXE4
P48544	P48544
Q5RZ99	Q5RZ99
E9PPJ0	E9PPJ0
Q9BQI9	Q9BQI9
J3KNL6	O15027
Q15124	Q15124
Q03001	Q03001
Q5W0V3	Q5W0V3
Q9UBY9	Q9UBY9
P28332	P28332
Q5JXB2	Q5JXB2
Q9Y3V2	Q9Y3V2
Q86SG5	Q86SG5
Q9P2K5	Q9P2K5
Q8NFT6	Q8NFT6
Q15286	Q15286
Q9BQ31	Q9BQ31
E7EN19	E7EN19
Q5H9U9	Q5H9U9
Q7Z4Q2	Q7Z4Q2
Q9NVH2	Q9NVH2
P54646	P54646
Q05481	Q05481
Q15834	Q15834
Q5BJF6	Q5BJF6
Q8IXQ9	Q8IXQ9
Q9P2X3	Q9P2X3
Q8NCD3	Q8NCD3
H7BYY1	H7BYY1
C6GKH1	C6GKH1
O95477	O95477
Q53H76	Q53H76
Q9UNX4	Q9UNX4
P28906	P28906
Q9ULV5	Q9ULV5
Q9UKZ9	Q9UKZ9
Q8N114	Q8N114
Q8IUC8	Q8IUC8
Q9BPU5	Q9BPU5
O15553	O15553
Q9BST9	Q9BST9
Q92563	Q92563
Q9H974	Q9H974
Q9Y259	Q9Y259
O00124	O00124
O60548	O60548
P02746	P02746
Q96AH0	Q96AH0
P22392	P22392
Q8NHY0	Q8NHY0
C9J2Y9	C9J2Y9
Q15431	Q15431
Q9NQC3	Q9NQC3
P42226	P42226
Q86Y97	Q86Y97
Q6NWY9	Q6NWY9
Q6IAN0	Q6IAN0
Q9NWW7	Q9NWW7
Q8NG50	Q8NG50
