	id	length	mass
2175	X2C0Y4_HUMAN	18	2175
85397	A0A0M3R6J9_HUMAN	765	85397
164199	BLT3B_HUMAN	1464	164199
65710	F6S8M0_HUMAN	584	65710
25446	B7Z2F9_HUMAN	245	25446
89375	A0A2X0SFB3_HUMAN	786	89375
37158	EPM2A_HUMAN	331	37158
10601	H0YC72_HUMAN	94	10601
33356	ELOV7_HUMAN	281	33356
101579	SPD2B_HUMAN	911	101579
68772	FRMD3_HUMAN	597	68772
12459	A0A9L9PXA5_HUMAN	109	12459
109411	CCD66_HUMAN	948	109411
36548	TYW5_HUMAN	315	36548
97802	GSAP_HUMAN	854	97802
41178	A0A8Q3SHR5_HUMAN	389	41178
69140	Q9BSI0_HUMAN	644	69140
31135	PDES1_HUMAN	270	31135
110844	MEG11_HUMAN	1044	110844
293885	BDP1_HUMAN	2624	293885
32121	Q5QPJ6_HUMAN	296	32121
12806	S5FMV1_HUMAN	111	12806
139655	PCARE_HUMAN	1288	139655
24699	H3BPS9_HUMAN	223	24699
237277	PCX2_HUMAN	2137	237277
14378	O19587_HUMAN	121	14378
197297	ZSWM8_HUMAN	1837	197297
67702	G5E9A7_HUMAN	649	67702
68559	V5T9A0_HUMAN	611	68559
92658	SOBP_HUMAN	873	92658
15313	Q9H715_HUMAN	138	15313
44024	MEI4_HUMAN	385	44024
25423	A0A649ZVI4_HUMAN	220	25423
91733	UBP45_HUMAN	814	91733
24570	VWC2L_HUMAN	222	24570
62248	IQIP1_HUMAN	563	62248
29455	H7C4Y5_HUMAN	266	29455
48880	Q6LC01_HUMAN	437	48880
10920	V5NR41_HUMAN	89	10920
36537	AK1BF_HUMAN	316	36537
24008	W0UTC4_HUMAN	216	24008
5265	Q6LE79_HUMAN	47	5265
39581	DNS2A_HUMAN	360	39581
72912	ADAS_HUMAN	658	72912
121682	MYO1C_HUMAN	1063	121682
23354	Q590H7_HUMAN	228	23354
31621	S5DHX2_HUMAN	273	31621
10441	H3BTC2_HUMAN	93	10441
35808	Q53HP8_HUMAN	347	35808
79405	RN103_HUMAN	685	79405
42508	MYPOP_HUMAN	399	42508
110114	TAF4_HUMAN	1085	110114
116221	HIP1_HUMAN	1037	116221
46026	A0A8V8TMF9_HUMAN	406	46026
28879	UPK1A_HUMAN	258	28879
119479	A0A2K8FKV1_HUMAN	1044	119479
54122	B4DDM0_HUMAN	481	54122
71584	S28A1_HUMAN	649	71584
60909	B4DX80_HUMAN	545	60909
53835	A0A994J4P7_HUMAN	499	53835
17561	S4R3S7_HUMAN	155	17561
108972	PLK4_HUMAN	970	108972
10792	U5IRI6_HUMAN	89	10792
100895	MANBA_HUMAN	879	100895
65002	BT3A3_HUMAN	584	65002
34577	H7C165_HUMAN	314	34577
57811	PP16A_HUMAN	528	57811
48112	A0A024R4B2_HUMAN	426	48112
291077	USP9Y_HUMAN	2555	291077
32444	F8VNX8_HUMAN	283	32444
50640	NEMP1_HUMAN	444	50640
42027	F8W6E2_HUMAN	370	42027
47277	NPT3_HUMAN	439	47277
53416	A0A0G2JMC9_HUMAN	490	53416
47442	B7Z4F4_HUMAN	412	47442
20659	NDKM_HUMAN	187	20659
61807	EST2_HUMAN	559	61807
19652	E5RJP2_HUMAN	174	19652
242045	ARI1A_HUMAN	2285	242045
45510	Q6IB83_HUMAN	412	45510
22172	TM125_HUMAN	219	22172
12365	Q8N214_HUMAN	122	12365
17417	E9PQE5_HUMAN	149	17417
22484	Q96MM8_HUMAN	198	22484
29041	Q102J2_HUMAN	250	29041
72332	ZN195_HUMAN	629	72332
100124	ENPP3_HUMAN	875	100124
75187	Q6PCC9_HUMAN	666	75187
133768	IRS4_HUMAN	1257	133768
37979	A0A060VCV6_HUMAN	341	37979
72684	ANM5_HUMAN	637	72684
35966	A0A804HLK3_HUMAN	311	35966
54434	Q504W2_HUMAN	503	54434
47878	TR10B_HUMAN	440	47878
35478	H0Y3Z4_HUMAN	316	35478
38242	G9FTK0_HUMAN	337	38242
29653	R4GND3_HUMAN	260	29653
38649	A0A0Y0R0P1_HUMAN	348	38649
13735	D6RAR3_HUMAN	121	13735
36049	Q6FHB5_HUMAN	316	36049
25997	R4GNB9_HUMAN	228	25997
21943	H0YEA0_HUMAN	191	21943
55057	Q719J0_HUMAN	508	55057
17769	F8WCB3_HUMAN	161	17769
105987	PLD2_HUMAN	933	105987
9906	O19786_HUMAN	82	9906
46436	CASQ2_HUMAN	399	46436
16390	K7ELI5_HUMAN	146	16390
70039	A0A5H1ZRP4_HUMAN	628	70039
70312	A0A0A0MRE1_HUMAN	617	70312
46438	A0A7I2V4W5_HUMAN	407	46438
63303	SYN3_HUMAN	580	63303
144734	PUR4_HUMAN	1338	144734
290386	CE290_HUMAN	2479	290386
84640	A0A8A5YP40_HUMAN	770	84640
15179	K7EJZ2_HUMAN	135	15179
79389	B7SEY4_HUMAN	814	79389
30914	B4DKH5_HUMAN	287	30914
36649	Q8NH34_HUMAN	337	36649
58027	ZBT7B_HUMAN	539	58027
35049	Q6LEU2_HUMAN	303	35049
95635	A0A0S2Z4R0_HUMAN	862	95635
399737	LAMA5_HUMAN	3695	399737
52817	M9RSF4_HUMAN	487	52817
61154	E7ENM0_HUMAN	706	61154
28356	Q8NHB3_HUMAN	249	28356
83299	NPHP1_HUMAN	732	83299
30394	SURF4_HUMAN	269	30394
7038	H3BPW5_HUMAN	64	7038
95451	B7Z493_HUMAN	851	95451
32236	SHOX_HUMAN	292	32236
52744	W8DXU8_HUMAN	461	52744
66675	B3KPZ6_HUMAN	603	66675
25914	Q86VG4_HUMAN	229	25914
60715	SIGL5_HUMAN	551	60715
143752	NMDE4_HUMAN	1336	143752
29816	A0A2R8Y5N5_HUMAN	271	29816
54986	RPA34_HUMAN	510	54986
73169	A0A140VKH4_HUMAN	640	73169
55184	GLYG2_HUMAN	501	55184
16320	G3V3Y8_HUMAN	147	16320
23436	V9GYM5_HUMAN	209	23436
47571	A0A024RCT1_HUMAN	448	47571
14889	YO007_HUMAN	132	14889
38787	R113A_HUMAN	343	38787
23319	Q75L79_HUMAN	220	23319
47696	A0A0C4DFW9_HUMAN	426	47696
