,ptm,iptm,Model,Pair_str,model_conf,Background
2,0.87,0.85,2,89978_2720,0.8540000000000001,All random
3,0.81,0.78,3,55140_376267,0.7860000000000001,All random
4,0.47,0.86,4,8841_55809,0.782,All random
4,0.46,0.83,4,5566_10009,0.756,All random
4,0.84,0.72,4,57111_51148,0.744,All random
4,0.75,0.74,4,124997_5870,0.742,All random
1,0.68,0.74,1,52_23047,0.728,All random
3,0.59,0.75,3,92104_65982,0.7180000000000001,All random
2,0.49,0.77,2,8436_55839,0.7140000000000001,All random
4,0.63,0.73,4,6936_54438,0.71,All random
0,0.35,0.79,0,100505385_138716,0.7020000000000001,All random
0,0.49,0.75,0,11044_150737,0.6980000000000001,All random
0,0.84,0.66,0,52_10542,0.6960000000000001,All random
1,0.71,0.69,1,9946_55004,0.694,All random
0,0.51,0.74,0,404636_5927,0.694,All random
1,0.68,0.69,1,84191_2256,0.688,All random
2,0.39,0.75,2,55860_26058,0.6780000000000002,All random
0,0.62,0.69,0,4141_2764,0.6759999999999999,All random
3,0.65,0.68,3,27309_150737,0.674,All random
0,0.45,0.73,0,129285_102157402,0.6739999999999999,All random
1,0.44,0.73,1,10239_54443,0.6719999999999999,All random
3,0.56,0.7,3,55166_5870,0.6719999999999999,All random
0,0.83,0.63,0,54438_136319,0.67,All random
4,0.5,0.71,4,26084_51560,0.6679999999999999,All random
1,0.42,0.73,1,1176_147339,0.6679999999999999,All random
0,0.42,0.72,0,124401_56943,0.6599999999999999,All random
3,0.69,0.64,3,1176_150737,0.65,All random
3,0.65,0.65,3,53938_9652,0.65,All random
2,0.5,0.68,2,5566_23143,0.644,All random
1,0.57,0.66,1,23016_10379,0.642,All random
0,0.51,0.67,0,8243_55140,0.638,All random
1,0.46,0.67,1,200081_1116,0.628,All random
2,0.82,0.58,2,23390_1373,0.628,All random
3,0.4,0.68,3,11158_388115,0.6240000000000001,All random
1,0.62,0.62,1,56267_5170,0.62,All random
2,0.45,0.66,2,8841_54620,0.618,All random
3,0.29,0.7,3,2256_85456,0.6179999999999999,All random
0,0.48,0.65,0,100505385_90864,0.616,All random
3,0.71,0.59,3,151963_10542,0.614,All random
1,0.51,0.64,1,3297_222229,0.614,All random
3,0.41,0.66,3,10325_375790,0.61,All random
3,0.61,0.61,3,7384_27309,0.61,All random
4,0.65,0.59,4,9652_1471,0.602,All random
1,0.76,0.56,1,54331_64359,0.6000000000000001,All random
2,0.6,0.6,2,151393_3276,0.6,All random
1,0.69,0.57,1,64146_57609,0.594,All random
3,0.44,0.63,3,151963_7090,0.592,All random
2,0.43,0.63,2,2246_9204,0.59,All random
1,0.38,0.64,1,11099_91875,0.5880000000000001,All random
0,0.44,0.62,0,1902_2073,0.584,All random
4,0.7,0.55,4,50614_3030,0.5800000000000001,All random
2,0.46,0.61,2,23143_2639,0.58,All random
3,0.36,0.63,3,80223_1022,0.576,All random
3,0.48,0.6,3,10916_10556,0.576,All random
1,0.39,0.62,1,8667_6867,0.5740000000000001,All random
4,0.39,0.62,4,23162_727936,0.5740000000000001,All random
3,0.43,0.61,3,124401_51072,0.574,All random
2,0.77,0.52,2,9270_4864,0.5700000000000001,All random
3,0.61,0.56,3,55860_10474,0.5700000000000001,All random
3,0.61,0.56,3,889_51654,0.5700000000000001,All random
1,0.63,0.55,1,80349_4331,0.5660000000000001,All random
2,0.63,0.55,2,27258_9270,0.5660000000000001,All random
0,0.33,0.62,0,11215_653333,0.562,All random
1,0.33,0.62,1,283149_6888,0.562,All random
0,0.55,0.56,0,284403_10907,0.558,All random
