NCBI Gene ID A	NCBI Gene ID B	Network/Network Coverage	Analysis Set	Model Number	pTM	ipTM	Model Confidence
138724	100129969	GeneMANIA	Unreported	0	0.22	0.25	0.244
138724	100129969	GeneMANIA	Unreported	1	0.21	0.27	0.258
138724	100129969	GeneMANIA	Unreported	2	0.22	0.27	0.26
138724	100129969	GeneMANIA	Unreported	3	0.21	0.27	0.258
138724	100129969	GeneMANIA	Unreported	4	0.21	0.26	0.25
64333	89839	GeneMANIA	Unreported	0	0.41	0.22	0.258
64333	89839	GeneMANIA	Unreported	1	0.44	0.3	0.328
64333	89839	GeneMANIA	Unreported	2	0.39	0.16	0.206
64333	89839	GeneMANIA	Unreported	3	0.4	0.18	0.224
64333	89839	GeneMANIA	Unreported	4	0.39	0.19	0.23
2308	653427	GeneMANIA	Unreported	0	0.24	0.18	0.192
2308	653427	GeneMANIA	Unreported	1	0.24	0.2	0.208
2308	653427	GeneMANIA	Unreported	2	0.23	0.17	0.182
2308	653427	GeneMANIA	Unreported	3	0.23	0.19	0.198
2308	653427	GeneMANIA	Unreported	4	0.23	0.18	0.19
2308	442425	GeneMANIA	Unreported	0	0.25	0.17	0.186
2308	442425	GeneMANIA	Unreported	1	0.23	0.16	0.174
2308	442425	GeneMANIA	Unreported	2	0.24	0.18	0.192
2308	442425	GeneMANIA	Unreported	3	0.24	0.17	0.184
2308	442425	GeneMANIA	Unreported	4	0.25	0.18	0.194
2308	349334	GeneMANIA	Unreported	0	0.23	0.17	0.182
2308	349334	GeneMANIA	Unreported	1	0.23	0.17	0.182
2308	349334	GeneMANIA	Unreported	2	0.24	0.17	0.184
2308	349334	GeneMANIA	Unreported	3	0.23	0.18	0.19
2308	349334	GeneMANIA	Unreported	4	0.24	0.18	0.192
2308	286380	GeneMANIA	Unreported	0	0.24	0.19	0.2
2308	286380	GeneMANIA	Unreported	1	0.23	0.18	0.19
2308	286380	GeneMANIA	Unreported	2	0.24	0.18	0.192
2308	286380	GeneMANIA	Unreported	3	0.24	0.18	0.192
2308	286380	GeneMANIA	Unreported	4	0.24	0.17	0.184
2308	200350	GeneMANIA	Unreported	0	0.23	0.17	0.182
2308	200350	GeneMANIA	Unreported	1	0.24	0.19	0.2
2308	200350	GeneMANIA	Unreported	2	0.24	0.19	0.2
2308	200350	GeneMANIA	Unreported	3	0.23	0.16	0.174
2308	200350	GeneMANIA	Unreported	4	0.23	0.17	0.182
7579	9753	GeneMANIA	Unreported	0	0.27	0.31	0.302
7579	9753	GeneMANIA	Unreported	1	0.27	0.3	0.294
7579	9753	GeneMANIA	Unreported	2	0.26	0.3	0.292
7579	9753	GeneMANIA	Unreported	3	0.27	0.3	0.294
7579	9753	GeneMANIA	Unreported	4	0.26	0.3	0.292
56131	60437	GeneMANIA	Unreported	0	0.33	0.16	0.194
56131	60437	GeneMANIA	Unreported	1	0.35	0.17	0.206
56131	60437	GeneMANIA	Unreported	2	0.32	0.17	0.2
56131	60437	GeneMANIA	Unreported	3	0.33	0.15	0.186
56131	60437	GeneMANIA	Unreported	4	0.34	0.17	0.204
1124	51306	GeneMANIA	Unreported	0	0.3	0.33	0.324
1124	51306	GeneMANIA	Unreported	1	0.29	0.24	0.25
1124	51306	GeneMANIA	Unreported	2	0.32	0.34	0.336
1124	51306	GeneMANIA	Unreported	3	0.28	0.18	0.2
1124	51306	GeneMANIA	Unreported	4	0.29	0.25	0.258
11202	646424	GeneMANIA	Unreported	0	0.44	0.15	0.208
11202	646424	GeneMANIA	Unreported	1	0.52	0.15	0.224
11202	646424	GeneMANIA	Unreported	2	0.52	0.16	0.232
11202	646424	GeneMANIA	Unreported	3	0.51	0.15	0.222
11202	646424	GeneMANIA	Unreported	4	0.51	0.19	0.254
11202	408187	GeneMANIA	Unreported	0	0.6	0.31	0.368
11202	408187	GeneMANIA	Unreported	1	0.74	0.58	0.612
11202	408187	GeneMANIA	Unreported	2	0.59	0.15	0.238
11202	408187	GeneMANIA	Unreported	3	0.57	0.21	0.282
11202	408187	GeneMANIA	Unreported	4	0.59	0.28	0.342
59350	723961	GeneMANIA	Unreported	0	0.62	0.21	0.292
59350	723961	GeneMANIA	Unreported	1	0.62	0.2	0.284
59350	723961	GeneMANIA	Unreported	2	0.61	0.21	0.29
59350	723961	GeneMANIA	Unreported	3	0.64	0.31	0.376
59350	723961	GeneMANIA	Unreported	4	0.58	0.17	0.252
4509	7350	GeneMANIA	Unreported	0	0.71	0.24	0.334
4509	7350	GeneMANIA	Unreported	1	0.66	0.26	0.34
4509	7350	GeneMANIA	Unreported	2	0.63	0.28	0.35
4509	7350	GeneMANIA	Unreported	3	0.66	0.25	0.332
4509	7350	GeneMANIA	Unreported	4	0.66	0.26	0.34
56129	60437	GeneMANIA	Unreported	0	0.34	0.15	0.188
56129	60437	GeneMANIA	Unreported	1	0.33	0.16	0.194
56129	60437	GeneMANIA	Unreported	2	0.32	0.16	0.192
56129	60437	GeneMANIA	Unreported	3	0.33	0.16	0.194
56129	60437	GeneMANIA	Unreported	4	0.35	0.17	0.206
9787	401541	GeneMANIA	Unreported	0	0.31	0.28	0.286
9787	401541	GeneMANIA	Unreported	1	0.31	0.23	0.246
9787	401541	GeneMANIA	Unreported	2	0.29	0.35	0.338
9787	401541	GeneMANIA	Unreported	3	0.29	0.22	0.234
9787	401541	GeneMANIA	Unreported	4	0.31	0.26	0.27
1124	55789	GeneMANIA	Unreported	0	0.37	0.19	0.226
1124	55789	GeneMANIA	Unreported	1	0.37	0.15	0.194
1124	55789	GeneMANIA	Unreported	2	0.39	0.2	0.238
1124	55789	GeneMANIA	Unreported	3	0.38	0.16	0.204
1124	55789	GeneMANIA	Unreported	4	0.4	0.19	0.232
51291	89839	GeneMANIA	Unreported	0	0.32	0.21	0.232
51291	89839	GeneMANIA	Unreported	1	0.34	0.21	0.236
51291	89839	GeneMANIA	Unreported	2	0.32	0.19	0.216
51291	89839	GeneMANIA	Unreported	3	0.34	0.2	0.228
51291	89839	GeneMANIA	Unreported	4	0.34	0.2	0.228
55193	388553	GeneMANIA	Unreported	0	0.39	0.21	0.246
55193	388553	GeneMANIA	Unreported	1	0.38	0.2	0.236
55193	388553	GeneMANIA	Unreported	2	0.38	0.21	0.244
55193	388553	GeneMANIA	Unreported	3	0.38	0.2	0.236
55193	388553	GeneMANIA	Unreported	4	0.36	0.21	0.24
4509	7352	GeneMANIA	Unreported	0	0.59	0.27	0.334
4509	7352	GeneMANIA	Unreported	1	0.67	0.24	0.326
