Entrez_A	Entrez_B	Score	ID
4193	7157	9.853456618930563	14666
3569	6774	9.023167064451204	9332
1950	1956	8.984944285608679	3307
6387	7852	8.732627099660395	91
958	959	8.677950570294351	28508
3630	3643	8.582980931954241	22552
355	356	8.51398806046729	24164
3569	7124	8.509967146324497	23940
1026	7157	8.497806477616047	17302
2641	3630	8.442685139241176	22666
1499	2932	8.37655086161377	15353
4790	5970	8.336869637284956	13294
3458	6772	8.256607344626158	9051
581	596	8.222285073872717	10396
3630	3667	8.207946941048617	18033
4915	627	8.153349757998892	28128
406	9575	8.114025442356757	27767
7124	7132	8.00836557031292	23822
5747	6714	7.9868449011613825	1147
7248	7249	7.980023592310645	25676
11148	940	7.974188669286011	32070
1111	545	7.939871576361883	27814
3082	4233	7.906178840394815	11792
3630	6517	7.898039690764619	22598
5328	5329	7.8961806086154915	22197
23643	7099	7.88570539124302	17618
472	7157	7.871692664323645	17410
4803	4914	7.870165946469845	28153
6786	84876	7.857093864902493	32294
1499	999	7.856319571406588	15176
2064	2065	7.837554360881084	11403
4149	4609	7.832014180505469	21759
1387	2033	7.813995675002791	20098
3952	6774	7.77485576666552	9237
3630	3952	7.7437032581737535	22579
3558	920	7.738052297689316	23632
3576	7124	7.727535110475448	3121
3565	6778	7.727535110475448	22753
1956	2064	7.690743163541872	3325
4194	7157	7.68662133494462	17414
3569	3572	7.67786350067821	28246
3383	7124	7.654443226470112	23937
3553	3569	7.621195162809845	28315
3479	3480	7.620705086838262	15720
317	54205	7.613818684808629	18886
5327	5340	7.606387389772652	540
1499	324	7.605392364814935	15345
2099	2100	7.604396348796338	16946
3630	5836	7.599901959208498	22612
11200	472	7.58629630715272	19261
1401	3569	7.569927655242652	28300
1956	6714	7.558516743045645	2693
1956	644353	7.558516743045645	3398
5970	7124	7.546974117516527	23821
23411	7157	7.544332108053688	17371
3791	7422	7.534762657037537	18219
581	7157	7.533693709848633	10367
3553	7124	7.516977224604321	23859
836	842	7.5126175446745105	10575
10111	4361	7.506591780070841	30293
5888	675	7.4999765409521215	29139
3458	3586	7.492203042618741	24066
4193	4194	7.47477218239787	14744
580	672	7.470793774195062	19391
3458	3606	7.469654172932128	24079
3458	7124	7.460490305825338	23806
3553	834	7.43955930913332	25033
891	983	7.433666540166168	20778
2147	2149	7.415776975415394	264
3717	6774	7.415175109613295	9213
3091	7428	7.405495663199472	30527
2475	6198	7.401231264413015	5265
177	3146	7.3914152346753585	17809
6667	6670	7.383368146992383	21318
1869	5925	7.372118028337787	18937
2932	4137	7.370860166536716	16209
3569	3570	7.369600720526409	28242
2033	7157	7.364547014255642	17276
2475	57521	7.356279876550748	5234
3146	7099	7.347943823148687	17683
5328	5340	7.334329350300536	542
54205	842	7.325148957955575	27726
1499	6925	7.324489979348532	15384
3569	3586	7.323170717943469	28281
4792	7124	7.316548177182976	23820
7124	7133	7.295735072749282	23972
3569	3605	7.29505641646263	28314
7124	7412	7.292337176173877	23865
596	7157	7.290974778142981	12280
140823	7124	7.285506548522785	23930
1977	1978	7.284820912568604	16753
3458	3565	7.280008252884188	24023
1978	2475	7.2640301428995295	5232
4615	7099	7.257707677160043	17634
6615	999	7.25063551189868	15207
1499	51527	7.24850407237061	15354
4088	7040	7.231287004327616	11284
596	598	7.229113877793302	5017
836	841	7.21890970761906	10574
4318	7124	7.216709486709457	451
7018	7037	7.182352111885263	15163
6772	6773	7.175489713624222	9039
4088	4089	7.167809184316444	30062
841	8772	7.15305163493748	26859
2547	7520	7.121252453244542	24385
7097	7099	7.120444372392488	17669
1029	7157	7.116394144093465	17417
3458	4843	7.094234845924755	17107
644353	6885	7.0925737159746784	14026
1956	867	7.091742115095153	3537
10891	23411	7.089243155027514	17173
6774	9021	7.0825485693553	9238
1017	1026	7.074116816197362	19995
4087	7040	7.072421900537371	11378
7465	983	7.069023426578259	20837
1020	8851	7.068172000388042	16105
596	836	7.063903961472068	10545
6347	7124	7.0587581525186645	23958
5747	5829	7.0587581525186645	1155
5054	5328	7.053585727193677	22190
3383	3683	7.042286171939743	30781
3458	920	7.0317412587631285	24088
54205	596	7.028201432058005	12361
3605	51561	7.023758954738443	31486
1017	1027	7.023758954738443	19992
1027	6502	7.022868086082641	21552
4792	5970	7.022868086082641	27212
6403	6404	7.02108396428914	31718
578	581	7.020190708311925	10395
54205	581	7.017506142941256	10442
3559	920	7.014814351275545	23508
4361	4683	7.01211529430638	30292
27113	7157	6.98933526597456	17287
4087	4089	6.98933526597456	30074
1019	5925	6.988413181999592	19800
6772	6774	6.976348070447749	8991
5743	7124	6.970730078143525	17217
4313	4318	6.966024187106113	387
581	598	6.966024187106113	5036
317	842	6.959398512133975	18885
4683	472	6.958448393297656	19293
54205	836	6.946013991099227	10541
1499	89780	6.931471805599453	15362
672	675	6.930494765951626	19472
1956	7039	6.927557906278317	3332
1026	5111	6.92461239604856	21005
2056	2057	6.902742737158593	12015
10111	4683	6.899723107284872	30306
2353	3725	6.899723107284872	5569
3553	3554	6.897704943128636	28426
8743	8795	6.894670039433482	25597
4846	857	6.885509670034818	18345
4087	4088	6.884486652042782	30335
3458	3569	6.881411303642535	24017
3458	3558	6.880384082186005	23556
29102	54487	6.874198495453294	25281
285	7010	6.86484777797086	28114
3558	3559	6.85751406254539	23478
4843	7124	6.856461984594587	17140
2099	5241	6.848005274576363	16830
351	5663	6.84587987526405	2415
4318	7076	6.837332814685591	431
3981	7518	6.828712071641684	24342
1029	4193	6.826545223556594	14734
6714	6774	6.822197390620491	2735
644353	6774	6.822197390620491	9226
2324	7424	6.81783057145415	31747
6279	6280	6.816735880594968	17978
2321	7422	6.815639990074331	18266
3458	3605	6.815639990074331	24078
5894	673	6.814542897259958	7166
7157	7161	6.79794041297493	17364
2475	6009	6.787844982309579	5311
11200	7157	6.782192056006791	17412
29108	834	6.776506992372183	25024
4217	7295	6.775366090936392	24563
7096	7097	6.774223886357614	17665
367	6462	6.77078942390898	26706
3091	405	6.763884908562435	30446
5727	6608	6.75343791859778	18654
5054	7448	6.752270376141742	18594
3630	5137	6.747586526829315	22620
6194	6198	6.739336627357174	10357
2335	7040	6.734591659972948	692
3643	3667	6.731018100482083	18032
1147	9020	6.725033642166843	17768
3606	834	6.721425700790643	25032
2833	3627	6.721425700790643	26399
5879	998	6.717804695023691	1354
8408	9776	6.716594773520978	31453
3952	3953	6.715383386334681	24587
7099	929	6.714170529909472	17607
3815	4254	6.70808408385307	23145
1956	374	6.705639094860003	3321
1020	4137	6.698268054115413	16111
1499	51176	6.692083742506628	15450
4170	5366	6.690842277418564	22176
1019	1029	6.690842277418564	21633
10892	8915	6.687108607866515	28926
3569	3630	6.68586094706836	22592
2177	55215	6.683360945766275	31030
581	637	6.680854678790215	10387
6885	7189	6.679599185844383	14037
284	7010	6.673297967767654	28110
3565	920	6.672032945461067	26209
5727	6469	6.670766320845874	18725
2065	3084	6.664409020350408	11456
2475	8408	6.658011045870748	5308
3551	4792	6.634633357861686	17825
2321	3791	6.63200177739563	18212
545	84126	6.630683385642372	27838
841	8743	6.625392368007956	26873
7124	8743	6.621405651764134	23874
3565	3596	6.620073206530356	29107
4609	7157	6.612041034833092	17481
841	8737	6.610696044717759	26851
10018	581	6.608000625296087	10465
3558	50943	6.608000625296087	23597
10454	6885	6.606650186198215	14076
1017	5925	6.602587892189336	19685
355	841	6.597145701886651	25375
331	836	6.594413459749778	10577
1956	2065	6.594413459749778	3326
3569	3576	6.594413459749778	3150
1839	1956	6.588926477533519	3329
1029	5925	6.588926477533519	19715
3553	3605	6.577861357721047	28410
1956	6774	6.57507584059962	3319
142	836	6.573680166960646	10568
2475	253260	6.568077911411976	5210
3576	3577	6.565264970035361	3223
3654	7189	6.565264970035361	17950
3565	3566	6.55250788703459	29080
8743	8797	6.543911845564792	25583
6591	999	6.536691597591305	15250
4791	5971	6.533788837933344	31743
581	836	6.532334292222349	10362
2247	2260	6.529418838262226	567
1437	7124	6.52795791762255	10771
1956	2885	6.523562306149512	3259
10333	7097	6.520621127558696	17677
2033	3091	6.519147287940395	20450
5728	7157	6.519147287940395	17338
51285	5894	6.517671272912275	7465
1111	472	6.516193076042964	19263
7124	841	6.513230110912307	23848
5932	672	6.495265555937008	19348
4170	578	6.495265555937008	22165
1499	22943	6.493753839851686	15439
355	8772	6.490723534502507	25386
3572	6774	6.489204931325317	9331
644353	9564	6.489204931325317	15858
6714	9564	6.489204931325317	2797
1500	999	6.483107351457199	15177
7124	836	6.483107351457199	10535
3565	3586	6.483107351457199	29071
3569	9021	6.481577129276431	13622
545	7157	6.481577129276431	17411
3458	3659	6.478509642208569	24047
331	56616	6.476972362889683	28639
3654	51135	6.472346294500901	17947
7518	79840	6.470799503782602	24374
3553	4843	6.4692503167957724	17135
7057	961	6.467698726104354	2312
983	995	6.466144724237619	20815
3480	3481	6.46302945692067	15743
3551	8517	6.45833828334479	17818
3458	6774	6.45833828334479	9350
3558	940	6.456769655572163	23654
3605	7124	6.455198563340122	23955
2066	3084	6.455198563340122	11475
2308	23411	6.448889394146858	22300
1499	8312	6.448889394146858	15346
4790	7124	6.447305862541213	13295
354	367	6.4457198193855785	26698
1234	920	6.4457198193855785	26208
3565	3569	6.439350371100098	28282
324	999	6.436150368369428	15205
701	991	6.436150368369428	31911
3932	920	6.434546518787453	13924
2668	5979	6.42648845745769	17984
3565	7124	6.421622267806518	23913
3643	5770	6.419994928147142	18115
2534	4137	6.418364935936212	2634
7422	8829	6.418364935936212	18298
3383	3458	6.413458957167357	24126
1019	1021	6.406879986069314	26904
3717	6776	6.403574197934815	12254
578	596	6.396929655216146	12288
207	3630	6.396929655216146	4639
3091	54583	6.39024066706535	30520
11073	545	6.385194398997726	21682
1499	4609	6.385194398997726	15455
3576	3579	6.3818160174060985	3219
578	598	6.380122536899765	5040
7046	7048	6.3784261836515865	30420
139716	5781	6.3784261836515865	13777
675	79728	6.3784261836515865	29158
841	8837	6.376726947898627	26878
2309	23411	6.376726947898627	22301
1387	7157	6.373319789577012	17272
2735	6469	6.371611847231857	18739
28996	7157	6.369900982828227	17430
5610	8575	6.361302477572996	22546
1948	2050	6.361302477572996	14152
2475	7249	6.354370040797351	5317
672	7158	6.354370040797351	19428
2885	6654	6.354370040797351	4399
3716	6772	6.35088571671474	9008
672	79728	6.349138991379798	19473
2475	7157	6.349138991379798	5318
3551	6885	6.349138991379798	14061
7124	8737	6.345636360828596	23840
2033	5970	6.343880434126331	20385
1019	595	6.340359303727752	22846
2017	644353	6.340359303727752	2489
2017	6714	6.340359303727752	2452
572	598	6.338594078203183	4945
472	672	6.329720905522696	19221
1445	644353	6.329720905522696	24486
6714	857	6.329720905522696	2851
1445	6714	6.329720905522696	2917
644353	857	6.329720905522696	18417
1950	6774	6.327936783729195	3903
3630	6198	6.324358962381311	22618
5879	7074	6.324358962381311	1400
3458	4283	6.320768294250582	24090
1000	999	6.318968113746434	15267
3569	920	6.313548046277095	26197
2932	3630	6.313548046277095	22605
8074	9365	6.309918278226516	3616
2475	6194	6.309918278226516	5186
3630	4023	6.3080984415095305	22632
2099	367	6.3080984415095305	16869
2064	3084	6.306275286948016	11408
1111	993	6.306275286948016	20651
3091	7157	6.304448802421981	17487
472	545	6.304448802421981	19259
1435	1436	6.298949246855942	22510
5747	9564	6.297109319933935	1161
331	842	6.293419278846481	27728
3516	4851	6.29156913955832	30624
1906	1909	6.29156913955832	16278
637	841	6.285998094508865	24946
1147	3551	6.282266746896006	17731
3605	6774	6.278521424165844	9359
3146	7124	6.2766434893416445	17810
1499	367	6.2766434893416445	15376
3558	3565	6.274762021241939	23581
23411	5970	6.272877006546167	22307
23118	6885	6.272877006546167	14087
7157	7874	6.26530121273771	17444
5008	6774	6.263398262591624	9416
3458	3553	6.255750041753367	24077
2099	672	6.255750041753367	16902
1147	4791	6.253828811575473	17773
5888	672	6.251903883165888	19404
7157	8493	6.248042874508429	17415
4609	7015	6.240275845170769	21806
3065	3066	6.238324625039508	14261
5594	5604	6.236369590203704	6595
3932	7535	6.230481447578482	13932
246778	6772	6.228511003591184	9072
387	5879	6.228511003591184	1330
23411	5468	6.226536669287466	22330
3716	6774	6.22455842927536	9179
920	940	6.222576268071369	26216
3570	3572	6.222576268071369	28243
3569	6772	6.220590170099739	9056
84433	8915	6.2166061010848646	28928
6696	960	6.2166061010848646	25552
1956	4233	6.214608098422191	3349
6722	93649	6.214608098422191	8644
6667	7157	6.208590026096629	17281
3558	3586	6.202535517187923	23620
4193	472	6.20050917404269	14732
1387	1499	6.198478716492308	15515
2735	51684	6.194405391104672	32192
51285	673	6.192362489474872	7169
5879	644353	6.186208623900494	1606
6774	7124	6.184148890937483	9258
4193	5925	6.182084906716632	14701
5329	7448	6.171700597410915	18577
8737	8772	6.171700597410915	28010
1942	1969	6.1675164908883415	15687
4087	7046	6.1675164908883415	30421
51561	6774	6.163314804034641	9365
148022	7099	6.159095388491933	17680
5187	9575	6.154858094016418	27781
2625	3565	6.152732694704104	29052
5054	7040	6.152732694704104	11367
182	4851	6.150602768446279	30638
7454	998	6.148468295917647	8054
57599	7398	6.148468295917647	32318
1387	5970	6.148468295917647	20166
4843	5743	6.148468295917647	17104
1026	4609	6.1463292576688975	20963
7094	7414	6.144185634125646	15816
2185	6714	6.142037405587356	2819
3630	9882	6.142037405587356	22606
2796	6462	6.142037405587356	27113
572	596	6.139884552226255	4950
1630	9423	6.133398042996649	31098
387	998	6.133398042996649	1788
58484	834	6.131226489483141	25021
7132	7133	6.131226489483141	27386
699	9184	6.129050210060545	29162
3553	3606	6.129050210060545	28369
27040	7535	6.124683390894205	24576
3605	920	6.124683390894205	26194
3553	5970	6.124683390894205	27315
4193	7161	6.124683390894205	14702
3484	3630	6.118097198041348	22653
2321	5228	6.118097198041348	18527
4292	5395	6.115892125483034	25440
4485	4486	6.111467339502679	31714
644353	998	6.1092475827643655	8007
2099	6714	6.107022887742255	3055
1111	7157	6.102558594613569	17426
5598	5607	6.095824562432225	10050
1026	5925	6.095824562432225	19690
139716	2885	6.095824562432225	8863
355	7124	6.095824562432225	23869
3791	8829	6.093569770045136	18252
7157	8626	6.089044875446846	17363
1019	1026	6.089044875446846	21113
