ENSG1	ENSG2	Name1	Name2	Cofrac_PPI_score	In_Corum	Dm	Xl	Mm	Hs	Dd	Sp	Ce	Sc	Nv
ENSG00000113356	ENSG00000100413	POLR3G	POLR3H	1	0				ENSG00000113356--ENSG00000100413			Y47G6A.9--ZK856.10		
ENSG00000084072	ENSG00000240682	PPIE	ISY1	1	0	FBgn0028382--FBgn0037550	XB-GENE-979642--XB-GENE-6251523	ENSMUSG00000028651--ENSMUSG00000030056	ENSG00000084072--ENSG00000240682					
ENSG00000183474	ENSG00000213780	GTF2H2C	GTF2H4	1	0	FBgn0037202--FBgn0261109			ENSG00000183474--ENSG00000213780			T16H12.4--Y73F8A.24		
ENSG00000055163	ENSG00000132970	CYFIP2	WASF3	1	0	FBgn0038320--FBgn0041781			ENSG00000055163--ENSG00000132970	DDB_G0287855--DDB_G0285253				
ENSG00000099341	ENSG00000173692	PSMD8	PSMD1	1	1	FBgn0028693--FBgn0028692	XB-GENE-961860--XB-GENE-989965 XB-GENE-6252271--XB-GENE-989965	ENSMUSG00000030591--ENSMUSG00000026229	ENSG00000099341--ENSG00000173692	DDB_G0272564--DDB_G0287953		ZK20.5--C23G10.4	YFR052W--YIL075C	
ENSG00000115350	ENSG00000177084	POLE4	POLE	1	1			ENSMUSG00000030042--ENSMUSG00000007080	ENSG00000115350--ENSG00000177084					
ENSG00000008838	ENSG00000104973	MED24	MED25	1	1	FBgn0035851--FBgn0038760			ENSG00000008838--ENSG00000104973					
ENSG00000100764	ENSG00000101843	PSMC1	PSMD10	1	0		XB-GENE-950584--AAI41732		ENSG00000100764--ENSG00000101843		SPU_028593--SPU_021647	F29G9.5--F40G9.17		
ENSG00000005175	ENSG00000104872	RPAP3	PIH1D1	1	0		XB-GENE-5779079--XB-GENE-1013261	ENSMUSG00000022466--ENSMUSG00000003423	ENSG00000005175--ENSG00000104872		SPU_008116--SPU_019816	C33H5.8--F32D8.4		
ENSG00000131876	ENSG00000125870	SNRPA1	SNRPB2	1	1	FBgn0033210--FBgn0003449		ENSMUSG00000030512--ENSMUSG00000008333	ENSG00000131876--ENSG00000125870		SPU_004596--SPU_015935	H20J04.8--K08D10.3		
ENSG00000005175	ENSG00000243667	RPAP3	WDR92	1	0	FBgn0015544--FBgn0036771			ENSG00000005175--ENSG00000243667					
ENSG00000100902	ENSG00000106588	PSMA6	PSMA2	1	1			ENSMUSG00000021024--ENSMUSG00000015671	ENSG00000100902--ENSG00000106588	DDB_G0278847--DDB_G0292122	SPU_013097--SPU_026430	C15H11.7--D1054.2	YGL011C--YML092C	jgi|Nemve1|238636|estExt_fgenesh1_pg.C_70083--jgi|Nemve1|165493|estExt_gwp.C_610212
ENSG00000120438	ENSG00000166226	TCP1	CCT2	1	1	FBgn0003676--FBgn0030086	XB-GENE-939846--XB-GENE-1006541	ENSMUSG00000068039--ENSMUSG00000034024	ENSG00000120438--ENSG00000166226			T05C12.7--T21B10.7		jgi|Nemve1|109595|e_gw.95.80.1--jgi|Nemve1|191440|estExt_GenewiseH_1.C_2060055 jgi|Nemve1|109595|e_gw.95.80.1--jgi|Nemve1|124119|e_gw.206.22.1
ENSG00000130772	ENSG00000042429	MED18	MED17	1	1	FBgn0026873--FBgn0038578			ENSG00000130772--ENSG00000042429					
ENSG00000136754	ENSG00000055163	ABI1	CYFIP2	1	0	FBgn0020510--FBgn0038320			ENSG00000136754--ENSG00000055163	DDB_G0267956--DDB_G0287855				
ENSG00000072364	ENSG00000130382	AFF4	MLLT1	1	0			ENSMUSG00000049470--ENSMUSG00000024212	ENSG00000072364--ENSG00000130382					
ENSG00000145191	ENSG00000115211	EIF2B5	EIF2B4	1	0	FBgn0023512--FBgn0034858		ENSMUSG00000003235--ENSMUSG00000029145	ENSG00000145191--ENSG00000115211					
ENSG00000127481	ENSG00000176407	UBR4	KCMF1	1	0			ENSMUSG00000066036--ENSMUSG00000055239	ENSG00000127481--ENSG00000176407					
ENSG00000082014	ENSG00000099385	SMARCD3	BCL7C	1	0	FBgn0025463--FBgn0026149			ENSG00000082014--ENSG00000099385					
ENSG00000166986	ENSG00000133706	MARS	LARS	1	1	FBgn0034401--FBgn0053123	XB-GENE-5952584--XB-GENE-972516	ENSMUSG00000040354--ENSMUSG00000024493	ENSG00000166986--ENSG00000133706	DDB_G0279113--DDB_G0285451	SPU_010323--SPU_016726	F58B3.5--R74.1	YGR264C--YPL160W	
ENSG00000108671	ENSG00000103035	PSMD11	PSMD7	1	1	FBgn0028689--FBgn0002787		ENSMUSG00000017428--ENSMUSG00000039067	ENSG00000108671--ENSG00000103035	DDB_G0281315--DDB_G0279633	SPU_028659--SPU_024140	F57B9.10--R12E2.3	YDL097C--YOR261C	jgi|Nemve1|219029|fgenesh1_pg.scaffold_381000018--jgi|Nemve1|161920|estExt_gwp.C_260003
ENSG00000108344	ENSG00000108671	PSMD3	PSMD11	1	1	FBgn0261396--FBgn0028689		ENSMUSG00000017221--ENSMUSG00000017428	ENSG00000108344--ENSG00000108671	DDB_G0288621--DDB_G0281315	SPU_028912--SPU_028659	C30C11.2--F57B9.10	YER021W--YDL097C	jgi|Nemve1|233482|fgsh_est.C_scaffold_243000005--jgi|Nemve1|219029|fgenesh1_pg.scaffold_381000018
ENSG00000095261	ENSG00000108671	PSMD5	PSMD11	1	1			ENSMUSG00000026869--ENSMUSG00000017428	ENSG00000095261--ENSG00000108671		SPU_012349--SPU_028659	F35G12.12--F57B9.10		
ENSG00000241258	ENSG00000132664	CRCP	POLR3F	1	0				ENSG00000241258--ENSG00000132664			M106.7--W09C3.4		
ENSG00000101266	ENSG00000204435	CSNK2A1	CSNK2B	1	1	FBgn0000258--FBgn0000259	XB-GENE-959755--XB-GENE-865748		ENSG00000101266--ENSG00000204435	DDB_G0276885--DDB_G0284601	SPU_012605--SPU_016763	B0205.7--T01G9.6	YIL035C--YOR039W	jgi|Nemve1|166091|estExt_gwp.C_690085--jgi|Nemve1|245041|estExt_fgenesh1_pg.C_1430004
ENSG00000008018	ENSG00000129084	PSMB1	PSMA1	1	1	FBgn0002284--FBgn0250843	XB-GENE-970609--XB-GENE-995837	ENSMUSG00000014769--ENSMUSG00000030751	ENSG00000008018--ENSG00000129084	DDB_G0272969--DDB_G0282363		C02F5.9--CD4.6	YBL041W--YMR314W	jgi|Nemve1|191787|estExt_GenewiseH_1.C_2170113--jgi|Nemve1|10968|gw.159.3.1
ENSG00000198730	ENSG00000134371	CTR9	CDC73	1	1	FBgn0035205--FBgn0037657		ENSMUSG00000005609--ENSMUSG00000026361	ENSG00000198730--ENSG00000134371	DDB_G0277841--DDB_G0274885	SPU_008914--SPU_004049	B0464.2--F35F11.1		
ENSG00000106588	ENSG00000126067	PSMA2	PSMB2	1	1	FBgn0086134--FBgn0032596		ENSMUSG00000015671--ENSMUSG00000028837	ENSG00000106588--ENSG00000126067	DDB_G0292122--DDB_G0269472		D1054.2--T20F5.2	YML092C--YER012W	jgi|Nemve1|165493|estExt_gwp.C_610212--jgi|Nemve1|193516|estExt_GenewiseH_1.C_2970038
ENSG00000107581	ENSG00000175390	EIF3A	EIF3F	1	1	FBgn0037249--FBgn0037270		ENSMUSG00000024991--ENSMUSG00000031029	ENSG00000107581--ENSG00000175390	DDB_G0272078--DDB_G0293254		C27D11.1--D2013.7		jgi|Nemve1|190699|estExt_GenewiseH_1.C_1770129--jgi|Nemve1|230299|fgenesh1_pm.scaffold_166000005
ENSG00000204394	ENSG00000254772	VARS	EEF1G	1	0		XB-GENE-865697--XB-GENE-975020 XB-GENE-865697--XB-GENE-6252331	ENSMUSG00000007029--ENSMUSG00000071644	ENSG00000204394--ENSG00000254772			Y87G2A.5--F17C11.9		jgi|Nemve1|20110|gw.111.49.1--jgi|Nemve1|178546|estExt_GenewiseH_1.C_70098
ENSG00000099385	ENSG00000127616	BCL7C	SMARCA4	1	0	FBgn0026149--FBgn0000212		ENSMUSG00000030814--ENSMUSG00000032187	ENSG00000099385--ENSG00000127616					
ENSG00000159479	ENSG00000175221	MED8	MED16	1	1	FBgn0034503--FBgn0034707			ENSG00000159479--ENSG00000175221					
ENSG00000115866	ENSG00000196305	DARS	IARS	1	1	FBgn0002069--FBgn0027086	XB-GENE-951515--XB-GENE-1001590	ENSMUSG00000026356--ENSMUSG00000037851	ENSG00000115866--ENSG00000196305	DDB_G0272236--DDB_G0278293	SPU_017781--SPU_021302	B0464.1--R11A8.6		
ENSG00000068793	ENSG00000112290	CYFIP1	WASF1	1	0	FBgn0038320--FBgn0041781			ENSG00000068793--ENSG00000112290	DDB_G0287855--DDB_G0285253				
ENSG00000101811	ENSG00000101138	CSTF2	CSTF1	1	1	FBgn0027841--FBgn0039867		ENSMUSG00000031256--ENSMUSG00000027498	ENSG00000101811--ENSG00000101138		SPU_017830--SPU_006181	F56A8.6--F28C6.3		
ENSG00000141380	ENSG00000049618	SS18	ARID1B	1	0	FBgn0030034--FBgn0261885			ENSG00000141380--ENSG00000049618		SPU_020830--SPU_023530			
ENSG00000126216	ENSG00000130640	TUBGCP3	TUBGCP2	1	1				ENSG00000126216--ENSG00000130640		SPU_026892--SPU_000278			
ENSG00000136875	ENSG00000144028	PRPF4	SNRNP200	1	1	FBgn0036733--FBgn0036548			ENSG00000136875--ENSG00000144028					
ENSG00000137168	ENSG00000100603	PPIL1	SNW1	1	1				ENSG00000137168--ENSG00000100603		SPU_015088--SPU_003197	C34D4.12--T27F2.1		
ENSG00000173473	ENSG00000108604	SMARCC1	SMARCD2	1	1	FBgn0002783--FBgn0025463		ENSMUSG00000032481--ENSMUSG00000078619	ENSG00000173473--ENSG00000108604		SPU_000801--SPU_003233	Y113G7B.23--ZK1128.5		
ENSG00000004487	ENSG00000089902	KDM1A	RCOR1	1	0				ENSG00000004487--ENSG00000089902		SPU_010520--SPU_022856			
ENSG00000101132	ENSG00000123349	PFDN4	PFDN5	1	1	FBgn0035603--FBgn0038976		ENSMUSG00000052033--ENSMUSG00000001289	ENSG00000101132--ENSG00000123349	DDB_G0281873--DDB_G0280607	SPU_024985--SPU_027783	B0035.4--R151.9	YNL153C--YML094W	jgi|Nemve1|174565|estExt_gwp.C_3130001--jgi|Nemve1|162962|estExt_gwp.C_350170
ENSG00000079134	ENSG00000100296	THOC1	THOC5	1	1	FBgn0037382--FBgn0034939		ENSMUSG00000024287--ENSMUSG00000034274	ENSG00000079134--ENSG00000100296					
ENSG00000107581	ENSG00000184110	EIF3A	EIF3C	1	1	FBgn0037249--FBgn0034258		ENSMUSG00000024991--ENSMUSG00000030738	ENSG00000107581--ENSG00000184110	DDB_G0272078--DDB_G0279109	SPU_014579--SPU_026863	C27D11.1--T23D8.4	YBR079C--YMR309C	jgi|Nemve1|190699|estExt_GenewiseH_1.C_1770129--jgi|Nemve1|20376|gw.65.33.1
ENSG00000008838	ENSG00000108510	MED24	MED13	1	1	FBgn0035851--FBgn0003415			ENSG00000008838--ENSG00000108510					
ENSG00000141380	ENSG00000133884	SS18	DPF2	1	0	FBgn0030034--FBgn0033015		ENSMUSG00000037013--ENSMUSG00000024826	ENSG00000141380--ENSG00000133884					
ENSG00000108294	ENSG00000100567	PSMB3	PSMA3	1	1	FBgn0026380--FBgn0023175	XB-GENE-1008330--XB-GENE-976793	ENSMUSG00000069744--ENSMUSG00000060073	ENSG00000108294--ENSG00000100567	DDB_G0269772--DDB_G0267408	SPU_019829--SPU_026711	Y38A8.2--ZK945.2	YER094C--YOR362C	jgi|Nemve1|99390|e_gw.53.170.1--jgi|Nemve1|235516|estExt_fgenesh1_pm.C_1610003
ENSG00000165934	ENSG00000125755	CPSF2	SYMPK	1	1	FBgn0027873--FBgn0037371		ENSMUSG00000041781--ENSMUSG00000023118	ENSG00000165934--ENSG00000125755		SPU_012051--SPU_026497			
ENSG00000197170	ENSG00000013275	PSMD12	PSMC4	1	1	FBgn0028690--FBgn0028686	XB-GENE-970358--XB-GENE-5855587	ENSMUSG00000020720--ENSMUSG00000030603	ENSG00000197170--ENSG00000013275	DDB_G0281051--DDB_G0289003	SPU_001247--SPU_016198	F10G7.8--F23F12.6		
ENSG00000119041	ENSG00000148308	GTF3C3	GTF3C5	1	1			ENSMUSG00000041303--ENSMUSG00000026816	ENSG00000119041--ENSG00000148308					
ENSG00000008018	ENSG00000101182	PSMB1	PSMA7	1	1	FBgn0002284--FBgn0004066		ENSMUSG00000014769--ENSMUSG00000027566	ENSG00000008018--ENSG00000101182	DDB_G0272969--DDB_G0272831		C02F5.9--C36B1.4	YBL041W--YOL038W	jgi|Nemve1|191787|estExt_GenewiseH_1.C_2170113--jgi|Nemve1|179894|estExt_GenewiseH_1.C_140343
ENSG00000185115	ENSG00000198887	NDNL2	SMC5	1	0	FBgn0037481--FBgn0052438			ENSG00000185115--ENSG00000198887					
ENSG00000013275	ENSG00000185627	PSMC4	PSMD13	1	1	FBgn0028686--FBgn0028691	XB-GENE-5855587--XB-GENE-1005578	ENSMUSG00000030603--ENSMUSG00000025487	ENSG00000013275--ENSG00000185627	DDB_G0289003--DDB_G0285105		F23F12.6--T06D8.8		
ENSG00000197170	ENSG00000103035	PSMD12	PSMD7	1	1	FBgn0028690--FBgn0002787	XB-GENE-970358--XB-GENE-1005429	ENSMUSG00000020720--ENSMUSG00000039067	ENSG00000197170--ENSG00000103035	DDB_G0281051--DDB_G0279633	SPU_001247--SPU_024140	F10G7.8--R12E2.3	YDL147W--YOR261C	jgi|Nemve1|113443|e_gw.118.15.1--jgi|Nemve1|161920|estExt_gwp.C_260003
ENSG00000163468	ENSG00000166226	CCT3	CCT2	1	1	FBgn0015019--FBgn0030086	XB-GENE-6250719--XB-GENE-1006541	ENSMUSG00000001416--ENSMUSG00000034024	ENSG00000163468--ENSG00000166226			F54A3.3--T21B10.7	YJL014W--YIL142W	jgi|Nemve1|237354|estExt_fgenesh1_kg.C_1930003--jgi|Nemve1|124119|e_gw.206.22.1 jgi|Nemve1|247897|estExt_fgenesh1_pg.C_3740001--jgi|Nemve1|191440|estExt_GenewiseH_1.C_2060055 jgi|Nemve1|237354|estExt_fgenesh1_kg.C_1930003--jgi|Nemve1|191440|estExt_GenewiseH_1.C_2060055 jgi|Nemve1|247897|estExt_fgenesh1_pg.C_3740001--jgi|Nemve1|124119|e_gw.206.22.1
ENSG00000196305	ENSG00000172053	IARS	QARS	1	1	FBgn0027086--FBgn0027090	XB-GENE-1001590--AAI10785	ENSMUSG00000037851--ENSMUSG00000032604	ENSG00000196305--ENSG00000172053		SPU_021302--SPU_026898	R11A8.6--Y41E3.4		
ENSG00000115350	ENSG00000148229	POLE4	POLE3	1	1		XB-GENE-5722012--XB-GENE-6251911	ENSMUSG00000030042--ENSMUSG00000028394	ENSG00000115350--ENSG00000148229					jgi|Nemve1|205207|fgenesh1_pg.scaffold_57000059--jgi|Nemve1|170236|estExt_gwp.C_1430009
ENSG00000111605	ENSG00000167005	CPSF6	NUDT21	1	1	FBgn0035872--FBgn0035987	XB-GENE-961710--XB-GENE-921424	ENSMUSG00000055531--ENSMUSG00000031754	ENSG00000111605--ENSG00000167005		SPU_015736--SPU_014832	D1046.1--F43G9.5		
ENSG00000103035	ENSG00000175166	PSMD7	PSMD2	1	1	FBgn0002787--FBgn0028695	XB-GENE-1005429--XB-GENE-972403	ENSMUSG00000039067--ENSMUSG00000006998	ENSG00000103035--ENSG00000175166	DDB_G0279633--DDB_G0293752	SPU_024140--SPU_015013	R12E2.3--T22D1.9		jgi|Nemve1|161920|estExt_gwp.C_260003--jgi|Nemve1|10204|gw.292.16.1
ENSG00000100902	ENSG00000108294	PSMA6	PSMB3	1	1			ENSMUSG00000021024--ENSMUSG00000069744	ENSG00000100902--ENSG00000108294	DDB_G0278847--DDB_G0269772	SPU_013097--SPU_019829	C15H11.7--Y38A8.2	YGL011C--YER094C	jgi|Nemve1|238636|estExt_fgenesh1_pg.C_70083--jgi|Nemve1|99390|e_gw.53.170.1
ENSG00000115942	ENSG00000161036	ORC2	LRWD1	1	0			ENSMUSG00000026037--ENSMUSG00000029703	ENSG00000115942--ENSG00000161036		SPU_010533--SPU_018205			
ENSG00000103035	ENSG00000159352	PSMD7	PSMD4	1	1	FBgn0002787--FBgn0015283		ENSMUSG00000039067--ENSMUSG00000005625	ENSG00000103035--ENSG00000159352	DDB_G0279633--DDB_G0275775	SPU_024140--SPU_003324	R12E2.3--B0205.3		jgi|Nemve1|161920|estExt_gwp.C_260003--jgi|Nemve1|236108|estExt_fgenesh1_pm.C_4320005
ENSG00000101182	ENSG00000106588	PSMA7	PSMA2	1	1	FBgn0004066--FBgn0086134		ENSMUSG00000027566--ENSMUSG00000015671	ENSG00000101182--ENSG00000106588	DDB_G0272831--DDB_G0292122		C36B1.4--D1054.2	YOL038W--YML092C	jgi|Nemve1|179894|estExt_GenewiseH_1.C_140343--jgi|Nemve1|165493|estExt_gwp.C_610212
ENSG00000180104	ENSG00000131558	EXOC3	EXOC4	1	1	FBgn0034367--FBgn0262603			ENSG00000180104--ENSG00000131558			F09E5.5--Y106G6H.7		
